<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AADR.US,D,20100721,000000,23.1646,23.1646,22.7969,22.7969,45503.680330826,0
AADR.US,D,20100722,000000,23.4621,23.4621,23.1929,23.3129,18940.045746928,0
AADR.US,D,20100723,000000,23.5713,23.5713,23.1471,23.3324,9345.9703923893,0
AADR.US,D,20100726,000000,23.4426,23.4426,23.2768,23.4153,20422.52415713,0
AADR.US,D,20100727,000000,23.3031,23.3411,23.2603,23.3411,8882.5677358118,0
AADR.US,D,20100728,000000,23.3031,23.3411,23.1831,23.2603,5217.3807949615,0
AADR.US,D,20100729,000000,23.3509,23.3509,23.0924,23.0924,1301.0132106123,0
AADR.US,D,20100730,000000,23.0651,23.1646,23.0651,23.1646,647.94353751536,0
AADR.US,D,20100802,000000,23.7206,23.7304,23.4816,23.6475,7521.0661253365,0
AADR.US,D,20100803,000000,23.7684,23.8689,23.7684,23.8425,12095.629518364,0
AADR.US,D,20100804,000000,23.8689,23.8689,23.8689,23.8689,539.26946318525,0
AADR.US,D,20100805,000000,23.9137,23.9137,23.9137,23.9137,539.26946318525,0
AADR.US,D,20100806,000000,23.3607,23.7304,23.3607,23.7304,757.64283896179,0
AADR.US,D,20100809,000000,23.9976,24.2093,23.9976,24.0532,5902.2325086644,0
AADR.US,D,20100810,000000,24.0727,24.0727,24.0727,24.0727,539.26946318525,0
AADR.US,D,20100811,000000,23.2309,23.2309,23.2309,23.2309,105.59839298114,0
AADR.US,D,20100812,000000,23.1119,23.1119,23.1119,23.1119,1082.6398348358,0
AADR.US,D,20100813,000000,23.2309,23.2309,23.2309,23.2309,105.59839298114,0
AADR.US,D,20100816,000000,23.3324,23.3324,23.2934,23.2934,3252.0204129727,0
AADR.US,D,20100817,000000,23.5987,23.7684,23.5987,23.7684,7041.2598348979,0
AADR.US,D,20100818,000000,23.8142,23.9059,23.8142,23.9059,616.16149690938,0
AADR.US,D,20100819,000000,23.7684,23.7684,23.7684,23.7684,539.26946318525,0
AADR.US,D,20100820,000000,23.3607,23.3607,23.3411,23.3509,1301.0132106123,0
AADR.US,D,20100823,000000,23.3792,23.3792,23.3792,23.3792,215.29769442757,0
AADR.US,D,20100824,000000,22.9812,23.0369,22.9812,23.0369,4118.3373262646,0
AADR.US,D,20100825,000000,22.9364,22.9549,22.9364,22.9549,757.64283896179,0
AADR.US,D,20100826,000000,23.1831,23.2114,23.0749,23.0749,8125.9501239664,0
AADR.US,D,20100827,000000,23.1646,23.3129,23.0271,23.3129,11078.604218973,0
AADR.US,D,20100830,000000,23.3411,23.3411,23.3411,23.3411,324.996995874,0
AADR.US,D,20100831,000000,23.3509,23.389,23.3324,23.389,1108.2705127438,0
AADR.US,D,20100901,000000,23.6942,23.9498,23.6942,23.9498,1621.909298021,0
AADR.US,D,20100902,000000,24.0259,24.0259,24.0259,24.0259,105.59839298114,0
AADR.US,D,20100903,000000,24.2843,24.2843,24.2093,24.2093,4579.6895286094,0
AADR.US,D,20100907,000000,24.2093,24.2093,24.2093,24.2093,105.59839298114,0
AADR.US,D,20100908,000000,24.3312,24.421,24.2746,24.2746,4334.6602478085,0
AADR.US,D,20100909,000000,24.4755,24.4755,24.4755,24.4755,865.29168617558,0
AADR.US,D,20100910,000000,24.5682,24.5682,24.4755,24.5117,2057.6308224578,0
AADR.US,D,20100913,000000,24.7916,24.9837,24.7916,24.9837,225.54996559079,0
AADR.US,D,20100914,000000,25.0491,25.0861,25.0491,25.0491,1307.1645733103,0
AADR.US,D,20100915,000000,25.1408,25.1691,25.1329,25.1691,1621.909298021,0
AADR.US,D,20100916,000000,25.2159,25.2159,25.2159,25.2159,215.29769442757,0
AADR.US,D,20100917,000000,25.1232,25.1408,25.1232,25.1408,596.68218169927,0
AADR.US,D,20100920,000000,25.604,25.6665,25.604,25.6665,539.26946318525,0
AADR.US,D,20100921,000000,25.53,25.6129,25.53,25.6129,463.40265657744,0
AADR.US,D,20100922,000000,25.5007,25.5787,25.411,25.4529,33263.49378906,0
AADR.US,D,20100923,000000,25.7035,25.7035,25.4627,25.5592,5145.614896819,0
