<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAXJ.US,D,20080815,000000,41.0096,41.0096,41.0096,41.0096,123.2200357824,0
AAXJ.US,D,20080818,000000,40.7192,40.7192,40.0893,40.0893,31189.695886579,0
AAXJ.US,D,20080819,000000,39.5473,39.5473,39.5473,39.5473,123.2200357824,0
AAXJ.US,D,20080820,000000,40.1272,40.1272,40.1043,40.1043,4890.7334527616,0
AAXJ.US,D,20080822,000000,40.2909,40.2909,40.2191,40.266,4383.8282649088,0
AAXJ.US,D,20080825,000000,40.242,40.242,39.5153,39.5153,20768.085868333,0
AAXJ.US,D,20080826,000000,40.0204,40.0204,39.7179,39.8916,6027.7638642496,0
AAXJ.US,D,20080827,000000,40.7192,40.7192,40.6193,40.6193,1833.273703104,0
AAXJ.US,D,20080828,000000,40.5874,40.6343,40.5874,40.6343,7318.067978784,0
AAXJ.US,D,20080829,000000,40.4067,40.4067,40.3588,40.3588,487.8711985856,0
AAXJ.US,D,20080902,000000,40.0893,40.0893,40.0893,40.0893,123.2200357824,0
AAXJ.US,D,20080903,000000,38.6299,38.7377,38.5331,38.59,4693.381037728,0
AAXJ.US,D,20080904,000000,38.2156,38.2156,37.5508,37.6007,3131.5921289088,0
AAXJ.US,D,20080905,000000,37.0008,37.6327,36.88,37.6327,7455.3130592896,0
AAXJ.US,D,20080908,000000,38.5391,38.6379,38.1488,38.6379,4644.2933811968,0
AAXJ.US,D,20080909,000000,38.3454,38.3454,37.5349,37.5349,13919.856887776,0
AAXJ.US,D,20080911,000000,36.1284,36.5287,35.9806,36.3639,3969.0876566656,0
AAXJ.US,D,20080912,000000,36.0874,36.0944,35.8259,35.8259,1853.30948128,0
AAXJ.US,D,20080915,000000,35.4256,35.4256,34.646,34.7119,7488.37209328,0
AAXJ.US,D,20080916,000000,34.3286,34.3585,33.544,34.0171,4544.1144903168,0
AAXJ.US,D,20080917,000000,33.9183,33.9183,32.9291,32.9291,2079.7137746688,0
AAXJ.US,D,20080918,000000,33.8784,35.3098,33.56,35.2929,5402.6475851584,0
AAXJ.US,D,20080919,000000,36.4139,37.8223,36.4139,37.7894,4475.9928445184,0
AAXJ.US,D,20080922,000000,37.5269,37.5269,36.5776,36.8331,4666.3327371904,0
AAXJ.US,D,20080923,000000,35.5205,35.9148,35.5205,35.5294,8464.1144904512,0
AAXJ.US,D,20080924,000000,35.3667,35.5045,35.3587,35.3747,14058.10375719,0
AAXJ.US,D,20080925,000000,35.8509,36.6914,35.8509,36.6914,13714.490161472,0
AAXJ.US,D,20080926,000000,35.4666,35.7261,35.1461,35.5394,4400.8586763584,0
AAXJ.US,D,20080929,000000,33.6248,33.6897,32.397,32.397,8435.062612096,0
AAXJ.US,D,20080930,000000,33.4532,33.8714,33.4532,33.8714,31922.003578912,0
AAXJ.US,D,20081001,000000,33.552,36.4787,33.552,34.637,89996.708410957,0
AAXJ.US,D,20081002,000000,33.5919,33.6179,33.2984,33.2984,23835.563507078,0
AAXJ.US,D,20081003,000000,33.2316,33.2415,32.8632,32.8632,3667.5491951168,0
AAXJ.US,D,20081006,000000,31.5625,31.5625,29.8456,30.2868,1313.3452594368,0
AAXJ.US,D,20081007,000000,30.72,30.72,29.2068,29.2068,6051.8067980608,0
AAXJ.US,D,20081008,000000,29.8636,29.8636,27.8242,29.2636,48222.110913997,0
