<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACWI.US,D,20080328,000000,39.9957,39.9957,39.9957,39.9957,252.333626175,0
ACWI.US,D,20080331,000000,39.9154,39.9154,39.3774,39.3774,499.6205798265,0
ACWI.US,D,20080401,000000,40.1175,40.4356,40.0452,40.4356,729.7488468981,0
ACWI.US,D,20080402,000000,44.4739,44.4739,40.7536,40.8834,13399.924884397,0
ACWI.US,D,20080403,000000,47.6621,47.6621,40.6763,41.1142,36342.098176228,0
ACWI.US,D,20080404,000000,40.7169,43.8685,40.7169,41.0924,12312.871622835,0
ACWI.US,D,20080407,000000,42.3041,42.3041,40.9151,41.3292,14096.36569264,0
ACWI.US,D,20080408,000000,41.9138,41.9138,40.9795,41.5828,914.4570612582,0
ACWI.US,D,20080409,000000,40.9725,40.9725,40.7417,40.814,5333.3235228348,0
ACWI.US,D,20080410,000000,41.1142,41.1142,40.5861,40.814,8559.156599856,0
ACWI.US,D,20080411,000000,39.9491,40.5713,39.9491,40.1641,659.0954315691,0
ACWI.US,D,20080414,000000,40.8685,40.8685,40.2364,40.3226,4884.1696682433,0
ACWI.US,D,20080415,000000,40.8764,40.8764,40.2433,40.4356,3791.0603996532,0
ACWI.US,D,20080416,000000,40.8764,41.354,40.8685,40.9844,3560.9321325816,0
ACWI.US,D,20080417,000000,41.2579,42.2328,41.2381,41.5363,20534.910498121,0
ACWI.US,D,20080418,000000,42.5369,42.5369,41.673,41.992,12125.135404961,0
ACWI.US,D,20080421,000000,44.9157,48.2605,41.889,42.1842,73975.135183968,0
ACWI.US,D,20080422,000000,41.8008,42.0733,41.6175,41.8008,4405.7451130155,0
ACWI.US,D,20080423,000000,41.992,42.1842,41.6581,41.9058,26839.213814478,0
ACWI.US,D,20080424,000000,41.5145,42.0257,41.5145,41.9197,8869.0222927989,0
ACWI.US,D,20080425,000000,42.2159,42.2159,41.9682,42.0881,2080.2384141867,0
ACWI.US,D,20080428,000000,42.7123,42.7123,42.2813,42.4319,20072.635294969,0
ACWI.US,D,20080429,000000,42.3219,42.3219,41.7533,41.9445,17029.491763298,0
ACWI.US,D,20080430,000000,42.097,42.9729,42.0881,42.5112,12118.070063428,0
ACWI.US,D,20080501,000000,42.0346,42.4656,41.9682,42.3834,7805.1837248451,0
ACWI.US,D,20080502,000000,42.7123,42.8936,42.5686,42.6489,19269.205029228,0
ACWI.US,D,20080505,000000,42.7985,42.7985,42.6311,42.7698,5577.5824729722,0
ACWI.US,D,20080506,000000,42.6955,43.0541,42.6241,43.0541,2678.7737754738,0
ACWI.US,D,20080507,000000,43.0066,43.0066,42.313,42.3378,6565.7209530735,0
ACWI.US,D,20080508,000000,42.4795,43.1879,42.4587,42.4795,237330.87809714,0
ACWI.US,D,20080509,000000,42.4012,42.4012,42.0346,42.2952,1255.6121238468,0
ACWI.US,D,20080512,000000,42.4081,42.7272,42.4081,42.7272,3264.1877881998,0
ACWI.US,D,20080513,000000,42.6657,43.1879,42.4943,42.7777,352442.45035466,0
ACWI.US,D,20080514,000000,43.1829,43.1958,42.8718,42.8718,24268.438831007,0
ACWI.US,D,20080515,000000,43.1017,43.3256,43.1017,43.3256,10475.882824281,0
ACWI.US,D,20080516,000000,43.5435,43.6951,43.4038,43.6951,5486.7423675492,0
ACWI.US,D,20080519,000000,43.5891,44.1013,43.5891,43.6793,15365.099165048,0
ACWI.US,D,20080520,000000,43.6149,43.6149,43.2473,43.2473,370971.81319194,0
ACWI.US,D,20080521,000000,43.4712,43.5267,42.9263,42.9501,15172.31627465,0
ACWI.US,D,20080522,000000,43.1086,43.2206,42.8302,43.0155,14227.579178251,0
ACWI.US,D,20080523,000000,43.0155,43.0313,41.5928,42.3457,17224.293322706,0
ACWI.US,D,20080527,000000,43.5891,43.5891,42.097,42.6727,4933.6270589736,0
ACWI.US,D,20080528,000000,42.529,42.6727,42.4012,42.6657,5975.260267824,0
ACWI.US,D,20080529,000000,42.6657,43.8378,42.5369,42.9263,309006.7492794,0
ACWI.US,D,20080530,000000,43.392,43.392,42.8718,42.8787,54133.637490575,0
ACWI.US,D,20080602,000000,42.9422,42.9422,42.4141,42.5508,56965.830110763,0
ACWI.US,D,20080603,000000,42.5508,42.9263,42.0495,42.4498,23321.683065598,0
ACWI.US,D,20080604,000000,42.1357,42.3536,42.0089,42.0188,3543.7734460017,0
ACWI.US,D,20080605,000000,42.1922,42.9174,42.1922,42.9174,19304.531736892,0
ACWI.US,D,20080606,000000,42.5845,42.5845,41.785,41.785,11837.475071122,0
ACWI.US,D,20080609,000000,41.778,41.9058,41.5145,41.5303,5381.7715790604,0
ACWI.US,D,20080610,000000,41.3619,41.3619,41.0429,41.1231,8986.1050953441,0
ACWI.US,D,20080611,000000,41.1638,41.1638,40.6307,40.6307,2325.5066988288,0
ACWI.US,D,20080612,000000,40.5396,40.924,40.5237,40.6515,17262.648033884,0
ACWI.US,D,20080613,000000,40.6515,40.9478,40.6515,40.9329,4810.4882494002,0
ACWI.US,D,20080616,000000,41.2668,41.2668,40.9725,41.2034,4081.7487370068,0
ACWI.US,D,20080617,000000,41.1142,41.3371,41.1142,41.1945,11682.037557398,0
ACWI.US,D,20080618,000000,41.1142,41.1142,40.821,40.9002,12184.686140738,0
ACWI.US,D,20080619,000000,40.821,40.821,40.3573,40.3573,95571.865581034,0
ACWI.US,D,20080620,000000,40.4841,41.1073,40.0125,40.068,44595.42642116,0
ACWI.US,D,20080623,000000,39.9877,40.2037,39.9154,40.2037,14079.20700606,0
ACWI.US,D,20080624,000000,39.9154,40.2909,39.7113,39.8064,61969.101250561,0
ACWI.US,D,20080625,000000,40.3494,40.3494,40.0452,40.2364,2251.8252799857,0
ACWI.US,D,20080626,000000,40.0997,40.0997,39.2318,39.2318,27487.206566495,0
ACWI.US,D,20080627,000000,39.2883,39.3972,39.0376,39.3031,6866.5026354741,0
ACWI.US,D,20080630,000000,39.4498,39.8064,39.4498,39.4577,76632.712934843,0
ACWI.US,D,20080701,000000,38.9683,39.3418,38.6383,39.1525,50119.514165383,0
ACWI.US,D,20080702,000000,39.3517,39.3517,38.464,38.5343,10124.634416646,0
ACWI.US,D,20080703,000000,38.6383,38.6383,38.2807,38.3768,7012.8561386556,0
ACWI.US,D,20080707,000000,37.5277,40.4772,37.5198,38.5264,18595.978914593,0
ACWI.US,D,20080708,000000,38.1182,38.4144,37.7239,38.4144,3851.6204699352,0
ACWI.US,D,20080709,000000,38.671,39.0455,38.0835,38.3292,142315.1558282,0
ACWI.US,D,20080710,000000,38.2004,38.4471,37.9716,38.2004,38776.613001565,0
ACWI.US,D,20080711,000000,37.9943,38.2004,37.5713,37.923,675651.54544969,0
ACWI.US,D,20080714,000000,38.033,38.2648,37.6426,37.7694,1542145.0310446,0
ACWI.US,D,20080715,000000,37.5198,37.5366,36.8441,37.3771,28409.738303791,0
ACWI.US,D,20080716,000000,37.17,37.8031,37.067,37.7397,801570.06224904,0
ACWI.US,D,20080717,000000,38.3441,38.4223,38.0677,38.242,154557.3740357,0
ACWI.US,D,20080718,000000,40.4039,40.4039,37.9458,38.2737,7398.421919451,0
ACWI.US,D,20080721,000000,39.2407,39.2407,38.4313,38.4412,384420.18613257,0
ACWI.US,D,20080722,000000,38.3203,38.4808,38.1727,38.4223,22203.340434391,0
ACWI.US,D,20080723,000000,38.8048,39.101,38.8048,38.9425,5079.9805621551,0
ACWI.US,D,20080724,000000,38.9683,38.9683,38.1182,38.1182,16498.581813826,0
ACWI.US,D,20080725,000000,38.1182,38.3292,38.0835,38.1103,31891.942345006,0
ACWI.US,D,20080728,000000,38.0756,38.2341,37.6585,37.6585,54925.965076765,0
ACWI.US,D,20080729,000000,37.6268,38.136,37.6268,38.0835,19651.742806509,0
ACWI.US,D,20080730,000000,38.2807,38.5105,38.0677,38.3044,49393.802656504,0
ACWI.US,D,20080731,000000,38.3441,38.5769,38.2093,38.2093,11623.496156125,0
ACWI.US,D,20080801,000000,38.1638,38.1638,37.7397,37.7625,17368.628156878,0
ACWI.US,D,20080804,000000,37.5713,37.6268,37.282,37.3771,19445.83856755,0
ACWI.US,D,20080805,000000,37.7774,38.0191,37.5941,37.9864,37940.884031673,0
ACWI.US,D,20080806,000000,38.1548,38.4144,38.0419,38.4144,10244.745222705,0
ACWI.US,D,20080807,000000,38.2569,38.2569,37.6268,37.6793,52373.358114378,0
ACWI.US,D,20080808,000000,37.4583,38.1548,37.4583,38.1053,54822.00362278,0
ACWI.US,D,20080811,000000,38.1548,38.2093,38.1548,38.1638,6583.8889741581,0
ACWI.US,D,20080812,000000,38.1548,38.1915,37.818,37.8675,95682.892376551,0
ACWI.US,D,20080813,000000,37.6426,37.7942,37.3464,37.6793,10247.773226219,0
ACWI.US,D,20080814,000000,37.5198,37.7625,37.5198,37.7149,3240.9730945917,0
ACWI.US,D,20080815,000000,37.6268,37.6743,37.4484,37.5634,26910.876564311,0
ACWI.US,D,20080818,000000,37.6426,37.6426,37.0977,37.2196,5517.0224026902,0
ACWI.US,D,20080819,000000,36.9531,36.9531,36.6539,36.7549,35693.096089706,0
ACWI.US,D,20080820,000000,36.8669,37.1463,36.7628,36.9709,9812.7500546934,0
ACWI.US,D,20080821,000000,37.0749,37.4197,37.0165,37.3464,95857.507245864,0
ACWI.US,D,20080822,000000,37.3464,37.5713,37.3464,37.4752,9817.7967272169,0
ACWI.US,D,20080825,000000,37.3553,37.3553,36.748,36.8441,50952.215131761,0
ACWI.US,D,20080826,000000,36.7787,37.0165,36.7787,37.0165,7159.2096418371,0
ACWI.US,D,20080827,000000,37.1463,38.1271,37.0165,37.282,27165.228859496,0
ACWI.US,D,20080828,000000,37.4663,37.7467,37.4663,37.7467,17017.379749242,0
ACWI.US,D,20080829,000000,37.9062,37.9062,37.5455,37.5713,31409.480451759,0
ACWI.US,D,20080902,000000,37.493,37.6099,36.9402,37.0591,22031.753568592,0
ACWI.US,D,20080903,000000,36.9877,37.0165,36.5102,36.5498,33361.533383849,0
ACWI.US,D,20080904,000000,36.8669,36.8669,35.5809,35.5809,464366.54424634,0
ACWI.US,D,20080905,000000,35.4838,35.5412,34.8239,35.4471,64601.445638819,0
ACWI.US,D,20080908,000000,36.5657,36.748,35.677,35.8295,35321.660991976,0
ACWI.US,D,20080909,000000,35.9098,35.9663,34.7982,34.7982,12287.638260218,0
ACWI.US,D,20080910,000000,35.2638,35.4471,35.0003,35.3173,1071987.9347447,0
ACWI.US,D,20080911,000000,34.8636,35.2936,34.3286,35.2936,27610.345376069,0
ACWI.US,D,20080912,000000,35.3253,35.8048,35.1846,35.7116,22045.884251657,0
ACWI.US,D,20080915,000000,34.7348,34.9052,33.9045,34.0244,2398688.4970921,0
ACWI.US,D,20080916,000000,33.3774,34.2741,33.2803,34.2741,46449.573906294,0
ACWI.US,D,20080917,000000,34.0085,34.0085,32.7711,32.7969,78066.977266021,0
ACWI.US,D,20080918,000000,34.0403,34.2959,32.4451,34.0908,32368.348231224,0
ACWI.US,D,20080919,000000,38.2648,39.5577,34.6466,35.9891,129728.75455459,0
ACWI.US,D,20080922,000000,36.3408,36.3408,35.2212,35.2212,61973.13858858,0
ACWI.US,D,20080923,000000,35.0478,35.2024,34.3613,34.4643,67279.210079788,0
ACWI.US,D,20080924,000000,34.6089,34.7774,34.3117,34.4484,89807.556224692,0
ACWI.US,D,20080925,000000,34.7348,35.3332,34.7348,35.2638,34582.828134536,0
ACWI.US,D,20080926,000000,34.8725,35.0805,34.4732,35.0805,130100.18965232,0
ACWI.US,D,20080929,000000,34.2077,34.7536,31.493,31.7972,89907.480340657,0
ACWI.US,D,20080930,000000,32.0845,33.1714,32.0845,32.9643,143521.31056131,0
ACWI.US,D,20081001,000000,32.8999,33.2526,32.4996,33.099,103192.34109152,0
ACWI.US,D,20081002,000000,32.892,32.892,31.6704,31.709,31638.599384326,0
ACWI.US,D,20081003,000000,31.6961,32.9237,30.9828,31.1354,156064.31045122,0
ACWI.US,D,20081006,000000,30.3765,30.3765,28.2998,29.5393,158798.59762445,0
ACWI.US,D,20081007,000000,30.2566,30.2566,28.1859,28.2206,207843.17054233,0
ACWI.US,D,20081008,000000,27.6014,28.4445,26.6314,27.6132,31121.82011792,0
ACWI.US,D,20081009,000000,28.0056,28.2998,25.7467,25.8983,37789.483855968,0
ACWI.US,D,20081010,000000,24.9868,26.1866,23.8117,25.3385,168987.8294494,0
ACWI.US,D,20081013,000000,26.138,28.4841,26.138,28.4841,80097.758289478,0
ACWI.US,D,20081014,000000,29.1083,30.0267,27.9432,28.2998,155973.4703458,0
ACWI.US,D,20081015,000000,27.965,28.0997,25.5465,25.603,90221.383371619,0
ACWI.US,D,20081016,000000,25.6664,26.672,24.5657,26.5928,37083.959037183,0
ACWI.US,D,20081017,000000,26.0667,27.3279,25.6278,26.1727,80313.755873484,0
ACWI.US,D,20081020,000000,26.4967,27.6796,26.4967,27.6796,82121.473971401,0
