<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACWX.US,D,20080331,000000,37.6706,37.6706,37.6706,37.6706,397.7608069233,0
ACWX.US,D,20080401,000000,48.693,48.693,38.1356,38.4757,1466.9337176046,0
ACWX.US,D,20080402,000000,38.8414,38.9741,38.8414,38.8493,2662.2507205071,0
ACWX.US,D,20080403,000000,39.036,39.2208,39.036,39.1923,2335.7002882248,0
ACWX.US,D,20080404,000000,43.1116,43.1116,39.1481,39.2916,2241.0922190589,0
ACWX.US,D,20080407,000000,39.1117,39.4862,38.0697,39.4862,1035.6023054934,0
ACWX.US,D,20080408,000000,49.5709,51.068,39.0213,39.2985,5980.6541787777,0
ACWX.US,D,20080409,000000,39.156,39.1628,39.156,39.1628,745.6743515979,0
ACWX.US,D,20080410,000000,41.9428,41.9428,38.7146,38.9407,20261.386167497,0
ACWX.US,D,20080411,000000,38.804,39.6121,38.5642,38.5642,10973.518732178,0
ACWX.US,D,20080414,000000,37.4829,38.5485,35.7616,38.3086,11750.729106831,0
ACWX.US,D,20080415,000000,39.2385,39.2385,38.6448,38.69,2067.1354467216,0
ACWX.US,D,20080416,000000,39.673,40.7523,39.673,39.7851,17510.631124222,0
ACWX.US,D,20080417,000000,39.5688,39.7399,39.5688,39.7399,4698.8674352397,0
ACWX.US,D,20080418,000000,39.845,40.1753,39.845,40.0859,4178.0144092941,0
ACWX.US,D,20080421,000000,40.4879,40.4879,40.138,40.4162,5258.3775217047,0
ACWX.US,D,20080422,000000,40.3896,40.3896,39.9787,39.9787,1209.5590778307,0
ACWX.US,D,20080423,000000,40.1458,40.3179,40.1458,40.197,3028.4755043751,0
ACWX.US,D,20080424,000000,39.7851,40.2038,39.7035,40.2038,3560.51873205,0
ACWX.US,D,20080425,000000,40.1891,40.1891,40.1154,40.1154,3736.5100865199,0
ACWX.US,D,20080428,000000,40.483,41.349,40.483,40.8713,6489.2997119277,0
ACWX.US,D,20080429,000000,40.3837,40.3837,40.1075,40.1596,15271.573487296,0
ACWX.US,D,20080430,000000,40.369,41.4935,40.369,40.7828,7744.6368877419,0
ACWX.US,D,20080501,000000,40.2628,40.4299,40.0996,40.3326,8818.8962537547,0
ACWX.US,D,20080502,000000,40.8487,41.8769,40.5479,40.5715,98958.005765399,0
ACWX.US,D,20080505,000000,40.8575,40.9165,40.8044,40.9096,13659.16714721,0
ACWX.US,D,20080506,000000,40.8575,41.2252,40.8487,41.2173,27169.80979874,0
ACWX.US,D,20080507,000000,41.0836,41.0836,40.5656,40.5656,9347.8876082307,0
ACWX.US,D,20080508,000000,40.7445,40.8418,40.6619,40.6619,10909.429395001,0
ACWX.US,D,20080509,000000,40.6167,40.6855,40.5351,40.6314,14284.801152985,0
ACWX.US,D,20080512,000000,40.8192,41.0758,40.7288,41.0659,2664.2853026397,0
ACWX.US,D,20080513,000000,40.947,41.0207,40.8654,40.9755,4449.6311239962,0
ACWX.US,D,20080514,000000,41.1927,41.2547,40.9912,40.9912,8795.4985592298,0
ACWX.US,D,20080515,000000,41.3559,41.5614,41.3225,41.5466,9129.1700289762,0
ACWX.US,D,20080516,000000,41.9752,42.1148,41.8307,42.1148,10786.337175979,0
ACWX.US,D,20080519,000000,42.3045,42.4235,42.2121,42.2514,6633.7550433423,0
ACWX.US,D,20080520,000000,41.7481,41.8769,41.6715,41.7245,55857.4178684,0
ACWX.US,D,20080521,000000,41.7835,41.8464,41.2665,41.2665,46062.939482064,0
ACWX.US,D,20080522,000000,41.8307,41.8307,41.2596,41.5908,52636.674352495,0
