<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGNG.US,D,20160512,000000,14.8494,14.8494,14.8494,14.8494,276.1954915225,0
AGNG.US,D,20160517,000000,14.9291,14.9291,14.9291,14.9291,365.5823960516,0
AGNG.US,D,20160518,000000,14.8504,14.8504,14.8504,14.8504,181.7868507839,0
AGNG.US,D,20160519,000000,14.6742,14.6742,14.6742,14.6742,101.4390714319,0
AGNG.US,D,20160527,000000,15.3214,15.3214,15.3214,15.3214,201.8737956219,0
AGNG.US,D,20160531,000000,15.3662,15.3662,15.3662,15.3662,101.4390714319,0
AGNG.US,D,20160601,000000,15.3592,15.4389,15.3592,15.4389,308.3346032633,0
AGNG.US,D,20160603,000000,15.5843,15.5952,15.5843,15.5952,526.2779547556,0
AGNG.US,D,20160606,000000,15.6928,15.6928,15.6928,15.6928,672.912652073,0
AGNG.US,D,20160607,000000,15.635,15.635,15.6251,15.6251,1083.6906740101,0
AGNG.US,D,20160610,000000,15.3323,15.3323,15.2358,15.2358,1707.39031123,0
AGNG.US,D,20160614,000000,15.0376,15.0376,15.0376,15.0376,549.3779413193,0
AGNG.US,D,20160617,000000,14.9689,14.9689,14.9689,14.9689,201.8737956219,0
AGNG.US,D,20160621,000000,15.0755,15.0755,15.0755,15.0755,510.2083988852,0
AGNG.US,D,20160805,000000,16.5013,16.5013,16.5013,16.5013,101.4390714319,0
AGNG.US,D,20160810,000000,16.4365,16.4365,16.4027,16.4027,398.7258550343,0
AGNG.US,D,20160812,000000,16.4863,16.4863,16.4863,16.4863,151.6564335269,0
AGNG.US,D,20160818,000000,16.338,16.338,16.338,16.338,363.5737015678,0
AGNG.US,D,20160825,000000,16.2414,16.2414,16.2414,16.2414,103.4477659157,0
AGNG.US,D,20160826,000000,16.2016,16.2016,16.2016,16.2016,131.5694886889,0
AGNG.US,D,20160829,000000,16.2603,16.2603,16.2603,16.2603,146.6346973174,0
AGNG.US,D,20160901,000000,16.0741,16.0741,16.0741,16.0741,244.0563797817,0
AGNG.US,D,20160909,000000,16.1329,16.1329,15.9855,15.9855,1068.6254653816,0
AGNG.US,D,20160916,000000,16.1627,16.1627,16.1627,16.1627,222.9650877018,0
AGNG.US,D,20160919,000000,16.3181,16.3181,16.1827,16.2215,408.7693274533,0
AGNG.US,D,20160928,000000,16.5062,16.5062,16.4535,16.4535,601.6039978981,0
AGNG.US,D,20161006,000000,15.7904,15.9268,15.7904,15.9268,510.2083988852,0
AGNG.US,D,20161007,000000,15.8879,15.8879,15.8879,15.8879,302.3085198119,0
AGNG.US,D,20161017,000000,15.4289,15.4289,15.2826,15.2826,470.0345092092,0
AGNG.US,D,20161019,000000,15.4488,15.4488,15.4488,15.4488,131.5694886889,0
AGNG.US,D,20161027,000000,14.9739,14.9739,14.9739,14.9739,166.7216421554,0
AGNG.US,D,20161031,000000,14.6941,14.6941,14.6941,14.6941,323.3998118918,0
AGNG.US,D,20161103,000000,14.5856,14.5856,14.5856,14.5856,499.1605792243,0
AGNG.US,D,20161114,000000,15.1452,15.2328,15.0755,15.2328,481.0823288701,0
AGNG.US,D,20161118,000000,15.2168,15.2168,15.2168,15.2168,194.8433649286,0
AGNG.US,D,20161123,000000,14.9351,14.9351,14.9351,14.9351,101.4390714319,0
AGNG.US,D,20161207,000000,14.7718,14.8156,14.7718,14.8156,359.5563126002,0
AGNG.US,D,20161222,000000,14.8126,14.8126,14.8126,14.8126,253.0955049588,0
AGNG.US,D,20161228,000000,15.0008,15.0008,15.0008,15.0008,459.9910367902,0
AGNG.US,D,20170123,000000,15.4389,15.4389,15.4389,15.4389,593.5692199629,0
AGNG.US,D,20170124,000000,15.2218,15.2397,15.2129,15.2397,512.217093369,0
AGNG.US,D,20170130,000000,15.2796,15.3323,15.2796,15.3323,230.999865637,0
AGNG.US,D,20170201,000000,15.5594,15.5594,15.5594,15.5594,126.5477524794,0
AGNG.US,D,20170203,000000,15.7027,15.7027,15.7027,15.7027,135.5868776565,0
AGNG.US,D,20170208,000000,15.7127,15.7127,15.7127,15.7127,134.5825304146,0
AGNG.US,D,20170209,000000,15.7615,15.7615,15.7615,15.7615,706.0561110557,0
AGNG.US,D,20170214,000000,15.868,15.878,15.868,15.868,336.4563260365,0
AGNG.US,D,20170215,000000,15.9855,16.0642,15.9686,16.0642,1089.7167574615,0
AGNG.US,D,20170221,000000,16.2016,16.2016,16.2016,16.2016,201.8737956219,0
AGNG.US,D,20170224,000000,16.1876,16.1876,16.1876,16.1876,101.4390714319,0
AGNG.US,D,20170227,000000,16.3469,16.3469,16.2962,16.2962,408.7693274533,0
AGNG.US,D,20170301,000000,16.5739,16.5739,16.5739,16.5739,574.4866223668,0
AGNG.US,D,20170302,000000,16.5839,16.5839,16.5739,16.5739,452.9606060969,0
AGNG.US,D,20170303,000000,16.5252,16.5839,16.4764,16.5252,1073.6472015911,0
AGNG.US,D,20170306,000000,16.2474,16.2474,16.2474,16.2474,484.0953705958,0
AGNG.US,D,20170307,000000,16.2504,16.343,16.2314,16.343,890.8560035653,0
AGNG.US,D,20170313,000000,16.5739,16.5839,16.5739,16.5739,2697.6766917434,0
AGNG.US,D,20170314,000000,16.5351,16.5351,16.5202,16.5202,1443.2469866103,0
AGNG.US,D,20170315,000000,16.3668,16.3668,16.3668,16.3668,1027.4472284637,0
AGNG.US,D,20170320,000000,16.4166,16.4166,16.4166,16.4166,101.4390714319,0
AGNG.US,D,20170321,000000,16.2683,16.2683,16.2683,16.2683,191.8303232029,0
AGNG.US,D,20170324,000000,16.5341,16.5341,16.4823,16.4823,2480.737687493,0
AGNG.US,D,20170327,000000,16.5351,16.5351,16.5351,16.5351,27988.144590027,0
AGNG.US,D,20170328,000000,16.4963,16.4963,16.4963,16.4963,10691.276390025,0
AGNG.US,D,20170330,000000,16.5152,16.5739,16.5152,16.5739,201.8737956219,0
AGNG.US,D,20170403,000000,16.7382,16.798,16.5939,16.6626,1742.5424646965,0
AGNG.US,D,20170407,000000,16.6337,16.6337,16.6337,16.6337,137.5955721403,0
AGNG.US,D,20170410,000000,16.8478,16.8478,16.7183,16.7183,232.0042128789,0
AGNG.US,D,20170413,000000,16.6008,16.6008,16.6008,16.6008,140.608613866,0
AGNG.US,D,20170417,000000,16.6476,16.6476,16.6476,16.6476,101.4390714319,0
AGNG.US,D,20170418,000000,16.7313,16.7313,16.7313,16.7313,154.6694752526,0
AGNG.US,D,20170419,000000,16.5441,16.5839,16.5351,16.5839,969.1950884335,0
AGNG.US,D,20170420,000000,16.6337,16.7731,16.6337,16.7731,201.8737956219,0
AGNG.US,D,20170421,000000,16.7044,16.7044,16.7044,16.7044,101.4390714319,0
AGNG.US,D,20170425,000000,17.0738,17.1136,17.0369,17.0449,1428.1817779818,0
AGNG.US,D,20170427,000000,17.2271,17.2669,17.2082,17.2669,932.0342404832,0
AGNG.US,D,20170428,000000,17.1405,17.241,17.1405,17.241,496.1475374986,0
AGNG.US,D,20170501,000000,17.2371,17.2371,17.2371,17.2371,291.260700151,0
AGNG.US,D,20170502,000000,17.5328,17.5328,17.3167,17.3366,3403.7328027991,0
AGNG.US,D,20170503,000000,17.2371,17.2371,17.2371,17.2371,420.8214943561,0
AGNG.US,D,20170504,000000,17.3098,17.3098,17.3098,17.3098,127.5520997213,0
AGNG.US,D,20170505,000000,17.1305,17.3765,17.1305,17.3765,2248.7334746141,0
AGNG.US,D,20170508,000000,17.3665,17.3665,17.032,17.032,1551.7164887355,0
AGNG.US,D,20170511,000000,17.3565,17.3854,17.3565,17.3565,311.347644989,0
AGNG.US,D,20170512,000000,17.3346,17.3346,17.3346,17.3346,344.4911039717,0
AGNG.US,D,20170515,000000,17.3267,17.3267,17.3267,17.3267,101.4390714319,0
AGNG.US,D,20170519,000000,17.3665,17.4243,17.3665,17.4243,279.2085332482,0
AGNG.US,D,20170523,000000,17.4312,17.4312,17.4312,17.4312,601.6039978981,0
AGNG.US,D,20170524,000000,17.5696,17.716,17.5696,17.716,1709.3990057138,0
AGNG.US,D,20170526,000000,17.8056,17.8056,17.7359,17.7459,1285.564469632,0
AGNG.US,D,20170531,000000,17.8355,17.8355,17.484,17.484,1405.0817914181,0
AGNG.US,D,20170601,000000,17.7558,17.8056,17.6891,17.6891,37922.14315966,0
AGNG.US,D,20170602,000000,17.8056,18.1391,17.8056,18.0416,5043.8318488218,0
AGNG.US,D,20170605,000000,18.0416,18.0416,17.8653,17.8653,905.9212121938,0
AGNG.US,D,20170606,000000,17.9818,18.0117,17.8255,17.8255,5178.4143792364,0
AGNG.US,D,20170607,000000,18.0236,18.0236,17.8554,17.943,1942.4075658346,0
AGNG.US,D,20170608,000000,17.8554,17.9709,17.8554,17.946,2399.3855608991,0
AGNG.US,D,20170609,000000,18.0316,18.0316,17.947,17.947,1716.4294364071,0
AGNG.US,D,20170612,000000,17.7459,17.8663,17.6503,17.717,5961.8052279184,0
AGNG.US,D,20170614,000000,17.9619,18.0416,17.9619,18.0416,408.7693274533,0
AGNG.US,D,20170615,000000,17.942,17.942,17.942,17.942,121.5260162699,0
AGNG.US,D,20170616,000000,18.0515,18.1093,18.0515,18.1093,209.9085735571,0
AGNG.US,D,20170619,000000,18.2367,18.3443,18.2367,18.3333,983.2559498201,0
AGNG.US,D,20170620,000000,18.4657,18.4657,18.4418,18.4418,21668.791743992,0
AGNG.US,D,20170621,000000,18.5394,18.7176,18.4617,18.6708,2110.1335552319,0
AGNG.US,D,20170622,000000,19.0094,19.0094,18.7077,18.7077,4037.475912438,0
AGNG.US,D,20170623,000000,18.7833,18.862,18.7266,18.7365,3755.2543374641,0
AGNG.US,D,20170626,000000,18.7455,18.9606,18.7077,18.8421,4123.8497752414,0
AGNG.US,D,20170627,000000,18.852,18.852,18.5882,18.6081,2121.1813748928,0
AGNG.US,D,20170628,000000,18.4777,18.7465,18.4777,18.7465,24887.724654282,0
AGNG.US,D,20170629,000000,18.5304,18.6977,18.3433,18.3532,4496.4626019863,0
AGNG.US,D,20170630,000000,18.408,18.5006,18.408,18.5006,204.8868373476,0
AGNG.US,D,20170703,000000,18.393,18.4627,18.393,18.393,375.6258684706,0
AGNG.US,D,20170705,000000,18.2945,18.7077,18.2945,18.4219,4596.8973261763,0
AGNG.US,D,20170706,000000,18.3433,18.3433,18.1391,18.1391,1750.5772426317,0
AGNG.US,D,20170707,000000,18.402,18.402,18.2994,18.3731,6081.3225497045,0
AGNG.US,D,20170710,000000,18.6778,18.6778,18.2556,18.2556,2414.4507695276,0
AGNG.US,D,20170711,000000,18.2417,18.2417,18.2118,18.2118,201.8737956219,0
AGNG.US,D,20170713,000000,18.407,18.4438,18.3871,18.4438,2381.3073105449,0
AGNG.US,D,20170714,000000,18.5882,18.6987,18.5882,18.6529,6178.7442321688,0
AGNG.US,D,20170717,000000,18.6479,18.6768,18.638,18.6678,2053.8901096855,0
AGNG.US,D,20170718,000000,18.8421,18.8421,18.4817,18.6181,2739.8592759032,0
AGNG.US,D,20170719,000000,18.8421,18.8421,18.7823,18.7993,1743.5468119384,0
AGNG.US,D,20170720,000000,18.86,18.86,18.7266,18.8072,817.5386549066,0
AGNG.US,D,20170721,000000,18.8919,18.9108,18.8132,18.8819,5766.9618629898,0
AGNG.US,D,20170724,000000,18.8132,18.8321,18.6579,18.6579,2847.3244307865,0
AGNG.US,D,20170725,000000,18.7794,18.7794,18.7266,18.7266,650.8170127512,0
AGNG.US,D,20170726,000000,18.8321,18.8819,18.8321,18.8819,1251.4166634074,0
AGNG.US,D,20170727,000000,18.6449,18.6519,18.4727,18.4727,1413.1165693533,0
AGNG.US,D,20170728,000000,18.5882,18.7176,18.5394,18.5981,11758.897508165,0
AGNG.US,D,20170731,000000,18.8421,18.8421,18.401,18.401,6099.4008000587,0
AGNG.US,D,20170801,000000,18.3532,18.3532,18.179,18.3433,3895.8629513301,0
AGNG.US,D,20170802,000000,18.2188,18.2556,18.0993,18.1003,2070.9640127978,0
AGNG.US,D,20170803,000000,18.2855,18.2855,18.2855,18.2855,1022.4254922542,0
AGNG.US,D,20170804,000000,18.1949,18.3054,18.1949,18.2148,771.3386817792,0
AGNG.US,D,20170807,000000,18.3821,18.3821,18.3363,18.3363,1240.3688437465,0
AGNG.US,D,20170808,000000,18.2556,18.3433,18.2556,18.2656,914.9603373709,0
AGNG.US,D,20170809,000000,18.4916,18.4916,18.2258,18.2258,1034.477659157,0
AGNG.US,D,20170810,000000,18.0993,18.0993,18.0993,18.0993,353.5302291488,0
AGNG.US,D,20170811,000000,17.8355,17.8355,17.8355,17.8355,646.7996237836,0
AGNG.US,D,20170814,000000,17.9918,18.2457,17.9918,18.0704,3833.5934223323,0
AGNG.US,D,20170815,000000,18.2019,18.2228,18.1252,18.1252,1382.9861520963,0
AGNG.US,D,20170817,000000,18.1292,18.2049,18.0993,18.0993,1452.2861117874,0
AGNG.US,D,20170818,000000,17.9918,18.1192,17.9918,18.1192,1651.1468656836,0
AGNG.US,D,20170821,000000,17.9818,18.0017,17.933,18.0017,1362.8992072583,0
AGNG.US,D,20170822,000000,18.2168,18.2168,18.2168,18.2168,219.9520459761,0
AGNG.US,D,20170823,000000,18.2327,18.2327,18.1989,18.1989,756.2734731507,0
AGNG.US,D,20170824,000000,18.2188,18.2845,18.1989,18.2278,14164.309152516,0
AGNG.US,D,20170825,000000,18.2746,18.3044,18.2347,18.2457,3176.7503261297,0
AGNG.US,D,20170828,000000,18.3433,18.393,18.3433,18.393,305.3215615376,0
AGNG.US,D,20170829,000000,18.41,18.41,18.393,18.393,449.9475643712,0
AGNG.US,D,20170830,000000,18.3831,18.6161,18.3831,18.6161,530.2953437232,0
AGNG.US,D,20170831,000000,18.6678,18.862,18.6678,18.862,1246.3949271979,0
AGNG.US,D,20170901,000000,18.9207,18.9984,18.9207,18.9934,18868.671633575,0
AGNG.US,D,20170905,000000,18.9407,18.9407,18.8033,18.8033,15303.23892483,0
AGNG.US,D,20170906,000000,18.9407,18.9407,18.9407,18.9407,291.260700151,0
AGNG.US,D,20170907,000000,19.0283,19.0781,18.9904,19.0781,1129.8906471375,0
AGNG.US,D,20170908,000000,19.1219,19.2055,19.1219,19.2055,1557.7425721869,0
AGNG.US,D,20170911,000000,19.2832,19.2832,19.1886,19.2055,3997.302022762,0
AGNG.US,D,20170912,000000,19.4027,19.4027,19.1657,19.1657,899.8951287424,0
AGNG.US,D,20170913,000000,19.1746,19.1746,19.0781,19.0781,215.9346570085,0
AGNG.US,D,20170914,000000,19.1368,19.1368,19.0562,19.1298,476.0605926606,0
AGNG.US,D,20170915,000000,19.1169,19.1368,19.0601,19.1219,3726.128267449,0
AGNG.US,D,20170918,000000,19.1956,19.1956,19.1169,19.1736,6038.1356183028,0
AGNG.US,D,20170919,000000,19.099,19.1069,19.087,19.1069,6793.4047442116,0
AGNG.US,D,20170920,000000,19.1368,19.1746,19.097,19.1288,2592.2202313439,0
AGNG.US,D,20170921,000000,19.0542,19.0542,18.9875,18.9875,2337.1160319013,0
AGNG.US,D,20170922,000000,18.9805,19.0492,18.9506,18.9805,3395.6980248639,0
AGNG.US,D,20170925,000000,18.9307,18.9606,18.9088,18.9088,3145.6155616308,0
AGNG.US,D,20170926,000000,18.8132,18.8132,18.7077,18.7077,2953.7852384279,0
AGNG.US,D,20170927,000000,18.7455,18.8132,18.7236,18.7455,6912.9220659977,0
AGNG.US,D,20170928,000000,18.7833,18.862,18.7535,18.852,2533.9680913137,0
AGNG.US,D,20170929,000000,18.872,18.9705,18.7754,18.9705,18622.60655931,0
AGNG.US,D,20171002,000000,19.097,19.1169,19.0442,19.1169,6028.0921458838,0
AGNG.US,D,20171003,000000,19.097,19.097,18.9994,19.0343,1574.8164752992,0
AGNG.US,D,20171004,000000,19.0591,19.1956,19.0591,19.1697,7155.9740985375,0
AGNG.US,D,20171005,000000,19.1956,19.2404,19.1617,19.2185,17490.707217688,0
AGNG.US,D,20171006,000000,19.1269,19.2095,19.1269,19.1866,5507.8402745796,0
AGNG.US,D,20171009,000000,19.1368,19.1657,19.0781,19.1169,3028.1069343285,0
AGNG.US,D,20171010,000000,19.097,19.1069,18.9994,19.1049,2066.9466238302,0
AGNG.US,D,20171011,000000,19.1338,19.1547,19.097,19.097,2924.6591684128,0
AGNG.US,D,20171012,000000,19.1239,19.1567,19.0781,19.1567,6191.8007463135,0
AGNG.US,D,20171013,000000,19.0681,19.3031,19.0591,19.0781,128892.90328924,0
AGNG.US,D,20171016,000000,19.1269,19.3927,19.1269,19.2254,24917.855071539,0
AGNG.US,D,20171017,000000,19.3628,19.4206,19.1906,19.4206,14448.539421973,0
AGNG.US,D,20171018,000000,19.4206,19.4684,19.3778,19.4684,9367.5467252013,0
AGNG.US,D,20171019,000000,19.2931,19.3917,19.2881,19.3917,4351.8365991527,0
AGNG.US,D,20171020,000000,19.3429,19.4206,19.323,19.4206,10846.95021252,0
AGNG.US,D,20171023,000000,19.3827,19.4116,19.2364,19.2742,5034.7927236447,0
AGNG.US,D,20171024,000000,19.2155,19.328,19.087,19.1069,5664.518444316,0
AGNG.US,D,20171025,000000,19.1567,19.1567,18.9198,18.9656,7834.9128340619,0
AGNG.US,D,20171026,000000,18.7365,18.8033,18.638,18.7833,4973.5275418888,0
AGNG.US,D,20171027,000000,18.7455,19.1269,18.7455,19.0781,9299.2511127521,0
AGNG.US,D,20171030,000000,19.1069,19.1239,18.9506,19.0591,23916.520871365,0
AGNG.US,D,20171031,000000,19.0193,19.0591,18.8321,19.0074,9909.8942358273,0
AGNG.US,D,20171101,000000,18.9904,19.2354,18.8222,19.1677,8295.908218094,0
AGNG.US,D,20171102,000000,18.8192,18.8809,18.8192,18.872,1383.9904993382,0
AGNG.US,D,20171103,000000,19.0094,19.0343,18.8819,19.0293,9341.4336969119,0
AGNG.US,D,20171106,000000,19.0293,19.0681,19.0283,19.0293,3602.5935566953,0
AGNG.US,D,20171107,000000,19.0193,19.0193,18.9815,19.0193,3119.5025333414,0
AGNG.US,D,20171108,000000,19.0392,19.0392,18.9307,18.9765,2120.1770276509,0
AGNG.US,D,20171109,000000,18.9994,18.9994,18.86,18.9287,4319.6974874119,0
AGNG.US,D,20171110,000000,18.8929,18.9427,18.8929,18.9307,2730.8201507261,0
AGNG.US,D,20171113,000000,18.8809,18.8809,18.8809,18.8809,976.2255191268,0
AGNG.US,D,20171114,000000,18.8242,18.8929,18.7953,18.8869,1579.8382115087,0
AGNG.US,D,20171115,000000,18.6878,18.9307,18.6878,18.8421,2331.0899484499,0
AGNG.US,D,20171116,000000,18.8033,19.0392,18.8033,19.0392,1799.7902574848,0
AGNG.US,D,20171117,000000,19.0392,19.1368,18.9307,19.1269,2236.6813077113,0
AGNG.US,D,20171120,000000,19.1567,19.1567,19.0591,19.102,3122.5155750671,0
AGNG.US,D,20171121,000000,19.2254,19.2254,19.0492,19.1985,3842.6325475094,0
AGNG.US,D,20171122,000000,19.2404,19.2404,19.1856,19.1856,1940.3988713508,0
AGNG.US,D,20171124,000000,19.3031,19.318,19.3031,19.318,476.0605926606,0
AGNG.US,D,20171127,000000,19.3429,19.3429,19.1468,19.2005,1306.6557617119,0
AGNG.US,D,20171128,000000,19.323,19.323,19.2742,19.2742,874.7864476949,0
AGNG.US,D,20171129,000000,19.2453,19.2523,19.1239,19.1239,4051.5367738246,0
AGNG.US,D,20171130,000000,19.1269,19.1269,19.1269,19.1269,1100.7645771224,0
AGNG.US,D,20171201,000000,19.3429,19.3678,19.1856,19.3678,1975.5510248173,0
AGNG.US,D,20171204,000000,19.1657,19.2931,19.0153,19.0153,6618.648324121,0
AGNG.US,D,20171205,000000,19.0781,19.1169,18.9805,18.9805,13253.366204112,0
AGNG.US,D,20171206,000000,18.8401,18.9207,18.8401,18.867,1228.3166768437,0
AGNG.US,D,20171207,000000,19.0492,19.0492,18.8829,19.0482,3916.95424341,0
AGNG.US,D,20171208,000000,19.1358,19.2354,19.1358,19.2354,1741.5381174546,0
AGNG.US,D,20171211,000000,19.2055,19.2055,19.1428,19.1468,3370.5893438164,0
