<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGZD.US,D,20131220,000000,19.6737,19.6737,19.6737,19.6737,455.9527454867,0
AGZD.US,D,20131223,000000,19.6417,19.7114,19.6417,19.7114,39061.406258082,0
AGZD.US,D,20131224,000000,19.7612,19.7612,19.7612,19.7612,7077.0847194204,0
AGZD.US,D,20131227,000000,19.7498,19.7498,19.7498,19.7498,2007.064716975,0
AGZD.US,D,20131230,000000,19.7132,19.7132,19.7132,19.7132,10122.5872682218,0
AGZD.US,D,20131231,000000,19.7208,19.7208,19.7208,19.7208,27893.836381784,0
AGZD.US,D,20140102,000000,19.6939,19.6939,19.6939,19.6939,455.9527454867,0
AGZD.US,D,20140107,000000,19.7824,19.7824,19.7429,19.7534,27156.458257506,0
AGZD.US,D,20140108,000000,19.7924,19.8134,19.7824,19.7824,36371.50321892,0
AGZD.US,D,20140109,000000,19.7989,19.7989,19.7612,19.77,24627.993032532,0
AGZD.US,D,20140110,000000,19.7204,19.77,19.7114,19.725,27538.236872146,0
AGZD.US,D,20140113,000000,19.7498,19.7498,19.7241,19.7241,28500.318981044,0
AGZD.US,D,20140114,000000,19.7612,19.7612,19.7314,19.7314,17400.3784593396,0
AGZD.US,D,20140115,000000,19.7462,19.7462,19.7195,19.7195,7404.3235319708,0
AGZD.US,D,20140116,000000,19.7534,19.7534,19.7466,19.7485,9470.2912352048,0
AGZD.US,D,20140117,000000,19.8025,19.8025,19.7324,19.742,18283.9232532254,0
AGZD.US,D,20140121,000000,19.7274,19.7292,19.7246,19.7292,10412.7390153494,0
AGZD.US,D,20140122,000000,19.7374,19.7654,19.7292,19.7654,89977.583898824,0
AGZD.US,D,20140123,000000,19.661,19.661,19.644,19.644,15722.7341469986,0
AGZD.US,D,20140124,000000,19.6842,19.6842,19.6842,19.6842,1051.52738432822,0
AGZD.US,D,20140127,000000,19.7397,19.7397,19.7397,19.7397,25304.28657847,0
AGZD.US,D,20140128,000000,19.7554,19.7554,19.748,19.7516,2585.1866191472,0
AGZD.US,D,20140130,000000,19.7392,19.7415,19.7392,19.7415,455.9527454867,0
AGZD.US,D,20140131,000000,19.7146,19.7146,19.714,19.7146,12666.323637779,0
AGZD.US,D,20140205,000000,19.7114,19.7114,19.7114,19.7114,10109.4977157198,0
AGZD.US,D,20140207,000000,19.7438,19.7438,19.7438,19.7438,2015.7910853096,0
AGZD.US,D,20140210,000000,19.7438,19.7438,19.7438,19.7438,1049.34579224452,0
AGZD.US,D,20140212,000000,19.7882,19.7882,19.7882,19.7882,1049.34579224452,0
AGZD.US,D,20140221,000000,19.517,19.517,19.517,19.517,246.51990545454,0
AGZD.US,D,20140227,000000,19.7094,19.7094,19.7094,19.7094,3673.8010688976,0
AGZD.US,D,20140303,000000,19.7672,19.7672,19.7672,19.7672,379.59702255832,0
AGZD.US,D,20140305,000000,19.8228,19.8228,19.8228,19.8228,2406.2960682862,0
AGZD.US,D,20140311,000000,19.8187,19.8187,19.8187,19.8187,2537.1915933066,0
AGZD.US,D,20140319,000000,19.8314,19.8314,19.8314,19.8314,1271.86818477872,0
AGZD.US,D,20140414,000000,19.7887,20.21,19.7887,19.8182,7829.7339882862,0
AGZD.US,D,20140424,000000,19.8832,19.8873,19.8832,19.8873,750.46767678196,0
AGZD.US,D,20140428,000000,19.8763,19.8763,19.8763,19.8763,484.3134425744,0
AGZD.US,D,20140501,000000,19.8446,19.8446,19.8446,19.8446,370.87065422364,0
AGZD.US,D,20140506,000000,19.9199,19.9199,19.9199,19.9199,455.9527454867,0
AGZD.US,D,20140507,000000,19.9056,19.9056,19.7993,19.7993,24723.983084216,0
AGZD.US,D,20140508,000000,19.8942,19.9322,19.8942,19.9056,6317.8906743038,0
AGZD.US,D,20140512,000000,19.9199,19.924,19.9112,19.9199,10563.2688691228,0
AGZD.US,D,20140513,000000,19.8842,19.8842,19.8777,19.8777,3758.883160161,0
AGZD.US,D,20140514,000000,19.8685,19.8685,19.8685,19.8685,220.34080045052,0
AGZD.US,D,20140515,000000,20.2371,20.2371,19.8446,19.8842,5779.0374296376,0
AGZD.US,D,20140521,000000,19.7947,19.8566,19.7947,19.8566,2742.2612491714,0
AGZD.US,D,20140523,000000,19.8424,19.8424,19.8424,19.8424,750.46767678196,0
AGZD.US,D,20140527,000000,19.7928,19.8382,19.6315,19.8244,7044.3608381654,0
AGZD.US,D,20140528,000000,19.8337,19.8621,19.8337,19.8621,2015.7910853096,0
AGZD.US,D,20140529,000000,19.8337,19.8708,19.8337,19.8662,36495.853967692,0
AGZD.US,D,20140530,000000,19.8122,19.886,19.8122,19.886,43439.861570008,0
AGZD.US,D,20140602,000000,19.8497,19.874,19.8497,19.8621,5028.5697528558,0
AGZD.US,D,20140603,000000,19.8543,19.8956,19.8543,19.8823,32704.246926276,0
AGZD.US,D,20140604,000000,19.8928,19.8928,19.8337,19.8424,11627.8858059528,0
AGZD.US,D,20140605,000000,19.8543,19.886,19.8543,19.874,12317.2689043922,0
AGZD.US,D,20140609,000000,19.874,19.8956,19.874,19.8956,1012.25872682218,0
AGZD.US,D,20140611,000000,19.8122,19.9299,19.8122,19.9299,3898.5050535154,0
AGZD.US,D,20140612,000000,19.8823,19.8895,19.858,19.8621,28205.80404975,0
AGZD.US,D,20140613,000000,19.8956,19.9034,19.8956,19.9034,772.28359761862,0
AGZD.US,D,20140624,000000,19.9112,19.9112,19.9112,19.9112,370.87065422364,0
AGZD.US,D,20140625,000000,19.9158,19.9158,19.8263,19.8268,3750.156791826,0
AGZD.US,D,20140626,000000,19.8777,19.8777,19.8777,19.8777,218.15920836684,0
AGZD.US,D,20140627,000000,19.9056,19.9359,19.864,19.902,20716.398426518,0
AGZD.US,D,20140630,000000,19.8763,19.9158,19.8722,19.9158,34929.470851616,0
AGZD.US,D,20140701,000000,19.8804,19.9322,19.8722,19.9276,56535.958848268,0
AGZD.US,D,20140702,000000,19.9748,19.9748,19.8873,19.9483,40437.990862878,0
AGZD.US,D,20140703,000000,19.963,19.963,19.9158,19.9359,33912.848940626,0
AGZD.US,D,20140707,000000,19.8103,19.8103,19.808,19.808,3569.0846488816,0
AGZD.US,D,20140708,000000,19.7828,19.9074,19.7828,19.8763,87987.971918518,0
AGZD.US,D,20140709,000000,19.9056,19.924,19.8446,19.924,33747.047942268,0
AGZD.US,D,20140710,000000,19.8722,19.9703,19.8722,19.924,46851.871588862,0
AGZD.US,D,20140711,000000,19.8763,19.924,19.8228,19.8914,54736.145379242,0
AGZD.US,D,20140714,000000,19.902,19.9483,19.902,19.924,28925.72943736,0
AGZD.US,D,20140715,000000,19.8842,19.9501,19.8804,19.9501,25341.373643894,0
AGZD.US,D,20140716,000000,19.864,19.9074,19.8228,19.9056,28648.667242736,0
AGZD.US,D,20140717,000000,19.902,19.902,19.7612,19.7947,39986.40130156,0
AGZD.US,D,20140718,000000,19.8842,19.8842,19.8842,19.8842,218.15920836684,0
AGZD.US,D,20140721,000000,19.9216,19.9216,19.9216,19.9216,229.06716878518,0
AGZD.US,D,20140722,000000,20.9994,20.9994,19.9083,19.9083,1810.72142944484,0
AGZD.US,D,20140723,000000,19.9176,19.9257,19.9176,19.9257,3590.9005697184,0
AGZD.US,D,20140724,000000,19.9299,19.9529,19.9299,19.9529,7255.9752702814,0
AGZD.US,D,20140725,000000,19.9216,19.9216,19.9216,19.9216,285.78856296058,0
AGZD.US,D,20140729,000000,19.9725,19.9772,19.9725,19.9772,781.00996595332,0
AGZD.US,D,20140730,000000,19.8928,19.9382,19.874,19.9382,28792.652320256,0
AGZD.US,D,20140731,000000,19.8956,19.8956,19.8956,19.8956,495.22140299274,0
AGZD.US,D,20140801,000000,19.8956,19.8998,19.731,19.7636,148634.050252418,0
AGZD.US,D,20140804,000000,19.8122,19.8621,19.7928,19.7928,63903.195314818,0
AGZD.US,D,20140805,000000,19.8168,19.8823,19.797,19.797,14413.7788967976,0
AGZD.US,D,20140806,000000,19.809,19.8244,19.7887,19.7887,2231.768701593,0
AGZD.US,D,20140807,000000,19.8244,19.8543,19.7636,19.8424,21340.333762446,0
AGZD.US,D,20140808,000000,19.8382,19.8758,19.8382,19.8758,1808.53983736116,0
AGZD.US,D,20140812,000000,19.8956,19.8956,19.8956,19.8956,1640.5572469187,0
AGZD.US,D,20140815,000000,19.8122,19.8122,19.797,19.8122,1773.63436402248,0
AGZD.US,D,20140818,000000,19.8424,19.8621,19.8424,19.8497,7522.129504489,0
AGZD.US,D,20140820,000000,19.8576,19.8649,19.785,19.8122,35415.965886276,0
AGZD.US,D,20140821,000000,19.7434,19.8291,19.7136,19.8291,3320.3831513434,0
AGZD.US,D,20140822,000000,19.8621,19.8708,19.7928,19.8382,4954.3956220112,0
AGZD.US,D,20140825,000000,19.8446,20.0748,19.8228,19.8804,59324.033531196,0
AGZD.US,D,20140826,000000,20.0335,20.0335,20.0335,20.0335,1777.9975481898,0
AGZD.US,D,20140827,000000,19.9877,19.9877,19.9877,19.9877,750.46767678196,0
AGZD.US,D,20140902,000000,19.7612,20.0216,19.7612,20.0216,4258.4677473208,0
AGZD.US,D,20140903,000000,20.3622,20.6918,19.9074,19.9877,47720.145238164,0
AGZD.US,D,20140904,000000,19.9276,20.0102,19.9266,19.9446,2661976.4789002,0
AGZD.US,D,20140905,000000,19.9515,19.9547,19.9158,19.9158,546423.36919644,0
AGZD.US,D,20140908,000000,19.9039,19.9776,19.8685,19.9437,37093.610198616,0
AGZD.US,D,20140909,000000,19.9194,19.9194,19.8685,19.9056,29586.751838714,0
AGZD.US,D,20140910,000000,19.8891,19.8938,19.8484,19.8938,4343.549838584,0
AGZD.US,D,20140911,000000,19.8763,19.8763,19.8635,19.8763,6621.1319739338,0
AGZD.US,D,20140912,000000,19.9515,19.963,19.9056,19.963,12764.4952815444,0
AGZD.US,D,20140915,000000,19.8722,19.8873,19.8103,19.8144,18796.5973928874,0
AGZD.US,D,20140916,000000,19.8763,19.8842,19.8406,19.8842,19579.7889509246,0
AGZD.US,D,20140917,000000,19.852,19.9056,19.8025,19.9002,8658.7389800802,0
AGZD.US,D,20140918,000000,19.9056,19.9056,19.8854,19.8974,11422.816150088,0
AGZD.US,D,20140919,000000,19.8722,19.8804,19.8314,19.8804,21626.122325406,0
AGZD.US,D,20140922,000000,19.8942,19.902,19.8603,19.8914,17921.7789673364,0
AGZD.US,D,20140923,000000,19.924,19.924,19.8525,19.8909,10521.818619533,0
AGZD.US,D,20140924,000000,19.8942,19.9158,19.8722,19.8722,5209.6418958002,0
AGZD.US,D,20140925,000000,19.897,19.897,19.864,19.8914,22745.279064326,0
AGZD.US,D,20140926,000000,19.8919,19.9074,19.869,19.8722,10718.161907063,0
AGZD.US,D,20140929,000000,19.7828,19.9056,19.7828,19.8974,17625.0824439576,0
AGZD.US,D,20140930,000000,19.8722,19.9158,19.836,19.8974,57609.302153434,0
AGZD.US,D,20141001,000000,19.852,19.852,19.7892,19.8438,13501.8734058242,0
AGZD.US,D,20141002,000000,19.7956,19.8873,19.7956,19.8048,4786.4130315686,0
AGZD.US,D,20141003,000000,19.8974,19.8974,19.7993,19.8823,12808.1271232176,0
AGZD.US,D,20141006,000000,19.8914,19.8914,19.8446,19.8446,9943.6967173608,0
AGZD.US,D,20141007,000000,19.8942,19.8942,19.8144,19.8842,7646.480253258,0
AGZD.US,D,20141008,000000,19.8842,19.8873,19.819,19.819,10351.6544370068,0
AGZD.US,D,20141009,000000,19.7415,19.8484,19.7415,19.8446,14603.577408077,0
AGZD.US,D,20141010,000000,19.7828,19.864,19.7575,19.8566,11811.139540981,0
AGZD.US,D,20141013,000000,19.9708,19.9708,19.7246,19.864,16078.3336566366,0
AGZD.US,D,20141014,000000,19.8484,19.852,19.819,19.819,5674.3210096218,0
AGZD.US,D,20141015,000000,19.8061,19.8061,19.7044,19.7044,12007.4828285112,0
AGZD.US,D,20141016,000000,19.6206,19.852,19.6206,19.8446,12991.3808582456,0
AGZD.US,D,20141017,000000,19.7842,19.819,19.7016,19.7016,10024.4156244566,0
