<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIA.US,D,20071116,000000,38.7813,39.3861,38.5631,39.3463,64910.670659569,0
AIA.US,D,20071119,000000,40.5381,40.5381,37.0614,37.2338,19587.30492623,0
AIA.US,D,20071120,000000,38.5561,38.5969,37.3862,38.3179,9416.3173543813,0
AIA.US,D,20071121,000000,37.5128,37.5128,36.324,36.62,2133.5490456586,0
AIA.US,D,20071126,000000,37.729,38.03,37.1003,37.1003,9290.8735017438,0
AIA.US,D,20071127,000000,37.1003,37.8546,37.1003,37.7848,9165.4296491063,0
AIA.US,D,20071128,000000,38.6667,39.2476,38.4933,39.2476,19962.632933321,0
AIA.US,D,20071129,000000,39.4728,39.8375,39.0185,39.7359,22349.076785897,0
AIA.US,D,20071130,000000,40.1873,40.3816,39.3144,39.3144,11802.761206957,0
AIA.US,D,20071203,000000,40.0936,40.0936,39.1699,39.1699,7030.8770526266,0
AIA.US,D,20071204,000000,39.6542,39.6542,39.2357,39.2357,153301.41988041,0
AIA.US,D,20071205,000000,39.9302,40.1116,39.6223,39.7528,241695.17975372,0
AIA.US,D,20071206,000000,40.4992,40.9944,40.0936,40.9944,18707.190856125,0
AIA.US,D,20071207,000000,40.9944,40.9944,39.8724,39.9482,12931.755880695,0
AIA.US,D,20071210,000000,40.825,40.825,39.4958,39.8246,7785.5472700938,0
AIA.US,D,20071211,000000,39.998,40.1116,38.1994,38.4206,7658.0963158141,0
AIA.US,D,20071212,000000,40.1116,40.1116,38.1326,38.6757,86381.640477004,0
AIA.US,D,20071213,000000,37.9204,38.4385,37.6015,38.3727,33525.622280488,0
AIA.US,D,20071214,000000,38.5501,38.5501,37.5606,37.6403,19336.417220955,0
AIA.US,D,20071217,000000,37.6324,37.6324,35.9922,35.9922,30386.515312087,0
AIA.US,D,20071218,000000,38.0878,38.0878,36.0151,36.5104,30133.62050517,0
AIA.US,D,20071219,000000,37.729,37.7848,37.1939,37.5955,16698.082112283,0
AIA.US,D,20071220,000000,39.2735,39.2735,36.8751,37.5955,6653.541943893,0
AIA.US,D,20071221,000000,38.6667,38.6757,38.2532,38.6757,5271.6524632383,0
AIA.US,D,20071224,000000,39.2407,39.2407,39.0115,39.0185,2385.4403017547,0
AIA.US,D,20071226,000000,39.2735,39.2735,39.0035,39.0035,6279.2174876227,0
AIA.US,D,20071227,000000,38.4295,38.4604,38.0469,38.0469,26113.395915843,0
AIA.US,D,20071228,000000,38.9627,39.0035,38.0399,38.2462,31262.615178907,0
AIA.US,D,20071231,000000,39.5854,39.5854,38.1904,38.301,18707.190856125,0
AIA.US,D,20080102,000000,38.2303,38.2303,37.1003,37.3384,18458.310252492,0
AIA.US,D,20080103,000000,38.7404,38.7404,37.3803,37.4341,24359.18908056,0
AIA.US,D,20080104,000000,37.4022,37.4341,36.3599,36.5492,16198.313803375,0
AIA.US,D,20080107,000000,37.7848,37.7848,36.3908,36.9707,14687.96981762,0
AIA.US,D,20080108,000000,37.8815,37.8815,36.4386,36.5921,39798.818463184,0
AIA.US,D,20080109,000000,38.007,38.007,36.9637,37.6563,1756.213936925,0
AIA.US,D,20080110,000000,38.5421,38.5421,36.6359,37.6712,34402.725698129,0
AIA.US,D,20080111,000000,36.4386,36.9099,36.3988,36.3988,17199.857522833,0
AIA.US,D,20080114,000000,36.7326,36.8442,36.4765,36.7664,25989.959164848,0
AIA.US,D,20080115,000000,36.6359,36.7166,35.0994,35.4202,22474.520638534,0
AIA.US,D,20080116,000000,34.4457,34.6629,33.6645,34.081,24733.513536831,0
AIA.US,D,20080117,000000,35.1821,35.1821,33.9624,33.9624,11177.549045412,0
AIA.US,D,20080118,000000,33.2459,35.1253,33.2459,34.7177,6027.3262315266,0
AIA.US,D,20080122,000000,35.0366,35.2678,30.9421,34.5025,10671.759431577,0
AIA.US,D,20080123,000000,34.5174,34.5174,32.1379,33.5399,9165.4296491063,0
AIA.US,D,20080124,000000,34.081,34.6549,34.081,34.638,20463.40479305,0
AIA.US,D,20080125,000000,36.5104,36.5104,34.3261,34.5433,7157.3244560852,0
AIA.US,D,20080128,000000,34.2813,34.2813,33.7711,34.1986,7785.5472700938,0
AIA.US,D,20080129,000000,34.6231,34.7008,34.4078,34.5254,19962.632933321,0
AIA.US,D,20080130,000000,33.9933,34.6549,33.7392,33.8179,9794.656013936,0
AIA.US,D,20080131,000000,33.5967,34.7406,33.3097,34.7406,12554.420771961,0
AIA.US,D,20080201,000000,35.1741,35.1741,34.7656,34.7656,2635.3244562086,0
AIA.US,D,20080204,000000,36.1666,36.1666,35.4342,35.5458,7658.0963158141,0
AIA.US,D,20080205,000000,35.8248,35.8248,33.6704,34.0481,9921.1034173946,0
AIA.US,D,20080206,000000,33.8657,34.0959,32.8613,32.8613,14439.089213987,0
AIA.US,D,20080207,000000,32.9899,33.6505,32.4239,33.3237,4142.6577895008,0
AIA.US,D,20080208,000000,33.6346,33.6346,33.1892,33.3795,10043.536617569,0
AIA.US,D,20080211,000000,33.2928,33.6256,32.669,33.6176,4518.9893474133,0
AIA.US,D,20080212,000000,33.9544,34.3112,33.794,33.794,5897.8681756047,0
AIA.US,D,20080213,000000,34.1756,34.5663,33.794,34.5663,10171.99112267,0
AIA.US,D,20080214,000000,34.6779,35.0226,34.5254,34.5254,2512.8912560344,0
AIA.US,D,20080215,000000,34.9957,34.9957,34.3261,34.4865,20839.736350963,0
AIA.US,D,20080219,000000,36.0729,36.0729,34.8682,34.9011,14940.864624537,0
AIA.US,D,20080220,000000,34.9957,35.1253,34.3919,35.1253,12303.533066686,0
AIA.US,D,20080221,000000,35.7929,35.7929,34.3441,34.3441,4267.0980913172,0
AIA.US,D,20080222,000000,34.7984,34.7984,34.2235,34.6141,7408.2121613602,0
AIA.US,D,20080225,000000,35.3555,35.3555,34.632,35.0824,7658.0963158141,0
AIA.US,D,20080226,000000,35.3056,35.8079,35.2678,35.769,10549.326231403,0
AIA.US,D,20080227,000000,34.7566,36.342,34.7566,36.1596,31262.615178907,0
AIA.US,D,20080228,000000,36.0231,36.057,35.8318,35.9205,1126.9875720953,0
AIA.US,D,20080229,000000,36.1746,36.1746,34.6629,34.6629,5897.8681756047,0
AIA.US,D,20080303,000000,34.8224,34.9011,34.5503,34.632,14940.864624537,0
AIA.US,D,20080304,000000,35.196,35.196,33.7302,34.1497,14687.96981762,0
AIA.US,D,20080305,000000,35.0755,35.0755,34.368,34.4935,17704.643585846,0
AIA.US,D,20080306,000000,34.4865,34.5433,33.8568,34.1149,1885.6719928469,0
AIA.US,D,20080307,000000,34.2404,34.2404,33.8897,33.9036,1126.9875720953,0
AIA.US,D,20080310,000000,33.9455,33.9455,33.4512,33.5549,8662.6506877352,0
AIA.US,D,20080311,000000,34.1438,34.5842,33.9126,34.1836,62650.674210452,0
