<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIQ.US,D,20180517,000000,14.7055,14.8611,14.6955,14.7833,58344.195671634,0
AIQ.US,D,20180518,000000,14.7155,14.7294,14.6357,14.6696,48512.526810089,0
AIQ.US,D,20180521,000000,14.7833,14.7873,14.6158,14.7005,31747.345248755,0
AIQ.US,D,20180522,000000,14.7923,14.7923,14.6357,14.6357,28089.049858413,0
AIQ.US,D,20180523,000000,14.5569,14.7135,14.4991,14.7055,13712.590780576,0
AIQ.US,D,20180524,000000,14.7633,14.7733,14.6556,14.7454,30099.70837202,0
AIQ.US,D,20180525,000000,14.7155,14.7833,14.6955,14.7155,23985.501410693,0
AIQ.US,D,20180529,000000,14.6457,14.6856,14.5081,14.5569,44099.106302168,0
AIQ.US,D,20180530,000000,14.6656,14.7653,14.6457,14.7354,17737.919096594,0
AIQ.US,D,20180531,000000,14.7633,14.7923,14.6856,14.6915,20849.676387228,0
AIQ.US,D,20180601,000000,14.7833,14.9249,14.7733,14.9199,38517.397929732,0
AIQ.US,D,20180604,000000,15.0765,15.1193,14.9678,15.1193,48546.622764933,0
AIQ.US,D,20180605,000000,15.1642,15.2739,15.1343,15.236,45094.908748058,0
AIQ.US,D,20180606,000000,15.2918,15.3307,15.234,15.3307,23834.075258297,0
AIQ.US,D,20180607,000000,15.3995,15.3995,15.0964,15.1841,20098.562558455,0
AIQ.US,D,20180608,000000,15.1443,15.254,15.1044,15.224,17026.918155873,0
AIQ.US,D,20180611,000000,15.2829,15.3287,15.224,15.3008,40959.269989897,0
AIQ.US,D,20180612,000000,15.3407,15.3995,15.3108,15.3108,36727.360300411,0
AIQ.US,D,20180613,000000,15.4095,15.5072,15.3407,15.3517,44697.791156344,0
AIQ.US,D,20180614,000000,15.4673,15.5272,15.4275,15.4673,53847.540921005,0
AIQ.US,D,20180615,000000,15.4673,15.4673,15.2739,15.4195,28822.112887563,0
AIQ.US,D,20180618,000000,15.4095,15.4285,15.2739,15.4195,23101.012229147,0
AIQ.US,D,20180619,000000,15.2739,15.3307,15.0974,15.3108,22881.394167062,0
AIQ.US,D,20180620,000000,15.3995,15.4195,15.3507,15.3507,17945.503292264,0
AIQ.US,D,20180621,000000,15.3995,15.3995,15.1243,15.1692,19833.817497311,0
AIQ.US,D,20180622,000000,15.2829,15.2829,15.0326,15.0864,14853.802445656,0
AIQ.US,D,20180625,000000,15.0076,15.0076,14.5479,14.6596,28795.036688128,0
AIQ.US,D,20180626,000000,14.7733,14.7962,14.6626,14.7504,11902.49670723,0
AIQ.US,D,20180627,000000,14.8212,14.8511,14.4004,14.4004,34492.069613714,0
AIQ.US,D,20180628,000000,14.3914,14.6546,14.3774,14.6307,11432.17309482,0
AIQ.US,D,20180629,000000,14.6955,14.7633,14.6497,14.6656,8880.9934147128,0
AIQ.US,D,20180702,000000,14.4502,14.6955,14.4502,14.6875,15088.46284076,0
AIQ.US,D,20180703,000000,14.7564,14.871,14.6776,14.7354,5487.4430855136,0
AIQ.US,D,20180705,000000,14.7633,14.881,14.6955,14.881,8923.1119471674,0
AIQ.US,D,20180706,000000,14.881,15.0964,14.8611,15.0894,7434.9238004382,0
AIQ.US,D,20180709,000000,15.1443,15.2141,15.0276,15.2141,11082.188146566,0
AIQ.US,D,20180710,000000,15.3307,15.3307,15.2141,15.2639,150697.10065595,0
AIQ.US,D,20180711,000000,15.1443,15.1971,15.0086,15.1592,14273.168391103,0
AIQ.US,D,20180712,000000,15.224,15.4484,15.224,15.4484,10676.04515504,0
AIQ.US,D,20180713,000000,15.3995,15.4574,15.3995,15.4554,5917.6538098713,0
AIQ.US,D,20180716,000000,15.5072,15.5072,15.3706,15.4195,5293.8984006627,0
AIQ.US,D,20180717,000000,15.234,15.4384,15.234,15.4354,9718.3499527983,0
AIQ.US,D,20180718,000000,15.4673,15.4673,15.4115,15.4604,4801.5126998244,0
AIQ.US,D,20180719,000000,15.4285,15.4285,15.3347,15.3507,5559.6462840072,0
AIQ.US,D,20180720,000000,15.3208,15.3806,15.3108,15.3108,4302.107243577,0
AIQ.US,D,20180723,000000,15.3108,15.3108,15.1822,15.3108,6146.2972717677,0
AIQ.US,D,20180724,000000,15.3995,15.4673,15.2091,15.234,5857.4844777933,0
AIQ.US,D,20180725,000000,15.3307,15.4673,15.2739,15.4673,280944.650983,0
AIQ.US,D,20180726,000000,15.3606,15.4095,15.239,15.3357,6122.2295389365,0
AIQ.US,D,20180727,000000,15.3507,15.3507,14.9498,15.0256,7576.3217308215,0
AIQ.US,D,20180730,000000,14.9299,14.9299,14.6457,14.7055,17148.25964223,0
AIQ.US,D,20180731,000000,14.7055,14.8072,14.6756,14.7225,6535.3922858721,0
AIQ.US,D,20180801,000000,14.7254,14.7773,14.6856,14.7145,6809.162746827,0
AIQ.US,D,20180802,000000,14.6457,14.8202,14.5659,14.8202,7010.7300092883,0
AIQ.US,D,20180803,000000,14.8012,14.871,14.7454,14.8511,14503.817497402,0
AIQ.US,D,20180806,000000,14.8511,14.891,14.8112,14.884,3488.8184383227,0
AIQ.US,D,20180807,000000,14.9488,15.0665,14.9488,15.0166,3922.0376292843,0
AIQ.US,D,20180808,000000,15.0176,15.0755,15.0076,15.0076,2559.2022577176,0
AIQ.US,D,20180809,000000,14.9777,15.1193,14.9777,15.0565,3394.5531514005,0
AIQ.US,D,20180810,000000,14.9977,14.9977,14.881,14.9578,4669.1401692528,0
AIQ.US,D,20180813,000000,15.0356,15.0675,14.9199,14.9289,6395.9999998914,0
AIQ.US,D,20180814,000000,14.881,14.9777,14.881,14.9717,5524.5475069617,0
AIQ.US,D,20180815,000000,14.8411,14.8411,14.6856,14.7673,6522.3555972552,0
AIQ.US,D,20180816,000000,14.9478,14.9478,14.8112,14.8291,7818.0018813348,0
AIQ.US,D,20180817,000000,14.9289,14.9289,14.7155,14.881,204938.75070207,0
AIQ.US,D,20180820,000000,14.8311,14.9388,14.8311,14.9388,2944.2859830168,0
AIQ.US,D,20180821,000000,15.0635,15.0635,15.0126,15.0226,1603.5126998787,0
AIQ.US,D,20180822,000000,15.0176,15.0894,15.0176,15.0176,8020.5719659974,0
AIQ.US,D,20180823,000000,15.0465,15.224,15.0465,15.1044,77069.894636509,0
AIQ.US,D,20180824,000000,15.3088,15.3846,15.3088,15.3417,12407.919096685,0
AIQ.US,D,20180827,000000,15.4384,15.5661,15.4384,15.4873,20309.155220728,0
AIQ.US,D,20180828,000000,15.5172,15.5661,15.5072,15.5332,5382.1467543771,0
AIQ.US,D,20180829,000000,15.587,15.7037,15.583,15.7037,11201.523988521,0
AIQ.US,D,20180830,000000,15.7037,15.7037,15.5072,15.5461,74788.474128551,0
AIQ.US,D,20180831,000000,15.5092,15.576,15.4973,15.4973,14430.611476707,0
AIQ.US,D,20180904,000000,15.5072,15.5272,15.4424,15.5272,7544.2314203799,0
AIQ.US,D,20180905,000000,15.5661,15.5661,15.1861,15.2739,5310.9463780848,0
AIQ.US,D,20180906,000000,15.2739,15.2739,15.0685,15.0844,3696.4026339918,0
AIQ.US,D,20180907,000000,15.1243,15.1991,15.1243,15.1682,3014.4835371078,0
AIQ.US,D,20180910,000000,15.1742,15.234,15.1672,15.234,2736.7017873477,0
AIQ.US,D,20180911,000000,15.224,15.3208,15.224,15.2978,2279.4148635549,0
AIQ.US,D,20180912,000000,15.3108,15.3736,15.1542,15.3736,3709.4393226087,0
AIQ.US,D,20180913,000000,15.4773,15.5172,15.4673,15.4673,3359.454374355,0
AIQ.US,D,20180914,000000,15.5661,15.5661,15.4853,15.5541,2565.2191909254,0
AIQ.US,D,20180917,000000,15.576,15.576,15.2829,15.2829,23535.23424231,0
AIQ.US,D,20180918,000000,15.4115,15.4673,15.4095,15.4095,177210.71683613,0
AIQ.US,D,20180919,000000,15.2918,15.3606,15.2918,15.3407,3411.6011288226,0
AIQ.US,D,20180920,000000,15.4195,15.4813,15.4005,15.4813,7452.9746000616,0
AIQ.US,D,20180921,000000,15.6349,15.6349,15.4484,15.4823,10128.50423313,0
AIQ.US,D,20180924,000000,15.3995,15.4484,15.3208,15.4484,4583.9002821423,0
AIQ.US,D,20180925,000000,15.5362,15.5362,15.4773,15.5172,12123.117591516,0
AIQ.US,D,20180926,000000,15.596,15.596,15.5461,15.5661,3668.3236123554,0
AIQ.US,D,20180927,000000,15.586,15.586,15.5072,15.5661,4830.5945436621,0
AIQ.US,D,20180928,000000,15.4873,15.5661,15.4873,15.5013,1441.0555032681,0
AIQ.US,D,20181001,000000,15.586,15.6159,15.5052,15.5322,5149.4920036755,0
AIQ.US,D,20181002,000000,15.4773,15.4773,15.2968,15.2968,8328.4383817965,0
AIQ.US,D,20181003,000000,15.3956,15.4195,15.3706,15.4095,6041.0009406312,0
AIQ.US,D,20181004,000000,15.3906,15.3906,14.9947,15.0755,8464.8222011733,0
