<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIRR.US,D,20140313,000000,19.7726,19.7726,19.0418,19.1208,8897.4173096475,0
AIRR.US,D,20140314,000000,19.1978,19.2078,19.1258,19.1258,1116538.3485817,0
AIRR.US,D,20140317,000000,19.3657,19.3657,19.2678,19.2678,8411.2852340445,0
AIRR.US,D,20140318,000000,19.2578,19.4627,19.2078,19.4237,42706.602814547,0
AIRR.US,D,20140319,000000,19.6177,19.6177,19.2978,19.3947,74789.319260825,0
AIRR.US,D,20140320,000000,19.4917,19.4917,19.3757,19.4237,46371.59854502,0
AIRR.US,D,20140321,000000,19.5497,19.6367,19.4437,19.4817,17208.675367642,0
AIRR.US,D,20140324,000000,19.6857,19.6956,19.1698,19.2778,61771.782569677,0
AIRR.US,D,20140325,000000,19.4337,19.4537,19.2738,19.3267,5195.411524037,0
AIRR.US,D,20140326,000000,19.5017,19.5017,19.0028,19.0128,39409.707091939,0
AIRR.US,D,20140327,000000,18.8739,18.9728,18.7559,18.8159,22457.101294985,0
AIRR.US,D,20140328,000000,19.0418,19.1008,18.8349,18.8649,38362.422558696,0
AIRR.US,D,20140331,000000,19.0818,19.2678,19.0748,19.2078,10718.912185518,0
AIRR.US,D,20140401,000000,19.2578,19.4137,19.2478,19.3947,14116.835355937,0
AIRR.US,D,20140402,000000,19.4537,19.5397,19.4257,19.5307,28415.720172284,0
AIRR.US,D,20140403,000000,19.4627,19.4917,19.3267,19.4137,48433.15864341,0
AIRR.US,D,20140404,000000,19.5977,19.5977,18.9728,19.0128,31661.602035106,0
AIRR.US,D,20140407,000000,18.8839,19.1108,18.515,18.5889,17519.759885157,0
AIRR.US,D,20140408,000000,18.7349,18.8629,18.6589,18.7759,13273.606261835,0
AIRR.US,D,20140409,000000,19.0128,19.0518,18.8059,19.0518,40194.920423932,0
AIRR.US,D,20140410,000000,19.0318,19.0518,18.575,18.6589,68675.658260649,0
AIRR.US,D,20140411,000000,18.7859,18.7859,18.455,18.503,109723.81049629,0
AIRR.US,D,20140414,000000,18.8549,18.8549,18.366,18.503,12688.447281942,0
AIRR.US,D,20140415,000000,18.6589,18.6959,18.1901,18.542,52054.14241642,0
AIRR.US,D,20140416,000000,18.7659,18.7659,18.581,18.7359,15474.204134935,0
AIRR.US,D,20140417,000000,18.7959,18.9728,18.7459,18.9339,79168.509028293,0
AIRR.US,D,20140421,000000,18.9678,18.9728,18.8549,18.9598,9270.518676314,0
AIRR.US,D,20140422,000000,19.0028,19.2278,19.0028,19.1878,7534.046900086,0
AIRR.US,D,20140423,000000,19.3178,19.3178,19.0618,19.1008,19546.310471931,0
