<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALTY.US,D,20150715,000000,9.86086,11.8258,9.85494,11.8258,9650.1121111687,0
ALTY.US,D,20150716,000000,9.91124,9.95965,9.87963,9.95965,2606.6336605748,0
ALTY.US,D,20150717,000000,10.019,10.019,9.85494,9.8737,15356.362186765,0
ALTY.US,D,20150720,000000,9.84703,9.84703,9.81048,9.81048,10137.021156114,0
ALTY.US,D,20150721,000000,9.78183,9.78183,9.75615,9.75615,5679.9306677612,0
ALTY.US,D,20150723,000000,9.83024,9.83024,9.63958,9.63958,5984.6284276963,0
ALTY.US,D,20150724,000000,9.5566,9.56648,9.50819,9.56648,1684.4421014355,0
ALTY.US,D,20150727,000000,9.52498,9.52498,9.51709,9.51709,1999.2627105379,0
ALTY.US,D,20150728,000000,9.53092,9.53092,9.53092,9.53092,297.61176551805,0
ALTY.US,D,20150729,000000,9.62871,9.68699,9.3773,9.3773,38382.807187578,0
ALTY.US,D,20150731,000000,9.68699,9.6949,9.66526,9.6949,2918.417414927,0
ALTY.US,D,20150803,000000,9.81048,9.81048,9.6949,9.6949,1320.0195314134,0
ALTY.US,D,20150805,000000,9.64452,9.64452,9.64452,9.64452,163.99015650995,0
ALTY.US,D,20150806,000000,9.63563,9.63563,9.54277,9.61982,2310.0341799735,0
ALTY.US,D,20150807,000000,9.61982,9.61982,9.57833,9.57833,2759.4886830007,0
ALTY.US,D,20150810,000000,9.6139,9.69984,9.57833,9.69984,4764.825103039,0
ALTY.US,D,20150811,000000,9.6781,9.6781,9.6781,9.6781,349.23829627118,0
ALTY.US,D,20150813,000000,9.71169,9.71169,9.70676,9.70676,767.31196687988,0
ALTY.US,D,20150814,000000,9.71169,9.71169,9.71169,9.71169,458.56506727782,0
ALTY.US,D,20150821,000000,9.54771,9.54771,9.48152,9.50424,1999.2627105379,0
ALTY.US,D,20150824,000000,9.22794,9.53684,8.72126,9.20264,9983.1538487722,0
