<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANGL.US,D,20120416,000000,15.7409,15.7409,15.7121,15.726,17088.859137822,0
ANGL.US,D,20120417,000000,15.8024,15.8292,15.8024,15.8292,2459.6989320603,0
ANGL.US,D,20120418,000000,15.8292,17.5265,15.8143,15.8143,27905.485998891,0
ANGL.US,D,20120419,000000,15.8917,15.9244,15.8024,15.858,7608.937516062,0
ANGL.US,D,20120420,000000,15.8411,15.8917,15.8183,15.8342,4680.4844842443,0
ANGL.US,D,20120423,000000,15.8262,15.8292,15.6595,15.7866,3653.2577581093,0
ANGL.US,D,20120424,000000,15.8292,15.8292,15.7866,15.8143,2586.7161719946,0
ANGL.US,D,20120425,000000,15.5713,15.8292,15.5713,15.8292,811.49903291334,0
ANGL.US,D,20120426,000000,15.8292,15.8292,15.7617,15.7766,11581.754520673,0
ANGL.US,D,20120427,000000,15.8183,15.8292,15.7499,15.7766,104900.11101238,0
ANGL.US,D,20120430,000000,15.8034,15.855,15.7568,15.8312,40346.118999119,0
ANGL.US,D,20120501,000000,15.6318,15.8143,15.6318,15.7617,196277.92633841,0
ANGL.US,D,20120502,000000,15.8411,15.8411,15.7409,15.7766,159304.82071089,0
ANGL.US,D,20120503,000000,15.8342,15.8342,15.7687,15.7806,120030.28366454,0
ANGL.US,D,20120504,000000,15.8074,15.8074,15.7548,15.7687,73406.892022008,0
ANGL.US,D,20120507,000000,15.7548,15.7687,15.7409,15.7499,20819.738542558,0
ANGL.US,D,20120508,000000,15.8024,15.8262,15.7766,15.8074,24227.026407461,0
ANGL.US,D,20120509,000000,15.8074,15.8292,15.7617,15.7617,19633.236229839,0
ANGL.US,D,20120510,000000,16.1843,16.1843,15.733,15.7499,18632.219410357,0
ANGL.US,D,20120511,000000,15.7499,15.7687,15.7191,15.7409,56167.829957597,0
ANGL.US,D,20120514,000000,15.7548,15.7687,15.6595,15.726,94055.258097988,0
ANGL.US,D,20120515,000000,15.7548,15.7548,15.6943,15.7121,93935.297371384,0
ANGL.US,D,20120516,000000,15.7409,15.8074,15.6169,15.6209,75209.327141076,0
ANGL.US,D,20120517,000000,15.5187,15.6745,15.5187,15.5515,2806.4761585475,0
ANGL.US,D,20120518,000000,15.5465,15.5643,15.3868,15.3868,17670.517450855,0
ANGL.US,D,20120521,000000,15.4245,15.4711,15.4245,15.4314,47284.687748862,0
