<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AQWA.US,D,20210413,000000,15.0129,15.0318,14.9443,15.0179,3257.8650305934,0
AQWA.US,D,20210414,000000,15.0626,15.0785,15.0626,15.0725,1401.5460122349,0
AQWA.US,D,20210415,000000,15.5228,15.5228,15.1302,15.1749,2732.6625766188,0
AQWA.US,D,20210416,000000,15.2385,16.7701,15.2345,15.3071,13911.828220511,0
AQWA.US,D,20210419,000000,15.3955,15.3955,15.2793,15.2902,39633.668710666,0
AQWA.US,D,20210420,000000,15.317,15.3369,15.2286,15.2634,13979.239263454,0
AQWA.US,D,20210421,000000,15.3071,15.3846,15.2683,15.3717,13691.484662234,0
AQWA.US,D,20210422,000000,15.4552,15.484,15.4055,15.484,14615.116564052,0
AQWA.US,D,20210423,000000,15.4254,15.5029,15.4254,15.4403,9918.4785273594,0
AQWA.US,D,20210426,000000,15.4452,15.4452,15.329,15.3319,2224.5644171223,0
AQWA.US,D,20210427,000000,15.3667,15.3667,15.16,15.2097,10062.355827969,0
AQWA.US,D,20210428,000000,15.2972,15.317,15.2534,15.2584,9135.705521244,0
AQWA.US,D,20210429,000000,15.2286,15.327,15.2286,15.2932,2389.5705520875,0
AQWA.US,D,20210430,000000,15.317,15.327,15.2087,15.2465,6181.6932513792,0
AQWA.US,D,20210503,000000,15.3667,15.4055,15.322,15.3488,6410.0858894103,0
AQWA.US,D,20210504,000000,15.3369,15.3767,15.2972,15.3767,6046.871165493,0
AQWA.US,D,20210505,000000,15.4154,15.4154,15.317,15.3667,2334.233128776,0
AQWA.US,D,20210506,000000,15.48,15.48,15.4055,15.479,1777.8404907531,0
AQWA.US,D,20210507,000000,15.5228,15.6301,15.5228,15.6013,2062.576687065,0
AQWA.US,D,20210510,000000,15.6897,15.7673,15.644,15.644,6723.9999998319,0
AQWA.US,D,20210511,000000,15.5625,15.5625,15.4154,15.4641,15799.337422918,0
AQWA.US,D,20210512,000000,15.317,15.317,15.0725,15.0725,3807.2147238312,0
AQWA.US,D,20210513,000000,15.2385,15.4055,15.2385,15.3856,4901.8895704296,0
AQWA.US,D,20210514,000000,15.6013,15.6013,15.5794,15.5794,1769.7914109987,0
AQWA.US,D,20210517,000000,15.5327,15.5327,15.4264,15.4264,5193.6687115266,0
AQWA.US,D,20210518,000000,15.484,15.484,15.3846,15.3846,6680.736196152,0
AQWA.US,D,20210519,000000,15.2872,15.2872,15.1888,15.2584,4598.036809701,0
AQWA.US,D,20210520,000000,15.3468,15.4254,15.3468,15.4254,2264.8098158943,0
AQWA.US,D,20210521,000000,15.4651,15.484,15.4452,15.48,1972.024539828,0
AQWA.US,D,20210524,000000,15.5526,15.5625,15.5317,15.5456,2232.6134968767,0
AQWA.US,D,20210525,000000,15.5824,15.5824,15.5327,15.5476,1327.0920245067,0
AQWA.US,D,20210526,000000,15.5735,15.6709,15.5725,15.651,4064.785275972,0
AQWA.US,D,20210527,000000,15.7096,15.7295,15.6947,15.6947,1773.8159508759,0
AQWA.US,D,20210528,000000,15.7394,15.7394,15.6748,15.6748,914.5766870937,0
AQWA.US,D,20210601,000000,15.808,15.808,15.7384,15.7494,2374.478527548,0
AQWA.US,D,20210602,000000,15.808,15.808,15.7196,15.7295,1507.1901840114,0
AQWA.US,D,20210603,000000,15.6997,15.6997,15.5824,15.5864,7855.9018402944,0
AQWA.US,D,20210604,000000,15.6858,15.7096,15.6719,15.6947,1169.1288343266,0
AQWA.US,D,20210607,000000,15.7693,15.7693,15.7146,15.7345,2553.5705520834,0
AQWA.US,D,20210608,000000,15.7494,15.7494,15.6212,15.7116,2806.1104293777,0
AQWA.US,D,20210609,000000,15.6808,15.7047,15.6808,15.6808,1147.9999999713,0
AQWA.US,D,20210610,000000,15.651,15.7196,15.651,15.6659,1969.0061349201,0
AQWA.US,D,20210611,000000,15.7394,15.7593,15.6709,15.7593,1669.1779140687,0
AQWA.US,D,20210614,000000,15.818,15.818,15.7494,15.7494,1468.957055178,0
AQWA.US,D,20210615,000000,15.7891,15.818,15.7494,15.818,1387.4601226647,0
AQWA.US,D,20210616,000000,15.818,15.8279,15.5913,15.6102,10745.521472124,0
AQWA.US,D,20210617,000000,15.6112,15.6112,15.5128,15.5774,3740.8098158574,0
AQWA.US,D,20210618,000000,15.4353,15.4353,15.2783,15.2783,2186.3312882889,0
AQWA.US,D,20210621,000000,15.2872,15.5426,15.2872,15.5317,3214.6012269135,0
AQWA.US,D,20210622,000000,15.5824,15.5824,15.5228,15.5735,639.9018404748,0
AQWA.US,D,20210623,000000,15.6013,15.6013,15.5426,15.5426,1230.5030674539,0
AQWA.US,D,20210624,000000,15.4353,15.4353,15.4353,15.4353,1042.3558281948,0
AQWA.US,D,20210625,000000,15.6092,15.6092,15.5337,15.5864,2865.4723925664,0
AQWA.US,D,20210628,000000,15.651,15.6987,15.6212,15.6808,3306.1595091198,0
AQWA.US,D,20210629,000000,15.6609,15.7295,15.6311,15.643,3535.5582821202,0
AQWA.US,D,20210630,000000,15.6112,15.6212,15.5774,15.5774,4208.6625765819,0
AQWA.US,D,20210701,000000,15.64,15.64,15.6013,15.6162,1697.3496932091,0
AQWA.US,D,20210702,000000,15.641,15.7593,15.641,15.7196,1381.4233128489,0
AQWA.US,D,20210706,000000,15.6709,15.6897,15.5824,15.6897,2974.1349692508,0
AQWA.US,D,20210707,000000,15.7404,15.8686,15.7404,15.8686,1456.8834355464,0
AQWA.US,D,20210708,000000,15.808,15.808,15.6609,15.6609,4650.3558281046,0
AQWA.US,D,20210709,000000,15.8279,15.8776,15.8279,15.8677,1091.6564416905,0
AQWA.US,D,20210712,000000,15.9164,15.9551,15.8965,15.9551,3580.8343557387,0
AQWA.US,D,20210713,000000,15.9362,15.9859,15.9213,15.9213,4802.2822084689,0
AQWA.US,D,20210714,000000,15.9253,15.9253,15.8577,15.8875,26118.257668059,0
AQWA.US,D,20210715,000000,15.8527,15.8965,15.8378,15.8965,4795.2392636838,0
AQWA.US,D,20210716,000000,15.9859,15.9949,15.9263,15.9362,5982.4785274578,0
AQWA.US,D,20210719,000000,15.8279,15.8279,15.7345,15.7345,3232.7116563609,0
AQWA.US,D,20210720,000000,15.7693,16.0346,15.7693,16.0048,2581.7423312238,0
AQWA.US,D,20210721,000000,16.0545,16.1231,16.0346,16.0456,2784.9815950224,0
AQWA.US,D,20210722,000000,16.1032,16.1032,15.9561,15.9859,5372.760736062,0
AQWA.US,D,20210723,000000,16.1032,16.133,16.0744,16.133,2779.9509201759,0
AQWA.US,D,20210726,000000,16.1827,16.2016,16.1529,16.1778,3761.9386502127,0
AQWA.US,D,20210727,000000,16.1917,16.2712,16.1479,16.2563,2716.56441711,0
AQWA.US,D,20210728,000000,16.3199,16.3199,16.1728,16.2493,5526.6993863649,0
AQWA.US,D,20210729,000000,16.3696,16.4083,16.3109,16.3895,4285.1288342487,0
AQWA.US,D,20210730,000000,16.4183,16.4878,16.4183,16.4481,5995.5582820587,0
AQWA.US,D,20210802,000000,16.4978,16.5167,16.4382,16.4481,9899.3619629427,0
AQWA.US,D,20210803,000000,16.468,16.6349,16.4431,16.6151,4174.4539876257,0
AQWA.US,D,20210804,000000,16.5962,16.625,16.5912,16.625,6664.6380366432,0
AQWA.US,D,20210805,000000,16.6946,16.6946,16.6131,16.6737,3719.6809815021,0
AQWA.US,D,20210806,000000,16.7135,16.7135,16.6846,16.6946,9609.5950917843,0
AQWA.US,D,20210809,000000,17.0285,17.0285,16.5187,16.5763,13274.944784944,0
AQWA.US,D,20210810,000000,16.5763,16.6151,16.5763,16.5912,2654.1840490134,0
AQWA.US,D,20210811,000000,16.7135,16.7135,16.62,16.6747,7311.5828219031,0
AQWA.US,D,20210812,000000,16.7333,16.7333,16.6846,16.6896,13334.306748133,0
AQWA.US,D,20210813,000000,16.7045,16.9113,16.7005,16.9113,4568.8588955913,0
AQWA.US,D,20210816,000000,16.7532,16.8218,16.6349,16.797,7945.4478525621,0
AQWA.US,D,20210817,000000,16.7731,16.783,16.6856,16.6946,8541.0797543877,0
AQWA.US,D,20210818,000000,16.6548,16.6737,16.5197,16.5197,19999.950919745,0
AQWA.US,D,20210819,000000,16.4878,16.6946,16.458,16.6946,6249.1042943223,0
AQWA.US,D,20210820,000000,16.5266,16.7135,16.5266,16.6846,15612.196318628,0
AQWA.US,D,20210823,000000,16.7433,16.7632,16.6717,16.7125,9078.3558279939,0
AQWA.US,D,20210824,000000,16.7234,16.7632,16.6658,16.7632,3698.5521471468,0
AQWA.US,D,20210825,000000,16.7234,16.8119,16.7234,16.8119,3773.006134875,0
AQWA.US,D,20210826,000000,16.7333,16.7333,16.6548,16.6846,6994.6503065736,0
AQWA.US,D,20210827,000000,16.7642,16.793,16.7443,16.7691,4984.3926379122,0
AQWA.US,D,20210830,000000,16.8417,16.9152,16.8417,16.9152,6920.1963188454,0
AQWA.US,D,20210831,000000,16.9252,16.96,16.9013,16.9053,4555.7791409904,0
AQWA.US,D,20210901,000000,16.95,16.9898,16.8914,16.9898,10279.680981338,0
AQWA.US,D,20210902,000000,17.0782,17.2651,17.0782,17.1468,6867.8773004418,0
AQWA.US,D,20210903,000000,17.1667,17.1667,17.0464,17.0733,8548.1226991728,0
AQWA.US,D,20210907,000000,17.0583,17.0733,16.9113,16.946,9590.4785273676,0
AQWA.US,D,20210908,000000,16.9699,17.0882,16.9609,17.0683,79850.895703525,0
AQWA.US,D,20210909,000000,17.0484,17.0882,16.9699,16.9759,7051.9999998237,0
AQWA.US,D,20210910,000000,17.0096,17.0096,16.8417,16.8516,5454.2576685753,0
AQWA.US,D,20210913,000000,16.96,16.96,16.7045,16.7632,3238.7484661767,0
AQWA.US,D,20210914,000000,16.7731,16.8029,16.7135,16.7333,2842.3312882725,0
AQWA.US,D,20210915,000000,16.7234,16.7701,16.7135,16.7701,2918.7975459393,0
AQWA.US,D,20210916,000000,16.6349,16.6846,16.5862,16.6499,4617.1533741177,0
AQWA.US,D,20210917,000000,16.4978,16.5365,16.4382,16.4382,5126.2576685835,0
AQWA.US,D,20210920,000000,16.2115,16.3368,16.1927,16.3368,9646.8220856484,0
AQWA.US,D,20210921,000000,16.3994,16.4481,16.3398,16.3895,3540.5889569667,0
AQWA.US,D,20210922,000000,16.4382,16.4978,16.4382,16.4481,1671.1901840073,0
AQWA.US,D,20210923,000000,16.5266,16.6349,16.5266,16.5813,2906.7239263077,0
AQWA.US,D,20210924,000000,16.4878,16.5167,16.458,16.4948,3496.3190183175,0
AQWA.US,D,20210927,000000,16.4282,16.458,16.3795,16.3795,3076.7607361194,0
AQWA.US,D,20210928,000000,16.2215,16.2215,16.0048,16.0048,4557.791410929,0
AQWA.US,D,20210929,000000,16.0048,16.0644,15.966,16.0167,3481.226993778,0
AQWA.US,D,20210930,000000,16.143,16.143,15.7792,15.7792,4116.0981594063,0
AQWA.US,D,20211001,000000,15.7494,15.8965,15.7196,15.8478,3262.8957054399,0
AQWA.US,D,20211004,000000,15.8478,15.8965,15.7394,15.7792,7220.0245396968,0
AQWA.US,D,20211005,000000,15.9164,16.0138,15.8378,16.0138,2762.8466256978,0
AQWA.US,D,20211006,000000,15.818,15.9561,15.7464,15.9561,9722.2822083459,0
AQWA.US,D,20211007,000000,16.1131,16.1131,16.0545,16.0545,1597.7423312484,0
AQWA.US,D,20211008,000000,16.0346,16.0346,15.9164,15.9412,2946.9693250797,0
AQWA.US,D,20211011,000000,15.9462,15.9462,15.7752,15.7752,5965.3742329797,0
AQWA.US,D,20211012,000000,15.818,15.818,15.7693,15.7693,1624.9079754195,0
AQWA.US,D,20211013,000000,15.8279,15.9263,15.8279,15.8826,14329.374232771,0
AQWA.US,D,20211014,000000,15.9949,16.143,15.976,16.13,3560.7116563527,0
AQWA.US,D,20211015,000000,16.1728,16.2314,16.1131,16.1718,9294.6748463934,0
AQWA.US,D,20211018,000000,16.1131,16.2016,16.0943,16.1728,4108.0490796519,0
AQWA.US,D,20211019,000000,16.2612,16.2911,16.2414,16.2662,4118.1104293449,0
AQWA.US,D,20211020,000000,16.2712,16.2911,16.2712,16.2911,975.950920221,0
AQWA.US,D,20211021,000000,16.2612,16.3398,16.2612,16.3298,4496.4171778017,0
AQWA.US,D,20211022,000000,16.4183,16.4282,16.3795,16.3795,1628.9325152967,0
AQWA.US,D,20211025,000000,16.4282,16.4809,16.3696,16.4391,1877.4478527138,0
AQWA.US,D,20211026,000000,16.4978,16.4978,16.4183,16.4203,2698.4539876626,0
AQWA.US,D,20211027,000000,16.4183,16.4183,16.3696,16.3696,1755.7055214285,0
AQWA.US,D,20211028,000000,16.3596,16.4978,16.3596,16.458,2290.9693250961,0
AQWA.US,D,20211029,000000,16.4878,16.5365,16.4878,16.4918,3814.2576686163,0
AQWA.US,D,20211101,000000,16.5465,16.5465,16.5028,16.5365,2255.7546011706,0
AQWA.US,D,20211102,000000,16.6061,16.7135,16.5962,16.7135,2882.5766870445,0
AQWA.US,D,20211103,000000,16.6548,16.6548,16.5067,16.5167,2512.3190183421,0
AQWA.US,D,20211104,000000,16.7333,16.8119,16.7333,16.7731,7234.110429267,0
AQWA.US,D,20211105,000000,16.8516,16.96,16.8417,16.9202,6075.0429446334,0
AQWA.US,D,20211108,000000,17.0285,17.0434,16.96,17.0434,3161.2760735406,0
AQWA.US,D,20211109,000000,17.0484,17.0484,17.0096,17.0236,3735.7791410109,0
AQWA.US,D,20211110,000000,17.0583,17.0583,17.0096,17.0186,7068.0981593325,0
AQWA.US,D,20211111,000000,17.0882,17.0882,16.9401,17.0196,3381.6196318173,0
AQWA.US,D,20211112,000000,17.0583,17.0931,16.9401,17.0931,2620.9815950265,0
AQWA.US,D,20211115,000000,17.1369,17.1667,17.0285,17.0484,2714.5521471714,0
AQWA.US,D,20211116,000000,17.0285,17.1567,17.0285,17.0971,4263.9999998934,0
AQWA.US,D,20211117,000000,17.0782,17.0782,16.9798,17.0583,5528.7116563035,0
AQWA.US,D,20211118,000000,17.0484,17.1269,17.0484,17.1041,10298.797545755,0
AQWA.US,D,20211119,000000,17.108,17.1667,17.108,17.1667,2423.7791410437,0
AQWA.US,D,20211122,000000,17.1667,17.2551,17.1667,17.1965,5935.1901839007,0
