<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASET.US,D,20151125,000000,20.5129,20.5129,20.5129,20.5129,606.95587148842,0
ASET.US,D,20151127,000000,20.4903,20.4972,20.4903,20.4972,2434.9521622967,0
ASET.US,D,20151130,000000,20.5581,20.5581,20.5581,20.5581,606.95587148842,0
ASET.US,D,20151201,000000,20.5974,20.6396,20.5974,20.6396,8528.952053214,0
ASET.US,D,20151202,000000,20.4972,20.5129,20.4,20.4,3498.1433197361,0
ASET.US,D,20151203,000000,20.2468,20.2468,20.2468,20.2468,606.95587148842,0
ASET.US,D,20151207,000000,20.1555,20.1712,20.1555,20.1712,1342.2279171506,0
ASET.US,D,20151208,000000,19.9906,19.9906,19.9906,19.9906,934.87498326572,0
ASET.US,D,20151210,000000,19.9728,19.9728,19.9237,19.9728,7675.5476567252,0
ASET.US,D,20151215,000000,19.8276,19.8835,19.8196,19.8599,5969.7572460824,0
ASET.US,D,20151216,000000,19.8688,20.075,19.8688,20.075,25830.249537638,0
ASET.US,D,20151217,000000,20.0563,20.0563,19.9817,19.9817,853.40439648876,0
ASET.US,D,20151221,000000,19.8501,19.8501,19.8501,19.8501,606.95587148842,0
ASET.US,D,20151222,000000,19.9415,19.9728,19.9002,19.9728,9869.1432056951,0
ASET.US,D,20151223,000000,20.1712,20.2723,20.1712,20.2723,8770.3086665408,0
ASET.US,D,20151224,000000,20.2871,20.2871,20.2871,20.2871,4631.6028582707,0
ASET.US,D,20151229,000000,20.4285,20.4285,20.3862,20.3862,5400.4815209784,0
ASET.US,D,20151230,000000,20.3588,20.3588,20.3097,20.3097,600.84557748015,0
ASET.US,D,20151231,000000,20.182,20.2085,20.182,20.2085,360.50734648809,0
ASET.US,D,20160104,000000,19.8805,19.8805,19.8374,19.8462,360.50734648809,0
ASET.US,D,20160105,000000,19.9611,20.0367,19.911,20.0367,600.84557748015,0
ASET.US,D,20160106,000000,19.8069,19.8069,19.7882,19.7882,360.50734648809,0
ASET.US,D,20160107,000000,19.5035,19.5035,19.4878,19.4878,1565.2536484525,0
ASET.US,D,20160108,000000,19.3562,19.3562,19.3562,19.3562,118.13235082661,0
ASET.US,D,20160111,000000,19.3985,19.3985,19.1903,19.2796,6026.7866568263,0
ASET.US,D,20160112,000000,19.3985,19.3985,19.1314,19.2501,1325.9337997952,0
ASET.US,D,20160113,000000,19.3729,19.3729,19.1176,19.1176,1928.8161419448,0
ASET.US,D,20160114,000000,19.1559,19.2501,19.1559,19.2501,724.06983998032,0
ASET.US,D,20160115,000000,18.8505,18.8505,18.8505,18.8505,118.13235082661,0
ASET.US,D,20160119,000000,18.935,18.935,18.769,18.8407,5424.9226970115,0
ASET.US,D,20160120,000000,18.608,18.608,18.2122,18.6,6025.7682744916,0
ASET.US,D,20160121,000000,18.7101,18.7101,18.6,18.6,4460.5146260391,0
ASET.US,D,20160122,000000,18.9997,19.0577,18.9997,19.0577,243.3933779962,0
ASET.US,D,20160126,000000,19.1647,19.2001,19.1647,19.2001,1085.5955688031,0
ASET.US,D,20160127,000000,18.5353,19.6734,18.5353,19.6734,243.3933779962,0
ASET.US,D,20160129,000000,19.6312,19.639,19.6312,19.6312,3014.4117107479,0
ASET.US,D,20160201,000000,19.5997,19.7283,19.5958,19.7038,21741.444463769,0
ASET.US,D,20160217,000000,19.5545,19.5643,19.5545,19.5643,2306.6359881229,0
ASET.US,D,20160222,000000,20.0278,20.0278,19.9944,19.9944,1398.2389455597,0
ASET.US,D,20160223,000000,19.7794,19.7794,19.7794,19.7794,138.49999752085,0
ASET.US,D,20160229,000000,19.854,20.0112,19.854,20.0112,360.50734648809,0
ASET.US,D,20160301,000000,19.9944,19.9944,19.9944,19.9944,243.3933779962,0
ASET.US,D,20160302,000000,20.0877,20.0877,20.0877,20.0877,243.3933779962,0
ASET.US,D,20160303,000000,20.291,20.291,20.291,20.291,243.3933779962,0
ASET.US,D,20160308,000000,20.4363,21.0412,20.3617,20.4197,2074.4448158086,0
ASET.US,D,20160314,000000,20.835,20.835,20.835,20.835,243.3933779962,0
ASET.US,D,20160318,000000,21.3279,21.3279,21.3211,21.3211,399.20587520715,0
ASET.US,D,20160321,000000,21.2248,21.2248,21.2072,21.2072,243.3933779962,0
ASET.US,D,20160322,000000,21.0814,21.0814,21.0814,21.0814,118.13235082661,0
ASET.US,D,20160323,000000,20.9066,20.9066,20.9066,20.9066,483.73160898826,0
ASET.US,D,20160328,000000,21.0225,21.0225,21.0225,21.0225,128.31617417373,0
ASET.US,D,20160330,000000,21.4242,21.4242,21.4242,21.4242,1523.4999727293,0
ASET.US,D,20160401,000000,21.0992,21.0992,21.0736,21.0736,481.69484431883,0
ASET.US,D,20160404,000000,21.215,21.215,21.215,21.215,726.10660464974,0
ASET.US,D,20160411,000000,21.3996,21.3996,21.3996,21.3996,358.47058181867,0
ASET.US,D,20160419,000000,21.8807,21.8807,21.8807,21.8807,360.50734648809,0
ASET.US,D,20160420,000000,21.8817,21.8817,21.8817,21.8817,726.10660464974,0
ASET.US,D,20160421,000000,21.65,21.65,21.5087,21.5087,597.79043047601,0
ASET.US,D,20160422,000000,21.6226,21.6226,21.6226,21.6226,137.48161518614,0
ASET.US,D,20160503,000000,21.6048,21.6048,21.6048,21.6048,242.37499566148,0
ASET.US,D,20160510,000000,21.8739,21.8739,21.8739,21.8739,242.37499566148,0
ASET.US,D,20160512,000000,21.7247,21.7247,21.7247,21.7247,242.37499566148,0
ASET.US,D,20160527,000000,21.6638,21.6638,21.6638,21.6638,300.42278874008,0
ASET.US,D,20160531,000000,21.6,21.6,21.6,21.6,118.13235082661,0
ASET.US,D,20160602,000000,21.6118,21.6245,21.6118,21.6245,544.83454907098,0
ASET.US,D,20160609,000000,22.138,22.138,22.138,22.138,460.30881528988,0
ASET.US,D,20160613,000000,21.6971,21.6971,21.6971,21.6971,118.13235082661,0
ASET.US,D,20160614,000000,21.541,21.541,21.541,21.541,118.13235082661,0
ASET.US,D,20160615,000000,21.6805,21.6893,21.6805,21.6883,1801.5183501057,0
ASET.US,D,20160616,000000,21.4831,21.5243,21.4831,21.4998,642.59925320335,0
ASET.US,D,20160617,000000,21.6647,21.6933,21.6324,21.6324,459.29043295517,0
ASET.US,D,20160620,000000,22.0241,22.0241,22.0241,22.0241,118.13235082661,0
ASET.US,D,20160622,000000,22.1813,22.1999,22.0899,22.0899,481.69484431883,0
ASET.US,D,20160624,000000,21.5155,21.5155,21.5155,21.5155,118.13235082661,0
ASET.US,D,20160627,000000,21.2484,21.2484,21.2484,21.2484,117.11396849189,0
ASET.US,D,20160701,000000,22.5072,22.5072,22.5072,22.5072,117.11396849189,0
ASET.US,D,20160705,000000,22.3236,22.3472,22.3236,22.3472,238.30146632264,0
ASET.US,D,20160715,000000,22.8608,22.8608,22.8608,22.8608,117.11396849189,0
ASET.US,D,20160719,000000,22.7253,22.7253,22.7253,22.7253,117.11396849189,0
ASET.US,D,20160720,000000,22.8696,22.8784,22.8558,22.8774,2645.7573055821,0
ASET.US,D,20160721,000000,22.7832,22.7832,22.7832,22.7832,238.30146632264,0
ASET.US,D,20160727,000000,22.8608,22.8608,22.6968,22.8254,1830.0330554777,0
ASET.US,D,20160728,000000,22.852,22.852,22.852,22.852,117.11396849189,0
ASET.US,D,20160811,000000,22.8853,22.8971,22.8853,22.8863,355.41543481453,0
ASET.US,D,20160812,000000,22.9335,22.9335,22.9335,22.9335,117.11396849189,0
ASET.US,D,20160817,000000,22.6752,22.683,22.6752,22.683,238.30146632264,0
ASET.US,D,20160818,000000,22.7685,22.7832,22.7685,22.7832,238.30146632264,0
ASET.US,D,20160824,000000,22.6752,22.6752,22.6752,22.6752,573.34925444292,0
ASET.US,D,20160829,000000,22.5661,22.5661,22.5661,22.5661,117.11396849189,0
ASET.US,D,20160901,000000,22.3983,22.3983,22.3983,22.3983,476.60293264527,0
ASET.US,D,20160908,000000,22.8608,22.8608,22.8608,22.8608,117.11396849189,0
ASET.US,D,20160909,000000,22.6084,22.6084,22.6084,22.6084,117.11396849189,0
ASET.US,D,20160912,000000,22.0379,22.4139,22.0379,22.4139,238.30146632264,0
ASET.US,D,20160913,000000,22.143,22.143,22.143,22.143,117.11396849189,0
ASET.US,D,20160915,000000,21.9358,22.0045,21.9358,22.0045,238.30146632264,0
ASET.US,D,20160916,000000,21.9446,21.9446,21.9446,21.9446,238.30146632264,0
ASET.US,D,20160922,000000,22.7076,22.7164,22.7076,22.7164,476.60293264527,0
ASET.US,D,20160923,000000,22.6918,22.6988,22.6752,22.6988,2788.3308324418,0
ASET.US,D,20160926,000000,22.5947,22.5947,22.5947,22.5947,116.09558615718,0
ASET.US,D,20160929,000000,22.6791,22.7292,22.5947,22.5947,1300.4742414274,0
ASET.US,D,20161006,000000,21.8081,21.8081,21.8081,21.8081,237.28308398792,0
ASET.US,D,20161007,000000,21.7149,21.7149,21.7149,21.7149,376.80146384348,0
ASET.US,D,20161010,000000,21.8287,21.8513,21.8287,21.8297,2230.2573130195,0
ASET.US,D,20161011,000000,21.6048,21.6048,21.6048,21.6048,382.91175785176,0
ASET.US,D,20161012,000000,21.598,21.6559,21.598,21.6559,237.28308398792,0
ASET.US,D,20161017,000000,21.7335,21.7335,21.7335,21.7335,237.28308398792,0
ASET.US,D,20161018,000000,21.8935,21.9682,21.8935,21.9446,474.56616797585,0
ASET.US,D,20161019,000000,21.9191,21.9191,21.9191,21.9191,116.09558615718,0
ASET.US,D,20161026,000000,21.7149,21.758,21.7149,21.758,237.28308398792,0
ASET.US,D,20161102,000000,21.3702,21.3702,21.3702,21.3702,116.09558615718,0
ASET.US,D,20161107,000000,21.4478,21.4478,21.4478,21.4478,1172.1580672536,0
ASET.US,D,20161114,000000,20.7682,20.7682,20.7682,20.7682,237.28308398792,0
ASET.US,D,20161115,000000,20.9853,21.0147,20.9853,21.0147,1231.224242667,0
ASET.US,D,20161118,000000,20.8782,20.8782,20.8782,20.8782,1340.1911524811,0
ASET.US,D,20161121,000000,21.0736,21.0736,21.0736,21.0736,237.28308398792,0
ASET.US,D,20161122,000000,21.1158,21.1247,21.1158,21.1247,284.12867138468,0
ASET.US,D,20161123,000000,21.0992,21.0992,21.0992,21.0992,245.43014266562,0
ASET.US,D,20161125,000000,21.1934,21.1934,21.1934,21.1934,510.20954969077,0
ASET.US,D,20161130,000000,21.3555,21.3555,21.3555,21.3555,237.28308398792,0
ASET.US,D,20161207,000000,21.6755,21.6755,21.6755,21.6755,1037.7315990716,0
ASET.US,D,20161208,000000,21.7335,21.7335,21.7335,21.7335,488.82352066182,0
ASET.US,D,20161213,000000,22.0133,22.0133,22.0045,22.0045,589.64337179832,0
ASET.US,D,20161214,000000,21.7423,21.757,21.6549,21.6559,1691.5330579568,0
ASET.US,D,20161215,000000,21.5391,21.5469,21.5391,21.5469,1892.1543778951,0
ASET.US,D,20161219,000000,21.6559,22.5279,21.6559,21.6883,23433.995904061,0
ASET.US,D,20161220,000000,21.7335,21.7335,21.7335,21.7335,116.09558615718,0
ASET.US,D,20161221,000000,21.7846,21.7894,21.7846,21.7894,822.85292644739,0
ASET.US,D,20161222,000000,21.6314,21.6805,21.6314,21.6647,474.56616797585,0
ASET.US,D,20161228,000000,21.7315,22.5799,21.6451,21.652,3384.0844982484,0
ASET.US,D,20161229,000000,21.7315,21.7315,21.7315,21.7315,582.51469545533,0
ASET.US,D,20161230,000000,21.8769,21.8769,21.8621,21.8631,2567.3418658093,0
ASET.US,D,20170105,000000,22.3305,22.3305,22.2972,22.2972,932.8382185963,0
ASET.US,D,20170110,000000,22.3236,22.3236,22.3236,22.3236,266.81617169458,0
ASET.US,D,20170111,000000,22.139,22.2117,22.139,22.2049,771.93380971179,0
ASET.US,D,20170112,000000,22.2039,22.2039,22.2039,22.2039,468.45587396757,0
ASET.US,D,20170113,000000,22.2353,22.2353,22.2353,22.2353,227.0992606408,0
ASET.US,D,20170117,000000,22.2883,22.2883,22.2804,22.2804,392.07719886417,0
ASET.US,D,20170118,000000,22.2529,22.2529,22.2529,22.2529,115.07720382247,0
ASET.US,D,20170119,000000,22.2039,22.2039,22.1154,22.1154,24268.05103619,0
ASET.US,D,20170120,000000,22.2039,22.2039,22.2039,22.2039,829.98160279038,0
ASET.US,D,20170123,000000,22.3384,22.3394,22.3324,22.3324,366.61764049636,0
ASET.US,D,20170125,000000,22.3394,22.3482,22.3394,22.3482,2803.6065674625,0
ASET.US,D,20170126,000000,22.3649,22.3649,22.3,22.3236,4296.5550701504,0
ASET.US,D,20170127,000000,22.1665,22.1754,22.1636,22.1754,1704.7720283081,0
ASET.US,D,20170130,000000,22.0487,22.0585,21.9966,22.0467,2574.4705421522,0
ASET.US,D,20170131,000000,22.1214,22.1577,22.1214,22.1577,1640.6139412212,0
ASET.US,D,20170201,000000,22.0683,22.0909,22.0683,22.087,1661.9999702502,0
ASET.US,D,20170202,000000,22.1154,22.1842,22.0909,22.1665,3905.496253621,0
ASET.US,D,20170203,000000,22.2019,22.2794,22.2019,22.2745,3126.4337675662,0
ASET.US,D,20170206,000000,22.1312,22.139,22.0988,22.139,6564.4925295543,0
ASET.US,D,20170207,000000,22.1488,22.1665,22.1224,22.1252,3872.9080189102,0
ASET.US,D,20170209,000000,22.3305,22.357,22.3236,22.356,2044.9117281019,0
ASET.US,D,20170210,000000,22.3649,22.4954,22.36,22.4876,11360.054943714,0
ASET.US,D,20170213,000000,22.4493,22.5014,22.4493,22.5014,1417.5882099193,0
ASET.US,D,20170214,000000,22.3482,22.4542,22.3276,22.4542,4344.4190398819,0
ASET.US,D,20170215,000000,22.3727,22.4493,22.357,22.4493,3243.5477360581,0
ASET.US,D,20170216,000000,22.4876,22.5034,22.4592,22.5034,3672.2866989719,0
ASET.US,D,20170217,000000,22.4248,22.4778,22.4081,22.4768,1617.1911475228,0
ASET.US,D,20170221,000000,22.5544,22.6732,22.5544,22.6732,5474.8234314124,0
ASET.US,D,20170222,000000,22.6123,22.6123,22.5623,22.6113,6936.2020817242,0
ASET.US,D,20170223,000000,22.6094,22.6388,22.6094,22.6388,1183.3602729355,0
ASET.US,D,20170224,000000,22.5967,22.6035,22.5877,22.5877,1718.0109986593,0
ASET.US,D,20170227,000000,22.682,22.682,22.6566,22.6791,1335.0992408076,0
ASET.US,D,20170228,000000,22.631,22.6722,22.5799,22.6045,2674.272010954,0
ASET.US,D,20170301,000000,22.6457,22.7763,22.6222,22.7763,5200.8785833748,0
ASET.US,D,20170302,000000,22.6123,22.6123,22.519,22.519,2463.4668676686,0
ASET.US,D,20170303,000000,22.468,22.5367,22.4336,22.5367,2538.8271604373,0
ASET.US,D,20170306,000000,22.4493,22.4493,22.4336,22.4336,788.22792706718,0
ASET.US,D,20170307,000000,22.4336,22.4425,22.4081,22.4081,3111.1580325455,0
ASET.US,D,20170308,000000,22.4081,22.4081,22.1626,22.1665,1690.5146756221,0
ASET.US,D,20170309,000000,22.139,22.1665,22.0575,22.1312,4377.0072745927,0
ASET.US,D,20170310,000000,22.0988,22.0988,22.0988,22.0988,284.12867138468,0
ASET.US,D,20170313,000000,22.2087,22.2275,22.1754,22.2185,4708.9999157088,0
ASET.US,D,20170314,000000,22.1066,22.1066,22.085,22.0988,1370.7426225225,0
ASET.US,D,20170315,000000,22.2117,22.2598,22.2117,22.2598,1264.8308597125,0
ASET.US,D,20170316,000000,22.5701,22.5701,22.5289,22.5544,2846.3786255204,0
ASET.US,D,20170317,000000,22.5751,22.6467,22.5751,22.6467,735.27204566215,0
ASET.US,D,20170320,000000,22.6388,22.8912,22.5877,22.631,8544.2277882347,0
ASET.US,D,20170321,000000,22.6909,22.6909,22.4493,22.4552,3906.5146359557,0
ASET.US,D,20170322,000000,22.4954,22.5455,22.4159,22.5455,5694.7940157102,0
ASET.US,D,20170324,000000,22.6536,22.681,22.6536,22.6782,840.1654261375,0
ASET.US,D,20170327,000000,22.6005,22.6408,22.6005,22.6408,549.92646074454,0
ASET.US,D,20170328,000000,22.6584,22.6702,22.6584,22.6702,662.96689989759,0
ASET.US,D,20170329,000000,22.6624,22.7145,22.6624,22.6968,2434.9521622967,0
ASET.US,D,20170330,000000,22.7223,22.7223,22.6928,22.7036,1789.2977620892,0
ASET.US,D,20170331,000000,22.7145,22.7911,22.6968,22.7665,2658.9962759333,0
ASET.US,D,20170403,000000,22.6624,22.6684,22.6624,22.6684,801.46689741844,0
ASET.US,D,20170405,000000,22.852,22.8794,22.852,22.8794,1588.6764421509,0
ASET.US,D,20170406,000000,22.8863,22.9109,22.8863,22.9109,366.61764049636,0
ASET.US,D,20170407,000000,22.9275,22.9275,22.9275,22.9275,370.69116983521,0
ASET.US,D,20170410,000000,22.9275,22.9363,22.9275,22.9363,304.49631807892,0
ASET.US,D,20170412,000000,23.0827,23.0827,23.0238,23.0238,2624.3712765531,0
ASET.US,D,20170413,000000,23.0572,23.0572,22.9629,22.9796,1227.1507133281,0
ASET.US,D,20170417,000000,23.1191,23.1416,23.1191,23.1416,437.90440392621,0
ASET.US,D,20170418,000000,23.0366,23.0915,23.0366,23.0915,1725.1396750023,0
ASET.US,D,20170419,000000,23.0827,23.0827,22.9531,22.9531,2473.6506910157,0
ASET.US,D,20170420,000000,23.067,23.067,23.0572,23.067,1734.3051160147,0
ASET.US,D,20170421,000000,23.0218,23.0326,22.9855,23.007,3962.5256643649,0
ASET.US,D,20170424,000000,23.1101,23.1101,23.0915,23.0945,628.34190051738,0
ASET.US,D,20170425,000000,23.1936,23.1936,23.1936,23.1936,851.36763181933,0
ASET.US,D,20170426,000000,23.1936,23.2212,23.1799,23.1799,2599.93010052,0
ASET.US,D,20170427,000000,23.1612,23.1858,23.1181,23.1416,2931.9227416362,0
ASET.US,D,20170428,000000,23.0572,23.0572,23.0414,23.0414,3763.941109096,0
ASET.US,D,20170501,000000,23.0748,23.1003,23.0483,23.1003,4522.6359484565,0
ASET.US,D,20170502,000000,23.1003,23.1337,23.1003,23.1337,708.79410495963,0
ASET.US,D,20170503,000000,22.9796,22.9982,22.9796,22.9982,3742.555080067,0
ASET.US,D,20170504,000000,22.9001,22.9001,22.9001,22.9001,154.79411487624,0
ASET.US,D,20170505,000000,23.0748,23.1701,23.0748,23.1612,3813.8418434969,0
ASET.US,D,20170508,000000,23.1249,23.1249,23.0748,23.1191,2682.4190696317,0
ASET.US,D,20170509,000000,23.0827,23.0827,23.0238,23.0414,3740.5183153976,0
ASET.US,D,20170511,000000,23.0296,23.0414,23.0296,23.0414,367.63602283107,0
ASET.US,D,20170512,000000,23.0915,23.1101,23.0866,23.0915,2206.8345193212,0
ASET.US,D,20170516,000000,23.2202,23.2202,23.2114,23.2114,541.77940206685,0
ASET.US,D,20170517,000000,23.1101,23.1101,23.0748,23.0748,1003.1065996914,0
ASET.US,D,20170519,000000,23.2633,23.3498,23.2633,23.3498,418.55513956668,0
ASET.US,D,20170522,000000,23.3566,23.4175,23.3566,23.4175,512.2463143602,0
ASET.US,D,20170523,000000,23.4254,23.4794,23.4254,23.4352,3128.4705322356,0
ASET.US,D,20170524,000000,23.4587,23.5089,23.4539,23.5089,1559.1433544443,0
ASET.US,D,20170525,000000,23.5383,23.5383,23.5383,23.5383,115.07720382247,0
ASET.US,D,20170526,000000,23.4961,23.4961,23.4961,23.4961,884.97424886483,0
ASET.US,D,20170530,000000,23.5167,23.5167,23.5167,23.5167,372.72793450464,0
ASET.US,D,20170531,000000,23.5884,23.5884,23.5295,23.5304,2575.4889244869,0
ASET.US,D,20170601,000000,23.6325,23.722,23.6325,23.722,1754.672762709,0
ASET.US,D,20170602,000000,23.7592,23.8388,23.7592,23.8388,566.22057809994,0
ASET.US,D,20170605,000000,23.7956,23.8299,23.7956,23.8299,1155.8639498983,0
ASET.US,D,20170606,000000,23.773,23.773,23.773,23.773,115.07720382247,0
ASET.US,D,20170607,000000,23.7592,23.7592,23.7592,23.7592,348.28675847154,0
ASET.US,D,20170608,000000,23.7033,23.721,23.7003,23.717,1998.0661407052,0
ASET.US,D,20170609,000000,23.6758,23.6758,23.6591,23.6591,416.51837489726,0
ASET.US,D,20170612,000000,23.7298,23.7298,23.6758,23.722,828.96322045566,0
ASET.US,D,20170613,000000,23.8133,23.8133,23.8133,23.8133,245.43014266562,0
ASET.US,D,20170614,000000,23.9851,23.9871,23.9851,23.9871,434.84925692207,0
ASET.US,D,20170615,000000,23.772,23.7857,23.772,23.7857,364.58087582694,0
ASET.US,D,20170616,000000,23.8133,23.934,23.8133,23.934,3554.1543481453,0
ASET.US,D,20170619,000000,23.9301,23.934,23.9184,23.9184,605.93748915371,0
ASET.US,D,20170620,000000,23.6591,23.6846,23.6541,23.6591,1226.1323309934,0
ASET.US,D,20170621,000000,23.6758,23.6758,23.5766,23.5766,1926.7793772753,0
ASET.US,D,20170622,000000,23.663,23.6758,23.6277,23.6277,1413.5146805804,0
ASET.US,D,20170623,000000,23.6787,23.7328,23.6787,23.6886,2280.1580474204,0
ASET.US,D,20170626,000000,23.772,23.772,23.7328,23.7366,804.52204442257,0
ASET.US,D,20170627,000000,23.7416,23.7416,23.6787,23.6787,656.85660588932,0
ASET.US,D,20170628,000000,23.558,23.7494,23.558,23.7494,2756.7609800657,0
ASET.US,D,20170629,000000,23.4715,23.4715,23.4715,23.4715,485.76837365768,0
ASET.US,D,20170630,000000,23.5167,23.5668,23.5118,23.553,1892.1543778951,0
ASET.US,D,20170703,000000,23.6699,23.6699,23.6169,23.6169,290.23896539295,0
ASET.US,D,20170706,000000,23.3419,23.3852,23.34,23.3419,1216.966889981,0
ASET.US,D,20170707,000000,23.3508,23.3508,23.3508,23.3508,774.98895671592,0
ASET.US,D,20170710,000000,23.3674,23.394,23.3626,23.3762,1468.5073266549,0
ASET.US,D,20170711,000000,23.2693,23.3311,23.2693,23.3311,665.00366456701,0
ASET.US,D,20170713,000000,23.553,23.558,23.553,23.558,796.37498574488,0
