<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGRN.US,D,20181127,000000,47.3751,47.3751,47.3751,47.3751,425.1867338672,0
BGRN.US,D,20181128,000000,47.3154,47.3383,47.3055,47.3055,1175.0432432406,0
BGRN.US,D,20181130,000000,47.4537,47.4537,47.4537,47.4537,153.79094629239,0
BGRN.US,D,20181204,000000,47.6965,47.7064,47.6965,47.7064,233.19934339761,0
BGRN.US,D,20181207,000000,47.6965,47.6965,47.6965,47.6965,153.79094629239,0
BGRN.US,D,20181221,000000,47.9123,47.9421,47.9123,47.9173,5009.7652047142,0
BGRN.US,D,20190104,000000,48.1262,48.1262,48.0069,48.0069,2304.8538552187,0
BGRN.US,D,20190108,000000,47.9779,47.9779,47.9779,47.9779,278.43197466008,0
BGRN.US,D,20190109,000000,48.0367,48.0367,48.0367,48.0367,255.31307423704,0
BGRN.US,D,20190110,000000,48.0725,48.0824,48.0267,48.0725,2868.7539916241,0
BGRN.US,D,20190111,000000,48.158,48.158,48.1302,48.1302,3344.1992046718,0
BGRN.US,D,20190114,000000,48.1382,48.1382,48.1382,48.1382,2170.1611310149,0
BGRN.US,D,20190115,000000,48.2068,48.2257,48.2068,48.2157,8189.1165976739,0
BGRN.US,D,20190116,000000,48.1432,48.2157,48.1432,48.2157,22045.379307744,0
BGRN.US,D,20190122,000000,48.2267,48.2625,48.172,48.2267,1068.4952673779,0
BGRN.US,D,20190123,000000,48.2725,48.2824,48.2725,48.2824,579.9828497432,0
BGRN.US,D,20190124,000000,48.4187,48.4187,48.4187,48.4187,1156.9501907356,0
BGRN.US,D,20190125,000000,48.4157,48.4157,48.4157,48.4157,861.43033315411,0
BGRN.US,D,20190128,000000,48.3968,48.4058,48.3968,48.4058,981.04551360375,0
BGRN.US,D,20190130,000000,48.4714,48.5441,48.4714,48.5441,1981.1892492961,0
BGRN.US,D,20190131,000000,48.6883,48.6982,48.6784,48.6883,688.54116477312,0
BGRN.US,D,20190201,000000,48.6296,48.6296,48.6296,48.6296,182.94086421709,0
BGRN.US,D,20190205,000000,48.6316,48.6316,48.6316,48.6316,1012.2057706957,0
BGRN.US,D,20190206,000000,48.7162,48.7261,48.7162,48.7261,528.71920097907,0
BGRN.US,D,20190207,000000,48.6982,48.6982,48.6982,48.6982,164.84781171211,0
BGRN.US,D,20190208,000000,48.7689,48.8136,48.7689,48.8136,787.04778396694,0
BGRN.US,D,20190211,000000,48.7718,48.7818,48.7718,48.7818,1177.0535824078,0
BGRN.US,D,20190212,000000,48.753,48.753,48.753,48.753,582.99835849403,0
BGRN.US,D,20190214,000000,48.8793,48.8883,48.8693,48.8793,1369.0409728774,0
BGRN.US,D,20190215,000000,48.8693,48.8883,48.8634,48.8743,1594.1989596061,0
BGRN.US,D,20190219,000000,48.9341,48.9509,48.9341,48.9509,2424.4690356683,0
BGRN.US,D,20190221,000000,48.8624,48.8624,48.8624,48.8624,106.5479758627,0
BGRN.US,D,20190222,000000,48.9051,49.0096,48.9051,48.9907,1111.7175594731,0
BGRN.US,D,20190225,000000,48.9708,48.9708,48.9708,48.9708,544.80191431684,0
BGRN.US,D,20190227,000000,48.9609,48.9609,48.9151,48.9231,802.1253277211,0
BGRN.US,D,20190228,000000,48.8793,48.8793,48.8206,48.8206,1380.0978382971,0
BGRN.US,D,20190301,000000,48.8306,48.8385,48.736,48.8385,1511.77505375,0
BGRN.US,D,20190306,000000,49.0276,49.0564,49.0276,49.0474,3247.7029246452,0
BGRN.US,D,20190308,000000,49.2405,49.2405,49.2205,49.2205,976.0196656857,0
BGRN.US,D,20190313,000000,49.2504,49.2832,49.2504,49.2832,1208.2138394997,0
BGRN.US,D,20190314,000000,49.2494,49.2494,49.2494,49.2494,158.81679421044,0
BGRN.US,D,20190315,000000,49.3001,49.3628,49.2773,49.3628,2382.2519131567,0
BGRN.US,D,20190318,000000,49.3986,49.3986,49.3518,49.3518,1554.9973458453,0
BGRN.US,D,20190319,000000,49.3449,49.3886,49.3449,49.3818,876.50787690827,0
BGRN.US,D,20190320,000000,49.4076,49.4076,49.3906,49.3906,1578.1162462683,0
BGRN.US,D,20190321,000000,49.5399,49.5399,49.5399,49.5399,247.27171756816,0
BGRN.US,D,20190322,000000,49.7965,49.7965,49.7965,49.7965,689.54633435674,0
BGRN.US,D,20190325,000000,49.7687,49.8115,49.726,49.8115,1056.4332323745,0
BGRN.US,D,20190326,000000,49.7886,49.8255,49.6832,49.8165,3234.6357200583,0
BGRN.US,D,20190327,000000,49.912,49.9478,49.912,49.9219,737.79447437003,0
BGRN.US,D,20190328,000000,49.9348,49.9348,49.9348,49.9348,978.03000485292,0
BGRN.US,D,20190329,000000,49.8821,49.8821,49.8343,49.8343,588.02420641208,0
BGRN.US,D,20190401,000000,49.8065,49.8065,49.8065,49.8065,519.67267472658,0
