<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BJK.US,D,20080124,000000,30.921,30.921,30.885,30.885,937,0
BJK.US,D,20080125,000000,31.181,33.611,31.109,33.611,1071,0
BJK.US,D,20080128,000000,31.996,31.996,30.57,31.07,5218,0
BJK.US,D,20080129,000000,31.362,31.362,31.259,31.331,8561,0
BJK.US,D,20080130,000000,31.362,32.118,31.362,31.676,10168,0
BJK.US,D,20080131,000000,31.181,32.004,31.181,32.004,9633,0
BJK.US,D,20080201,000000,33.545,33.545,32.379,32.602,5618,0
BJK.US,D,20080204,000000,32.52,32.52,32.379,32.379,3879,0
BJK.US,D,20080205,000000,31.818,31.855,31.706,31.706,4283,0
BJK.US,D,20080206,000000,31.706,31.818,31.548,31.555,2140,0
BJK.US,D,20080207,000000,31.429,31.669,31.145,31.669,2408,0
BJK.US,D,20080208,000000,31.669,31.669,31.639,31.669,668,0
BJK.US,D,20080211,000000,31.331,31.623,31.318,31.623,668,0
BJK.US,D,20080212,000000,31.967,32.266,31.967,32.118,1872,0
BJK.US,D,20080213,000000,32.297,32.304,32.043,32.043,2140,0
BJK.US,D,20080214,000000,32.37,32.379,32.266,32.266,4547,0
BJK.US,D,20080215,000000,31.736,31.736,31.736,31.736,267,0
BJK.US,D,20080219,000000,32.019,32.043,31.93,32.043,1472,0
BJK.US,D,20080220,000000,31.37,31.444,31.37,31.444,802,0
BJK.US,D,20080221,000000,31.945,31.945,31.429,31.429,1205,0
BJK.US,D,20080222,000000,31.52,31.52,31.407,31.407,1205,0
BJK.US,D,20080225,000000,31.706,32.08,31.706,32.08,2140,0
BJK.US,D,20080226,000000,32.379,32.417,32.326,32.417,2408,0
BJK.US,D,20080227,000000,32.118,32.489,32.118,32.379,2944,0
BJK.US,D,20080228,000000,32.043,32.118,31.833,31.892,5354,0
BJK.US,D,20080229,000000,31.324,31.444,31.22,31.22,2542,0
BJK.US,D,20080303,000000,30.645,30.645,29.911,30.563,4414,0
