<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKCH.US,D,20210715,000000,86.7488,88.0856,82.6628,84.4968,36343.195690865,0
BKCH.US,D,20210716,000000,85.5272,85.7184,82.8536,82.9292,10618.63554747775,0
BKCH.US,D,20210719,000000,79.8776,80.7928,78.2744,79.3048,4715.260323116,0
BKCH.US,D,20210720,000000,78.9588,81.1352,75.7916,80.4864,16681.11310576975,0
BKCH.US,D,20210721,000000,84.5724,89.5736,84.4968,88.0856,14362.9443445705,0
BKCH.US,D,20210722,000000,90.4928,90.4928,87.0552,87.3736,6455.08078988625,0
BKCH.US,D,20210723,000000,87.3616,87.3616,85.412,86.4424,8264.77558340625,0
BKCH.US,D,20210726,000000,95.454,99.2732,93.966,98.5852,12040.7540393855,0
BKCH.US,D,20210727,000000,95.454,95.454,88.9688,90.7592,10786.2836623775,0
BKCH.US,D,20210728,000000,93.926,95.9116,93.3928,94.8452,8641.543985557,0
BKCH.US,D,20210729,000000,94.8452,96.182,93.4684,93.584,8768.72531410175,0
BKCH.US,D,20210730,000000,91.714,94.3836,91.4832,94.0416,3096.337522413,0
BKCH.US,D,20210802,000000,94.0416,97.1328,93.6596,95.072,7418.7432674355,0
BKCH.US,D,20210803,000000,93.966,94.4992,91.7936,93.1624,3953.931777342,0
BKCH.US,D,20210804,000000,94.348,98.5492,93.2776,98.3184,9702.47755825825,0
BKCH.US,D,20210805,000000,97.1328,104.159,95.4936,103.284,17013.895870578,0
BKCH.US,D,20210806,000000,103.435,109.693,102.627,108.782,10443.94973060325,0
BKCH.US,D,20210809,000000,114.965,118.327,113.019,114.738,25021.292638905,0
BKCH.US,D,20210810,000000,115.12,115.92,109.773,112.136,26260.17953297,0
BKCH.US,D,20210811,000000,114.965,117.599,112.255,113.019,13110.98743255325,0
BKCH.US,D,20210812,000000,109.964,111.492,105.687,108.814,37721.0771989325,0
BKCH.US,D,20210813,000000,111.527,112.944,107.672,107.672,14728.15080776275,0
BKCH.US,D,20210816,000000,108.591,108.591,104.199,104.867,10131.27468572275,0
BKCH.US,D,20210817,000000,103.284,104.234,96.6752,97.8968,15532.45960488275,0
BKCH.US,D,20210818,000000,97.7852,102.174,96.906,98.6608,17087.5403948145,0
BKCH.US,D,20210819,000000,97.0972,99.3488,96.3332,98.8516,7396.37342901575,0
BKCH.US,D,20210820,000000,100.419,105.762,100.419,103.884,16553.429084227,0
BKCH.US,D,20210823,000000,108.969,110.039,106.144,106.852,20211.52603212825,0
BKCH.US,D,20210824,000000,107.33,107.461,104.772,107.461,13133.105924474,0
BKCH.US,D,20210825,000000,106.642,109.773,106.288,109.124,14244.057450496,0
BKCH.US,D,20210826,000000,106.717,107.978,104.274,104.426,9914.86534999775,0
BKCH.US,D,20210827,000000,105.038,111.257,105.038,110.728,19252.63913806175,0
BKCH.US,D,20210830,000000,109.622,111.492,107.406,111.261,22691.561938748,0
BKCH.US,D,20210831,000000,110.843,111.826,109.315,111.034,21237.7737879535,0
BKCH.US,D,20210901,000000,110.994,115.382,110.918,112.598,20349.263913635,0
BKCH.US,D,20210902,000000,116.568,117.945,114.547,115.04,62921.831238195,0
BKCH.US,D,20210903,000000,117.256,120.73,117.256,119.126,45328.0789941925,0
BKCH.US,D,20210907,000000,119.317,120.236,110.115,112.673,52408.0071808425,0
BKCH.US,D,20210908,000000,110.728,111.444,105.38,107.903,25014.0035904325,0
BKCH.US,D,20210909,000000,109.622,111.854,109.403,109.697,30414.9371630925,0
BKCH.US,D,20210910,000000,109.888,109.888,104.772,104.998,21291.310592262,0
BKCH.US,D,20210913,000000,104.199,105.938,101.983,103.817,15734.542190159,0
BKCH.US,D,20210914,000000,106.184,107.099,103.359,103.968,12302.4057449485,0
BKCH.US,D,20210915,000000,104.234,104.696,102.75,103.968,26250.125673005,0
BKCH.US,D,20210916,000000,103.892,104.274,101.756,103.435,9665.02692989225,0
BKCH.US,D,20210917,000000,103.435,103.435,102.138,103.435,15847.648114754,0
BKCH.US,D,20210920,000000,96.4844,97.9364,94.1968,95.836,35484.84739644,0
BKCH.US,D,20210921,000000,95.8756,96.7908,94.348,94.654,14191.52603218425,0
BKCH.US,D,20210922,000000,95.2628,100.419,95.2272,99.6156,9752.24416508,0
BKCH.US,D,20210923,000000,101.108,102.098,100.304,101.64,55372.1364447275,0
BKCH.US,D,20210924,000000,96.7508,98.0876,95.5216,96.942,21101.04129244325,0
BKCH.US,D,20210927,000000,96.7908,97.8212,95.5692,95.9512,12841.292639019,0
BKCH.US,D,20210928,000000,94.5388,94.666,90.4528,90.7592,16702.47755819325,0
BKCH.US,D,20210929,000000,91.6744,92.2072,87.9304,87.9304,7051.02333925225,0
BKCH.US,D,20210930,000000,89.0008,90.9104,88.778,90.2976,8650.3411130255,0
BKCH.US,D,20211001,000000,94.2724,94.8768,90.4928,93.1424,21508.47396748425,0
BKCH.US,D,20211004,000000,93.584,93.584,89.1916,91.7896,18745.421902878,0
BKCH.US,D,20211005,000000,93.0112,97.5544,93.0112,97.3756,15088.83303397125,0
BKCH.US,D,20211006,000000,100.188,101.183,97.0972,98.6248,25458.88689384,0
BKCH.US,D,20211007,000000,98.74,99.158,97.1728,97.9208,19924.236983657,0
BKCH.US,D,20211008,000000,98.6608,99.3888,97.3636,98.3184,15818.99461385675,0
BKCH.US,D,20211011,000000,100.228,103.586,99.5,101.525,30712.02872503,0
BKCH.US,D,20211012,000000,101.983,101.983,95.9908,96.942,20673.500897474,0
BKCH.US,D,20211013,000000,96.906,98.9312,95.072,98.8596,13364.093357147,0
BKCH.US,D,20211014,000000,100.495,100.495,98.5492,99.5796,8314.542190228,0
BKCH.US,D,20211015,000000,102.365,106.144,102.365,106.108,56250.3411125825,0
BKCH.US,D,20211018,000000,106.451,111.659,105.762,108.894,42173.6804304875,0
BKCH.US,D,20211019,000000,110.958,112.98,106.717,112.98,26723.66247731,0
BKCH.US,D,20211020,000000,113.437,119.126,113.039,116.835,54244.847396265,0
BKCH.US,D,20211021,000000,116.532,117.714,111.225,112.637,29097.1274683125,0
BKCH.US,D,20211022,000000,112.864,112.864,106.335,108.32,42075.65529584,0
BKCH.US,D,20211025,000000,110.879,116.799,110.803,116.075,30606.4631954075,0
BKCH.US,D,20211026,000000,117.408,117.408,113.743,115.502,24217.98922778225,0
BKCH.US,D,20211027,000000,111.949,112.637,109.812,110.194,24924.02154375425,0
BKCH.US,D,20211028,000000,114.201,117.217,113.517,117.217,23849.2639136025,0
BKCH.US,D,20211029,000000,116.568,120.694,116.568,119.508,27609.9102331375,0
BKCH.US,D,20211101,000000,120.388,124.971,120.272,123.137,39760.25134613,0
BKCH.US,D,20211102,000000,125.81,132.49,125.81,132.49,45324.560143205,0
BKCH.US,D,20211103,000000,131.46,134.516,127.294,134.324,59301.4362651575,0
BKCH.US,D,20211104,000000,133.942,137.531,132.041,134.44,48879.856372975,0
BKCH.US,D,20211105,000000,135.777,136.521,131.536,133.596,56184.9910228175,0
BKCH.US,D,20211108,000000,140.129,148.102,140.129,147,68705.0628359875,0
BKCH.US,D,20211109,000000,155.363,157.5,144.06,149.443,100979.71274592,0
BKCH.US,D,20211110,000000,150.016,150.016,135.355,136.234,88371.4183115675,0
BKCH.US,D,20211111,000000,138.028,143.336,137.492,141.733,36490.23339284,0
BKCH.US,D,20211112,000000,142.417,147.422,137.456,147.04,70866.894074745,0
BKCH.US,D,20211115,000000,149.292,149.865,140.241,140.853,94316.7684012775,0
BKCH.US,D,20211116,000000,133.139,139.25,130.851,135.586,63734.183123285,0
BKCH.US,D,20211117,000000,135.697,135.964,130.008,131.309,39879.8922797025,0
BKCH.US,D,20211118,000000,130.62,131.344,122.373,125.046,65398.3482938275,0
BKCH.US,D,20211119,000000,125.62,133.139,125.62,130.43,28281.5080787325,0
BKCH.US,D,20211122,000000,131.118,131.118,121.036,122.906,103428.83303315,0
BKCH.US,D,20211123,000000,123.328,126.877,120.503,125.198,27648.3662475,0
BKCH.US,D,20211124,000000,122.448,126.192,120.272,126.001,31981.8312384825,0
BKCH.US,D,20211126,000000,120.197,121.744,117.869,119.357,32827.109514955,0
BKCH.US,D,20211129,000000,124.128,126.574,119.584,124.856,47898.09694749,0
BKCH.US,D,20211130,000000,126.001,129.359,119.854,123.67,61937.8096942175,0
BKCH.US,D,20211201,000000,126.726,129.093,118.744,118.975,86069.58707281,0
BKCH.US,D,20211202,000000,118.251,120.348,112.255,114.738,47398.42010728,0
BKCH.US,D,20211203,000000,115.271,115.422,100.877,102.44,78666.17594182,0
BKCH.US,D,20211206,000000,96.5996,103.053,92.6688,101.334,49956.37342862,0
BKCH.US,D,20211207,000000,106.948,109.582,105.85,107.445,38789.802513105,0
BKCH.US,D,20211208,000000,107.214,108.702,104.581,107.748,24835.547576071,0
BKCH.US,D,20211209,000000,106.144,106.144,99.2732,99.8464,35055.2962294775,0
BKCH.US,D,20211210,000000,101.867,101.947,96.2176,97.1728,34330.91561907,0
BKCH.US,D,20211213,000000,96.3332,96.3332,91.1768,91.9052,65802.51346438,0
BKCH.US,D,20211214,000000,90.262,93.1264,89.3468,91.5588,42325.7450624425,0
BKCH.US,D,20211215,000000,95.454,95.454,87.1308,94.348,54772.1723513775,0
