<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLCN.US,D,20180117,000000,23.0579,23.1927,22.811,23.1045,634323.89962995,0
BLCN.US,D,20180118,000000,23.154,23.1639,23.0112,23.0856,1379321.0807299,0
BLCN.US,D,20180119,000000,23.2224,23.269,23.1341,23.259,700782.14484729,0
BLCN.US,D,20180122,000000,23.3631,23.5644,23.3454,23.5644,787549.62626154,0
BLCN.US,D,20180123,000000,23.6774,23.7527,23.601,23.7527,952468.97748993,0
BLCN.US,D,20180124,000000,23.7715,23.8677,23.5545,23.6863,938477.18389722,0
BLCN.US,D,20180125,000000,23.6863,23.7527,23.495,23.5545,428714.44738675,0
BLCN.US,D,20180126,000000,23.6774,23.8577,23.606,23.8488,722983.99080552,0
BLCN.US,D,20180129,000000,23.8577,23.8677,23.7062,23.7715,609703.83107155,0
BLCN.US,D,20180130,000000,23.6476,23.6863,23.4087,23.491,506907.6802074,0
BLCN.US,D,20180131,000000,23.5743,23.5951,23.3454,23.4375,247047.11393668,0
BLCN.US,D,20180201,000000,23.2303,23.3255,23.1242,23.2392,258608.57868341,0
BLCN.US,D,20180202,000000,22.9726,23.04,22.5136,22.5424,359041.99390735,0
BLCN.US,D,20180205,000000,22.2867,22.5622,21.4481,21.5889,270614.94796358,0
BLCN.US,D,20180206,000000,21.125,22.0656,20.9753,21.9913,304284.43526353,0
BLCN.US,D,20180207,000000,21.9258,22.1985,21.8664,21.8863,180660.49734036,0
BLCN.US,D,20180208,000000,21.9358,21.9358,21.1518,21.1597,149481.87011543,0
BLCN.US,D,20180209,000000,21.344,21.4848,20.7314,21.4223,205119.14928797,0
BLCN.US,D,20180212,000000,21.6087,21.795,21.4659,21.7147,124687.26984664,0
BLCN.US,D,20180213,000000,21.6087,21.791,21.5245,21.7713,70109.287182303,0
BLCN.US,D,20180214,000000,21.6474,22.2381,21.6375,22.2381,140132.82179013,0
BLCN.US,D,20180215,000000,22.5811,22.6198,22.2678,22.5999,215556.75088219,0
BLCN.US,D,20180216,000000,22.6395,22.7912,22.5801,22.6395,103440.80845344,0
BLCN.US,D,20180220,000000,22.475,22.6594,22.4373,22.5424,212335.48064342,0
BLCN.US,D,20180221,000000,22.5811,22.7308,22.4175,22.4175,90024.061536617,0
BLCN.US,D,20180222,000000,22.4572,22.5732,22.3531,22.4175,93573.209266023,0
BLCN.US,D,20180223,000000,22.5424,22.7426,22.4473,22.7426,48865.852350552,0
BLCN.US,D,20180226,000000,22.8309,22.9439,22.7179,22.9439,147938.3237749,0
BLCN.US,D,20180227,000000,23.04,23.04,22.6296,22.6494,227240.28694082,0
BLCN.US,D,20180228,000000,22.7624,22.7624,22.4274,22.4473,117745.34672952,0
BLCN.US,D,20180301,000000,22.4274,22.4373,21.9159,22.0835,109958.00411346,0
BLCN.US,D,20180302,000000,21.8575,22.1608,21.684,22.1608,75246.370820205,0
BLCN.US,D,20180305,000000,22.0567,22.4076,21.9536,22.3799,85183.580921015,0
BLCN.US,D,20180306,000000,22.5999,22.6099,22.4373,22.5622,65847.888657855,0
BLCN.US,D,20180307,000000,22.4373,22.6188,22.3184,22.59,59853.279275214,0
BLCN.US,D,20180308,000000,22.7229,22.7813,22.587,22.7328,45171.429671449,0
BLCN.US,D,20180309,000000,22.8497,22.9914,22.7525,22.9826,68026.004049494,0
BLCN.US,D,20180312,000000,23.0479,23.0777,22.9538,23.0301,89373.350824432,0
BLCN.US,D,20180313,000000,23.2224,23.2224,22.7328,22.811,92473.558605121,0
BLCN.US,D,20180314,000000,22.8784,22.9221,22.6395,22.6951,355153.87129531,0
BLCN.US,D,20180315,000000,22.7229,22.8408,22.6643,22.7575,32744.36834944,0
BLCN.US,D,20180316,000000,22.6494,22.7912,22.6306,22.6494,47436.306491379,0
BLCN.US,D,20180319,000000,22.7624,22.7624,22.2966,22.4076,54001.927134636,0
BLCN.US,D,20180320,000000,22.4949,22.5811,22.4175,22.5722,36344.967623531,0
BLCN.US,D,20180321,000000,22.5136,22.5811,22.4086,22.4473,30031.560434611,0
BLCN.US,D,20180322,000000,22.2183,22.3333,21.8,21.8,94686.983880368,0
BLCN.US,D,20180323,000000,21.8188,21.906,21.3976,21.4223,83978.000609292,0
BLCN.US,D,20180326,000000,21.791,21.9358,21.6275,21.9358,168131.54178281,0
BLCN.US,D,20180327,000000,22.0289,22.0388,21.3331,21.4213,81074.519322984,0
BLCN.US,D,20180328,000000,21.4016,21.4749,21.1141,21.229,75895.063824755,0
BLCN.US,D,20180329,000000,21.4213,21.6176,21.24,21.5432,23658.630870467,0
BLCN.US,D,20180402,000000,21.456,21.5245,20.7989,21.0288,101837.73973768,0
BLCN.US,D,20180403,000000,21.1508,21.2082,20.9425,21.1607,33881.346601584,0
BLCN.US,D,20180404,000000,20.7146,21.3966,20.6849,21.3718,163838.86879002,0
BLCN.US,D,20180405,000000,21.4649,21.5432,21.3768,21.4115,34478.58806145,0
BLCN.US,D,20180406,000000,21.1993,21.3619,20.9129,20.9991,221131.67707682,0
BLCN.US,D,20180409,000000,21.1794,21.456,21.1289,21.229,34026.621551281,0
BLCN.US,D,20180410,000000,21.4749,21.5988,21.3827,21.5889,30716.572176585,0
BLCN.US,D,20180411,000000,21.4213,21.573,21.3936,21.4213,20749.096461255,0
BLCN.US,D,20180412,000000,21.4848,21.791,21.4848,21.7614,29290.052878865,0
BLCN.US,D,20180413,000000,21.906,21.906,21.5046,21.5789,29361.681499895,0
BLCN.US,D,20180416,000000,21.6651,21.6929,21.5294,21.6275,36644.597207282,0
BLCN.US,D,20180417,000000,21.7811,21.8863,21.6691,21.8386,76216.888192487,0
BLCN.US,D,20180418,000000,21.8099,21.8863,21.6563,21.8188,122077.36502118,0
BLCN.US,D,20180419,000000,21.7048,21.7197,21.5988,21.6226,15650.349268413,0
BLCN.US,D,20180420,000000,21.5988,21.7048,21.5046,21.5145,40260.329288632,0
BLCN.US,D,20180423,000000,21.685,21.685,21.5531,21.5531,27103.866656687,0
BLCN.US,D,20180424,000000,21.6176,21.8238,21.2964,21.4213,60641.194106557,0
BLCN.US,D,20180425,000000,21.3331,21.3718,21.1339,21.239,34298.003228146,0
BLCN.US,D,20180426,000000,21.4016,21.5621,21.3718,21.4848,33808.709126735,0
BLCN.US,D,20180427,000000,21.6651,21.7534,21.5859,21.6949,26302.836725717,0
BLCN.US,D,20180430,000000,21.9159,21.9159,21.5531,21.5988,25484.656279854,0
BLCN.US,D,20180501,000000,21.5988,21.6186,21.4115,21.5789,58580.10575773,0
BLCN.US,D,20180502,000000,21.6474,21.679,21.5096,21.6087,32300.47266981,0
BLCN.US,D,20180503,000000,21.4749,21.6949,21.239,21.6275,40500.436497159,0
BLCN.US,D,20180504,000000,21.5145,21.8099,21.4649,21.7614,31849.515013459,0
BLCN.US,D,20180507,000000,21.8,21.906,21.7048,21.8386,30480.500383327,0
