<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BND.US,D,20070410,000000,56.0598,56.203,56.0074,56.1882,46663.750697977,0
BND.US,D,20070411,000000,56.129,56.2267,56.0284,56.0351,117592.04415799,0
BND.US,D,20070412,000000,56.0518,56.0688,55.975,56.0284,104126.59509047,0
BND.US,D,20070413,000000,56.0351,56.0598,55.89,55.9374,24001.249029791,0
BND.US,D,20070416,000000,55.9995,55.9995,55.96,55.9927,70260.945115604,0
BND.US,D,20070417,000000,56.129,56.1358,56.0855,56.1358,34130.969043503,0
BND.US,D,20070418,000000,56.1962,56.2514,56.1962,56.2406,40533.057409663,0
BND.US,D,20070419,000000,56.2761,56.2761,56.1962,56.2178,79593.6952552,0
BND.US,D,20070420,000000,56.2336,56.2465,56.1655,56.203,42931.055709419,0
BND.US,D,20070423,000000,56.2178,56.3295,56.1743,56.2761,57595.503926811,0
BND.US,D,20070424,000000,56.2988,56.3808,56.1142,56.3659,103327.59987994,0
BND.US,D,20070425,000000,56.3295,56.4173,56.2988,56.3225,352238.40565926,0
BND.US,D,20070426,000000,56.291,56.291,56.1962,56.203,91198.872837639,0
BND.US,D,20070427,000000,56.2178,56.2267,56.1655,56.1882,59725.145153327,0
BND.US,D,20070430,000000,56.3225,56.3749,56.2988,56.3749,47865.787852459,0
BND.US,D,20070501,000000,56.284,56.2988,56.1655,56.2465,73061.985359324,0
BND.US,D,20070502,000000,56.284,56.3145,56.2267,56.2514,38524.936367256,0
BND.US,D,20070503,000000,56.2514,56.2514,56.0518,56.2178,45064.747608739,0
BND.US,D,20070504,000000,56.291,56.3225,56.2336,56.2602,25593.163441623,0
BND.US,D,20070507,000000,56.2761,56.3965,56.2602,56.2988,180646.84235591,0
BND.US,D,20070508,000000,56.3659,56.3749,56.2514,56.3066,45328.041340975,0
BND.US,D,20070509,000000,56.358,56.358,56.2267,56.2406,66928.254066407,0
BND.US,D,20070510,000000,56.2406,56.291,56.2406,56.291,55991.437496568,0
BND.US,D,20070511,000000,56.358,56.358,56.203,56.2178,50934.172501219,0
BND.US,D,20070514,000000,56.2336,56.2336,56.1428,56.1822,761543.70244445,0
BND.US,D,20070515,000000,56.2267,56.2336,56.1428,56.1576,42121.933816892,0
BND.US,D,20070516,000000,56.1576,56.2109,56.1358,56.1822,75460.996327282,0
BND.US,D,20070517,000000,56.129,56.1428,56.0766,56.0973,56927.14291421,0
BND.US,D,20070518,000000,56.0688,56.0688,55.9541,55.96,82927.398972599,0
BND.US,D,20070521,000000,55.967,56.0421,55.9127,56.0351,65866.977791852,0
BND.US,D,20070522,000000,56.0351,56.0421,55.9216,55.9463,66401.666601934,0
BND.US,D,20070523,000000,55.96,55.975,55.8416,55.8968,62927.202004608,0
BND.US,D,20070524,000000,55.8772,55.9057,55.7765,55.89,51458.734629291,0
BND.US,D,20070525,000000,55.8613,55.9057,55.8553,55.8968,28130.909953105,0
BND.US,D,20070529,000000,55.8337,55.8553,55.7765,55.8289,37197.328355862,0
BND.US,D,20070530,000000,55.9127,55.9286,55.8484,55.8772,46929.069766617,0
BND.US,D,20070531,000000,55.8772,55.8772,55.7596,55.8337,69596.634775808,0
BND.US,D,20070601,000000,55.58,55.58,55.496,55.5117,113186.93748403,0
BND.US,D,20070604,000000,55.5492,55.58,55.5028,55.572,37996.32356638,0
BND.US,D,20070605,000000,55.5335,55.5631,55.4456,55.4813,49865.807549258,0
BND.US,D,20070606,000000,55.4593,55.5492,55.4525,55.5335,247841.42815915,0
BND.US,D,20070607,000000,55.3349,55.3349,55.0634,55.1395,100662.25717515,0
BND.US,D,20070608,000000,55.0714,55.1444,54.9903,55.1316,83586.645971392,0
BND.US,D,20070611,000000,55.0783,55.1395,55.0427,55.0783,102795.94907447,0
BND.US,D,20070612,000000,54.9668,54.9668,54.7811,54.8156,540498.48754961,0
BND.US,D,20070613,000000,54.8305,54.9588,54.7652,54.936,125061.48480789,0
BND.US,D,20070614,000000,54.9214,54.9903,54.858,54.858,146387.26445089,0
BND.US,D,20070615,000000,55.0171,55.1316,54.9963,55.1316,144788.26136164,0
BND.US,D,20070618,000000,55.1258,55.2076,55.0565,55.0783,80393.70313392,0
BND.US,D,20070619,000000,55.2699,55.4111,55.2076,55.3409,97857.16625863,0
BND.US,D,20070620,000000,55.2758,55.2845,55.0714,55.0714,93727.505335315,0
BND.US,D,20070621,000000,55.1996,55.2076,55.0565,55.1009,51333.163772378,0
BND.US,D,20070622,000000,55.0565,55.256,55.0259,55.1771,74389.593370718,0
BND.US,D,20070625,000000,55.3349,55.3953,55.2323,55.3349,113988.97069914,0
BND.US,D,20070626,000000,55.3627,55.3953,55.2758,55.3094,217453.28078622,0
BND.US,D,20070627,000000,55.4593,55.4593,55.3349,55.3558,282645.82155626,0
BND.US,D,20070628,000000,55.3795,55.3795,55.2076,55.2758,99064.266754115,0
BND.US,D,20070629,000000,55.3795,55.4673,55.3558,55.4673,518895.23681958,0
BND.US,D,20070702,000000,55.3349,55.4456,55.2391,55.4309,99852.122614424,0
BND.US,D,20070703,000000,55.4593,55.5028,55.3024,55.3172,29195.224232264,0
BND.US,D,20070705,000000,55.1996,55.1996,55.0714,55.0941,57455.755715085,0
BND.US,D,20070706,000000,55.0171,55.0259,54.9588,54.9825,73860.980569844,0
