<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNDW.US,D,20180907,000000,68.2756,68.2756,68.1656,68.1904,66341.136511645,0
BNDW.US,D,20180910,000000,68.228,68.2667,68.1805,68.223,62860.442657722,0
BNDW.US,D,20180911,000000,68.2191,68.2191,68.119,68.1568,109589.36333582,0
BNDW.US,D,20180912,000000,68.2004,68.228,68.2004,68.2054,36885.461928224,0
BNDW.US,D,20180913,000000,68.2944,68.2944,68.2004,68.2004,26719.97842793,0
BNDW.US,D,20180914,000000,68.1606,68.1606,68.1091,68.119,36269.677922744,0
BNDW.US,D,20180917,000000,68.128,68.1606,68.0895,68.132,29587.916722303,0
BNDW.US,D,20180918,000000,68.1439,68.1439,68.0389,68.0428,19151.892052389,0
BNDW.US,D,20180919,000000,68.0291,68.0291,67.922,67.9527,27035.94628648,0
BNDW.US,D,20180920,000000,67.9547,68.0191,67.9268,67.9932,20650.97278704,0
BNDW.US,D,20180921,000000,68.0566,68.0566,68.0011,68.0191,25443.993210019,0
BNDW.US,D,20180924,000000,67.9736,67.9736,67.911,67.911,30908.319147168,0
BNDW.US,D,20180925,000000,67.9033,67.9033,67.8369,67.8655,21042.651793805,0
BNDW.US,D,20180926,000000,68.0011,68.0161,67.9268,68.0061,12012.835516732,0
BNDW.US,D,20180927,000000,68.0477,68.0566,67.9833,68.0566,15988.175538991,0
BNDW.US,D,20180928,000000,68.0993,68.0993,68.0241,68.033,13417.02494562,0
BNDW.US,D,20181001,000000,67.9736,67.9736,67.9268,67.9268,12823.449543616,0
BNDW.US,D,20181002,000000,67.9457,68.0191,67.9457,68.0191,9151.9635961924,0
BNDW.US,D,20181003,000000,67.9912,67.9912,67.7487,67.7715,15950.824705871,0
BNDW.US,D,20181004,000000,67.7197,67.7197,67.6089,67.6329,16317.266663232,0
BNDW.US,D,20181005,000000,67.59,67.59,67.4454,67.4712,12596.316098973,0
BNDW.US,D,20181008,000000,67.59,67.59,67.4712,67.5088,6528.3199400592,0
BNDW.US,D,20181009,000000,67.5168,67.5475,67.501,67.5475,5055.4857367893,0
BNDW.US,D,20181010,000000,67.501,67.5336,67.4544,67.5336,14610.232641484,0
BNDW.US,D,20181011,000000,67.6573,67.6923,67.5861,67.6753,13880.377172694,0
BNDW.US,D,20181012,000000,67.6923,67.7457,67.6279,67.7022,8636.1183063562,0
BNDW.US,D,20181015,000000,67.7537,67.7537,67.6843,67.6923,6594.9457504881,0
BNDW.US,D,20181016,000000,67.7467,67.7537,67.7022,67.7467,8550.3123383796,0
BNDW.US,D,20181017,000000,67.8101,67.8101,67.7197,67.7197,10621.769353534,0
BNDW.US,D,20181018,000000,67.7109,67.7537,67.5989,67.7337,6046.7970374136,0
BNDW.US,D,20181019,000000,67.6973,67.7022,67.6843,67.6923,5680.3550800546,0
BNDW.US,D,20181022,000000,67.6923,67.7157,67.6753,67.6923,10636.911583177,0
BNDW.US,D,20181023,000000,67.7467,67.8289,67.7467,67.8289,6996.7195770141,0
BNDW.US,D,20181024,000000,67.8655,67.8943,67.8655,67.8893,7115.8384502053,0
BNDW.US,D,20181025,000000,67.8369,67.8943,67.8289,67.8793,3643.2204520912,0
BNDW.US,D,20181026,000000,68.033,68.0785,68.0011,68.0389,21227.386995448,0
BNDW.US,D,20181029,000000,67.9033,68.0111,67.9033,68.0111,9073.2240020492,0
BNDW.US,D,20181030,000000,67.9547,67.9547,67.8456,67.8456,2347.0455946556,0
BNDW.US,D,20181031,000000,67.8655,67.8655,67.8101,67.82,19184.195475628,0
BNDW.US,D,20181101,000000,67.8456,67.8456,67.82,67.8289,1304.2507132451,0
