<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNDX.US,D,20130607,000000,41.4361,41.4361,41.313,41.313,86003.440193676,0
BNDX.US,D,20130610,000000,41.3754,41.3754,40.9958,41.0157,156439.94585049,0
BNDX.US,D,20130611,000000,41.2403,41.2403,40.9958,41.0118,61685.260759804,0
BNDX.US,D,20130612,000000,41.1558,41.3237,41.0653,41.1727,238279.52782727,0
BNDX.US,D,20130613,000000,41.1638,41.1907,41.0365,41.0365,127937.7880827,0
BNDX.US,D,20130614,000000,41.2682,41.2682,41.133,41.133,121274.00532633,0
BNDX.US,D,20130617,000000,41.2403,41.2403,41.0753,41.1638,120726.73814343,0
BNDX.US,D,20130618,000000,41.1986,41.1986,41.0276,41.1002,168039.1933114,0
BNDX.US,D,20130619,000000,41.2493,41.2493,40.9152,41.0028,104548.15204921,0
BNDX.US,D,20130620,000000,40.9152,40.9152,40.7045,40.8715,152103.05462725,0
BNDX.US,D,20130621,000000,41.1558,41.1558,40.6777,40.7909,264672.09132571,0
BNDX.US,D,20130624,000000,40.7384,40.7909,40.438,40.7742,380081.08254127,0
BNDX.US,D,20130625,000000,40.8218,40.8218,40.6181,40.6429,319273.05888346,0
BNDX.US,D,20130626,000000,40.7154,40.7642,40.6151,40.623,1485554.7559461,0
BNDX.US,D,20130627,000000,40.8557,40.8557,40.5883,40.7234,2434860.1050804,0
BNDX.US,D,20130628,000000,41.0008,41.0008,40.8754,40.9679,2946524.740908,0
BNDX.US,D,20130701,000000,40.8168,40.8168,40.7512,40.7602,2707069.192241,0
BNDX.US,D,20130702,000000,40.6379,40.8009,40.6379,40.7274,109106.36455966,0
BNDX.US,D,20130703,000000,40.8944,40.9013,40.7134,40.8597,45092.200255014,0
BNDX.US,D,20130705,000000,40.7274,40.7274,40.439,40.6647,169056.26522665,0
BNDX.US,D,20130708,000000,40.8685,40.8685,40.7512,40.786,246074.06116007,0
BNDX.US,D,20130709,000000,40.9013,40.9013,40.7512,40.8168,75677.79614001,0
BNDX.US,D,20130710,000000,41.0395,41.0395,40.7791,40.8328,69164.914261266,0
BNDX.US,D,20130711,000000,40.958,40.9988,40.8099,40.8924,107877.02540985,0
BNDX.US,D,20130712,000000,40.9182,40.958,40.8248,40.8498,513583.08898532,0
BNDX.US,D,20130715,000000,40.9442,41.0315,40.7939,40.8328,1259381.5025286,0
BNDX.US,D,20130716,000000,40.958,41.0068,40.8168,40.9222,711213.94440101,0
BNDX.US,D,20130717,000000,40.9659,40.9729,40.9113,40.957,279051.93895852,0
BNDX.US,D,20130718,000000,40.9729,40.9898,40.7939,40.9442,195931.71153352,0
BNDX.US,D,20130719,000000,40.9659,40.9729,40.7702,40.7959,110493.64662805,0
BNDX.US,D,20130722,000000,40.9729,40.9908,40.8328,40.9162,65478.908823558,0
BNDX.US,D,20130723,000000,41.0068,41.0246,40.8009,40.9908,106896.16970521,0
BNDX.US,D,20130724,000000,40.9521,40.9521,40.7939,40.8924,118902.84953575,0
BNDX.US,D,20130725,000000,40.9083,40.9083,40.631,40.8408,132114.72437565,0
BNDX.US,D,20130726,000000,40.7949,40.958,40.6647,40.958,64291.821919493,0
BNDX.US,D,20130729,000000,40.9521,40.9521,40.7939,40.8924,770649.77607819,0
BNDX.US,D,20130730,000000,40.8745,40.9043,40.7512,40.8745,97251.59161262,0
BNDX.US,D,20130731,000000,40.9113,40.9172,40.631,40.786,92825.165868647,0
BNDX.US,D,20130801,000000,41.0068,41.0068,40.7692,40.8109,79432.20997558,0
BNDX.US,D,20130802,000000,40.9262,40.9669,40.8109,40.9669,69129.704056485,0
BNDX.US,D,20130805,000000,40.9669,40.9669,40.8498,40.9023,86569.821487735,0
BNDX.US,D,20130806,000000,40.9352,40.9352,40.8248,40.8844,104295.64458065,0
BNDX.US,D,20130807,000000,40.9521,40.9669,40.8109,40.8934,79347.705484103,0
BNDX.US,D,20130808,000000,40.9442,40.9442,40.8498,40.9123,55472.168624628,0
BNDX.US,D,20130809,000000,40.7424,40.9669,40.7424,40.958,52196.613574089,0
BNDX.US,D,20130812,000000,40.9918,40.9918,40.8745,40.9669,57530.456595576,0
BNDX.US,D,20130813,000000,40.8745,40.9342,40.7344,40.8408,68524.088534241,0
BNDX.US,D,20130814,000000,40.8019,40.8675,40.5983,40.8109,77820.588602432,0
BNDX.US,D,20130815,000000,40.7424,40.7512,40.5653,40.7344,66440.650417022,0
BNDX.US,D,20130816,000000,40.6947,40.7602,40.5316,40.7194,69520.034326634,0
BNDX.US,D,20130819,000000,40.7791,40.7791,40.4929,40.5643,113998.57101259,0
BNDX.US,D,20130820,000000,40.5563,40.7692,40.4919,40.6947,86957.133740332,0
BNDX.US,D,20130821,000000,40.6947,40.7035,40.5078,40.5923,76563.081288805,0
BNDX.US,D,20130822,000000,40.621,40.7124,40.3785,40.5168,158970.05056551,0
BNDX.US,D,20130823,000000,40.5643,40.5643,40.3785,40.4999,143309.5574845,0
BNDX.US,D,20130826,000000,40.5643,40.5643,40.4083,40.4919,71385.169174207,0
BNDX.US,D,20130827,000000,40.4829,40.7602,40.4829,40.5493,46478.476317558,0
BNDX.US,D,20130828,000000,40.5833,40.7184,40.5168,40.5246,63476.957180261,0
BNDX.US,D,20130829,000000,40.5316,40.7692,40.5316,40.6468,91255.796741239,0
BNDX.US,D,20130830,000000,40.9531,40.9639,40.7602,40.9023,96069.534737809,0
BNDX.US,D,20130903,000000,40.6717,40.7264,40.4649,40.4989,184797.23877573,0
BNDX.US,D,20130904,000000,40.7592,40.7592,40.6458,40.6937,101984.84914111,0
BNDX.US,D,20130905,000000,40.5823,40.5823,40.3407,40.3586,42928.281669722,0
BNDX.US,D,20130906,000000,40.4819,40.629,40.4649,40.5823,79936.218906881,0
BNDX.US,D,20130909,000000,40.629,40.629,40.3785,40.5394,62713.398739426,0
