<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOTZ.US,D,20160916,000000,14.2779,14.2779,14.2609,14.2609,1546.6843362078,0
BOTZ.US,D,20160919,000000,14.3767,14.4046,14.3727,14.3946,619.4756447028,0
BOTZ.US,D,20160920,000000,14.5213,14.5213,14.5213,14.5213,105.250716333,0
BOTZ.US,D,20160922,000000,14.9194,14.9294,14.8316,14.8615,3811.0783190292,0
BOTZ.US,D,20160923,000000,14.8715,14.8715,14.7837,14.8126,9547.743553065,0
BOTZ.US,D,20160926,000000,14.6949,14.6949,14.5792,14.5792,2929.9794651558,0
BOTZ.US,D,20160927,000000,14.7149,16.1804,14.663,14.7538,3520.3858643952,0
BOTZ.US,D,20160928,000000,14.8316,14.8515,14.7538,14.8515,2977.091690562,0
BOTZ.US,D,20160929,000000,14.8515,14.8515,14.7937,14.8027,3899.288443194,0
BOTZ.US,D,20160930,000000,14.8216,14.8515,14.7448,14.8515,3818.0950334514,0
BOTZ.US,D,20161003,000000,14.9004,14.9004,14.7348,14.7997,3554.4670487316,0
BOTZ.US,D,20161004,000000,14.9294,14.9294,14.7937,14.7937,10837.816618975,0
BOTZ.US,D,20161005,000000,14.9194,14.9483,14.9194,14.9294,1378.283190075,0
BOTZ.US,D,20161006,000000,14.9383,14.9383,14.8465,14.8815,3860.1953199846,0
BOTZ.US,D,20161007,000000,14.8904,14.9004,14.8416,14.8904,8858.1007641402,0
BOTZ.US,D,20161010,000000,14.9772,14.9862,14.9543,14.9593,11195.669054507,0
BOTZ.US,D,20161011,000000,14.9952,14.9952,14.8416,14.8416,6253.8973257294,0
BOTZ.US,D,20161012,000000,14.8515,14.8515,14.7328,14.7837,4865.5902579084,0
BOTZ.US,D,20161013,000000,14.6271,14.666,14.5483,14.666,6557.6208214332,0
BOTZ.US,D,20161014,000000,14.7149,14.7248,14.666,14.666,3069.3113658252,0
BOTZ.US,D,20161017,000000,14.7248,14.7538,14.6949,14.7149,10996.193887362,0
BOTZ.US,D,20161018,000000,14.9094,14.9094,14.8226,14.8316,3416.1375358368,0
BOTZ.US,D,20161019,000000,14.9004,14.9004,14.7937,14.8027,6235.8543457866,0
BOTZ.US,D,20161020,000000,14.8027,14.8416,14.7937,14.8416,9106.692932241,0
BOTZ.US,D,20161021,000000,14.8246,14.8416,14.8246,14.8416,286.6829035356,0
BOTZ.US,D,20161024,000000,14.9772,14.9772,14.8216,14.8416,12903.737822426,0
BOTZ.US,D,20161025,000000,14.7937,14.7937,14.6949,14.7149,15534.003342976,0
BOTZ.US,D,20161026,000000,14.7019,14.7248,14.676,14.7149,4122.8209169298,0
BOTZ.US,D,20161027,000000,14.647,14.647,14.5483,14.5483,22777.257402236,0
BOTZ.US,D,20161028,000000,14.6081,14.6371,14.5682,14.6081,3664.7297039376,0
BOTZ.US,D,20161031,000000,14.647,14.647,14.5682,14.5682,2684.3944603788,0
BOTZ.US,D,20161101,000000,14.5882,14.5882,14.5014,14.5014,5842.9183381434,0
BOTZ.US,D,20161102,000000,14.4635,14.4635,14.3667,14.3667,10539.105062144,0
BOTZ.US,D,20161103,000000,14.5393,14.5393,14.3866,14.4236,3322.915472799,0
BOTZ.US,D,20161104,000000,14.4435,14.4435,14.2979,14.3767,7400.6289398718,0
BOTZ.US,D,20161107,000000,14.6171,14.6171,14.5263,14.5303,5990.2693410096,0
BOTZ.US,D,20161108,000000,14.5393,14.6081,14.5213,14.5981,3260.7674307738,0
BOTZ.US,D,20161109,000000,14.3567,14.6271,14.3567,14.6081,15301.449379269,0
BOTZ.US,D,20161110,000000,14.7448,14.7937,14.6271,14.7348,2331.5539637196,0
