<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCO.US,D,20140924,000000,16.7155,16.773,16.6708,16.6708,6588.6933199297,0
BSCO.US,D,20140925,000000,16.6898,16.7155,16.6798,16.6798,2650.4034968277,0
BSCO.US,D,20140929,000000,16.6392,16.6392,16.6392,16.6392,196.66235992443,0
BSCO.US,D,20140930,000000,16.663,16.6708,16.6242,16.6708,6739.9720583332,0
BSCO.US,D,20141001,000000,16.7968,16.8404,16.7968,16.8236,1865.7711069754,0
BSCO.US,D,20141007,000000,16.9,16.9088,16.8741,16.9088,1331.25289795,0
BSCO.US,D,20141008,000000,16.9584,16.9584,16.9584,16.9584,1579.3500289316,0
BSCO.US,D,20141009,000000,16.8741,17.0129,16.8652,16.8652,4963.9596694772,0
BSCO.US,D,20141010,000000,16.9742,17.8885,16.8911,16.8911,2818.8271589168,0
BSCO.US,D,20141014,000000,16.9872,16.9941,16.9742,16.9742,9394.4096548517,0
BSCO.US,D,20141015,000000,17.1003,17.3203,16.9872,16.9941,18419.699187999,0
BSCO.US,D,20141016,000000,17.0813,17.0813,17.0477,17.0477,1915.1888281872,0
BSCO.US,D,20141017,000000,17.1468,17.1468,16.9266,17.1003,997.4311485398,0
BSCO.US,D,20141020,000000,17.0903,17.0903,17.0903,17.0903,1148.7098869432,0
BSCO.US,D,20141021,000000,17.0298,17.0298,17.0298,17.0298,3053.8134659035,0
BSCO.US,D,20141022,000000,16.9346,16.9426,16.9088,16.9426,820.93928706916,0
BSCO.US,D,20141024,000000,16.9822,16.9822,16.9822,16.9822,187.58563562023,0
BSCO.US,D,20141028,000000,16.9941,16.9941,16.9742,16.9742,882.45930735322,0
BSCO.US,D,20141029,000000,16.9426,16.9584,16.8652,16.9088,3104.239712038,0
BSCO.US,D,20141030,000000,16.9088,16.9088,16.9088,16.9088,592.00412961867,0
BSCO.US,D,20141103,000000,16.9742,16.9742,16.8315,16.8474,5340.1394656403,0
BSCO.US,D,20141104,000000,16.898,16.898,16.8731,16.8801,12177.938441474,0
BSCO.US,D,20141105,000000,16.8474,16.898,16.8385,16.898,2035.2032939872,0
BSCO.US,D,20141106,000000,16.8801,16.8801,16.8385,16.8801,1260.6561533617,0
BSCO.US,D,20141107,000000,16.9168,16.9496,16.898,16.9336,3980.6478698551,0
BSCO.US,D,20141110,000000,16.9068,16.9256,16.8474,16.8474,3076.0010142026,0
BSCO.US,D,20141111,000000,16.9068,16.9256,16.8731,16.8731,3257.5355002868,0
BSCO.US,D,20141112,000000,16.8801,16.9168,16.8137,16.8137,4216.6427017643,0
BSCO.US,D,20141113,000000,16.8731,16.8801,16.8532,16.8731,2777.4776370866,0
BSCO.US,D,20141114,000000,16.8385,16.8632,16.8315,16.8632,3745.6615628683,0
BSCO.US,D,20141117,000000,16.9068,16.9068,16.8474,16.898,6722.8271346474,0
BSCO.US,D,20141118,000000,16.9574,16.9574,16.8137,16.8474,17763.149463328,0
BSCO.US,D,20141119,000000,16.8315,16.8474,16.8216,16.8216,10909.214088731,0
BSCO.US,D,20141120,000000,16.8216,16.8385,16.8216,16.8385,1138.6246377164,0
BSCO.US,D,20141121,000000,16.898,16.9822,16.8731,16.8901,11427.595898994,0
BSCO.US,D,20141124,000000,16.9256,16.9931,16.9068,16.9068,4580.7201988551,0
BSCO.US,D,20141125,000000,16.9742,16.9822,16.9256,16.9664,6647.1877654458,0
BSCO.US,D,20141126,000000,17.0734,17.0734,17.0557,17.0557,2087.646589967,0
BSCO.US,D,20141128,000000,16.9742,16.9931,16.9664,16.9931,1456.3099883635,0
BSCO.US,D,20141201,000000,17.1578,17.1578,17.0041,17.0041,9285.4889632012,0
BSCO.US,D,20141202,000000,16.9516,16.9684,16.9356,16.9356,5811.1206045363,0
BSCO.US,D,20141203,000000,16.9516,16.9594,16.8404,16.9276,6137.8826794876,0
BSCO.US,D,20141204,000000,16.9594,17.0041,16.9594,16.9684,8619.8625142262,0
BSCO.US,D,20141205,000000,16.8821,16.9436,16.8652,16.9436,9788.7428996232,0
BSCO.US,D,20141208,000000,16.9822,16.9882,16.9822,16.9822,1760.8845150158,0
BSCO.US,D,20141209,000000,17.0675,17.1102,16.9882,16.9882,435611.1613323,0
BSCO.US,D,20141210,000000,17.0318,17.0754,16.9822,17.0675,31272.340802752,0
BSCO.US,D,20141211,000000,17.0219,17.0397,16.9822,17.0318,22891.498695204,0
BSCO.US,D,20141212,000000,17.0318,17.1318,16.9752,17.0754,43939.413831732,0
BSCO.US,D,20141215,000000,17.0497,17.0823,16.9951,16.9951,8323.3561869554,0
BSCO.US,D,20141216,000000,17.1318,17.1318,16.9951,17.0754,14014.462325692,0
BSCO.US,D,20141217,000000,17.0397,17.1318,16.9684,17.0497,45248.479181382,0
BSCO.US,D,20141218,000000,16.9684,17.0823,16.9516,17.0219,14006.394126311,0
BSCO.US,D,20141219,000000,17.0041,17.1488,17.0041,17.0497,34211.182427469,0
BSCO.US,D,20141222,000000,17.1023,17.1488,17.0497,17.1488,42628.331432235,0
BSCO.US,D,20141223,000000,17.127,17.1318,17.0397,17.127,29393.458871782,0
BSCO.US,D,20141224,000000,17.0497,17.1181,17.0318,17.0675,11981.27608155,0
BSCO.US,D,20141226,000000,16.9822,17.0497,16.9822,17.0497,1194.0935084642,0
BSCO.US,D,20141229,000000,17.1568,17.1568,17.0298,17.0298,10139.709572719,0
BSCO.US,D,20141230,000000,17.125,17.2331,17.0813,17.125,17334.526371185,0
BSCO.US,D,20141231,000000,17.125,17.2073,17.0567,17.1318,28010.771202776,0
BSCO.US,D,20150102,000000,17.1974,17.239,17.1647,17.2331,4807.6383064604,0
BSCO.US,D,20150105,000000,17.3145,17.3391,17.2252,17.3065,7090.9387314291,0
BSCO.US,D,20150106,000000,17.364,17.4244,17.3145,17.3303,9215.9007435357,0
BSCO.US,D,20150107,000000,17.3471,17.364,17.2985,17.355,8776.1838772431,0
BSCO.US,D,20150108,000000,17.247,17.2906,17.2331,17.2559,16152.535161793,0
BSCO.US,D,20150109,000000,17.3065,17.3145,17.2252,17.2331,41384.820202559,0
BSCO.US,D,20150112,000000,17.364,17.3709,17.2985,17.3709,4908.4907987291,0
BSCO.US,D,20150113,000000,17.3709,17.4503,17.3303,17.4324,36942.267918111,0
BSCO.US,D,20150114,000000,17.5355,17.6019,17.5098,17.5098,33038.267942382,0
BSCO.US,D,20150115,000000,17.5434,17.6268,17.4155,17.5851,15240.828631681,0
