<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCP.US,D,20151009,000000,17.122,17.1469,17.122,17.1469,3855.2437282338,0
BSCP.US,D,20151015,000000,17.2836,17.2836,17.2836,17.2836,937.08043525095,0
BSCP.US,D,20151019,000000,17.2906,17.2906,17.2906,17.2906,1046.0198184663,0
BSCP.US,D,20151021,000000,17.3253,17.3253,17.3253,17.3253,242.08751825645,0
BSCP.US,D,20151023,000000,17.3085,17.3085,17.3085,17.3085,1518.0904790665,0
BSCP.US,D,20151027,000000,17.3779,17.3779,17.3779,17.3779,1175.1331615364,0
BSCP.US,D,20151028,000000,17.3521,17.3521,17.3521,17.3521,242.08751825645,0
BSCP.US,D,20151029,000000,17.3521,17.3521,17.3521,17.3521,101.87849726624,0
BSCP.US,D,20151102,000000,17.1786,17.2113,17.1786,17.2113,3029.1200721838,0
BSCP.US,D,20151103,000000,17.12,17.1449,17.12,17.1449,935.06303926549,0
BSCP.US,D,20151104,000000,17.1945,17.1945,17.12,17.12,2391.622940775,0
BSCP.US,D,20151105,000000,17.128,17.128,17.128,17.128,580.00134582272,0
BSCP.US,D,20151106,000000,17.0615,17.0615,17.0615,17.0615,1174.1244635438,0
BSCP.US,D,20151109,000000,17.0099,17.0359,17.002,17.0359,2514.6840958888,0
BSCP.US,D,20151112,000000,17.0704,17.0704,17.0459,17.0459,2216.1094900391,0
BSCP.US,D,20151113,000000,17.0784,17.0784,17.0784,17.0784,242.08751825645,0
BSCP.US,D,20151117,000000,17.0864,17.0864,17.0864,17.0864,101.87849726624,0
BSCP.US,D,20151118,000000,17.1111,17.1111,17.0934,17.1111,2329.0836652254,0
BSCP.US,D,20151120,000000,17.128,17.1598,17.128,17.1598,8288.4714063047,0
BSCP.US,D,20151123,000000,17.128,17.128,17.1111,17.128,1516.0730830809,0
BSCP.US,D,20151124,000000,17.128,17.128,17.12,17.128,2570.1624854892,0
BSCP.US,D,20151127,000000,17.1598,17.1598,17.1598,17.1598,101.87849726624,0
BSCP.US,D,20151130,000000,17.1686,17.1686,17.1686,17.1686,4322.2708988701,0
BSCP.US,D,20151201,000000,17.2976,17.2976,17.2976,17.2976,9305.2389829818,0
BSCP.US,D,20151202,000000,17.1866,17.1866,17.128,17.128,12956.725716683,0
BSCP.US,D,20151203,000000,17.0704,17.0704,16.9297,16.9297,2920.1806889682,0
BSCP.US,D,20151204,000000,17.0537,17.0934,17.0279,17.0934,7121.4078287101,0
BSCP.US,D,20151207,000000,17.1598,17.1598,17.1598,17.1598,1637.1168422091,0
BSCP.US,D,20151208,000000,17.128,17.128,17.128,17.128,1754.1258093664,0
BSCP.US,D,20151210,000000,17.128,17.128,17.0784,17.0784,4552.2540412138,0
BSCP.US,D,20151211,000000,17.1023,17.1023,17.1023,17.1023,709.11468889281,0
BSCP.US,D,20151214,000000,17.0459,19.438,16.9069,16.9069,12339.40254513,0
BSCP.US,D,20151216,000000,16.9069,17.1111,16.8981,16.8981,9111.5689683767,0
BSCP.US,D,20151217,000000,16.9198,16.9476,16.9198,16.9387,8871.4988461057,0
BSCP.US,D,20151218,000000,16.9843,16.9843,16.9476,16.9476,5605.3347456292,0
BSCP.US,D,20151221,000000,16.9476,16.9654,16.9476,16.9564,12729.768668316,0
BSCP.US,D,20151222,000000,16.9564,16.9564,16.9297,16.9297,5000.1159499883,0
BSCP.US,D,20151223,000000,16.9564,16.9564,16.9564,16.9564,1399.0641159236,0
BSCP.US,D,20151224,000000,16.9734,16.9754,16.9634,16.9634,3772.5304928295,0
BSCP.US,D,20151228,000000,16.9297,16.9754,16.9248,16.9704,6703.8068597179,0
