<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCQ.US,D,20160919,000000,17.6351,17.6351,17.5885,17.5885,3102.8553511658,0
BSCQ.US,D,20160921,000000,17.6162,17.6162,17.6162,17.6162,10527.075839725,0
BSCQ.US,D,20160922,000000,17.6351,17.6727,17.6351,17.6727,34413.302917847,0
BSCQ.US,D,20160923,000000,17.6974,17.7004,17.6905,17.6954,8947.8629078229,0
BSCQ.US,D,20160926,000000,17.6905,17.7272,17.6905,17.7222,12400.307302135,0
BSCQ.US,D,20160927,000000,17.7272,17.7648,17.7272,17.7648,10413.914068533,0
BSCQ.US,D,20160928,000000,17.7648,17.7717,17.7648,17.7717,2900.7807597516,0
BSCQ.US,D,20160929,000000,17.7648,17.7884,17.7222,17.7677,14383.669416866,0
BSCQ.US,D,20160930,000000,17.7182,17.7884,17.7182,17.7795,10351.270945195,0
BSCQ.US,D,20161003,000000,17.737,17.7469,17.6707,17.735,64493.116222814,0
BSCQ.US,D,20161004,000000,17.6727,17.7004,17.6727,17.7004,6261.2812149704,0
BSCQ.US,D,20161005,000000,17.6627,17.6627,17.5797,17.5797,8422.4689701458,0
BSCQ.US,D,20161006,000000,17.5885,17.6627,17.5797,17.6627,1702.4784326651,0
BSCQ.US,D,20161011,000000,17.6074,17.645,17.6074,17.645,2617.8763317716,0
BSCQ.US,D,20161012,000000,17.645,17.645,17.5885,17.6351,5008.4187482021,0
BSCQ.US,D,20161013,000000,17.645,17.6806,17.6351,17.6351,2384.4801786881,0
BSCQ.US,D,20161018,000000,17.6162,17.6351,17.6162,17.6351,354.64090793201,0
BSCQ.US,D,20161019,000000,17.645,17.6727,17.645,17.6727,2498.6523228371,0
BSCQ.US,D,20161020,000000,17.6538,17.6816,17.645,17.6816,2680.51945511,0
BSCQ.US,D,20161024,000000,17.6538,17.6627,17.6538,17.6627,232.38578012639,0
BSCQ.US,D,20161025,000000,17.6538,17.6627,17.645,17.645,2737.1003407059,0
BSCQ.US,D,20161026,000000,17.6162,17.645,17.6162,17.645,797.1842631292,0
BSCQ.US,D,20161027,000000,17.5708,17.5708,17.5459,17.5459,4009.1598936587,0
BSCQ.US,D,20161028,000000,17.5539,17.5539,17.4896,17.4896,8022.3612791456,0
BSCQ.US,D,20161031,000000,17.5371,17.5459,17.5371,17.5371,2264.2457967967,0
BSCQ.US,D,20161101,000000,17.4876,17.5381,17.4876,17.5381,8025.3923980169,0
BSCQ.US,D,20161102,000000,17.5579,17.5579,17.5332,17.5332,524.38356471997,0
BSCQ.US,D,20161103,000000,17.5192,17.5282,17.5124,17.5282,4113.228308237,0
BSCQ.US,D,20161107,000000,17.5718,17.5718,17.5242,17.5549,18784.854017868,0
BSCQ.US,D,20161109,000000,17.3838,17.3838,17.2787,17.3035,10917.079801155,0
BSCQ.US,D,20161110,000000,17.2857,17.2857,17.2669,17.2669,3404.9568653301,0
BSCQ.US,D,20161111,000000,17.2402,17.2402,17.1808,17.1808,14103.796107757,0
BSCQ.US,D,20161114,000000,16.9938,17.1501,16.9938,17.1501,2854.3036037262,0
BSCQ.US,D,20161115,000000,17.1292,17.1788,17.1292,17.1788,12029.50042689,0
BSCQ.US,D,20161116,000000,17.1372,17.1372,17.1036,17.1292,17576.447961212,0
