<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCR.US,D,20170929,000000,18.0669,18.0669,18.0639,18.0669,19847.378404319,0
BSCR.US,D,20171002,000000,18.058,18.0818,18.058,18.0818,3311.2594511475,0
BSCR.US,D,20171003,000000,18.0669,18.1016,18.0669,18.0918,33116.630171989,0
BSCR.US,D,20171004,000000,18.1384,18.1384,18.0966,18.0966,1382.2137257989,0
BSCR.US,D,20171005,000000,18.1016,18.1016,18.0898,18.0996,5784.1104306609,0
BSCR.US,D,20171006,000000,18.049,18.0818,18.049,18.0818,11658.014307742,0
BSCR.US,D,20171009,000000,18.0918,18.0918,18.0798,18.0918,9996.3310913985,0
BSCR.US,D,20171010,000000,18.1016,18.1016,18.0918,18.0918,3655.2995099048,0
BSCR.US,D,20171011,000000,18.1066,18.1294,18.1066,18.1224,2704.901459027,0
BSCR.US,D,20171012,000000,18.1214,18.1214,18.1115,18.1184,4191.0334430429,0
BSCR.US,D,20171013,000000,18.171,18.171,18.16,18.171,7703.0670047262,0
BSCR.US,D,20171016,000000,18.1551,18.1551,18.1551,18.1551,4230.3811330474,0
BSCR.US,D,20171017,000000,18.1384,18.1384,18.1384,18.1384,100.89151283204,0
BSCR.US,D,20171018,000000,18.1384,18.1384,18.1374,18.1374,7088.6376915791,0
BSCR.US,D,20171019,000000,18.171,18.171,18.1551,18.1551,3714.8255024757,0
BSCR.US,D,20171020,000000,18.1214,18.1214,18.1214,18.1214,287.54081157131,0
BSCR.US,D,20171024,000000,18.1214,18.1294,18.1135,18.1294,10253.604449119,0
BSCR.US,D,20171025,000000,18.058,18.0749,18.049,18.0749,3211.3768534439,0
BSCR.US,D,20171030,000000,18.1482,18.1482,18.1482,18.1482,225.99698874376,0
BSCR.US,D,20171102,000000,18.159,18.159,18.1511,18.159,1956.2864338132,0
BSCR.US,D,20171103,000000,18.167,18.167,18.1344,18.1404,10342.388980413,0
BSCR.US,D,20171106,000000,18.162,18.167,18.162,18.167,4854.8995974777,0
BSCR.US,D,20171107,000000,18.1502,18.159,18.1423,18.1423,17658.032575864,0
BSCR.US,D,20171109,000000,18.1125,18.1154,18.0928,18.1056,24437.942238176,0
BSCR.US,D,20171110,000000,18.0253,18.0253,18.0223,18.0253,1995.6341238178,0
BSCR.US,D,20171113,000000,18.053,18.053,18.0213,18.0253,6945.3717433577,0
BSCR.US,D,20171114,000000,18.0163,18.0253,18.0163,18.0203,1942.1616220168,0
BSCR.US,D,20171116,000000,18.063,18.0709,18.053,18.053,5178.7613536686,0
BSCR.US,D,20171117,000000,18.0956,18.0956,18.0679,18.0679,5709.4507111651,0
BSCR.US,D,20171120,000000,18.0858,18.0858,18.0788,18.0788,2258.9609723094,0
BSCR.US,D,20171121,000000,18.1056,18.1056,18.0956,18.0956,1071.4678662763,0
BSCR.US,D,20171122,000000,18.1414,18.1947,18.1304,18.185,5331.107538045,0
BSCR.US,D,20171127,000000,18.159,18.175,18.1521,18.175,10787.320552001,0
BSCR.US,D,20171129,000000,18.159,18.159,18.159,18.159,100.89151283204,0
BSCR.US,D,20171130,000000,18.159,18.159,18.1056,18.1154,993.78140139559,0
BSCR.US,D,20171204,000000,18.1571,18.1571,18.1304,18.1502,2115.6950240878,0
BSCR.US,D,20171205,000000,18.1404,18.1404,18.1384,18.1404,14073.357124941,0
BSCR.US,D,20171206,000000,18.1918,18.1927,18.1918,18.1927,2754.3383003147,0
BSCR.US,D,20171207,000000,18.1927,18.1927,18.173,18.1927,16760.098111659,0
BSCR.US,D,20171208,000000,18.1472,18.166,18.1452,18.1452,2143.9446476808,0
BSCR.US,D,20171211,000000,18.1927,18.1927,18.1927,18.1927,883.80965240867,0
BSCR.US,D,20171213,000000,18.1927,18.2216,18.1879,18.2216,4258.6307566404,0
BSCR.US,D,20171214,000000,18.2216,18.2216,18.183,18.2027,4741.9011031059,0
BSCR.US,D,20171215,000000,18.2216,18.2216,18.2027,18.2027,22232.453767668,0
BSCR.US,D,20171218,000000,18.2365,18.2385,18.2076,18.2076,3373.8121891034,0
BSCR.US,D,20171219,000000,18.173,18.173,18.1026,18.1304,7515.4087908587,0
BSCR.US,D,20171220,000000,18.0838,18.1125,18.0838,18.0838,6195.7478030155,0
