<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCS.US,D,20180815,000000,18.6011,18.6011,18.6011,18.6011,203.22523180749,0
BSCS.US,D,20180816,000000,18.6476,18.6476,18.6278,18.6278,587.43213771221,0
BSCS.US,D,20180817,000000,18.6099,18.6099,18.6099,18.6099,378.14048107464,0
BSCS.US,D,20180821,000000,18.6763,18.6763,18.6573,18.6573,1292.1484888058,0
BSCS.US,D,20180822,000000,18.6763,18.6763,18.6593,18.6673,5263.6346108947,0
BSCS.US,D,20180823,000000,18.6563,18.6583,18.6563,18.6583,1280.0156391458,0
BSCS.US,D,20180827,000000,18.6476,18.6476,18.6476,18.6476,744.14811248914,0
BSCS.US,D,20180828,000000,18.6099,18.6278,18.6099,18.6188,6481.9749309346,0
BSCS.US,D,20180829,000000,18.5843,18.5843,18.5793,18.5793,1226.42888648,0
BSCS.US,D,20180830,000000,18.6099,18.6099,18.5644,18.5644,1008.0375925975,0
BSCS.US,D,20180831,000000,18.6378,18.6378,18.6278,18.6278,920.0744325613,0
BSCS.US,D,20180904,000000,18.5644,18.5644,18.5554,18.5554,2722.8136778984,0
BSCS.US,D,20180905,000000,18.5554,18.5554,18.5269,18.5554,10697.129117031,0
BSCS.US,D,20180906,000000,18.6138,18.6188,18.6138,18.6188,400.38403878493,0
BSCS.US,D,20180907,000000,18.5369,18.5369,18.5199,18.5199,1993.8316274845,0
BSCS.US,D,20180910,000000,18.5329,18.5329,18.5329,18.5329,1996.8648398994,0
BSCS.US,D,20180911,000000,18.51,18.51,18.4924,18.51,5317.2213635603,0
BSCS.US,D,20180912,000000,18.5554,18.5554,18.5506,18.5506,5091.7525740425,0
BSCS.US,D,20180913,000000,18.5744,18.5843,18.5744,18.5843,2251.6546827626,0
BSCS.US,D,20180914,000000,18.5409,18.5467,18.5199,18.5467,2970.5260251264,0
BSCS.US,D,20180917,000000,18.5279,18.5554,18.4924,18.5279,3885.5451036627,0
BSCS.US,D,20180918,000000,18.4735,18.4735,18.4655,18.4655,6563.8716661406,0
BSCS.US,D,20180919,000000,18.4565,18.4565,18.4515,18.4515,11370.50227317,0
BSCS.US,D,20180920,000000,18.4655,18.4824,18.4655,18.4685,682.47279338338,0
BSCS.US,D,20180921,000000,18.4824,18.4914,18.4785,18.4914,5891.5095808073,0
BSCS.US,D,20180924,000000,18.4655,18.4914,18.4655,18.4735,5921.8417049577,0
BSCS.US,D,20180925,000000,18.4894,18.5369,18.4894,18.5369,2005.9644771446,0
BSCS.US,D,20180926,000000,18.51,18.5644,18.51,18.5644,4714.623163773,0
BSCS.US,D,20180927,000000,18.5932,18.6021,18.5793,18.5932,2484.2009679155,0
BSCS.US,D,20181001,000000,18.6002,18.6099,18.5564,18.5932,3347.6554353961,0
BSCS.US,D,20181002,000000,18.5843,18.5843,18.51,18.51,10341.232193666,0
BSCS.US,D,20181003,000000,18.4479,18.4479,18.438,18.438,5661.9965080695,0
BSCS.US,D,20181004,000000,18.3431,18.3626,18.3431,18.3526,1563.1154645493,0
BSCS.US,D,20181005,000000,18.3172,18.3172,18.2597,18.2717,5053.3318834521,0
BSCS.US,D,20181008,000000,18.2372,18.2372,18.2322,18.2322,1545.9272608639,0
BSCS.US,D,20181009,000000,18.2797,18.2797,18.2747,18.2747,2531.721295751,0
BSCS.US,D,20181010,000000,18.2577,18.2577,18.2412,18.2412,6234.2625837066,0
BSCS.US,D,20181011,000000,18.2993,18.3261,18.2509,18.3261,2588.3412608318,0
BSCS.US,D,20181012,000000,18.3351,18.3626,18.3261,18.3261,7710.4259590248,0
BSCS.US,D,20181015,000000,18.3172,18.3172,18.3172,18.3172,1615.6911464099,0
BSCS.US,D,20181016,000000,18.2976,18.3261,18.2976,18.3261,4703.5013849177,0
BSCS.US,D,20181017,000000,18.2896,18.2896,18.2896,18.2896,215.35808146764,0
