<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCT.US,D,20190917,000000,19.3812,19.393,19.3484,19.3653,6998.6868854694,0
BSCT.US,D,20190918,000000,19.4416,19.4535,19.3911,19.3911,2355.7737511804,0
BSCT.US,D,20190919,000000,19.4714,19.4714,19.408,19.408,3399.4198774532,0
BSCT.US,D,20190920,000000,19.4901,19.5248,19.4901,19.5248,909.40537695529,0
BSCT.US,D,20190923,000000,19.5784,19.5784,19.5437,19.5437,8032.2397223199,0
BSCT.US,D,20190924,000000,19.6477,19.6477,19.6229,19.6229,982.07706079633,0
BSCT.US,D,20190925,000000,19.515,19.5199,19.4941,19.4941,457.22601083324,0
BSCT.US,D,20190926,000000,19.5655,19.5784,19.5338,19.5338,2201.3464230182,0
BSCT.US,D,20190927,000000,19.5685,19.5685,19.5437,19.5437,1179.9055334747,0
BSCT.US,D,20190930,000000,19.6031,19.6081,19.6031,19.6031,2181.1598441735,0
BSCT.US,D,20191001,000000,19.6378,19.6378,19.6229,19.6229,310.87331420891,0
BSCT.US,D,20191002,000000,19.6576,19.6665,19.6428,19.6428,3197.554089006,0
BSCT.US,D,20191003,000000,19.7636,19.7646,19.7398,19.7398,517.78574736744,0
BSCT.US,D,20191004,000000,19.8012,19.8012,19.7874,19.7874,787.27657494465,0
BSCT.US,D,20191007,000000,19.7349,19.7349,19.7012,19.7012,698.45562802782,0
BSCT.US,D,20191008,000000,19.7448,19.7448,19.7201,19.7201,296.7427090176,0
BSCT.US,D,20191009,000000,19.7349,19.7349,19.6745,19.6922,839.76167994095,0
BSCT.US,D,20191010,000000,19.6081,19.6081,19.5981,19.5981,100.93289422367,0
BSCT.US,D,20191011,000000,19.5387,19.5387,19.508,19.508,1417.0978349004,0
BSCT.US,D,20191014,000000,19.5585,19.5685,19.5585,19.5635,6867.4741229787,0
BSCT.US,D,20191015,000000,19.5387,19.5387,19.5248,19.5248,10068.056198811,0
BSCT.US,D,20191016,000000,19.5387,19.5784,19.5387,19.5585,2687.8429731764,0
BSCT.US,D,20191017,000000,19.5734,19.5734,19.5734,19.5734,13.121276249077,0
BSCT.US,D,20191018,000000,19.6279,19.6279,19.6131,19.6131,5177.8574736744,0
BSCT.US,D,20191021,000000,19.5784,19.5784,19.5685,19.5784,13253.49834051,0
BSCT.US,D,20191022,000000,19.6081,19.618,19.5784,19.5843,4721.6407917834,0
BSCT.US,D,20191023,000000,19.5892,19.5932,19.5892,19.5932,1729.9898069937,0
BSCT.US,D,20191024,000000,19.6665,19.6665,19.6229,19.6229,2540.4809476098,0
BSCT.US,D,20191025,000000,19.6279,19.6279,19.6031,19.6031,4152.3792683619,0
BSCT.US,D,20191028,000000,19.5872,19.5882,19.5585,19.5585,1969.2007663038,0
BSCT.US,D,20191029,000000,19.5784,19.5784,19.5535,19.5535,2157.9452785021,0
