<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCU.US,D,20200918,000000,19.6041,20.1445,19.6041,19.6807,13888.843710375,0
BSCU.US,D,20200921,000000,19.6717,19.6717,19.6519,19.6519,654.0536209096,0
BSCU.US,D,20200922,000000,19.6717,19.6717,19.6329,19.6329,2391.1637753684,0
BSCU.US,D,20200923,000000,19.6329,19.6329,19.5045,19.5294,11489.642409712,0
BSCU.US,D,20200924,000000,19.5244,19.5543,19.4528,19.4558,11959.83763949,0
BSCU.US,D,20200925,000000,19.4756,19.4756,19.4209,19.4209,1722.03979453,0
BSCU.US,D,20200928,000000,19.4657,19.5244,19.4657,19.5145,2234.432032109,0
BSCU.US,D,20200929,000000,19.5344,19.5344,19.5145,19.5344,8494.6595465295,0
BSCU.US,D,20200930,000000,19.5244,19.5244,19.5045,19.5045,7066.9941159418,0
BSCU.US,D,20201001,000000,19.5443,19.5642,19.5443,19.5642,1808.4431914551,0
BSCU.US,D,20201002,000000,19.5344,19.5543,19.5344,19.5344,3762.5665288886,0
BSCU.US,D,20201005,000000,19.5244,19.5543,19.4756,19.4876,10941.081308303,0
BSCU.US,D,20201006,000000,19.5045,19.5045,19.5045,19.5045,1017.7516405245,0
BSCU.US,D,20201007,000000,19.4946,19.5543,19.4946,19.5045,3211.9960461567,0
BSCU.US,D,20201008,000000,19.5742,19.5742,19.5642,19.5692,529.47197883158,0
BSCU.US,D,20201009,000000,19.5642,19.5941,19.5543,19.5652,918.28726499443,0
BSCU.US,D,20201012,000000,19.6329,19.6617,19.6329,19.6429,4525.1267412855,0
BSCU.US,D,20201013,000000,19.6519,19.6519,19.6229,19.6329,2665.4443260725,0
BSCU.US,D,20201015,000000,19.6329,19.6329,19.5911,19.5911,7601.489548083,0
BSCU.US,D,20201016,000000,19.6229,19.6329,19.6041,19.6051,1329.2057457195,0
BSCU.US,D,20201019,000000,19.6041,19.614,19.5742,19.5742,1944.0764308142,0
BSCU.US,D,20201020,000000,19.5244,19.5523,19.5244,19.5523,185.86777245511,0
BSCU.US,D,20201021,000000,19.5443,19.5443,19.5344,19.5443,556.59862670341,0
BSCU.US,D,20201022,000000,19.5145,19.5145,19.4876,19.4876,817.81819880248,0
BSCU.US,D,20201023,000000,19.5165,19.5543,19.5165,19.5344,2840.2605012465,0
BSCU.US,D,20201026,000000,19.5543,19.5841,19.5443,19.5841,4976.2328484873,0
BSCU.US,D,20201027,000000,19.6041,19.6041,19.5841,19.6041,559.61269868917,0
BSCU.US,D,20201028,000000,19.5642,19.5642,19.5393,19.5393,3557.609633857,0
BSCU.US,D,20201029,000000,19.4946,19.5045,19.4846,19.4846,609.84723178514,0
BSCU.US,D,20201030,000000,19.4756,19.4756,19.407,19.407,509.37816559319,0
BSCU.US,D,20201102,000000,19.4607,19.4627,19.4607,19.4627,100.46906619195,0
BSCU.US,D,20201103,000000,19.4558,19.4558,19.4458,19.4458,1187.5443623889,0
BSCU.US,D,20201104,000000,19.6229,19.7205,19.6229,19.6957,842.93546535047,0
BSCU.US,D,20201105,000000,19.7593,19.7593,19.7424,19.7424,200.9381323839,0
BSCU.US,D,20201109,000000,19.6429,19.6519,19.6229,19.6229,5243.4805645579,0
BSCU.US,D,20201110,000000,19.6329,19.6717,19.6051,19.6051,903.21690506564,0
BSCU.US,D,20201111,000000,19.6041,19.6329,19.6041,19.6229,417.95131535852,0
BSCU.US,D,20201112,000000,19.6617,19.7055,19.6617,19.7055,711.32098863901,0
BSCU.US,D,20201113,000000,19.7055,19.7205,19.7055,19.7055,459.14363249722,0
BSCU.US,D,20201116,000000,19.7205,19.7493,19.7205,19.7443,5569.0003390198,0
BSCU.US,D,20201119,000000,19.8967,19.8967,19.8967,19.8967,179.83962848359,0
BSCU.US,D,20201120,000000,19.8867,19.8967,19.8678,19.8678,715.33975128669,0
BSCU.US,D,20201123,000000,19.8678,19.8678,19.8678,19.8678,385.80121417709,0
BSCU.US,D,20201124,000000,19.8867,19.8867,19.8867,19.8867,200.9381323839,0
BSCU.US,D,20201127,000000,19.9365,19.9365,19.9265,19.9265,183.85839113127,0
BSCU.US,D,20201130,000000,19.9365,19.9733,19.9365,19.9733,511.38754691703,0
BSCU.US,D,20201201,000000,19.9962,19.9962,19.8967,19.9086,3721.3742117499,0
BSCU.US,D,20201202,000000,19.8867,19.8867,19.8867,19.8867,252.1773561418,0
BSCU.US,D,20201207,000000,19.9664,19.9664,19.9166,19.9166,210.9850390031,0
BSCU.US,D,20201208,000000,19.9166,19.9315,19.9016,19.9016,4681.8584845449,0
BSCU.US,D,20201209,000000,19.8867,19.8867,19.8091,19.8091,4531.154885257,0
BSCU.US,D,20201210,000000,19.8389,19.9166,19.8389,19.8917,285372.33561162,0
BSCU.US,D,20201211,000000,19.9166,19.9265,19.8778,19.8917,12935.392272214,0
BSCU.US,D,20201214,000000,19.9763,19.9763,19.8489,19.8957,12981.608042662,0
BSCU.US,D,20201215,000000,19.9166,19.9464,19.9066,19.9414,7523.1236764533,0
BSCU.US,D,20201216,000000,19.9265,19.9564,19.9255,19.9265,4818.496414566,0
BSCU.US,D,20201217,000000,19.9365,19.9365,19.9265,19.9265,2123.9160592978,0
BSCU.US,D,20201218,000000,19.9564,20.0062,19.9265,19.9265,13926.017264867,0
BSCU.US,D,20201221,000000,19.9962,19.9962,19.8967,19.8967,21753.562211882,0
BSCU.US,D,20201222,000000,19.9962,19.9962,19.9355,19.9464,2113.8691526786,0
BSCU.US,D,20201223,000000,19.9464,19.9664,19.9066,19.9564,35349.036248976,0
BSCU.US,D,20201224,000000,19.9763,19.9962,19.9763,19.9862,5412.2685957604,0
BSCU.US,D,20201228,000000,19.9763,20.026,19.9763,20.0161,8799.0808170911,0
BSCU.US,D,20201229,000000,19.9862,20.046,19.9862,20.028,12470.220495745,0
BSCU.US,D,20201230,000000,20.056,20.0758,20.026,20.046,12262.249528728,0
BSCU.US,D,20201231,000000,20.0758,20.0858,20.056,20.056,19929.043969836,0
BSCU.US,D,20210104,000000,20.0658,20.0658,19.9962,19.9962,25335.284421625,0
BSCU.US,D,20210105,000000,19.9763,20.0658,19.9464,19.9514,12344.634163005,0
BSCU.US,D,20210106,000000,19.8191,19.829,19.7891,19.829,10446.773502639,0
BSCU.US,D,20210107,000000,19.7991,19.8081,19.7891,19.7991,4320.1698462539,0
BSCU.US,D,20210108,000000,19.8191,19.829,19.7493,19.7593,13711.013463216,0
BSCU.US,D,20210111,000000,19.7394,19.7483,19.6907,19.6907,19533.195849039,0
BSCU.US,D,20210112,000000,19.6319,19.6995,19.6319,19.6917,1562.2939792848,0
BSCU.US,D,20210113,000000,19.7793,19.8589,19.7793,19.8191,9607.8567999363,0
BSCU.US,D,20210114,000000,19.8678,19.8678,19.7793,19.7793,10513.083086326,0
BSCU.US,D,20210115,000000,19.8171,19.8489,19.8091,19.8091,11913.621869041,0
BSCU.US,D,20210119,000000,19.8678,19.8678,19.8091,19.8091,18590.796008158,0
BSCU.US,D,20210120,000000,19.8439,19.8589,19.8091,19.8091,16254.890219196,0
BSCU.US,D,20210121,000000,19.7793,19.7891,19.7693,19.7693,17546.922410424,0
BSCU.US,D,20210122,000000,19.8191,19.8389,19.7593,19.7593,32665.507490989,0
BSCU.US,D,20210125,000000,19.829,19.829,19.8191,19.829,26175.205814989,0
BSCU.US,D,20210126,000000,19.829,19.8389,19.8191,19.8191,6391.8419911319,0
BSCU.US,D,20210127,000000,19.9166,19.9166,19.7991,19.8091,11438.403185954,0
BSCU.US,D,20210128,000000,19.8191,19.8191,19.7991,19.7991,7980.2579276267,0
BSCU.US,D,20210129,000000,19.7205,19.7394,19.7135,19.7255,9022.1221440372,0
BSCU.US,D,20210201,000000,19.7991,19.7991,19.7593,19.7593,14283.68714051,0
BSCU.US,D,20210202,000000,19.7295,19.7493,19.7255,19.7255,10548.247259493,0
BSCU.US,D,20210203,000000,19.7593,19.7793,19.7345,19.7345,1217.6850822464,0
BSCU.US,D,20210204,000000,19.7105,19.7295,19.7015,19.7165,3773.6181261697,0
BSCU.US,D,20210205,000000,19.7295,19.7295,19.7205,19.7205,3319.4979469821,0
BSCU.US,D,20210208,000000,19.7285,19.7434,19.7205,19.7205,24251.223197413,0
BSCU.US,D,20210209,000000,19.7295,19.7295,19.7295,19.7295,567.65022398452,0
BSCU.US,D,20210210,000000,19.7543,19.7593,19.7543,19.7593,2920.6357542,0
BSCU.US,D,20210211,000000,19.7793,19.7793,19.7295,19.7295,11395.201487491,0
BSCU.US,D,20210212,000000,19.7105,19.7205,19.6857,19.6857,4277.9728384533,0
BSCU.US,D,20210216,000000,19.6509,19.6509,19.5234,19.5234,8476.5751146149,0
BSCU.US,D,20210217,000000,19.5334,19.5632,19.5324,19.5583,10158.427282668,0
BSCU.US,D,20210218,000000,19.5284,19.5831,19.5284,19.5533,8223.3930678112,0
BSCU.US,D,20210219,000000,19.5433,19.5632,19.4438,19.4438,54452.224494713,0
BSCU.US,D,20210222,000000,19.405,19.4229,19.3354,19.3354,2193.2397149703,0
BSCU.US,D,20210223,000000,19.3552,19.3552,19.3552,19.3552,345.61358770031,0
BSCU.US,D,20210224,000000,19.3652,19.3752,19.3502,19.3752,9667.1335489895,0
BSCU.US,D,20210225,000000,19.2268,19.2268,19.0586,19.0586,16305.124752292,0
BSCU.US,D,20210226,000000,19.187,19.2268,19.1273,19.2268,14862.388961775,0
BSCU.US,D,20210301,000000,19.2756,19.2846,19.2517,19.2656,8683.5413909703,0
BSCU.US,D,20210302,000000,19.3054,19.3054,19.2736,19.2856,14081.744317464,0
BSCU.US,D,20210303,000000,19.1671,19.197,19.1671,19.1671,1815.4760260886,0
BSCU.US,D,20210304,000000,19.1472,19.1671,18.9999,19.0099,16342.298306783,0
BSCU.US,D,20210305,000000,18.9421,18.9471,18.9023,18.9471,10756.21822651,0
BSCU.US,D,20210308,000000,18.9123,18.9123,18.8028,18.8028,5086.7488212985,0
BSCU.US,D,20210309,000000,18.9799,18.9799,18.8923,18.8923,1925.9919988997,0
BSCU.US,D,20210310,000000,18.9521,19.0099,18.9521,18.9799,8606.1802100025,0
BSCU.US,D,20210311,000000,18.9899,19.0198,18.9859,18.9859,10487.965819778,0
BSCU.US,D,20210312,000000,18.8426,18.8516,18.8227,18.8227,15329.570119567,0
BSCU.US,D,20210315,000000,18.8625,18.8675,18.8525,18.8575,3330.5495442632,0
BSCU.US,D,20210316,000000,18.8625,18.8625,18.8396,18.8476,19082.089741837,0
BSCU.US,D,20210317,000000,18.7929,18.9123,18.7839,18.8426,21522.48335964,0
BSCU.US,D,20210318,000000,18.6983,18.753,18.6983,18.7331,3518.4266980421,0
BSCU.US,D,20210319,000000,18.6933,18.7431,18.6933,18.7082,5084.7394399746,0
BSCU.US,D,20210322,000000,18.8028,18.8426,18.7829,18.7879,34681.921649461,0
BSCU.US,D,20210323,000000,18.8227,18.8525,18.8227,18.8327,3510.3891727468,0
BSCU.US,D,20210324,000000,18.8825,18.8825,18.8426,18.8725,3028.1376550254,0
BSCU.US,D,20210325,000000,18.8923,18.9023,18.8625,18.8625,3942.4061573722,0
BSCU.US,D,20210326,000000,18.8426,18.8725,18.8426,18.8625,6932.3655672446,0
BSCU.US,D,20210329,000000,18.8317,18.8327,18.7929,18.7929,19269.966895616,0
BSCU.US,D,20210330,000000,18.7729,18.8028,18.7321,18.8028,2333.896407639,0
BSCU.US,D,20210331,000000,18.8327,18.8625,18.8277,18.8327,3211.9960461567,0
BSCU.US,D,20210401,000000,18.9322,18.9471,18.9322,18.9471,2671.472470044,0
BSCU.US,D,20210405,000000,18.8923,18.9322,18.8625,18.8625,35368.125371552,0
BSCU.US,D,20210406,000000,18.9421,18.9899,18.9421,18.9749,7361.3684798842,0
BSCU.US,D,20210407,000000,18.9949,19.0287,18.9799,18.9799,7038.8627774081,0
BSCU.US,D,20210408,000000,19.0297,19.0497,19.0247,19.0347,10688.903952161,0
BSCU.US,D,20210409,000000,18.9999,19.0885,18.9899,18.9949,14137.00230387,0
BSCU.US,D,20210412,000000,18.9849,19.0099,18.9799,18.9849,13294.066838519,0
