<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJO.US,D,20160919,000000,20.1281,20.1526,20.1281,20.1526,5858.4282695906,0
BSJO.US,D,20160921,000000,20.1858,20.2721,20.1858,20.2721,36095.016793318,0
BSJO.US,D,20160922,000000,20.3143,20.331,20.3026,20.3026,20122.028435019,0
BSJO.US,D,20160923,000000,20.3457,20.3457,20.3457,20.3457,5833.9501570436,0
BSJO.US,D,20160926,000000,20.281,20.281,20.281,20.281,103.01205696878,0
BSJO.US,D,20160927,000000,20.2721,20.2721,20.2721,20.2721,1488.0652585885,0
BSJO.US,D,20160928,000000,20.3388,20.4388,20.281,20.4388,18267.811409582,0
BSJO.US,D,20160929,000000,20.3761,20.3761,20.2408,20.2643,32990.376185268,0
BSJO.US,D,20160930,000000,20.4652,20.5193,20.4652,20.5193,6200.101923893,0
BSJO.US,D,20161004,000000,20.4203,20.43,20.4035,20.4035,33122.965961564,0
BSJO.US,D,20161007,000000,20.43,20.4721,20.4035,20.4721,15257.003566296,0
BSJO.US,D,20161010,000000,20.5409,20.5742,20.5349,20.5742,12902.005155001,0
BSJO.US,D,20161011,000000,20.479,20.479,20.479,20.479,3847.1433553091,0
BSJO.US,D,20161012,000000,20.4761,20.4761,20.4565,20.4652,18617.644434733,0
BSJO.US,D,20161013,000000,20.3594,20.4203,20.3388,20.4203,9794.3047828828,0
BSJO.US,D,20161014,000000,20.4476,20.4869,20.4476,20.4751,6451.0025775002,0
BSJO.US,D,20161017,000000,20.4869,20.4869,20.4388,20.4388,6305.1538235741,0
BSJO.US,D,20161018,000000,20.5261,20.5261,20.5104,20.5104,7011.9593233698,0
BSJO.US,D,20161019,000000,20.5654,20.5654,20.5654,20.5654,252.94049631938,0
BSJO.US,D,20161024,000000,20.632,20.6389,20.632,20.6389,680.28754453638,0
BSJO.US,D,20161025,000000,20.5654,20.5654,20.5654,20.5654,103.01205696878,0
BSJO.US,D,20161026,000000,20.5564,20.5564,20.5564,20.5564,357.99239600041,0
BSJO.US,D,20161027,000000,20.4388,20.4388,20.43,20.43,3352.4814975878,0
BSJO.US,D,20161028,000000,20.3957,20.3957,20.3016,20.3526,9683.133355065,0
BSJO.US,D,20161031,000000,20.3075,20.3231,20.2917,20.2917,2854.7598757981,0
BSJO.US,D,20161101,000000,20.2898,20.2898,20.1623,20.2328,21471.384389175,0
BSJO.US,D,20161102,000000,20.1231,20.1428,20.0859,20.0859,7587.1949682251,0
BSJO.US,D,20161103,000000,20.029,20.029,20.029,20.029,14192.205670501,0
BSJO.US,D,20161104,000000,20.1055,20.1182,20.0378,20.0623,13083.551156391,0
BSJO.US,D,20161107,000000,20.2063,20.2672,20.2063,20.2672,44488.969554238,0
BSJO.US,D,20161108,000000,20.1133,20.1878,20.1055,20.1703,36793.662922264,0
BSJO.US,D,20161109,000000,20.1703,20.1703,20.1378,20.1378,12340.028487774,0
BSJO.US,D,20161110,000000,20.0535,20.0535,19.7505,19.7505,5678.9221109123,0
BSJO.US,D,20161111,000000,19.9368,19.9368,19.5917,19.5917,4070.5061323009,0
BSJO.US,D,20161114,000000,19.8603,19.8603,19.8603,19.8603,18144.400925491,0
BSJO.US,D,20161115,000000,19.93,20.0113,19.93,20.0113,48799.157205229,0
BSJO.US,D,20161116,000000,19.8897,19.9368,19.8897,19.93,9517.9060953726,0
BSJO.US,D,20161117,000000,20.0203,20.0467,19.9958,20.0015,8303.1797602259,0
BSJO.US,D,20161118,000000,20.0937,20.0937,19.9693,20.0623,5092.4673311397,0
BSJO.US,D,20161121,000000,20.0859,20.1006,20.0859,20.1006,284.55805835929,0
BSJO.US,D,20161122,000000,20.1231,20.1977,20.1055,20.1623,5817.6314153455,0
BSJO.US,D,20161125,000000,20.1545,20.1545,20.1261,20.1261,613.99265638816,0
BSJO.US,D,20161128,000000,20.0712,20.0712,20.0712,20.0712,616.0324991004,0
BSJO.US,D,20161129,000000,20.1045,20.18,20.1045,20.1703,1358.5352463605,0
BSJO.US,D,20161130,000000,20.1977,20.2328,20.1977,20.2163,1319.7782348277,0
BSJO.US,D,20161201,000000,20.1868,20.1868,20.1133,20.1133,10113.540167351,0
BSJO.US,D,20161202,000000,20.2083,20.2083,20.2083,20.2083,155.02804613122,0
BSJO.US,D,20161205,000000,20.1967,20.1967,20.1613,20.1613,34035.795575298,0
BSJO.US,D,20161206,000000,20.1458,20.1828,20.1458,20.1693,11320.107131648,0
BSJO.US,D,20161207,000000,20.2143,20.3408,20.2143,20.3408,13786.276970762,0
BSJO.US,D,20161208,000000,20.3898,20.3898,20.3623,20.3888,3434.0752060779,0
BSJO.US,D,20161209,000000,20.4241,20.4516,20.4133,20.4418,47162.183428647,0
BSJO.US,D,20161212,000000,20.4516,20.4986,20.3408,20.3408,30772.047235692,0
BSJO.US,D,20161213,000000,20.484,20.484,20.3799,20.3799,19804.832893264,0
BSJO.US,D,20161214,000000,20.3977,20.4516,20.3271,20.3271,19803.812971908,0
BSJO.US,D,20161215,000000,20.3623,20.434,20.3339,20.434,24439.355535503,0
BSJO.US,D,20161216,000000,20.3554,20.3663,20.3554,20.3663,1379.9535948393,0
BSJO.US,D,20161219,000000,20.3898,20.3898,20.3574,20.3849,2381.5163665555,0
BSJO.US,D,20161220,000000,20.3408,20.3752,20.3408,20.3752,781.25975879292,0
BSJO.US,D,20161222,000000,20.3967,20.3967,20.3967,20.3967,636.43092622293,0
BSJO.US,D,20161223,000000,20.3849,20.4595,20.3849,20.4163,41208.902472937,0
BSJO.US,D,20161227,000000,20.4908,20.4908,20.4241,20.4476,38892.661073172,0
BSJO.US,D,20161228,000000,20.4956,20.5124,20.4476,20.4476,4410.139943891,0
BSJO.US,D,20161229,000000,20.5124,20.5124,20.4889,20.4899,2450.8710187719,0
BSJO.US,D,20161230,000000,20.5124,20.5221,20.4751,20.5221,5889.0259102745,0
BSJO.US,D,20170103,000000,20.6015,20.6015,20.5045,20.529,9776.9661198288,0
BSJO.US,D,20170104,000000,20.5869,20.6673,20.5634,20.6015,36027.701983812,0
BSJO.US,D,20170105,000000,20.626,20.6515,20.626,20.6515,60339.5673498,0
BSJO.US,D,20170106,000000,20.5947,20.683,20.5947,20.6084,7611.6730807722,0
BSJO.US,D,20170109,000000,20.683,20.7075,20.6673,20.6899,18888.943515462,0
BSJO.US,D,20170110,000000,20.726,20.726,20.675,20.6899,19648.784925777,0
BSJO.US,D,20170111,000000,20.7349,20.7349,20.6673,20.6673,8174.6696693539,0
BSJO.US,D,20170112,000000,20.683,20.6899,20.634,20.6605,10662.257856946,0
BSJO.US,D,20170113,000000,20.683,20.7399,20.675,20.7399,22505.584644288,0
BSJO.US,D,20170117,000000,20.726,20.726,20.6899,20.726,16658.375509615,0
BSJO.US,D,20170118,000000,20.7174,20.7349,20.683,20.7075,13586.372384961,0
BSJO.US,D,20170119,000000,20.7174,20.7174,20.7174,20.7174,298.83695734507,0
BSJO.US,D,20170120,000000,20.7174,20.7174,20.6899,20.6899,1253.4833466795,0
