<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJP.US,D,20170928,000000,20.913,20.913,20.8865,20.913,2768.5663119808,0
BSJP.US,D,20170929,000000,20.9463,20.9561,20.9316,20.9316,1492.5739416251,0
BSJP.US,D,20171002,000000,20.9463,20.9463,20.9384,20.9454,4071.1205731526,0
BSJP.US,D,20171004,000000,20.9463,20.9463,20.9444,20.9444,1098.2320241253,0
BSJP.US,D,20171005,000000,20.9855,20.9855,20.9855,20.9855,225.77607193644,0
BSJP.US,D,20171006,000000,20.9384,20.962,20.9384,20.962,725.34394151526,0
BSJP.US,D,20171009,000000,20.9796,20.9796,20.9796,20.9796,242.12185090018,0
BSJP.US,D,20171010,000000,21.0002,21.0002,21.0002,21.0002,5271.513715801,0
BSJP.US,D,20171011,000000,20.9855,20.9855,20.9777,20.9777,3352.9279099339,0
BSJP.US,D,20171012,000000,20.9708,20.9708,20.9708,20.9708,242.12185090018,0
BSJP.US,D,20171013,000000,20.9718,20.9855,20.9718,20.9718,2519.2931827841,0
BSJP.US,D,20171016,000000,20.9855,20.9855,20.9718,20.9718,1322.9864848765,0
BSJP.US,D,20171017,000000,20.9855,21.0002,20.9825,21.0002,718.19266321863,0
BSJP.US,D,20171018,000000,21.0002,21.0275,21.0002,21.0275,597.64254336117,0
BSJP.US,D,20171019,000000,20.9933,21.0041,20.9933,21.0041,1351.5915980629,0
BSJP.US,D,20171020,000000,21.0629,21.0629,21.0629,21.0629,1794.970852454,0
BSJP.US,D,20171025,000000,21.0275,21.0275,20.9659,20.9659,1342.3970973958,0
BSJP.US,D,20171026,000000,20.9551,20.9551,20.9258,20.9384,5235.7573243179,0
BSJP.US,D,20171030,000000,20.9384,20.9463,20.8847,20.8847,1853.2026900123,0
BSJP.US,D,20171031,000000,20.9639,20.9659,20.9639,20.9659,599.68576573163,0
BSJP.US,D,20171101,000000,20.9933,20.9933,20.9659,20.9659,3189.4701202968,0
BSJP.US,D,20171102,000000,20.96,20.96,20.9346,20.96,2259.8039417349,0
BSJP.US,D,20171103,000000,20.9454,20.9649,20.9454,20.9649,312.61302268123,0
BSJP.US,D,20171106,000000,20.9169,20.9346,20.8974,20.9071,5181.6119315006,0
BSJP.US,D,20171107,000000,20.9346,20.9346,20.8808,20.8808,2623.4975236777,0
BSJP.US,D,20171108,000000,20.8396,20.8396,20.7916,20.8083,1570.2163917028,0
BSJP.US,D,20171109,000000,20.6527,20.6527,20.6527,20.6527,570.05904135989,0
BSJP.US,D,20171110,000000,20.6859,20.7133,20.6859,20.7133,1464.9904396238,0
BSJP.US,D,20171113,000000,20.6977,20.6977,20.6703,20.6703,2372.1811721105,0
BSJP.US,D,20171114,000000,20.6155,20.6155,20.6155,20.6155,3724.7943813587,0
BSJP.US,D,20171115,000000,20.4931,20.5558,20.4471,20.5558,3883.1441150699,0
BSJP.US,D,20171116,000000,20.6888,20.7222,20.6888,20.7222,2943.2618246557,0
BSJP.US,D,20171117,000000,20.7652,20.7741,20.7398,20.7731,3963.8513987031,0
BSJP.US,D,20171120,000000,20.7916,20.8045,20.7916,20.8045,599.68576573163,0
BSJP.US,D,20171121,000000,20.8573,20.8573,20.8573,20.8573,558.82131832233,0
BSJP.US,D,20171122,000000,20.8583,20.8885,20.8563,20.8808,5321.5726638775,0
BSJP.US,D,20171124,000000,20.9169,20.9268,20.9169,20.9268,4190.6490818249,0
BSJP.US,D,20171127,000000,20.8484,20.8484,20.7996,20.8211,3872.9280032174,0
BSJP.US,D,20171128,000000,20.9268,20.9414,20.9268,20.9414,1358.7428763596,0
BSJP.US,D,20171129,000000,20.9346,20.9346,20.9268,20.9268,1667.2694542998,0
BSJP.US,D,20171130,000000,20.9375,20.9414,20.9375,20.9414,1242.279201243,0
BSJP.US,D,20171201,000000,20.9268,20.96,20.9268,20.96,1328.0945408026,0
BSJP.US,D,20171205,000000,20.9806,20.9903,20.961,20.9767,2582.6330762684,0
BSJP.US,D,20171206,000000,20.9688,20.9688,20.9513,20.961,2120.8648205433,0
BSJP.US,D,20171207,000000,20.9414,20.961,20.9356,20.9513,3706.4053800245,0
BSJP.US,D,20171208,000000,20.9992,20.9992,20.9992,20.9992,194.10612519423,0
BSJP.US,D,20171211,000000,20.9992,20.9992,20.9992,20.9992,179.80356860097,0
BSJP.US,D,20171212,000000,20.9835,20.9835,20.9346,20.9346,2357.8786155173,0
BSJP.US,D,20171213,000000,20.9767,20.9767,20.9591,20.961,2600.0004664174,0
BSJP.US,D,20171214,000000,20.9424,20.9424,20.8895,20.8895,1226.9550334645,0
BSJP.US,D,20171218,000000,20.9384,20.9513,20.9278,20.9513,1346.4835421368,0
BSJP.US,D,20171219,000000,20.9356,20.9424,20.8895,20.9424,2623.4975236777,0
BSJP.US,D,20171220,000000,20.9081,20.9179,20.9061,20.9179,1168.7231959064,0
BSJP.US,D,20171221,000000,20.961,20.961,20.961,20.961,113.39884156083,0
BSJP.US,D,20171222,000000,20.9346,20.9346,20.9346,20.9346,241.10023971493,0
BSJP.US,D,20171227,000000,21.006,21.006,21.006,21.006,949.07679108123,0
BSJP.US,D,20171228,000000,20.9923,21.0266,20.9786,21.0266,7958.3511329632,0
BSJP.US,D,20171229,000000,21.052,21.0619,21.0304,21.0354,12343.106339983,0
BSJP.US,D,20180102,000000,21.0266,21.0619,21.0266,21.0619,2219.9611055108,0
BSJP.US,D,20180103,000000,21.102,21.1538,21.102,21.1538,7242.2016921151,0
BSJP.US,D,20180104,000000,21.2469,21.3094,21.2469,21.2997,64149.009543136,0
BSJP.US,D,20180105,000000,21.2899,21.3094,21.28,21.3094,19378.94257268,0
BSJP.US,D,20180108,000000,21.3261,21.3339,21.3016,21.3174,19268.608564675,0
BSJP.US,D,20180109,000000,21.2997,21.3094,21.28,21.28,11886.446140184,0
BSJP.US,D,20180110,000000,21.2135,21.231,21.2125,21.231,15617.370188654,0
BSJP.US,D,20180111,000000,21.2645,21.2899,21.231,21.28,14371.004542669,0
BSJP.US,D,20180112,000000,21.2645,21.2645,21.2469,21.2469,2069.7842612816,0
BSJP.US,D,20180116,000000,21.2899,21.2899,21.2224,21.2224,10341.770028111,0
BSJP.US,D,20180117,000000,21.2545,21.2645,21.231,21.2645,4216.1893614557,0
BSJP.US,D,20180118,000000,21.2224,21.2224,21.1382,21.1382,28808.413812378,0
BSJP.US,D,20180119,000000,21.1293,21.1293,21.0794,21.0941,14537.527165863,0
BSJP.US,D,20180122,000000,21.1382,21.1382,21.1108,21.1108,5680.1581898943,0
BSJP.US,D,20180123,000000,21.147,21.1734,21.147,21.1666,4129.3524107109,0
BSJP.US,D,20180124,000000,21.1861,21.1861,21.147,21.1636,7220.7478572252,0
BSJP.US,D,20180125,000000,21.1774,21.1774,21.1774,21.1774,15455.955621387,0
BSJP.US,D,20180126,000000,21.1774,21.1774,21.1636,21.1774,6605.7379237151,0
BSJP.US,D,20180129,000000,21.1293,21.147,21.1108,21.1108,15999.45277193,0
BSJP.US,D,20180130,000000,21.051,21.052,21.0099,21.0168,8350.6498280927,0
BSJP.US,D,20180131,000000,21.0178,21.0619,21.0178,21.0394,9878.9801612009,0
BSJP.US,D,20180201,000000,21.0148,21.0158,20.9532,20.9532,12259.334222794,0
BSJP.US,D,20180202,000000,20.8759,20.8847,20.8073,20.8073,17801.574902681,0
BSJP.US,D,20180205,000000,20.7946,20.8524,20.6253,20.6302,128271.45719545,0
BSJP.US,D,20180206,000000,20.7516,20.8602,20.6782,20.8348,144481.36187154,0
BSJP.US,D,20180207,000000,20.8121,20.8924,20.7516,20.7516,36918.985011941,0
BSJP.US,D,20180208,000000,20.5735,20.5735,20.5735,20.5735,50173.368529152,0
BSJP.US,D,20180209,000000,20.5011,20.5011,20.5011,20.5011,5838.5079236052,0
BSJP.US,D,20180212,000000,20.5548,20.6547,20.5548,20.6175,34772.579911768,0
BSJP.US,D,20180213,000000,20.5011,20.5106,20.4696,20.4921,22348.766288152,0
