<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJQ.US,D,20180821,000000,21.8057,21.8076,21.8057,21.8076,232.17697593374,0
BSJQ.US,D,20180824,000000,21.8575,21.8674,21.8575,21.8575,463.33114580609,0
BSJQ.US,D,20180827,000000,21.8721,21.8721,21.8721,21.8721,171.83141831219,0
BSJQ.US,D,20180829,000000,21.834,21.834,21.834,21.834,691.41689749431,0
BSJQ.US,D,20180830,000000,21.8937,21.8937,21.877,21.877,571.74858831259,0
BSJQ.US,D,20180904,000000,21.8497,21.877,21.8497,21.877,3832.4543119987,0
BSJQ.US,D,20180905,000000,21.8674,21.8674,21.833,21.833,6071.3767803641,0
BSJQ.US,D,20180906,000000,21.833,21.8575,21.833,21.8497,1841.0509104879,0
BSJQ.US,D,20180910,000000,21.8497,21.8575,21.838,21.8575,2843.4008506423,0
BSJQ.US,D,20180911,000000,21.8575,21.9024,21.8575,21.9024,4591.3764095443,0
BSJQ.US,D,20180912,000000,21.9114,21.9124,21.9074,21.9124,699.59934598536,0
BSJQ.US,D,20180914,000000,21.9387,21.9387,21.9339,21.9358,3056.1445114097,0
BSJQ.US,D,20180918,000000,22.0013,22.01,22.0013,22.01,457.1943094378,0
BSJQ.US,D,20180919,000000,21.9914,21.9914,21.9914,21.9914,211.7208547061,0
BSJQ.US,D,20180920,000000,21.9914,21.9914,21.9778,21.9914,3071.4866023304,0
BSJQ.US,D,20180921,000000,21.9914,21.9914,21.9739,21.9914,2553.9467352711,0
BSJQ.US,D,20180924,000000,21.9378,21.9554,21.9378,21.9554,6266.7327380881,0
BSJQ.US,D,20180925,000000,22.0325,22.0765,22.0277,22.0765,1767.4088740682,0
BSJQ.US,D,20180926,000000,22.0667,22.0765,22.0492,22.0492,7841.8540726166,0
BSJQ.US,D,20180927,000000,22.1019,22.1019,22.0872,22.1019,1115.8814129679,0
BSJQ.US,D,20180928,000000,22.1293,22.1293,22.1293,22.1293,882.68163097276,0
BSJQ.US,D,20181001,000000,22.1293,22.1293,22.1293,22.1293,237.29100624064,0
BSJQ.US,D,20181002,000000,22.058,22.058,22.0502,22.054,6978.6057568101,0
BSJQ.US,D,20181003,000000,22.0942,22.0942,22.0423,22.0423,3865.1841059631,0
BSJQ.US,D,20181004,000000,22.0188,22.0188,21.8879,21.9005,3925.5296635846,0
BSJQ.US,D,20181005,000000,21.8664,21.8664,21.8664,21.8664,225.01733350406,0
BSJQ.US,D,20181008,000000,21.7559,21.7559,21.7196,21.7196,1008.4867765228,0
BSJQ.US,D,20181009,000000,21.7382,21.7382,21.6844,21.7382,797.78872787806,0
BSJQ.US,D,20181010,000000,21.6844,21.6844,21.5613,21.5701,2570.3116322532,0
BSJQ.US,D,20181011,000000,21.5359,21.5877,21.5211,21.5877,1360.3320616381,0
BSJQ.US,D,20181012,000000,21.6668,21.6756,21.6668,21.6756,1022.8060613821,0
BSJQ.US,D,20181015,000000,21.6248,21.6756,21.6248,21.6405,1864.5754498996,0
BSJQ.US,D,20181016,000000,21.7402,21.7539,21.7314,21.7539,2052.7717651939,0
BSJQ.US,D,20181017,000000,21.7011,21.7011,21.6923,21.6923,2535.5362261663,0
BSJQ.US,D,20181018,000000,21.6297,21.6307,21.6121,21.615,7038.9513144317,0
BSJQ.US,D,20181019,000000,21.6121,21.6121,21.5965,21.5965,6005.9171924357,0
BSJQ.US,D,20181022,000000,21.6571,21.6571,21.6571,21.6571,274.11202445041,0
BSJQ.US,D,20181023,000000,21.4909,21.5164,21.4909,21.5164,326.27513358089,0
BSJQ.US,D,20181024,000000,21.5172,21.5261,21.5172,21.5261,562.54333376016,0
BSJQ.US,D,20181025,000000,21.5261,21.5359,21.5261,21.5359,604.47838227683,0
BSJQ.US,D,20181029,000000,21.4215,21.4215,21.4215,21.4215,752.78526117723,0
BSJQ.US,D,20181030,000000,21.3735,21.3735,21.3735,21.3735,237.29100624064,0
BSJQ.US,D,20181102,000000,21.5006,21.5172,21.4645,21.5006,18392.098595773,0
BSJQ.US,D,20181105,000000,21.5006,21.5359,21.4909,21.5075,9817.9153832069,0
BSJQ.US,D,20181106,000000,21.5456,21.5593,21.5456,21.5593,1097.470903863,0
BSJQ.US,D,20181108,000000,21.7059,21.7294,21.7011,21.7011,2432.2328139668,0
BSJQ.US,D,20181109,000000,21.6571,21.6571,21.5613,21.5838,12337.086712391,0
BSJQ.US,D,20181112,000000,21.4811,21.4821,21.439,21.439,3564.4791239167,0
BSJQ.US,D,20181113,000000,21.4127,21.4127,21.4029,21.4029,504.24338826137,0
BSJQ.US,D,20181114,000000,21.3834,21.3834,21.3169,21.3735,3559.3650936097,0
BSJQ.US,D,20181115,000000,21.3256,21.3256,21.3256,21.3256,188.1963152943,0
BSJQ.US,D,20181116,000000,21.2904,21.2904,21.2269,21.2563,870.40795823617,0
BSJQ.US,D,20181119,000000,21.2093,21.2366,21.1576,21.1996,5232.6758100309,0
BSJQ.US,D,20181120,000000,21.1391,21.1526,21.1203,21.1391,2482.3503109744,0
BSJQ.US,D,20181121,000000,21.308,21.308,21.2904,21.2904,5105.8478584195,0
BSJQ.US,D,20181123,000000,21.1906,21.1916,21.1906,21.1916,940.98157647153,0
BSJQ.US,D,20181126,000000,21.2181,21.2269,21.1868,21.1916,4710.0219126647,0
BSJQ.US,D,20181127,000000,21.1916,21.1916,21.1476,21.1761,2464.9626079309,0
BSJQ.US,D,20181128,000000,21.3559,21.3715,21.3559,21.3658,1113.8358008451,0
BSJQ.US,D,20181203,000000,21.4615,21.5006,21.4586,21.5006,3297.5267418959,0
BSJQ.US,D,20181204,000000,21.5916,21.5984,21.5182,21.5182,1923.8982014597,0
BSJQ.US,D,20181206,000000,21.4039,21.4039,21.394,21.394,23203.378308515,0
BSJQ.US,D,20181207,000000,21.264,21.264,21.2269,21.2269,397.87155787765,0
BSJQ.US,D,20181210,000000,21.2904,21.5369,21.2563,21.3294,10834.584608221,0
BSJQ.US,D,20181211,000000,21.4225,21.4225,21.3491,21.3491,20541.014130738,0
BSJQ.US,D,20181212,000000,21.4919,21.4919,21.4371,21.4371,1900.373662048,0
BSJQ.US,D,20181213,000000,21.5182,21.5221,21.4498,21.4655,3825.2946695691,0
BSJQ.US,D,20181214,000000,21.4655,21.4821,21.3677,21.4039,50956.197978056,0
BSJQ.US,D,20181217,000000,21.3256,21.3256,21.2874,21.2874,891.8868855252,0
BSJQ.US,D,20181218,000000,21.2563,21.2563,21.1652,21.1652,2592.8133656037,0
BSJQ.US,D,20181219,000000,21.1916,21.1996,20.961,20.961,3690.2842694666,0
BSJQ.US,D,20181220,000000,20.7283,20.7811,20.7048,20.7811,1485.1144011269,0
BSJQ.US,D,20181221,000000,20.7527,20.7596,20.6208,20.6589,25583.448013351,0
BSJQ.US,D,20181224,000000,20.6979,20.7155,20.479,20.479,23495.90084207,0
BSJQ.US,D,20181226,000000,20.4594,20.8387,20.4594,20.8387,3314.9144449393,0
BSJQ.US,D,20181227,000000,20.7517,20.8533,20.7517,20.8328,4167.9347001321,0
BSJQ.US,D,20181228,000000,20.8857,20.9375,20.8202,20.8553,17547.260789072,0
BSJQ.US,D,20181231,000000,21.0745,21.0745,20.8857,20.9003,8338.9378184483,0
BSJQ.US,D,20190102,000000,20.7888,20.8778,20.7888,20.872,21229.362610047,0
BSJQ.US,D,20190103,000000,20.7802,20.8739,20.7429,20.7977,2836.2412082126,0
BSJQ.US,D,20190104,000000,21.2494,21.2494,21.2494,21.2494,12.273672736585,0
BSJQ.US,D,20190107,000000,21.4019,21.5075,21.4019,21.5006,6962.240859828,0
BSJQ.US,D,20190108,000000,21.6238,21.6874,21.6013,21.6874,3594.1404996968,0
BSJQ.US,D,20190109,000000,21.7587,21.7765,21.7079,21.7304,6960.1952477052,0
BSJQ.US,D,20190110,000000,21.6424,21.79,21.6424,21.79,3900.9823181114,0
BSJQ.US,D,20190111,000000,21.7851,21.8115,21.7539,21.7587,6719.8358232805,0
BSJQ.US,D,20190114,000000,21.6913,21.7411,21.6698,21.6698,11811.364396841,0
BSJQ.US,D,20190115,000000,21.662,21.7666,21.662,21.7275,2501.7836261407,0
BSJQ.US,D,20190116,000000,21.7539,21.834,21.747,21.7802,11775.566184692,0
BSJQ.US,D,20190117,000000,21.837,21.8995,21.834,21.8429,21306.073064651,0
BSJQ.US,D,20190118,000000,21.921,21.9709,21.9084,21.9279,4964.7006219487,0
BSJQ.US,D,20190122,000000,21.9368,21.9368,21.8194,21.8634,3805.8613544029,0
BSJQ.US,D,20190123,000000,21.8145,21.8985,21.7402,21.8535,3833.4771180602,0
BSJQ.US,D,20190124,000000,21.9181,21.9368,21.8819,21.8829,5236.7670342764,0
BSJQ.US,D,20190125,000000,22.0003,22.0003,21.9348,21.9514,2279.8347108208,0
BSJQ.US,D,20190128,000000,21.9279,21.9279,21.8614,21.8956,1731.6106619199,0
BSJQ.US,D,20190129,000000,21.9544,21.9544,21.8525,21.8899,8374.7360305968,0
BSJQ.US,D,20190130,000000,21.8995,22.0502,21.8849,22.0502,3421.2862753232,0
BSJQ.US,D,20190131,000000,22.1077,22.1607,22.0971,22.1264,2651.1133111024,0
BSJQ.US,D,20190201,000000,22.1225,22.1421,22.0952,22.1186,11088.240511443,0
BSJQ.US,D,20190204,000000,22.1107,22.187,22.1107,22.1577,4191.4592395439,0
BSJQ.US,D,20190205,000000,22.3023,22.3376,22.2534,22.2858,11319.394681316,0
BSJQ.US,D,20190206,000000,22.2946,22.3268,22.2448,22.2448,9239.0071524645,0
BSJQ.US,D,20190207,000000,22.1421,22.1773,22.1039,22.1372,5458.7159495964,0
BSJQ.US,D,20190208,000000,22.1538,22.1773,22.1127,22.1392,3644.2579967045,0
BSJQ.US,D,20190211,000000,22.1773,22.2008,22.1225,22.1879,3099.1023659878,0
BSJQ.US,D,20190212,000000,22.3093,22.3336,22.3093,22.3336,1552.6196011781,0
BSJQ.US,D,20190213,000000,22.3093,22.3464,22.2897,22.2897,4045.1979727661,0
BSJQ.US,D,20190214,000000,22.2663,22.3023,22.2262,22.2623,6526.5254776793,0
