<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJR.US,D,20190916,000000,23.5073,23.5073,23.4954,23.4954,275.83943424161,0
BSJR.US,D,20190917,000000,23.5455,23.5455,23.5308,23.5367,1592.947286303,0
BSJR.US,D,20190918,000000,23.5455,23.5455,23.5073,23.5357,230.03583814982,0
BSJR.US,D,20190919,000000,23.5633,23.5829,23.5033,23.5033,4964.091958658,0
BSJR.US,D,20190920,000000,23.5633,23.573,23.517,23.5573,1496.2508056648,0
BSJR.US,D,20190923,000000,23.574,23.574,23.5671,23.5671,479.4109724273,0
BSJR.US,D,20190924,000000,23.573,23.573,23.5633,23.5633,101.78576909284,0
BSJR.US,D,20190925,000000,23.5633,23.5633,23.5073,23.5623,1381.2328865899,0
BSJR.US,D,20190926,000000,23.5849,23.5849,23.5308,23.5308,359.30376489773,0
BSJR.US,D,20190927,000000,23.5553,23.5633,23.52,23.52,1030.0719832195,0
BSJR.US,D,20190930,000000,23.5455,23.573,23.5455,23.572,1743.5902245604,0
BSJR.US,D,20191001,000000,23.5269,23.5475,23.5269,23.5475,326.73231878802,0
BSJR.US,D,20191002,000000,23.4974,23.4974,23.4394,23.4394,744.05397206868,0
BSJR.US,D,20191003,000000,23.4502,23.4875,23.4502,23.4857,2366.5191314085,0
BSJR.US,D,20191004,000000,23.5101,23.5504,23.5101,23.5504,3547.2340528856,0
BSJR.US,D,20191007,000000,23.4867,23.4867,23.4867,23.4867,54.964315310135,0
BSJR.US,D,20191008,000000,23.4688,23.4688,23.409,23.409,4034.7878868403,0
BSJR.US,D,20191009,000000,23.5357,23.5357,23.4964,23.4964,2252.5190700247,0
BSJR.US,D,20191010,000000,23.517,23.5269,23.5121,23.5121,1298.7864136247,0
BSJR.US,D,20191011,000000,23.6487,23.6487,23.6075,23.6133,2999.626615166,0
BSJR.US,D,20191014,000000,23.6399,23.6399,23.6399,23.6399,104.83934216562,0
BSJR.US,D,20191015,000000,23.6713,23.6713,23.6301,23.6301,514.01813391886,0
BSJR.US,D,20191016,000000,23.631,23.6761,23.631,23.6761,101.78576909284,0
BSJR.US,D,20191017,000000,23.689,23.689,23.689,23.689,96.696480638201,0
