<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJS.US,D,20200917,000000,23.8887,23.9015,23.8887,23.9015,209.03061432087,0
BSJS.US,D,20200918,000000,24.3521,24.3521,23.8887,23.8887,6644.5480301031,0
BSJS.US,D,20200921,000000,23.7926,23.7926,23.6035,23.6114,3999.8563445651,0
BSJS.US,D,20200922,000000,23.6955,23.6955,23.6955,23.6955,415.03179944869,0
BSJS.US,D,20200923,000000,23.6857,23.6955,23.4738,23.4846,2990.0466135464,0
BSJS.US,D,20200924,000000,23.3875,23.542,23.3875,23.4638,11380.555668581,0
BSJS.US,D,20200925,000000,23.4549,23.4638,23.441,23.441,7741.2013979894,0
BSJS.US,D,20200930,000000,23.6955,23.6955,23.5896,23.5995,2084.2472848226,0
BSJS.US,D,20201001,000000,23.6857,23.754,23.6569,23.7441,12983.123711708,0
BSJS.US,D,20201002,000000,23.7243,23.7243,23.7144,23.7144,3218.2636127566,0
BSJS.US,D,20201005,000000,23.8787,23.9173,23.8787,23.9075,4651.1836210722,0
BSJS.US,D,20201006,000000,23.9461,23.955,23.8401,23.8401,24085.981704258,0
BSJS.US,D,20201007,000000,23.9649,24.0332,23.9649,24.0234,935.08381092333,0
BSJS.US,D,20201009,000000,24.1481,24.1481,24.1481,24.1481,3946.3364288211,0
BSJS.US,D,20201013,000000,24.1779,24.1779,24.1779,24.1779,2179.1693995384,0
BSJS.US,D,20201014,000000,24.158,24.158,24.1105,24.1105,4562.3203647425,0
BSJS.US,D,20201019,000000,24.1006,24.1006,23.9847,23.9847,5398.442822026,0
BSJS.US,D,20201020,000000,24.052,24.0718,24.0472,24.0718,415.03179944869,0
BSJS.US,D,20201026,000000,23.9847,23.9847,23.8679,23.8679,3449.5100411599,0
BSJS.US,D,20201027,000000,23.9362,23.9362,23.849,23.849,837.13226701451,0
BSJS.US,D,20201028,000000,23.6757,23.6757,23.6708,23.6757,4049.337021385,0
BSJS.US,D,20201029,000000,23.6569,23.6569,23.6569,23.6569,3218.2636127566,0
BSJS.US,D,20201030,000000,23.754,23.7678,23.7431,23.7678,257.50148140977,0
BSJS.US,D,20201102,000000,23.8025,23.8302,23.8025,23.8302,2387.1902041282,0
BSJS.US,D,20201103,000000,23.9461,24.0134,23.9461,24.0035,7374.6404656296,0
BSJS.US,D,20201104,000000,24.1006,24.1006,24.0818,24.0818,6125.5058283595,0
BSJS.US,D,20201105,000000,24.361,24.361,24.3224,24.3224,4363.3878477318,0
BSJS.US,D,20201109,000000,24.6502,24.6502,24.5027,24.5027,101.99078283289,0
BSJS.US,D,20201110,000000,24.4829,24.5135,24.4829,24.5135,826.02435997331,0
BSJS.US,D,20201111,000000,24.5234,24.5234,24.5135,24.5135,23827.470413118,0
BSJS.US,D,20201112,000000,24.4185,24.4185,24.4185,24.4185,2907.2422156029,0
BSJS.US,D,20201113,000000,24.3897,24.3987,24.3749,24.3749,310.01158742274,0
BSJS.US,D,20201117,000000,24.4848,24.4858,24.4848,24.4858,256.49167167875,0
BSJS.US,D,20201118,000000,24.5333,24.5333,24.5333,24.5333,4150.3179944869,0
BSJS.US,D,20201120,000000,24.5234,24.5234,24.4927,24.4927,1412.7238136952,0
BSJS.US,D,20201123,000000,24.6016,24.6016,24.6016,24.6016,100.98097310187,0
BSJS.US,D,20201124,000000,24.6512,24.6611,24.6214,24.6214,27779.865700325,0
BSJS.US,D,20201201,000000,24.6611,24.6611,24.6611,24.6611,226.19737974819,0
BSJS.US,D,20201203,000000,24.7661,24.7661,24.7413,24.7413,519.04220174362,0
