<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMO.US,D,20191014,000000,24.5912,24.5912,24.5912,24.5912,3045.3634660458,0
BSMO.US,D,20191015,000000,24.6331,24.6331,24.5892,24.5892,9025.7511421211,0
BSMO.US,D,20191016,000000,24.5941,24.5941,24.5941,24.5941,481.48038988866,0
BSMO.US,D,20191018,000000,24.5742,24.5742,24.5642,24.5642,2836.7219637607,0
BSMO.US,D,20191021,000000,24.5443,24.5542,24.5343,24.5443,8687.7117850534,0
BSMO.US,D,20191022,000000,24.4745,24.5244,24.4745,24.5244,1416.3548135892,0
BSMO.US,D,20191023,000000,24.5254,24.5443,24.5254,24.5294,1116.4326540543,0
BSMO.US,D,20191024,000000,24.5274,24.5274,24.5274,24.5274,2036.2608155708,0
BSMO.US,D,20191028,000000,24.5044,24.5144,24.5044,24.5144,2960.1013136697,0
BSMO.US,D,20191029,000000,24.5244,24.5343,24.5244,24.5244,2365.272415328,0
BSMO.US,D,20191030,000000,24.5194,24.5194,24.5194,24.5194,250.77103640034,0
BSMO.US,D,20191031,000000,24.5842,24.5842,24.5752,24.5752,2945.0550514856,0
BSMO.US,D,20191105,000000,24.5443,24.5443,24.5443,24.5443,255.78645712835,0
BSMO.US,D,20191106,000000,24.5642,24.5642,24.5642,24.5642,1129.4727479472,0
BSMO.US,D,20191113,000000,24.5373,24.5443,24.5094,24.5094,5868.0422517681,0
BSMO.US,D,20191114,000000,24.5373,24.5373,24.5373,24.5373,2041.2762362988,0
BSMO.US,D,20191118,000000,24.5602,24.5602,24.5493,24.5493,764.35011894825,0
BSMO.US,D,20191119,000000,24.5742,24.5742,24.5582,24.5592,4775.6836172081,0
BSMO.US,D,20191120,000000,24.5941,24.6041,24.5941,24.6041,9483.1575125153,0
BSMO.US,D,20191121,000000,24.5842,24.5842,24.5742,24.5742,100.30841456014,0
BSMO.US,D,20191122,000000,24.6041,24.6041,24.5842,24.5842,751.31002505543,0
BSMO.US,D,20191125,000000,24.5941,24.6041,24.5892,24.5892,16839.776636356,0
BSMO.US,D,20191126,000000,24.5941,24.5941,24.5941,24.5941,1001.0779773102,0
BSMO.US,D,20191127,000000,24.6331,24.6331,24.6131,24.6131,3509.7914254592,0
BSMO.US,D,20191202,000000,24.6131,24.6131,24.5941,24.5941,510.56983011109,0
BSMO.US,D,20191203,000000,24.6231,24.6619,24.6231,24.6431,2824.6849540134,0
BSMO.US,D,20191209,000000,24.6569,24.6569,24.652,24.652,359.10412412529,0
BSMO.US,D,20191210,000000,24.652,24.652,24.652,24.652,449.38169722942,0
BSMO.US,D,20191211,000000,24.6719,24.6719,24.6719,24.6719,1015.1211553486,0
