<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMP.US,D,20190927,000000,24.4533,24.4533,24.4533,24.4533,200.68425977084,0
BSMP.US,D,20191001,000000,24.4633,24.4633,24.4633,24.4633,1537.2414298446,0
BSMP.US,D,20191002,000000,24.5231,24.5231,24.5022,24.5022,1941.6202132829,0
BSMP.US,D,20191015,000000,24.4832,24.533,24.4832,24.5152,9547.5536585974,0
BSMP.US,D,20191021,000000,24.4533,24.4633,24.4443,24.4443,8535.1015680536,0
BSMP.US,D,20191023,000000,24.4453,24.4533,24.4453,24.4483,1118.8147482224,0
BSMP.US,D,20191024,000000,24.4344,24.4344,24.4344,24.4344,4086.934950233,0
BSMP.US,D,20191028,000000,24.4145,24.4284,24.4145,24.4245,12963.199759897,0
BSMP.US,D,20191030,000000,24.4145,24.4344,24.4145,24.4344,2149.3284221456,0
BSMP.US,D,20191101,000000,24.5132,24.5132,24.5132,24.5132,1334.5503274761,0
BSMP.US,D,20191104,000000,24.5022,24.5032,24.4882,24.4932,5306.0918283408,0
BSMP.US,D,20191105,000000,24.4443,24.4443,24.4443,24.4443,117.40029196593,0
BSMP.US,D,20191107,000000,24.4145,24.4145,24.4145,24.4145,351.19745459896,0
BSMP.US,D,20191108,000000,24.3846,24.3946,24.3766,24.3766,5410.4476434217,0
BSMP.US,D,20191113,000000,24.4245,24.4344,24.4185,24.4185,8265.1812386618,0
BSMP.US,D,20191114,000000,24.4503,24.4503,24.4503,24.4503,2040.9589218694,0
BSMP.US,D,20191115,000000,24.4533,24.4533,24.4533,24.4533,4175.2360245322,0
BSMP.US,D,20191118,000000,24.4733,24.4832,24.4483,24.4483,2320.9134642497,0
BSMP.US,D,20191119,000000,24.4633,24.4733,24.4533,24.4533,3312.2937075177,0
BSMP.US,D,20191120,000000,24.5132,24.5132,24.5032,24.5032,1633.5698745346,0
BSMP.US,D,20191121,000000,24.4882,24.4882,24.4783,24.4783,200.68425977084,0
BSMP.US,D,20191126,000000,24.5132,24.5181,24.5132,24.5181,501.71064942708,0
BSMP.US,D,20191127,000000,24.545,24.545,24.5281,24.5281,3521.0053376792,0
BSMP.US,D,20191203,000000,24.543,24.6008,24.543,24.5669,9250.5409541366,0
BSMP.US,D,20191204,000000,24.551,24.551,24.543,24.543,1219.1568781078,0
BSMP.US,D,20191206,000000,24.561,24.561,24.538,24.538,1020.4794609347,0
BSMP.US,D,20191209,000000,24.5719,24.5719,24.558,24.558,402.37194084052,0
BSMP.US,D,20191210,000000,24.553,24.5819,24.553,24.558,1678.7238329831,0
BSMP.US,D,20191212,000000,24.5909,24.5909,24.5909,24.5909,2046.9794496625,0
BSMP.US,D,20191213,000000,24.6108,24.6108,24.5909,24.5909,400.36509824281,0
BSMP.US,D,20191216,000000,24.5909,24.5909,24.5729,24.5729,1135.8729103029,0
BSMP.US,D,20191217,000000,24.5909,24.6208,24.5859,24.5958,11581.488631375,0
BSMP.US,D,20191218,000000,24.5949,24.5958,24.5819,24.5819,1018.472618337,0
BSMP.US,D,20191219,000000,24.5719,24.6008,24.5719,24.5819,1137.8797529006,0
BSMP.US,D,20191220,000000,24.5998,24.5998,24.5729,24.5729,2568.7585250667,0
BSMP.US,D,20191223,000000,24.5909,24.5909,24.5819,24.5859,7054.0517309448,0
BSMP.US,D,20191224,000000,24.6208,24.6208,24.5998,24.5998,1316.4887440967,0
BSMP.US,D,20191226,000000,24.6008,24.6008,24.5859,24.5859,300.02296835739,0
BSMP.US,D,20191227,000000,24.6108,24.6108,24.6008,24.6008,2438.3137562156,0
BSMP.US,D,20191230,000000,24.6208,24.6258,24.6108,24.6258,2732.3161967799,0
BSMP.US,D,20191231,000000,24.6298,24.6308,24.6258,24.6258,1736.9222683165,0
BSMP.US,D,20200102,000000,24.6486,24.6486,24.6308,24.6308,6709.8782254378,0
BSMP.US,D,20200103,000000,24.7075,24.7275,24.7075,24.7125,1513.1593186721,0
BSMP.US,D,20200106,000000,24.7374,24.7374,24.7165,24.7225,1454.9608833386,0
BSMP.US,D,20200107,000000,24.7473,24.7572,24.7324,24.7523,2919.9559796656,0
BSMP.US,D,20200108,000000,24.7702,24.7872,24.7622,24.7622,13971.638165245,0
BSMP.US,D,20200109,000000,24.7772,24.7772,24.7582,24.7722,1863.3533519722,0
BSMP.US,D,20200110,000000,24.7872,24.7872,24.7722,24.7722,9575.6494549653,0
BSMP.US,D,20200113,000000,24.7972,24.7972,24.7822,24.7822,100.34212988542,0
BSMP.US,D,20200115,000000,24.8271,24.8509,24.8271,24.8509,2043.9691857659,0
BSMP.US,D,20200116,000000,24.8719,24.8749,24.8659,24.8659,1072.6573684751,0
BSMP.US,D,20200117,000000,24.9058,24.9058,24.8609,24.8609,9347.8728201255,0
BSMP.US,D,20200121,000000,24.9257,24.9257,24.9058,24.9108,14380.03063388,0
BSMP.US,D,20200122,000000,24.9177,24.9177,24.9058,24.9058,250.85532471354,0
BSMP.US,D,20200123,000000,24.9556,24.9556,24.9556,24.9556,2389.1461125718,0
BSMP.US,D,20200124,000000,24.9756,24.9855,24.9756,24.9756,2447.3445479054,0
BSMP.US,D,20200127,000000,25.0154,25.0154,24.9954,24.9954,604.05962191021,0
BSMP.US,D,20200129,000000,25.0304,25.0354,25.0154,25.0254,3053.4110124132,0
BSMP.US,D,20200130,000000,25.0394,25.0394,25.0304,25.0304,1699.795680259,0
BSMP.US,D,20200131,000000,25.0544,25.0544,25.0344,25.0454,1611.4946059598,0
BSMP.US,D,20200203,000000,25.0354,25.0354,25.0254,25.0254,533.82013099042,0
BSMP.US,D,20200204,000000,24.9954,24.9954,24.9855,24.9855,2315.8963577554,0
BSMP.US,D,20200205,000000,24.9855,24.9855,24.9756,24.9756,4321.7355341649,0
BSMP.US,D,20200206,000000,24.9656,24.9656,24.9507,24.9507,846.88757623292,0
BSMP.US,D,20200207,000000,24.9954,25.0154,24.9954,25.0154,21297.61706818,0
BSMP.US,D,20200210,000000,25.0154,25.0154,25.0004,25.0004,831.83625675011,0
BSMP.US,D,20200211,000000,25.0154,25.0154,25.0004,25.0054,5229.8318096279,0
BSMP.US,D,20200212,000000,25.0054,25.0054,24.9905,24.9905,1045.5649934061,0
BSMP.US,D,20200213,000000,25.0024,25.0054,24.9855,24.9855,4442.1460900274,0
BSMP.US,D,20200214,000000,25.0174,25.0354,25.0104,25.0104,2765.429099642,0
BSMP.US,D,20200218,000000,25.0454,25.0454,25.0204,25.0254,8571.2247348123,0
BSMP.US,D,20200219,000000,25.0642,25.0642,25.0254,25.0304,7519.6392136132,0
BSMP.US,D,20200220,000000,25.0642,25.0831,25.0642,25.0642,7560.7794868662,0
BSMP.US,D,20200224,000000,25.2028,25.2078,25.2028,25.2078,1064.6299980842,0
BSMP.US,D,20200225,000000,25.2098,25.2168,25.2078,25.2078,1099.7497435442,0
BSMP.US,D,20200226,000000,25.2078,25.2078,25.2028,25.2028,145.49608833386,0
BSMP.US,D,20200227,000000,25.2366,25.2366,25.2078,25.2168,2063.0341904442,0
BSMP.US,D,20200228,000000,25.1808,25.1948,25.1808,25.1948,210.71847275937,0
BSMP.US,D,20200302,000000,25.2666,25.2666,25.1978,25.1978,1862.3499306733,0
BSMP.US,D,20200303,000000,25.2566,25.2745,25.2366,25.2416,2185.4515889044,0
BSMP.US,D,20200304,000000,25.2466,25.2466,25.2267,25.2267,530.80986709385,0
BSMP.US,D,20200305,000000,25.2666,25.2666,25.2267,25.2366,1130.8558038087,0
BSMP.US,D,20200309,000000,25.4748,25.4847,25.442,25.442,342.16666290928,0
BSMP.US,D,20200310,000000,25.435,25.435,25.1898,25.1898,2083.1026164212,0
BSMP.US,D,20200311,000000,25.1161,25.1161,25.0544,25.0544,3370.4921428511,0
BSMP.US,D,20200312,000000,24.266,24.2939,24.24,24.24,8415.69443349,0
BSMP.US,D,20200316,000000,24.2281,24.256,24.2271,24.2271,2945.041512137,0
BSMP.US,D,20200317,000000,24.2171,24.2171,24.1354,24.1354,1936.6031067886,0
BSMP.US,D,20200318,000000,23.9131,23.9131,23.7169,23.7169,118.40371326479,0
BSMP.US,D,20200319,000000,23.7857,23.7857,23.2386,23.2386,8525.0673550651,0
BSMP.US,D,20200320,000000,23.0551,23.0551,22.7522,22.9425,2873.7985999184,0
BSMP.US,D,20200323,000000,22.78,22.8787,22.525,22.7003,2363.0571588016,0
BSMP.US,D,20200324,000000,22.8487,23.1059,22.8487,23.1059,1014.4589331416,0
BSMP.US,D,20200325,000000,23.386,23.9939,23.386,23.8215,2816.6035858837,0
BSMP.US,D,20200326,000000,24.555,24.6805,24.277,24.4753,2936.0107204473,0
BSMP.US,D,20200327,000000,24.6546,24.6546,24.3866,24.56,6591.4745121731,0
BSMP.US,D,20200330,000000,24.6935,24.6935,24.3806,24.4354,1787.0933332593,0
BSMP.US,D,20200331,000000,24.5251,24.7105,24.5251,24.6805,4752.2032713734,0
BSMP.US,D,20200401,000000,24.4254,24.4254,23.9441,24.1464,3394.5742540237,0
BSMP.US,D,20200403,000000,24.3257,24.4254,24.0228,24.243,2834.665169263,0
BSMP.US,D,20200406,000000,24.535,24.555,24.1514,24.3606,1293.4100542231,0
BSMP.US,D,20200407,000000,24.258,24.4603,24.248,24.4603,658.24437204833,0
BSMP.US,D,20200409,000000,24.6228,24.7155,24.5919,24.7155,2506.5464045377,0
BSMP.US,D,20200413,000000,24.4473,24.7304,24.4463,24.7304,1098.7463222453,0
BSMP.US,D,20200414,000000,24.4972,24.7552,24.4962,24.7552,1014.4589331416,0
BSMP.US,D,20200415,000000,24.7394,24.8201,24.7394,24.8201,747.54886764635,0
BSMP.US,D,20200416,000000,24.8789,24.8789,24.7802,24.7802,809.76098817532,0
BSMP.US,D,20200417,000000,24.8201,24.8201,24.8201,24.8201,120.4105558625,0
BSMP.US,D,20200420,000000,24.7602,24.7602,24.6318,24.6318,1513.1593186721,0
BSMP.US,D,20200421,000000,24.4842,24.6318,24.4842,24.6318,1678.7238329831,0
BSMP.US,D,20200422,000000,24.534,24.6606,24.534,24.5829,5664.3132320318,0
BSMP.US,D,20200423,000000,24.6118,24.6218,24.5042,24.558,27544.918074846,0
BSMP.US,D,20200427,000000,24.534,24.534,24.3996,24.3996,235.80400523073,0
BSMP.US,D,20200429,000000,24.2809,24.3846,24.2092,24.2092,49165.636801256,0
BSMP.US,D,20200430,000000,24.3746,24.3746,24.2311,24.272,1821.2096574203,0
BSMP.US,D,20200501,000000,24.2201,24.3547,24.2191,24.3547,1049.5786786015,0
BSMP.US,D,20200504,000000,24.2859,24.5142,24.2859,24.4045,7028.9661984735,0
BSMP.US,D,20200505,000000,24.554,24.554,24.3059,24.4344,4020.7091445087,0
BSMP.US,D,20200506,000000,24.4693,24.554,24.3257,24.4443,1834.2541343054,0
BSMP.US,D,20200508,000000,24.4055,24.6606,24.4045,24.539,5851.9530149176,0
BSMP.US,D,20200511,000000,24.6506,24.6506,24.5779,24.5779,3387.5503049317,0
BSMP.US,D,20200512,000000,24.4842,24.7105,24.4443,24.5829,6503.1734378739,0
BSMP.US,D,20200513,000000,24.7205,24.7205,24.6168,24.6168,3456.7863745526,0
BSMP.US,D,20200514,000000,24.7135,24.7135,24.6656,24.6656,192.65688938,0
BSMP.US,D,20200518,000000,24.84,24.84,24.7552,24.7552,1728.8948979257,0
BSMP.US,D,20200519,000000,24.8799,24.8799,24.8251,24.8251,107.3660789774,0
BSMP.US,D,20200520,000000,24.845,24.9596,24.845,24.9147,977.33234508396,0
BSMP.US,D,20200521,000000,25.0771,25.0771,24.9944,24.9944,1191.0610817399,0
BSMP.US,D,20200522,000000,25.0602,25.1341,25.0394,25.0394,1417.834295281,0
BSMP.US,D,20200526,000000,25.144,25.1539,25.0584,25.0584,1591.4261799827,0
BSMP.US,D,20200527,000000,25.2008,25.2008,25.0921,25.0921,627.13831178386,0
BSMP.US,D,20200528,000000,25.1838,25.1928,24.9696,25.0781,10262.993044681,0
BSMP.US,D,20200529,000000,25.2316,25.2316,25.2316,25.2316,622.12120528959,0
BSMP.US,D,20200601,000000,25.144,25.144,25.1211,25.1211,1883.4217779493,0
BSMP.US,D,20200602,000000,25.1161,25.1161,25.0721,25.0721,11973.826359227,0
BSMP.US,D,20200603,000000,25.2118,25.2118,25.0721,25.0721,2215.5542278701,0
BSMP.US,D,20200604,000000,25.1371,25.1638,25.0821,25.0821,1530.2174807526,0
BSMP.US,D,20200605,000000,25.1121,25.1539,25.0602,25.0632,4601.6900765453,0
BSMP.US,D,20200608,000000,25.1341,25.1341,25.0584,25.0584,6646.6626836101,0
BSMP.US,D,20200609,000000,25.1161,25.1391,25.0771,25.0771,1184.0371326479,0
BSMP.US,D,20200610,000000,25.2316,25.2316,25.1021,25.1021,40656.624186974,0
BSMP.US,D,20200611,000000,25.144,25.2028,25.1241,25.1241,1326.5229570852,0
BSMP.US,D,20200612,000000,25.2118,25.2118,25.1211,25.1291,2927.9833500565,0
BSMP.US,D,20200615,000000,25.1878,25.2277,25.1341,25.1341,1555.303013224,0
BSMP.US,D,20200616,000000,25.2218,25.2218,25.1539,25.1539,3303.2629158279,0
BSMP.US,D,20200617,000000,25.2118,25.2118,25.1211,25.1211,651.22042295635,0
BSMP.US,D,20200619,000000,25.149,25.2028,25.146,25.149,4761.234063063,0
BSMP.US,D,20200623,000000,25.2218,25.2376,25.1241,25.149,1997.8118060186,0
BSMP.US,D,20200624,000000,25.2416,25.2516,25.1539,25.1688,3305.2697584256,0
BSMP.US,D,20200625,000000,25.1858,25.2376,25.1589,25.1589,3455.7829532537,0
BSMP.US,D,20200626,000000,25.2596,25.2915,25.1928,25.1928,4306.6842146821,0
BSMP.US,D,20200629,000000,25.0971,25.2715,25.0871,25.1928,2659.0664419635,0
BSMP.US,D,20200630,000000,25.2815,25.2815,25.1788,25.1788,2052.9999774556,0
BSMP.US,D,20200702,000000,25.2915,25.3113,25.2168,25.2168,5462.6255509621,0
BSMP.US,D,20200706,000000,25.0971,25.2486,25.0971,25.2486,2992.2023131831,0
BSMP.US,D,20200707,000000,25.3812,25.3812,25.2616,25.2616,8533.0947254559,0
BSMP.US,D,20200709,000000,25.3113,25.3413,25.2715,25.3064,6884.4735314384,0
BSMP.US,D,20200710,000000,25.3513,25.407,25.3163,25.3163,16843.429922567,0
BSMP.US,D,20200713,000000,25.3713,25.409,25.3563,25.3563,2202.5097509849,0
BSMP.US,D,20200714,000000,25.416,25.416,25.396,25.396,196.67057457542,0
BSMP.US,D,20200715,000000,25.448,25.448,25.396,25.396,271.92717198948,0
BSMP.US,D,20200717,000000,25.4798,25.4798,25.3413,25.416,2174.413954617,0
BSMP.US,D,20200720,000000,25.3613,25.4897,25.3613,25.441,2170.4002694216,0
BSMP.US,D,20200721,000000,25.5207,25.5287,25.461,25.461,2113.2052553869,0
BSMP.US,D,20200723,000000,25.5506,25.5585,25.4857,25.4857,6125.8870295048,0
BSMP.US,D,20200724,000000,25.5506,25.5605,25.4807,25.4807,2541.6661499976,0
BSMP.US,D,20200728,000000,25.5575,25.5705,25.4957,25.4957,4346.8210666362,0
BSMP.US,D,20200729,000000,25.5904,25.5904,25.5107,25.5107,1911.5175743172,0
BSMP.US,D,20200730,000000,25.5755,25.5755,25.5357,25.5357,1427.8685082695,0
BSMP.US,D,20200731,000000,25.6204,25.6204,25.5506,25.5506,2758.4051505501,0
BSMP.US,D,20200803,000000,25.6104,25.6104,25.5506,25.5605,11067.736926361,0
BSMP.US,D,20200804,000000,25.6582,25.6582,25.5904,25.5904,5892.0898668717,0
BSMP.US,D,20200805,000000,25.6402,25.6402,25.5954,25.5954,3323.331341805,0
BSMP.US,D,20200806,000000,25.6702,25.6902,25.6204,25.6204,1494.0943139938,0
BSMP.US,D,20200807,000000,25.7001,25.7071,25.6353,25.6353,1219.1568781078,0
BSMP.US,D,20200810,000000,25.7199,25.7199,25.6452,25.6502,7119.2741153703,0
BSMP.US,D,20200811,000000,25.6902,25.71,25.6402,25.6402,2222.578176962,0
BSMP.US,D,20200812,000000,25.7001,25.7001,25.6303,25.6902,5236.8557587199,0
BSMP.US,D,20200813,000000,25.5506,25.7001,25.5506,25.6254,2927.9833500565,0
BSMP.US,D,20200814,000000,25.5407,25.6802,25.5407,25.6054,1504.1285269824,0
BSMP.US,D,20200817,000000,25.6502,25.6702,25.5486,25.5805,5528.8513566865,0
BSMP.US,D,20200818,000000,25.6402,25.6502,25.5755,25.5755,671.28884893344,0
BSMP.US,D,20200819,000000,25.6602,25.6802,25.5855,25.5855,4444.1529326251,0
BSMP.US,D,20200820,000000,25.6224,25.6602,25.5655,25.5655,4297.6534229924,0
BSMP.US,D,20200821,000000,25.6502,25.6502,25.5605,25.5605,4015.6920380144,0
BSMP.US,D,20200824,000000,25.6313,25.6602,25.5755,25.5755,4527.43690043,0
BSMP.US,D,20200825,000000,25.6014,25.6014,25.5605,25.5605,352.20087589781,0
BSMP.US,D,20200826,000000,25.4807,25.6204,25.4807,25.5904,5772.682732308,0
BSMP.US,D,20200828,000000,25.5685,25.5904,25.5357,25.5357,3745.7717086226,0
BSMP.US,D,20200831,000000,25.6004,25.6004,25.5357,25.5357,7786.5492791084,0
BSMP.US,D,20200901,000000,25.5904,25.5904,25.5457,25.5457,808.75756687647,0
BSMP.US,D,20200902,000000,25.5605,25.5805,25.5357,25.5357,1143.9002806938,0
BSMP.US,D,20200903,000000,25.5705,25.5705,25.5357,25.5605,8448.8073363521,0
BSMP.US,D,20200904,000000,25.5506,25.6502,25.5307,25.5307,3434.7111059779,0
BSMP.US,D,20200908,000000,25.5605,25.6104,25.5407,25.5407,3881.2335839679,0
BSMP.US,D,20200909,000000,25.5705,25.6502,25.5506,25.5506,11450.040441225,0
BSMP.US,D,20200910,000000,25.5805,25.5904,25.5555,25.5555,5022.1236007651,0
BSMP.US,D,20200911,000000,25.5904,25.6502,25.5555,25.5555,10226.869877922,0
BSMP.US,D,20200914,000000,25.6004,25.6104,25.5605,25.5605,4669.9227248673,0
BSMP.US,D,20200915,000000,25.5904,25.6004,25.5516,25.5605,2367.0708439969,0
BSMP.US,D,20200916,000000,25.6004,25.6502,25.5605,25.5605,7701.2584687058,0
BSMP.US,D,20200917,000000,25.6204,25.6303,25.5655,25.5655,8337.4275721793,0
BSMP.US,D,20200918,000000,25.6144,25.6204,25.5605,25.5605,2504.53956194,0
BSMP.US,D,20200921,000000,25.6392,25.6392,25.5894,25.5894,6570.4026648971,0
BSMP.US,D,20200922,000000,25.6392,25.6492,25.5894,25.5894,5799.7751073771,0
BSMP.US,D,20200923,000000,25.6293,25.6392,25.5894,25.5894,3052.4075911144,0
BSMP.US,D,20200924,000000,25.6492,25.6492,25.5944,25.5944,1989.7844356278,0
BSMP.US,D,20200925,000000,25.6224,25.6293,25.6224,25.6293,4383.9476546939,0
BSMP.US,D,20200928,000000,25.6392,25.6492,25.5845,25.5845,10001.100085679,0
BSMP.US,D,20200929,000000,25.6094,25.6293,25.5795,25.5795,6573.4129287937,0
BSMP.US,D,20200930,000000,25.6392,25.6392,25.5894,25.5894,2727.2990902856,0
BSMP.US,D,20201001,000000,25.6392,25.6392,25.5765,25.5944,6322.5576040801,0
BSMP.US,D,20201002,000000,25.5197,25.6274,25.5197,25.5994,3091.5410217697,0
BSMP.US,D,20201005,000000,25.5595,25.6044,25.5595,25.6044,4499.3411040621,0
BSMP.US,D,20201006,000000,25.5994,25.6194,25.5665,25.5994,14608.810690018,0
BSMP.US,D,20201008,000000,25.5545,25.5894,25.5545,25.5894,6858.3845776682,0
BSMP.US,D,20201009,000000,25.4897,25.5795,25.4897,25.5695,2608.8953770209,0
BSMP.US,D,20201013,000000,25.5695,25.5785,25.5477,25.5477,2479.4540294686,0
BSMP.US,D,20201014,000000,25.5894,25.5894,25.5397,25.5397,1089.7155305557,0
BSMP.US,D,20201015,000000,25.6692,25.6692,25.5496,25.5496,4791.3367020287,0
BSMP.US,D,20201016,000000,25.5894,25.5994,25.5486,25.5496,4426.0913492457,0
BSMP.US,D,20201019,000000,25.5506,25.5795,25.5397,25.5397,3200.9139433448,0
BSMP.US,D,20201020,000000,25.5795,25.5795,25.5397,25.5397,4080.91442244,0
BSMP.US,D,20201021,000000,25.5645,25.5695,25.5545,25.5545,5015.0996516732,0
BSMP.US,D,20201022,000000,25.5795,25.5795,25.5297,25.5297,6035.5791126078,0
BSMP.US,D,20201023,000000,25.5874,25.6094,25.5397,25.5894,9748.2379183683,0
BSMP.US,D,20201026,000000,25.5894,25.5994,25.5397,25.5994,4258.5199923371,0
BSMP.US,D,20201027,000000,25.5795,25.5994,25.5535,25.5994,8352.4788916621,0
BSMP.US,D,20201028,000000,25.5894,25.5894,25.5695,25.5795,4260.5268349349,0
BSMP.US,D,20201029,000000,25.5097,25.5994,25.4997,25.5894,4925.7951560751,0
BSMP.US,D,20201030,000000,25.5327,25.5795,25.5327,25.5795,905.08601156646,0
BSMP.US,D,20201102,000000,25.5994,25.5994,25.5874,25.5894,3359.4545085637,0
