<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMQ.US,D,20191024,000000,24.2361,24.2641,24.2361,24.2361,4108.027745498,0
BSMQ.US,D,20191028,000000,24.2252,24.2262,24.2092,24.2252,9656.0241507475,0
BSMQ.US,D,20191029,000000,24.2371,24.2371,24.2192,24.2361,1027.2579769358,0
BSMQ.US,D,20191030,000000,24.2451,24.2641,24.2361,24.2551,8397.8088573941,0
BSMQ.US,D,20191101,000000,24.3228,24.3328,24.3228,24.3328,2130.832284514,0
BSMQ.US,D,20191104,000000,24.3028,24.3028,24.3028,24.3028,767.17995540465,0
BSMQ.US,D,20191111,000000,24.1595,24.1595,24.1595,24.1595,2065.5617385699,0
BSMQ.US,D,20191113,000000,24.1962,24.2062,24.1814,24.1962,17038.624978149,0
BSMQ.US,D,20191114,000000,24.2232,24.2262,24.2222,24.2222,2570.6553479528,0
BSMQ.US,D,20191115,000000,24.2451,24.2551,24.2451,24.2551,2372.8353856298,0
BSMQ.US,D,20191119,000000,24.2641,24.2641,24.2411,24.2411,1835.6085843975,0
BSMQ.US,D,20191120,000000,24.2928,24.3028,24.2799,24.3028,13029.00513269,0
BSMQ.US,D,20191126,000000,24.3328,24.3328,24.3228,24.3228,1111.6076055405,0
BSMQ.US,D,20191203,000000,24.3526,24.3875,24.3526,24.3875,2052.5076293811,0
BSMQ.US,D,20191206,000000,24.3825,24.3825,24.3576,24.3576,6175.5978085584,0
BSMQ.US,D,20191209,000000,24.3985,24.4024,24.3825,24.3825,5230.6811357366,0
BSMQ.US,D,20191210,000000,24.3825,24.3825,24.3825,24.3825,250.03639907822,0
BSMQ.US,D,20191212,000000,24.4124,24.4124,24.3825,24.3825,12635.373532535,0
BSMQ.US,D,20191213,000000,24.4124,24.4323,24.3825,24.4224,3190.2234532992,0
BSMQ.US,D,20191217,000000,24.4224,24.4513,24.4174,24.4174,10269.567282622,0
BSMQ.US,D,20191219,000000,24.4064,24.4174,24.4064,24.4174,1379.718925034,0
BSMQ.US,D,20191220,000000,24.3825,24.3925,24.3626,24.3725,11262.683743218,0
BSMQ.US,D,20191223,000000,24.3775,24.4024,24.3775,24.3825,7882.6736255583,0
BSMQ.US,D,20191226,000000,24.3825,24.3825,24.3825,24.3825,1045.3328973511,0
BSMQ.US,D,20191230,000000,24.4194,24.4194,24.4174,24.4174,1023.2413279547,0
BSMQ.US,D,20191231,000000,24.4194,24.4194,24.4024,24.4024,1576.5347251117,0
BSMQ.US,D,20200102,000000,24.4323,24.4513,24.4273,24.4273,7881.6694633129,0
BSMQ.US,D,20200103,000000,24.5199,24.5299,24.5199,24.5299,1211.0196678246,0
BSMQ.US,D,20200106,000000,24.5498,24.5498,24.5398,24.5398,2095.6866059287,0
BSMQ.US,D,20200107,000000,24.5797,24.5886,24.5727,24.5797,5055.9569050555,0
BSMQ.US,D,20200108,000000,24.6086,24.6086,24.5976,24.5976,4887.2576478461,0
BSMQ.US,D,20200109,000000,24.6186,24.6186,24.6036,24.6036,1380.7230872793,0
BSMQ.US,D,20200115,000000,24.6763,24.6852,24.6484,24.6723,4982.653061149,0
BSMQ.US,D,20200116,000000,24.7131,24.7131,24.7102,24.7102,570.36415532702,0
BSMQ.US,D,20200121,000000,24.744,24.7629,24.743,24.743,4483.5844252379,0
BSMQ.US,D,20200122,000000,24.7629,24.7629,24.743,24.743,3727.4502545315,0
BSMQ.US,D,20200123,000000,24.8007,24.8087,24.7899,24.7899,523.16852979819,0
BSMQ.US,D,20200127,000000,24.8884,24.8884,24.8735,24.8735,565.34334410055,0
BSMQ.US,D,20200129,000000,24.9272,24.9272,24.9172,24.9172,1438.9644975063,0
BSMQ.US,D,20200130,000000,24.9302,24.9302,24.9172,24.9172,2007.3203283428,0
BSMQ.US,D,20200131,000000,24.9452,24.9652,24.9352,24.9502,16526.502233049,0
BSMQ.US,D,20200203,000000,24.9172,24.9362,24.9172,24.9362,1037.2995993887,0
BSMQ.US,D,20200204,000000,24.8884,24.8884,24.8835,24.8835,715.96768089465,0
BSMQ.US,D,20200205,000000,24.8585,24.8785,24.8585,24.8585,2993.4076532215,0
BSMQ.US,D,20200206,000000,24.8675,24.8685,24.8496,24.8685,2051.5034671357,0
BSMQ.US,D,20200207,000000,24.9073,24.9362,24.8974,24.9362,5424.4844490784,0
BSMQ.US,D,20200210,000000,24.9362,24.9362,24.9272,24.9272,1023.2413279547,0
BSMQ.US,D,20200211,000000,24.9302,24.9372,24.9272,24.9272,1810.5045282651,0
BSMQ.US,D,20200212,000000,24.9222,24.9452,24.9222,24.9272,2536.5138316128,0
BSMQ.US,D,20200213,000000,24.9362,24.9362,24.9172,24.9172,1140.7283106541,0
BSMQ.US,D,20200218,000000,24.9949,24.9949,24.98,24.98,3048.6365767127,0
BSMQ.US,D,20200219,000000,25.0049,25.0049,24.9949,24.9949,18000.612409142,0
BSMQ.US,D,20200220,000000,25.0239,25.0438,25.0239,25.0438,3866.0246443821,0
BSMQ.US,D,20200221,000000,25.0935,25.1135,25.0935,25.1135,5010.7696040173,0
BSMQ.US,D,20200225,000000,25.2519,25.2718,25.2519,25.2668,4218.4855924802,0
BSMQ.US,D,20200226,000000,25.2718,25.2998,25.2519,25.2808,10579.853416419,0
BSMQ.US,D,20200227,000000,25.3097,25.3097,25.2948,25.2948,100.41622452941,0
BSMQ.US,D,20200228,000000,25.2718,25.2808,25.2718,25.2808,317.31526951292,0
BSMQ.US,D,20200302,000000,25.3495,25.3495,25.3395,25.3395,626.59724106348,0
BSMQ.US,D,20200303,000000,25.3335,25.3335,25.2898,25.2898,2341.7063560257,0
BSMQ.US,D,20200304,000000,25.3195,25.3195,25.2768,25.2768,395.63992464585,0
BSMQ.US,D,20200306,000000,25.3097,25.3097,25.3097,25.3097,100.41622452941,0
BSMQ.US,D,20200309,000000,25.4859,25.5446,25.476,25.476,1125.6658769746,0
BSMQ.US,D,20200311,000000,25.0538,25.0538,24.9362,24.9362,100.41622452941,0
BSMQ.US,D,20200313,000000,24.3586,24.3586,24.1575,24.1575,2463.2099877063,0
BSMQ.US,D,20200317,000000,23.9404,23.9404,23.8199,23.8199,575.38496655349,0
BSMQ.US,D,20200318,000000,23.4584,23.4584,23.4304,23.4304,1940.041457908,0
BSMQ.US,D,20200319,000000,23.4882,23.4882,22.7872,22.7872,15856.726015438,0
BSMQ.US,D,20200323,000000,22.2694,22.2694,22.1188,22.1188,367.52338177762,0
BSMQ.US,D,20200325,000000,23.0849,23.4922,23.0849,23.4922,3669.2088443044,0
BSMQ.US,D,20200326,000000,24.2888,24.2888,23.5559,24.1635,31783.743388048,0
BSMQ.US,D,20200327,000000,24.3685,24.3685,24.2421,24.2421,6129.4063452748,0
BSMQ.US,D,20200331,000000,24.4184,24.4184,24.2988,24.2988,3557.7468350768,0
BSMQ.US,D,20200401,000000,23.6516,23.6516,23.5988,23.5988,535.21847674173,0
BSMQ.US,D,20200402,000000,23.6814,23.6814,23.4922,23.4922,514.13106959055,0
BSMQ.US,D,20200409,000000,24.1335,24.2222,24.1335,24.2222,979.0581891617,0
BSMQ.US,D,20200414,000000,24.4283,24.4283,24.4283,24.4283,3149.0528012421,0
BSMQ.US,D,20200415,000000,24.2968,24.2968,24.2651,24.27,572.3724798176,0
BSMQ.US,D,20200421,000000,24.2958,24.2958,24.0868,24.1395,1872.7625874734,0
BSMQ.US,D,20200428,000000,23.9055,23.9155,23.781,23.781,1655.8635424899,0
BSMQ.US,D,20200430,000000,23.7661,23.7661,23.6376,23.6376,901.73769627405,0
BSMQ.US,D,20200504,000000,23.8856,23.9155,23.8199,23.8199,1178.8864759752,0
BSMQ.US,D,20200505,000000,23.9532,23.9532,23.8358,23.8457,1322.4816770523,0
BSMQ.US,D,20200506,000000,23.9532,23.9532,23.8457,23.8457,309.28197155056,0
BSMQ.US,D,20200507,000000,23.8159,23.9055,23.8059,23.9055,2949.2245144286,0
BSMQ.US,D,20200508,000000,23.9055,24.0399,23.9055,23.9682,2314.5939754028,0
BSMQ.US,D,20200511,000000,23.9245,24.0499,23.9245,23.9822,835.46298808465,0
BSMQ.US,D,20200512,000000,23.9295,24.0798,23.9295,23.9862,3228.3816186203,0
BSMQ.US,D,20200513,000000,24.1295,24.1395,24.0389,24.0499,5899.4531911025,0
BSMQ.US,D,20200518,000000,24.2551,24.2641,24.1714,24.1714,716.97184313995,0
BSMQ.US,D,20200519,000000,24.274,24.274,24.1565,24.2212,835.46298808465,0
BSMQ.US,D,20200520,000000,24.3238,24.3238,24.2799,24.3238,635.63470127112,0
BSMQ.US,D,20200521,000000,24.4234,24.4333,24.3486,24.3486,918.80845444405,0
BSMQ.US,D,20200526,000000,24.3735,24.5408,24.3735,24.4473,1638.7927843198,0
BSMQ.US,D,20200528,000000,24.5309,24.5408,24.4571,24.4571,7071.3105313607,0
BSMQ.US,D,20200601,000000,24.5807,24.5807,24.5508,24.5508,484.00620223173,0
BSMQ.US,D,20200602,000000,24.6006,24.6006,24.5408,24.5408,422.75230526879,0
BSMQ.US,D,20200605,000000,24.6364,24.6504,24.5797,24.6006,3620.004894285,0
BSMQ.US,D,20200608,000000,24.6046,24.6594,24.6046,24.6056,455.88965936349,0
BSMQ.US,D,20200609,000000,24.6444,24.6932,24.6206,24.6206,7142.6060507765,0
BSMQ.US,D,20200610,000000,24.7281,24.7281,24.6554,24.6554,5444.5676939843,0
BSMQ.US,D,20200611,000000,24.7381,24.7381,24.6743,24.6743,321.3319184941,0
BSMQ.US,D,20200612,000000,24.6932,24.6932,24.6932,24.6932,488.02285121291,0
BSMQ.US,D,20200618,000000,24.8246,24.8346,24.7579,24.7579,380.57749096644,0
BSMQ.US,D,20200619,000000,24.8346,24.8346,24.8197,24.8197,176.73255517175,0
BSMQ.US,D,20200622,000000,24.8506,24.8506,24.8306,24.8506,712.95519415877,0
BSMQ.US,D,20200623,000000,24.8805,24.8904,24.7779,24.8007,14607.548182293,0
