<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMR.US,D,20190926,000000,24.3564,24.3564,24.3564,24.3564,343.39850444903,0
BSMR.US,D,20191002,000000,24.4241,24.4241,24.4241,24.4241,348.41895042051,0
BSMR.US,D,20191029,000000,24.2369,24.2479,24.2369,24.2479,1027.1832457642,0
BSMR.US,D,20191030,000000,24.2479,24.2479,24.2479,24.2479,2053.3624023342,0
BSMR.US,D,20191104,000000,24.3156,24.3256,24.3156,24.3256,513.08957828496,0
BSMR.US,D,20191105,000000,24.2479,24.2479,24.2479,24.2479,231.94460388224,0
BSMR.US,D,20191113,000000,24.198,24.2578,24.198,24.208,28610.517502254,0
BSMR.US,D,20191114,000000,24.2449,24.2449,24.2449,24.2449,2053.3624023342,0
BSMR.US,D,20191118,000000,24.2777,24.2777,24.2578,24.2578,619.52303288027,0
BSMR.US,D,20191119,000000,24.2678,24.2777,24.2578,24.2578,6048.6333064356,0
BSMR.US,D,20191120,000000,24.3444,24.3544,24.3256,24.3544,6261.5002156263,0
BSMR.US,D,20191126,000000,24.3156,24.3256,24.3156,24.3256,2968.0876583373,0
BSMR.US,D,20191206,000000,24.3364,24.3444,24.3206,24.3206,1331.4222716357,0
BSMR.US,D,20191209,000000,24.3604,24.3604,24.3494,24.3494,100.40891942955,0
BSMR.US,D,20191210,000000,24.3544,24.3544,24.3544,24.3544,250.01820937956,0
BSMR.US,D,20191212,000000,24.3544,24.3744,24.3544,24.3544,509.07322150778,0
BSMR.US,D,20191217,000000,24.4032,24.4142,24.3892,24.3892,10244.722049396,0
BSMR.US,D,20191219,000000,24.3942,24.3942,24.3902,24.3942,353.43939639198,0
BSMR.US,D,20191220,000000,24.3604,24.3604,24.3544,24.3544,825.36131771084,0
BSMR.US,D,20191226,000000,24.3942,24.3942,24.3843,24.3843,424.72972918696,0
BSMR.US,D,20191227,000000,24.4042,24.4042,24.3892,24.3892,1156.7107518284,0
BSMR.US,D,20191230,000000,24.4012,24.4042,24.4012,24.4042,1124.5798976109,0
BSMR.US,D,20200102,000000,24.4152,24.4152,24.4072,24.4142,4276.4158785042,0
BSMR.US,D,20200106,000000,24.5427,24.5527,24.5377,24.5377,1502.1174346659,0
BSMR.US,D,20200108,000000,24.6014,24.6014,24.5894,24.5894,9395.2625910223,0
BSMR.US,D,20200109,000000,24.5914,24.5964,24.5914,24.5964,1418.7780315394,0
BSMR.US,D,20200114,000000,24.6114,24.6303,24.6114,24.6114,4414.9801873169,0
BSMR.US,D,20200116,000000,24.71,24.71,24.695,24.695,1046.2609404558,0
BSMR.US,D,20200117,000000,24.7299,24.7299,24.7299,24.7299,531.16318378227,0
BSMR.US,D,20200122,000000,24.719,24.7368,24.717,24.717,4038.4467394562,0
BSMR.US,D,20200127,000000,24.8913,24.8913,24.8713,24.8713,2044.3255995855,0
BSMR.US,D,20200130,000000,24.9331,24.9331,24.9201,24.9201,2013.1988345624,0
BSMR.US,D,20200131,000000,24.9599,24.9599,24.9401,24.9549,2193.9348895355,0
BSMR.US,D,20200203,000000,24.9201,24.95,24.9201,24.95,176.719698196,0
BSMR.US,D,20200204,000000,24.8961,24.8961,24.8913,24.8913,219.8955335507,0
BSMR.US,D,20200205,000000,24.8713,24.8813,24.8513,24.8513,777.16503638466,0
BSMR.US,D,20200206,000000,24.8464,24.8464,24.8464,24.8464,873.55759903701,0
BSMR.US,D,20200210,000000,24.95,24.9599,24.9301,24.9301,2045.3296887798,0
BSMR.US,D,20200211,000000,24.9599,24.9599,24.95,24.95,2243.1352600559,0
BSMR.US,D,20200212,000000,24.9301,24.9401,24.9301,24.9401,1074.3754378961,0
BSMR.US,D,20200213,000000,24.9401,24.9401,24.9401,24.9401,100.40891942955,0
BSMR.US,D,20200218,000000,25.0088,25.0177,24.9888,24.9888,3217.1017785225,0
BSMR.US,D,20200219,000000,25.0277,25.0277,25.0088,25.0088,12500.910468978,0
BSMR.US,D,20200220,000000,25.0575,25.0575,25.0575,25.0575,1498.1010778888,0
BSMR.US,D,20200221,000000,25.1174,25.1771,25.1174,25.1621,4728.2560159371,0
BSMR.US,D,20200226,000000,25.3254,25.3254,25.3095,25.3095,410.67248046683,0
BSMR.US,D,20200228,000000,25.2935,25.3324,25.2935,25.3304,6900.1009431981,0
BSMR.US,D,20200302,000000,25.3922,25.3922,25.3922,25.3922,357.45575316917,0
BSMR.US,D,20200303,000000,25.3703,25.3703,25.3125,25.3125,1409.7412287908,0
BSMR.US,D,20200304,000000,25.3125,25.3125,25.2926,25.2926,853.47581515111,0
BSMR.US,D,20200305,000000,25.3025,25.3224,25.3025,25.3025,383.56207222086,0
BSMR.US,D,20200312,000000,23.8225,23.8225,23.7509,23.7509,14376.549083922,0
BSMR.US,D,20200317,000000,23.6652,23.6652,23.5299,23.5299,593.41671382859,0
BSMR.US,D,20200318,000000,23.234,23.3853,23.234,23.234,1133.6167003595,0
BSMR.US,D,20200319,000000,23.3037,23.3037,22.6364,22.6364,2923.9077337882,0
