<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMS.US,D,20190926,000000,24.2519,24.2519,24.2519,24.2519,349.33520631329,0
BSMS.US,D,20191028,000000,24.0965,24.1065,24.0965,24.0965,3184.1703288096,0
BSMS.US,D,20191030,000000,24.1264,24.1364,24.1264,24.1364,3490.3405527336,0
BSMS.US,D,20191031,000000,24.2311,24.242,24.2311,24.2321,2579.8605753596,0
BSMS.US,D,20191105,000000,24.1264,24.1264,24.1264,24.1264,2226.5100218473,0
BSMS.US,D,20191106,000000,24.1264,24.1364,24.1264,24.1364,17545.059586044,0
BSMS.US,D,20191108,000000,23.989,23.989,23.989,23.989,104.39902717408,0
BSMS.US,D,20191112,000000,23.998,23.998,23.998,23.998,8248.5269835525,0
BSMS.US,D,20191113,000000,24.0277,24.0965,24.0277,24.0277,46100.201191756,0
BSMS.US,D,20191118,000000,24.0936,24.0936,24.0926,24.0926,177.6791135559,0
BSMS.US,D,20191119,000000,24.0995,24.1065,24.0995,24.1065,578.20999665647,0
BSMS.US,D,20191120,000000,24.1842,24.1842,24.1802,24.1802,1654.3230459894,0
BSMS.US,D,20191121,000000,24.1564,24.1613,24.1564,24.1613,3707.1693014798,0
BSMS.US,D,20191125,000000,24.2041,24.2041,24.1892,24.1892,565.16011825971,0
BSMS.US,D,20191126,000000,24.2091,24.242,24.2091,24.2191,4471.0891060902,0
BSMS.US,D,20191203,000000,24.2231,24.3117,24.2231,24.2868,24998.547824195,0
BSMS.US,D,20191206,000000,24.2519,24.2519,24.2321,24.2321,1042.9864349411,0
BSMS.US,D,20191209,000000,24.2778,24.2778,24.2669,24.2669,100.38367997508,0
BSMS.US,D,20191210,000000,24.2619,24.2619,24.2619,24.2619,121.46425276985,0
BSMS.US,D,20191212,000000,24.3117,24.3117,24.2669,24.2669,46362.202596491,0
BSMS.US,D,20191217,000000,24.3018,24.3207,24.3018,24.3018,22128.578413707,0
BSMS.US,D,20191219,000000,24.2918,24.3207,24.2918,24.3018,970.71018535904,0
BSMS.US,D,20191220,000000,24.2569,24.2818,24.251,24.2669,1557.9547132133,0
BSMS.US,D,20191223,000000,24.2719,24.2818,24.2599,24.2669,8376.0142571208,0
BSMS.US,D,20191224,000000,24.2818,24.3018,24.2818,24.2868,3366.8686263643,0
BSMS.US,D,20191230,000000,24.3117,24.3117,24.3117,24.3117,1646.2923515913,0
BSMS.US,D,20200102,000000,24.3306,24.3406,24.3257,24.3257,8978.3163369713,0
BSMS.US,D,20200103,000000,24.4372,24.4472,24.4372,24.4472,10075.5099591,0
BSMS.US,D,20200106,000000,24.4502,24.4771,24.4502,24.4671,1022.9096989461,0
BSMS.US,D,20200108,000000,24.5189,24.5189,24.514,24.514,225.86327994393,0
BSMS.US,D,20200110,000000,24.515,24.5289,24.515,24.5289,1239.7384476923,0
BSMS.US,D,20200113,000000,24.5638,24.5638,24.496,24.515,1250.7806524895,0
BSMS.US,D,20200114,000000,24.5737,24.5737,24.5588,24.5588,329.25847031826,0
BSMS.US,D,20200116,000000,24.6524,24.6624,24.6395,24.6425,2237.5522266446,0
BSMS.US,D,20200131,000000,24.9035,24.9035,24.9035,24.9035,152.58319356213,0
BSMS.US,D,20200204,000000,24.8447,24.8447,24.8447,24.8447,2034.7771930949,0
BSMS.US,D,20200205,000000,24.8158,24.8158,24.8158,24.8158,188.72131835315,0
BSMS.US,D,20200206,000000,24.7779,24.7979,24.7779,24.7979,805.07711340016,0
BSMS.US,D,20200207,000000,24.8447,24.8536,24.8447,24.8536,41372.12986493,0
BSMS.US,D,20200210,000000,24.8496,24.8935,24.8496,24.8536,8045.7519500028,0
BSMS.US,D,20200211,000000,24.8766,24.8766,24.8686,24.8686,611.33661104825,0
BSMS.US,D,20200212,000000,24.8736,24.8736,24.8586,24.8586,1449.5403388402,0
BSMS.US,D,20200218,000000,24.9523,24.9523,24.9234,24.9234,2779.6240985101,0
BSMS.US,D,20200219,000000,24.9712,24.9712,24.9523,24.9523,179.6867871554,0
BSMS.US,D,20200220,000000,24.9901,24.9901,24.9901,24.9901,200.76735995016,0
BSMS.US,D,20200221,000000,25.0987,25.1216,25.0987,25.1216,5851.3647057475,0
BSMS.US,D,20200226,000000,25.3536,25.3646,25.3408,25.3408,412.57692469759,0
BSMS.US,D,20200228,000000,25.3438,25.3438,25.3359,25.3359,511.95676787292,0
BSMS.US,D,20200303,000000,25.3976,25.3976,25.3546,25.3546,385.47333110432,0
BSMS.US,D,20200311,000000,25.1774,25.1774,24.8536,24.8536,802.06560300091,0
BSMS.US,D,20200312,000000,23.7609,23.7609,23.6085,23.6085,15992.124056831,0
BSMS.US,D,20200316,000000,23.6075,23.6482,23.6075,23.6482,9834.5891271588,0
BSMS.US,D,20200317,000000,23.6562,23.6562,23.4988,23.4988,2968.3454168632,0
BSMS.US,D,20200318,000000,23.1851,23.2877,23.1851,23.2727,8753.4568938271,0
BSMS.US,D,20200319,000000,23.2139,23.2229,22.5177,22.5177,13214.50763192,0
BSMS.US,D,20200323,000000,21.6141,21.8104,21.6141,21.8104,178.68295035565,0
BSMS.US,D,20200324,000000,22.2994,22.3153,22.1421,22.1421,1076.1130493328,0
BSMS.US,D,20200325,000000,22.8065,23.4819,22.7966,23.2986,16636.58728227,0
BSMS.US,D,20200330,000000,24.6145,24.6345,24.3974,24.3974,230.88246394269,0
BSMS.US,D,20200401,000000,23.7189,23.7189,23.4271,23.4271,642.45555184053,0
BSMS.US,D,20200402,000000,23.3036,23.3036,23.3036,23.3036,1375.2564156586,0
BSMS.US,D,20200406,000000,23.3723,23.7926,23.3723,23.462,8020.6560300091,0
BSMS.US,D,20200409,000000,23.9203,24.0817,23.9203,24.0817,994.80226855306,0
BSMS.US,D,20200415,000000,24.3844,24.3844,24.3635,24.3635,408.56157749859,0
BSMS.US,D,20200416,000000,24.4871,24.497,24.3416,24.3416,635.42869424227,0
BSMS.US,D,20200420,000000,24.4372,24.4372,24.4173,24.4372,3481.3060215359,0
BSMS.US,D,20200505,000000,23.947,23.947,23.8693,23.8693,620.371142246,0
BSMS.US,D,20200506,000000,23.977,23.977,23.8693,23.8693,184.70597115416,0
BSMS.US,D,20200508,000000,24.0747,24.0747,23.982,23.982,1173.4852189087,0
BSMS.US,D,20200511,000000,24.0936,24.0936,24.0149,24.0149,254.97454713671,0
BSMS.US,D,20200512,000000,24.1334,24.1434,24.0129,24.0347,4949.9192595713,0
BSMS.US,D,20200513,000000,24.1921,24.1921,24.1921,24.1921,2681.2480921344,0
BSMS.US,D,20200518,000000,24.3974,24.3974,24.2798,24.2798,200.76735995016,0
BSMS.US,D,20200519,000000,24.4074,24.4074,24.3247,24.3247,109.41821117284,0
BSMS.US,D,20200520,000000,24.4771,24.4771,24.3974,24.3974,225.86327994393,0
BSMS.US,D,20200521,000000,24.5548,24.5548,24.4671,24.4671,107.41053757334,0
BSMS.US,D,20200522,000000,24.5847,24.6036,24.5847,24.6036,409.56541429834,0
BSMS.US,D,20200528,000000,24.7511,24.7511,24.6534,24.6534,2244.5790842429,0
BSMS.US,D,20200602,000000,24.8377,24.8377,24.7511,24.7511,394.50786230207,0
BSMS.US,D,20200605,000000,24.7889,24.7889,24.6764,24.6764,365.3965951093,0
BSMS.US,D,20200608,000000,24.8188,24.8188,24.7311,24.7311,426.6306398941,0
BSMS.US,D,20200610,000000,24.9264,24.9264,24.8506,24.8506,5027.2146931521,0
BSMS.US,D,20200611,000000,24.9752,24.9752,24.8815,24.8815,947.62193896478,0
BSMS.US,D,20200615,000000,25.024,25.024,24.9214,24.9214,201.77119674992,0
BSMS.US,D,20200617,000000,25.015,25.015,24.9114,24.9114,2244.5790842429,0
BSMS.US,D,20200619,000000,25.015,25.015,24.9612,24.9612,174.66760315664,0
BSMS.US,D,20200623,000000,25.0519,25.0519,24.9592,24.9592,887.39173097973,0
BSMS.US,D,20200624,000000,25.0618,25.0917,24.9732,24.9732,1016.8866781476,0
BSMS.US,D,20200625,000000,25.0419,25.0419,24.9543,24.9543,106.40670077358,0
BSMS.US,D,20200701,000000,25.0598,25.0598,24.9732,24.9732,873.33801578321,0
BSMS.US,D,20200702,000000,25.1117,25.1117,25.022,25.022,284.08581432948,0
