<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMT.US,D,20190927,000000,24.1813,24.1912,24.1813,24.1813,2062.4713132496,0
BSMT.US,D,20191009,000000,24.4054,24.4054,24.4054,24.4054,2274.3415406575,0
BSMT.US,D,20191011,000000,24.1713,24.1713,24.1713,24.1713,522.14463626573,0
BSMT.US,D,20191021,000000,24.0687,24.0687,24.0687,24.0687,1133.6563352769,0
BSMT.US,D,20191025,000000,24.0269,24.0269,24.0269,24.0269,1045.293396832,0
BSMT.US,D,20191028,000000,24.017,24.017,24.017,24.017,510.0951446596,0
BSMT.US,D,20191031,000000,24.1703,24.1703,24.1703,24.1703,112.46192165724,0
BSMT.US,D,20191101,000000,24.1325,24.1325,24.1245,24.1245,1544.3431741859,0
BSMT.US,D,20191107,000000,23.9393,23.9493,23.9393,23.9393,624.56531491785,0
BSMT.US,D,20191108,000000,23.8804,23.8804,23.8804,23.8804,1367.617297296,0
BSMT.US,D,20191113,000000,23.9194,23.9293,23.9184,23.9184,22656.056592431,0
BSMT.US,D,20191119,000000,24.008,24.0269,23.998,24.003,23635.077785429,0
BSMT.US,D,20191120,000000,24.0667,24.0897,24.0667,24.0897,4529.6047196052,0
BSMT.US,D,20191121,000000,24.0618,24.0618,24.0568,24.0618,1132.6522109764,0
BSMT.US,D,20191125,000000,24.1046,24.1046,24.0897,24.0897,303.24553875433,0
BSMT.US,D,20191202,000000,24.1235,24.1235,24.0857,24.0857,354.45587808039,0
BSMT.US,D,20191203,000000,24.1325,24.1862,24.1325,24.1862,15751.697902116,0
BSMT.US,D,20191204,000000,24.1524,24.1524,24.1424,24.1424,152.62689367768,0
BSMT.US,D,20191209,000000,24.1773,24.1773,24.1664,24.1664,112.46192165724,0
BSMT.US,D,20191210,000000,24.1614,24.1713,24.1614,24.1713,109.4495487557,0
BSMT.US,D,20191212,000000,24.2401,24.2401,24.1763,24.1763,43537.825545857,0
BSMT.US,D,20191219,000000,24.1912,24.2012,24.1912,24.2012,2158.8672460987,0
