<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMU.US,D,20201013,000000,24.3436,24.3436,24.3188,24.3188,156.92535854021,0
BSMU.US,D,20201014,000000,24.2939,24.3188,24.2939,24.3188,163.96688103881,0
BSMU.US,D,20201015,000000,24.3734,24.3734,24.3386,24.3386,150.88976782712,0
BSMU.US,D,20201016,000000,24.3536,24.3833,24.3536,24.3685,272.60751387433,0
BSMU.US,D,20201020,000000,24.3734,24.3734,24.3386,24.3386,100.59317855141,0
BSMU.US,D,20201026,000000,24.3536,24.3536,24.3536,24.3536,105.62283747898,0
BSMU.US,D,20201102,000000,24.3565,24.3635,24.3088,24.3088,3695.7933799789,0
BSMU.US,D,20201119,000000,25.0047,25.0137,24.9798,24.9798,459.71082597996,0
BSMU.US,D,20201120,000000,25.0822,25.0822,25.0474,25.0474,795.69204234168,0
BSMU.US,D,20201124,000000,24.9461,24.9758,24.9461,24.9758,761.49036163419,0
BSMU.US,D,20201211,000000,25.2104,25.2104,25.1856,25.2035,6287.0736594633,0
BSMU.US,D,20201214,000000,25.2055,25.2055,25.2055,25.2055,423.49728170145,0
BSMU.US,D,20201216,000000,25.1807,25.1807,25.1807,25.1807,11.065249640655,0
BSMU.US,D,20201218,000000,25.2005,25.2005,25.2005,25.2005,2.0118635710282,0
BSMU.US,D,20201222,000000,25.2602,25.2701,25.2552,25.2552,2006.8339121007,0
BSMU.US,D,20201231,000000,25.2502,25.2502,25.2502,25.2502,2.0118635710282,0
BSMU.US,D,20210105,000000,25.3596,25.3596,25.3297,25.3297,610.60059380707,0
BSMU.US,D,20210106,000000,25.3049,25.3297,25.2949,25.2949,639.77261558698,0
BSMU.US,D,20210107,000000,25.3297,25.3297,25.2701,25.2701,1926.3593692596,0
BSMU.US,D,20210108,000000,25.2492,25.2701,25.1657,25.1657,2123.5219992203,0
BSMU.US,D,20210111,000000,25.1518,25.1906,25.1518,25.1657,511.01334704117,0
BSMU.US,D,20210112,000000,25.2104,25.2204,25.1657,25.1657,1108.5368276366,0
BSMU.US,D,20210113,000000,25.1906,25.28,25.1647,25.2254,84760.818179206,0
BSMU.US,D,20210114,000000,25.2304,25.2402,25.2154,25.2154,469.7701438351,0
BSMU.US,D,20210115,000000,25.2552,25.2701,25.2354,25.2354,4405.9812205519,0
BSMU.US,D,20210119,000000,25.2651,25.2651,25.2602,25.2602,1098.4775097814,0
BSMU.US,D,20210120,000000,25.2751,25.2751,25.2502,25.2502,536.16164167903,0
BSMU.US,D,20210121,000000,25.3149,25.3149,25.29,25.29,3573.0697021462,0
BSMU.US,D,20210122,000000,25.3247,25.3247,25.3049,25.3049,198.16856174628,0
BSMU.US,D,20210125,000000,25.3745,25.3844,25.3546,25.3546,6690.4523054545,0
BSMU.US,D,20210126,000000,25.3247,25.4142,25.3149,25.3894,3270.2842347064,0
BSMU.US,D,20210127,000000,25.4729,25.4729,25.4382,25.4382,245.44735566545,0
BSMU.US,D,20210128,000000,25.4342,25.4829,25.4342,25.448,1795.5882371427,0
BSMU.US,D,20210201,000000,25.443,25.4928,25.4342,25.4679,2015.8872981704,0
BSMU.US,D,20210205,000000,25.4829,25.5325,25.4829,25.4878,464.74048490753,0
BSMU.US,D,20210208,000000,25.5425,25.5425,25.5027,25.5027,388.28966920845,0
BSMU.US,D,20210210,000000,25.5922,25.6022,25.5722,25.5722,1948.4898685409,0
BSMU.US,D,20210211,000000,25.6121,25.6309,25.5972,25.5972,3813.4873988841,0
BSMU.US,D,20210212,000000,25.6309,25.6309,25.5872,25.5872,832.91151840569,0
BSMU.US,D,20210217,000000,25.5127,25.5127,25.4878,25.4878,295.74394494115,0
BSMU.US,D,20210219,000000,25.2254,25.2304,25.2005,25.2005,998.89026301553,0
BSMU.US,D,20210222,000000,24.9997,24.9997,24.956,24.956,308.82105815284,0
BSMU.US,D,20210225,000000,24.6131,24.6229,24.5593,24.5891,6004.4068277338,0
BSMU.US,D,20210226,000000,24.4947,24.6528,24.4251,24.6428,2748.2056380246,0
BSMU.US,D,20210301,000000,24.6131,24.6131,24.6131,24.6131,327.93376207761,0
BSMU.US,D,20210302,000000,24.6328,24.6428,24.6179,24.6179,1297.6520033132,0
BSMU.US,D,20210303,000000,24.6428,24.6528,24.6179,24.6179,708.17597700195,0
