<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUG.US,D,20191101,000000,15.705,15.775,15.642,15.775,5519,0
BUG.US,D,20191104,000000,15.834,15.864,15.755,15.755,6658,0
BUG.US,D,20191105,000000,15.725,15.725,15.725,15.725,262,0
BUG.US,D,20191106,000000,15.844,15.864,15.781,15.864,5304,0
BUG.US,D,20191107,000000,15.844,15.844,15.844,15.844,707,0
BUG.US,D,20191108,000000,16.022,16.179,16.022,16.179,875,0
BUG.US,D,20191111,000000,17.607,17.607,15.983,16.25,5088,0
BUG.US,D,20191112,000000,16.23,16.398,16.23,16.398,1455,0
BUG.US,D,20191113,000000,16.408,16.477,16.408,16.439,967,0
BUG.US,D,20191114,000000,16.575,16.575,16.487,16.508,3107,0
BUG.US,D,20191115,000000,16.576,16.596,16.544,16.576,1840,0
BUG.US,D,20191118,000000,16.676,16.782,16.527,16.74,6716,0
BUG.US,D,20191119,000000,16.874,16.998,16.864,16.958,6818,0
BUG.US,D,20191120,000000,16.923,17.05,16.834,16.834,1822,0
BUG.US,D,20191121,000000,16.923,16.952,16.816,16.869,5266,0
BUG.US,D,20191122,000000,16.929,16.929,16.864,16.874,2498,0
BUG.US,D,20191125,000000,16.923,17.147,16.923,17.12,2485,0
BUG.US,D,20191126,000000,17.053,17.053,16.954,16.993,1504,0
BUG.US,D,20191127,000000,17.003,17.068,16.973,17.068,2951,0
BUG.US,D,20191129,000000,17.023,17.101,17.003,17.072,863,0
BUG.US,D,20191202,000000,17.13,17.13,16.726,16.79,3206,0
BUG.US,D,20191203,000000,16.656,16.736,16.576,16.736,2386,0
BUG.US,D,20191204,000000,16.755,16.755,16.706,16.711,6008,0
BUG.US,D,20191205,000000,16.716,16.716,16.653,16.653,1984,0
BUG.US,D,20191206,000000,16.626,16.626,16.626,16.626,396,0
BUG.US,D,20191209,000000,16.527,16.527,16.488,16.488,2944,0
BUG.US,D,20191210,000000,16.524,16.57,16.443,16.443,1593,0
BUG.US,D,20191211,000000,16.398,16.418,16.27,16.324,2998,0
BUG.US,D,20191212,000000,16.329,16.329,16.319,16.32,2936,0
BUG.US,D,20191213,000000,16.423,16.498,16.423,16.498,274,0
BUG.US,D,20191216,000000,16.626,16.626,16.576,16.611,948,0
BUG.US,D,20191217,000000,16.576,16.576,16.541,16.547,1922,0
BUG.US,D,20191218,000000,16.543,16.562,16.542,16.542,759,0
BUG.US,D,20191219,000000,16.656,16.666,16.656,16.666,665,0
BUG.US,D,20191220,000000,16.617,16.617,16.537,16.537,369,0
BUG.US,D,20191223,000000,16.686,16.686,16.626,16.649,990,0
BUG.US,D,20191224,000000,16.713,16.713,16.639,16.696,1748,0
BUG.US,D,20191226,000000,16.785,16.807,16.763,16.765,13823,0
BUG.US,D,20191227,000000,16.636,16.686,16.616,16.671,1839,0
BUG.US,D,20191230,000000,16.745,16.745,16.408,16.468,6365,0
BUG.US,D,20191231,000000,16.517,16.527,16.453,16.483,2293,0
BUG.US,D,20200102,000000,16.578,16.785,16.578,16.728,6075,0
BUG.US,D,20200103,000000,16.625,16.814,16.625,16.795,1213,0
BUG.US,D,20200106,000000,16.914,17.191,16.809,17.156,12364,0
BUG.US,D,20200107,000000,17.191,17.289,17.164,17.251,21485,0
BUG.US,D,20200108,000000,17.271,17.483,17.257,17.419,36597,0
BUG.US,D,20200109,000000,17.568,17.568,17.439,17.469,21656,0
BUG.US,D,20200110,000000,17.633,17.648,17.488,17.528,23174,0
BUG.US,D,20200113,000000,17.648,17.845,17.608,17.802,11056,0
BUG.US,D,20200114,000000,17.845,17.885,17.579,17.781,23672,0
BUG.US,D,20200115,000000,17.796,18.056,17.796,17.916,8401,0
BUG.US,D,20200116,000000,18.053,18.132,17.954,18.093,19273,0
BUG.US,D,20200117,000000,18.29,18.29,17.868,17.969,17776,0
BUG.US,D,20200121,000000,18.073,18.083,17.915,17.915,10615,0
BUG.US,D,20200122,000000,18.043,18.152,17.935,17.955,7181,0
BUG.US,D,20200123,000000,17.974,18.063,17.91,17.95,5075,0
BUG.US,D,20200124,000000,18.103,18.182,17.899,17.945,12084,0
BUG.US,D,20200127,000000,17.706,17.726,17.447,17.558,8057,0
BUG.US,D,20200128,000000,17.568,17.686,17.568,17.634,7563,0
BUG.US,D,20200129,000000,17.696,17.726,17.608,17.647,9135,0
BUG.US,D,20200130,000000,17.528,17.638,17.439,17.638,7731,0
BUG.US,D,20200131,000000,17.726,17.726,17.38,17.439,6464,0
BUG.US,D,20200203,000000,17.638,17.638,17.398,17.586,4421,0
BUG.US,D,20200204,000000,17.746,17.969,17.726,17.961,3944,0
BUG.US,D,20200205,000000,18.27,18.27,17.855,17.898,8068,0
BUG.US,D,20200206,000000,17.944,18.063,17.944,18.014,5050,0
BUG.US,D,20200207,000000,18.172,18.172,17.965,18.043,6436,0
BUG.US,D,20200210,000000,17.875,18.28,17.875,18.191,8987,0
BUG.US,D,20200211,000000,18.191,18.27,18.063,18.083,6399,0
BUG.US,D,20200212,000000,18.132,18.132,17.703,17.874,7696,0
BUG.US,D,20200213,000000,17.845,18.004,17.845,17.885,11964,0
BUG.US,D,20200214,000000,18.023,18.023,17.868,17.965,2934,0
BUG.US,D,20200218,000000,18.014,18.022,17.888,17.989,6452,0
BUG.US,D,20200219,000000,18.162,18.182,18.084,18.103,73113,0
BUG.US,D,20200220,000000,18.083,18.163,17.736,18.003,13126,0
BUG.US,D,20200221,000000,17.875,17.875,17.389,17.462,36135,0
BUG.US,D,20200224,000000,16.874,17.111,16.822,16.953,19201,0
BUG.US,D,20200225,000000,17.083,17.083,16.259,16.359,19762,0
BUG.US,D,20200226,000000,16.527,16.626,16.246,16.262,6175,0
BUG.US,D,20200227,000000,16.101,16.2,15.606,15.856,10821,0
BUG.US,D,20200228,000000,15.377,15.754,15.28,15.654,43763,0
BUG.US,D,20200302,000000,16.041,16.291,15.754,16.186,16209,0
BUG.US,D,20200303,000000,16.215,16.341,15.576,15.724,7469,0
BUG.US,D,20200304,000000,15.931,16.141,15.853,16.126,5917,0
BUG.US,D,20200305,000000,15.883,16.141,15.764,15.809,16216,0
BUG.US,D,20200306,000000,15.606,15.704,15.167,15.303,12470,0
BUG.US,D,20200309,000000,14.635,14.754,13.963,14.095,11890,0
BUG.US,D,20200310,000000,14.466,14.545,14.01,14.492,8571,0
BUG.US,D,20200311,000000,14.248,14.306,13.673,13.886,9279,0
BUG.US,D,20200312,000000,12.851,13.333,12.553,12.684,20407,0
BUG.US,D,20200313,000000,12.94,13.338,12.458,13.12,10264,0
BUG.US,D,20200316,000000,10.919,12.643,10.919,12.42,22442,0
BUG.US,D,20200317,000000,12.019,12.751,12.019,12.659,3726,0
BUG.US,D,20200318,000000,12.366,12.692,11.753,11.876,7801,0
BUG.US,D,20200319,000000,12.232,12.688,12.232,12.688,2864,0
