<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CARZ.US,D,20110512,000000,24.7783,24.9033,24.6909,24.8626,4879.5014417565,0
CARZ.US,D,20110513,000000,24.8626,24.9837,24.4805,24.5638,21005.130303064,0
CARZ.US,D,20110516,000000,24.4398,24.4577,24.3356,24.3415,4845.2451855063,0
CARZ.US,D,20110517,000000,24.3415,24.3415,24.1203,24.2264,1663.4435020318,0
CARZ.US,D,20110518,000000,24.4309,24.5877,24.2264,24.5877,2179.3024196819,0
CARZ.US,D,20110519,000000,24.3942,24.5321,24.3942,24.4736,4071.4568090312,0
CARZ.US,D,20110520,000000,24.2909,24.3495,24.1251,24.1867,27148.083078284,0
CARZ.US,D,20110523,000000,23.6249,23.6249,23.3689,23.483,2658.8900071847,0
CARZ.US,D,20110524,000000,23.6409,23.7073,23.6329,23.7073,907.79079063031,0
CARZ.US,D,20110525,000000,23.749,23.8234,23.749,23.8155,907.79079063031,0
CARZ.US,D,20110527,000000,24.142,24.142,24.142,24.142,240.80133069994,0
CARZ.US,D,20110531,000000,24.5708,24.6462,24.5708,24.6224,610.56739081239,0
CARZ.US,D,20110601,000000,24.417,24.417,24.2562,24.2562,1370.250250008,0
CARZ.US,D,20110602,000000,24.0884,24.0884,23.8909,23.8909,522.91167628982,0
CARZ.US,D,20110603,000000,24.1251,24.142,24.1251,24.1341,727.44167684249,0
CARZ.US,D,20110606,000000,23.9952,23.9952,23.9952,23.9952,298.23093676645,0
CARZ.US,D,20110607,000000,24.0954,24.0954,24.0864,24.0864,361.70576452417,0
CARZ.US,D,20110609,000000,23.6736,23.9783,23.6736,23.9783,544.06995220906,0
CARZ.US,D,20110610,000000,23.5237,23.5237,23.345,23.345,1608.0289698623,0
CARZ.US,D,20110614,000000,23.9217,23.9217,23.8701,23.9148,1200.9840426541,0
CARZ.US,D,20110615,000000,23.4681,23.7133,23.4681,23.4681,361.70576452417,0
CARZ.US,D,20110617,000000,23.5415,23.5415,23.5415,23.5415,119.8968968757,0
CARZ.US,D,20110621,000000,24.1321,24.159,24.1023,24.159,3215.0504027762,0
CARZ.US,D,20110624,000000,24.2502,24.2502,24.2502,24.2502,205.5375375012,0
CARZ.US,D,20110627,000000,24.554,24.554,24.554,24.554,483.61773529695,0
CARZ.US,D,20110628,000000,24.7643,24.7643,24.7643,24.7643,4814.0115401017,0
CARZ.US,D,20110629,000000,24.9361,25.0829,24.9361,25.0829,886.63251471107,0
CARZ.US,D,20110630,000000,25.1753,25.4214,25.1753,25.4214,361.70576452417,0
CARZ.US,D,20110701,000000,25.5216,25.7112,25.5216,25.7112,1257.4061117721,0
CARZ.US,D,20110705,000000,25.8591,25.9226,25.8591,25.8978,5345.9910489283,0
