<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CATH.US,D,20160420,000000,23.7276,23.837,23.7276,23.8251,2004.2014699552,0
CATH.US,D,20160421,000000,23.6948,23.7237,23.6948,23.7147,1908.6675313472,0
CATH.US,D,20160422,000000,23.6153,23.7237,23.6153,23.7237,2080.6286208416,0
CATH.US,D,20160425,000000,23.666,23.666,23.657,23.657,211.180285344,0
CATH.US,D,20160426,000000,23.6948,23.7048,23.6511,23.6859,17222.255080006,0
CATH.US,D,20160427,000000,23.7048,23.7048,23.6471,23.6948,3180.7773454432,0
CATH.US,D,20160428,000000,23.7426,23.7794,23.7426,23.7426,7109.736273248,0
CATH.US,D,20160429,000000,23.3925,23.3925,23.3925,23.3925,529.9619541728,0
CATH.US,D,20160502,000000,23.4502,23.5735,23.4214,23.5536,2271.6964980576,0
CATH.US,D,20160503,000000,23.3657,23.4214,23.2712,23.3368,2014.2576740192,0
CATH.US,D,20160504,000000,23.2036,23.2712,23.1678,23.2523,3286.3674881152,0
CATH.US,D,20160505,000000,23.2961,23.3,23.1926,23.1926,1666.3130134048,0
CATH.US,D,20160509,000000,23.2225,23.3279,23.2225,23.3279,2527.1240812832,0
CATH.US,D,20160510,000000,23.487,23.487,23.478,23.478,2278.7358409024,0
CATH.US,D,20160511,000000,23.5536,23.5914,23.4114,23.4214,2604.556852576,0
CATH.US,D,20160512,000000,23.4403,23.4403,23.2424,23.2424,317.7760484224,0
CATH.US,D,20160513,000000,23.3657,23.3657,23.1757,23.1757,529.9619541728,0
CATH.US,D,20160517,000000,23.3657,23.3657,23.3657,23.3657,2120.8534370976,0
CATH.US,D,20160519,000000,23.0723,23.0922,23.0156,23.0922,435.4336359712,0
CATH.US,D,20160520,000000,23.3,23.3,23.2523,23.2613,1046.8508430624,0
CATH.US,D,20160524,000000,23.5268,23.5536,23.5268,23.5536,38163.29442288,0
CATH.US,D,20160525,000000,23.667,23.667,23.667,23.667,317.7760484224,0
CATH.US,D,20160526,000000,23.6948,23.7048,23.6948,23.7048,317.7760484224,0
CATH.US,D,20160527,000000,23.7714,23.7794,23.7465,23.7794,11188.532641606,0
CATH.US,D,20160531,000000,23.8748,23.8748,23.7147,23.7794,8468.3294422944,0
CATH.US,D,20160601,000000,23.8122,23.8122,23.8122,23.8122,251.4051016,0
CATH.US,D,20160602,000000,23.7664,23.7664,23.7664,23.7664,385.1526156512,0
CATH.US,D,20160603,000000,23.6948,23.8271,23.6948,23.8271,847.7380025952,0
CATH.US,D,20160606,000000,23.7982,23.8838,23.7982,23.8838,383.1413748384,0
CATH.US,D,20160607,000000,23.9683,24.0349,23.9494,23.9872,4242.7124946016,0
CATH.US,D,20160608,000000,24.016,24.016,24.016,24.016,211.180285344,0
CATH.US,D,20160609,000000,23.9683,24.0021,23.9216,23.9812,1532.5654993536,0
CATH.US,D,20160610,000000,23.7893,23.8122,23.7714,23.7893,1590.8914829248,0
CATH.US,D,20160613,000000,23.7336,23.7336,23.7336,23.7336,1273.1154345024,0
CATH.US,D,20160614,000000,23.4502,23.4502,23.4214,23.4214,2345.1067877248,0
CATH.US,D,20160615,000000,23.5636,23.5636,23.5636,23.5636,1399.8236057088,0
CATH.US,D,20160616,000000,23.2613,23.2613,23.2613,23.2613,190.0622568096,0
CATH.US,D,20160620,000000,23.7724,23.7724,23.6541,23.6541,2544.219628192,0
CATH.US,D,20160621,000000,23.6759,23.7237,23.6759,23.6859,2544.219628192,0
CATH.US,D,20160624,000000,23.3657,23.3657,23.2036,23.2036,578.23173368,0
CATH.US,D,20160627,000000,22.9311,22.9311,22.5821,22.5821,1021.7103329024,0
CATH.US,D,20160628,000000,22.8555,22.9878,22.8555,22.9878,2399.4102896704,0
CATH.US,D,20160629,000000,23.4601,23.4601,23.4601,23.4601,106.5957630784,0
CATH.US,D,20160630,000000,23.7078,23.7078,23.7078,23.7078,106.5957630784,0
CATH.US,D,20160705,000000,23.6471,23.6471,23.5715,23.5914,5088.439256384,0
CATH.US,D,20160706,000000,23.5268,23.5825,23.5268,23.5825,229.2814526592,0
