<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDC.US,D,20140707,000000,28.7657,28.8025,28.7657,28.8025,25635.028088294,0
CDC.US,D,20140708,000000,28.7736,28.7936,28.7736,28.7826,4854.8907484096,0
CDC.US,D,20140709,000000,28.7657,28.8373,28.7657,28.8025,64794.466412435,0
CDC.US,D,20140710,000000,28.8025,28.8025,28.7657,28.7657,1131.6363750688,0
CDC.US,D,20140711,000000,28.7597,28.7597,28.688,28.7477,2908.9179934112,0
CDC.US,D,20140714,000000,29.2606,29.2606,28.7487,28.7487,6686.39451782,0
CDC.US,D,20140715,000000,28.7507,28.7597,28.6232,28.688,5692.3217482387,0
CDC.US,D,20140716,000000,28.7119,28.7936,28.697,28.7736,88275.670166637,0
CDC.US,D,20140717,000000,29.0665,29.0665,28.5326,28.5326,4271.5005674735,0
CDC.US,D,20140718,000000,28.6162,28.7736,28.6162,28.7597,19392.451918104,0
CDC.US,D,20140721,000000,28.6482,28.6482,28.6482,28.6482,1410.7800416785,0
CDC.US,D,20140722,000000,28.7597,28.7736,28.7597,28.7657,2474.1366709579,0
CDC.US,D,20140723,000000,28.7427,28.7427,28.7119,28.7119,70273.916012036,0
CDC.US,D,20140724,000000,28.8115,28.8115,28.7836,28.7836,416.70727209721,0
CDC.US,D,20140725,000000,28.7029,28.7029,28.6332,28.6402,4480.3562604765,0
CDC.US,D,20140728,000000,28.5754,28.7457,28.5754,28.7417,3777.476524409,0
CDC.US,D,20140729,000000,28.7507,28.7507,28.6402,28.6482,30899.597311439,0
CDC.US,D,20140730,000000,28.6482,28.6482,28.4709,28.4978,6549.8350262412,0
CDC.US,D,20140731,000000,28.3344,28.3504,28.1033,28.1033,3846.760384107,0
CDC.US,D,20140801,000000,28.0097,28.0526,27.9151,28.0526,39150.401298964,0
CDC.US,D,20140804,000000,28.439,28.439,27.8794,28.0037,4844.849609323,0
CDC.US,D,20140805,000000,28.0436,28.0436,27.7638,27.8156,11167.754892205,0
CDC.US,D,20140806,000000,27.8634,27.8634,27.8374,27.8394,4107.8300003607,0
CDC.US,D,20140807,000000,27.8066,27.8066,27.7378,27.7378,1959.0262358112,0
CDC.US,D,20140808,000000,27.8474,27.8634,27.8474,27.8634,3400.9338086584,0
CDC.US,D,20140811,000000,28.2797,28.3583,28.2009,28.2428,193316.02615239,0
CDC.US,D,20140812,000000,28.2349,28.439,28.1113,28.1551,7515.7926063798,0
CDC.US,D,20140813,000000,28.432,28.432,28.2089,28.3344,13996.343772923,0
CDC.US,D,20140814,000000,28.423,28.4629,28.3983,28.456,7750.7552610081,0
CDC.US,D,20140815,000000,28.5675,28.6003,28.3583,28.4888,79516.784541325,0
CDC.US,D,20140818,000000,29.0206,29.0206,28.5814,28.6232,17894.313966372,0
CDC.US,D,20140819,000000,28.681,28.7557,28.681,28.7119,1514.2037742713,0
CDC.US,D,20140820,000000,28.7517,28.8573,28.7517,28.8573,56824.814319338,0
CDC.US,D,20140821,000000,28.917,28.9429,28.8981,28.907,6774.7565417828,0
CDC.US,D,20140822,000000,28.8981,28.8981,28.7975,28.8125,6883.200843919,0
CDC.US,D,20140825,000000,28.9868,28.9868,28.8981,28.9509,18852.238635242,0
CDC.US,D,20140826,000000,28.9868,28.9868,28.8981,28.8981,33084.549176701,0
CDC.US,D,20140827,000000,28.907,28.9429,28.904,28.927,31571.349516338,0
CDC.US,D,20140828,000000,28.8293,28.9967,28.8293,28.9868,14927.157366258,0
CDC.US,D,20140829,000000,28.9967,29.0595,28.9967,29.0595,8967.7413183137,0
CDC.US,D,20140902,000000,29.0685,29.0903,28.904,28.9868,13565.578906104,0
CDC.US,D,20140903,000000,29.4818,29.4818,29.0385,29.0525,42507.154095642,0
CDC.US,D,20140904,000000,29.1372,29.1372,29.0126,29.0126,3053.5103962593,0
CDC.US,D,20140905,000000,29.0216,29.2138,29.0046,29.2138,32569.438741554,0
CDC.US,D,20140908,000000,29.157,29.163,29.0355,29.1002,8442.5897440803,0
CDC.US,D,20140909,000000,28.9509,28.9809,28.8643,28.8892,13461.151059602,0
CDC.US,D,20140910,000000,28.8293,28.8802,28.7617,28.8802,6260.6502205448,0
CDC.US,D,20140911,000000,29.0046,29.0046,28.8383,29.0046,9798.1435207821,0
CDC.US,D,20140912,000000,28.8293,28.8293,28.7427,28.7557,3714.2173481629,0
CDC.US,D,20140915,000000,28.8125,28.8204,28.7517,28.8035,3790.5300052216,0
CDC.US,D,20140916,000000,28.683,29.0704,28.683,29.0236,6599.0366077659,0
CDC.US,D,20140917,000000,29.0963,29.0963,28.9809,29.0645,2023.289525966,0
CDC.US,D,20140918,000000,29.0645,29.0953,29.0336,29.0784,9575.2302330578,0
CDC.US,D,20140919,000000,29.178,29.178,29.0864,29.1252,7654.360325776,0
CDC.US,D,20140922,000000,29.7526,29.7526,28.9409,28.9519,18096.140862015,0
CDC.US,D,20140923,000000,28.8753,28.8753,28.8085,28.8085,3733.2955124275,0
CDC.US,D,20140924,000000,28.8165,28.9986,28.7717,28.9729,4765.5246105382,0
CDC.US,D,20140925,000000,28.7228,28.7717,28.6601,28.6601,6886.213185645,0
CDC.US,D,20140926,000000,28.675,28.8165,28.675,28.7896,4825.7714450583,0
CDC.US,D,20140929,000000,28.696,28.7896,28.683,28.7567,8241.7669623468,0
CDC.US,D,20140930,000000,28.689,28.7069,28.6661,28.7039,3290.4812787049,0
CDC.US,D,20141001,000000,28.6272,28.6601,28.4839,28.4839,2531.371163752,0
CDC.US,D,20141002,000000,28.3943,28.5097,28.3943,28.5097,2832.6053363523,0
CDC.US,D,20141003,000000,28.5944,28.7218,28.5944,28.7069,13360.739668736,0
CDC.US,D,20141006,000000,28.6422,28.675,28.6422,28.675,1454.9610536599,0
CDC.US,D,20141007,000000,28.6272,28.6362,28.3853,28.3853,9410.5555520363,0
CDC.US,D,20141008,000000,28.3992,28.7218,28.3683,28.7218,8955.6919514096,0
CDC.US,D,20141009,000000,28.3763,28.434,28.3514,28.3943,3084.637927428,0
CDC.US,D,20141010,000000,28.3992,28.408,28.1791,28.1791,4620.93220769,0
CDC.US,D,20141013,000000,28.1561,28.2727,27.8983,27.8983,30659.614087268,0
CDC.US,D,20141014,000000,27.9869,28.1881,27.973,27.973,10491.986231671,0
CDC.US,D,20141015,000000,28.2099,28.2099,27.3087,27.9241,46722.42428423,0
