<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDL.US,D,20150708,000000,29.3204,29.3294,29.3124,29.3124,23704.502810379,0
CDL.US,D,20150709,000000,29.2011,29.2011,29.2011,29.2011,104.58016766128,0
CDL.US,D,20150710,000000,29.4149,29.4149,29.4149,29.4149,104.58016766128,0
CDL.US,D,20150713,000000,29.6586,29.6586,29.6586,29.6586,104.58016766128,0
CDL.US,D,20150714,000000,29.747,29.747,29.747,29.747,116.64711008373,0
CDL.US,D,20150724,000000,29.051,29.051,29.051,29.051,239.3276913787,0
CDL.US,D,20150727,000000,29.023,29.023,29.023,29.023,1185.5770930062,0
CDL.US,D,20150730,000000,29.7033,29.7033,29.7033,29.7033,590.27460016511,0
CDL.US,D,20150731,000000,29.7033,29.7033,29.7033,29.7033,474.63306861658,0
CDL.US,D,20150803,000000,29.7312,29.7312,29.7312,29.7312,239.3276913787,0
CDL.US,D,20150804,000000,29.7391,29.747,29.7212,29.7212,590.27460016511,0
CDL.US,D,20150806,000000,29.6118,29.6118,29.6118,29.6118,1185.5770930062,0
CDL.US,D,20150811,000000,29.7938,29.7938,29.7938,29.7938,420.33182771553,0
CDL.US,D,20150813,000000,29.9529,29.9529,29.9529,29.9529,239.3276913787,0
CDL.US,D,20150814,000000,30.0792,30.0792,29.9529,30.0474,1301.2186245548,0
CDL.US,D,20150820,000000,29.7888,29.7888,29.6964,29.6964,1414.8489990329,0
CDL.US,D,20150821,000000,29.1882,29.1882,27.8526,29.1374,8857.1357380822,0
CDL.US,D,20150824,000000,28.3916,28.3916,27.5543,27.5543,531.95104512324,0
CDL.US,D,20150831,000000,28.3598,28.3598,28.3598,28.3598,104.58016766128,0
CDL.US,D,20150902,000000,27.8835,27.8835,27.8835,27.8835,104.58016766128,0
CDL.US,D,20150904,000000,27.8665,27.8665,27.789,27.789,1297.1963104139,0
CDL.US,D,20150908,000000,28.3419,28.3419,28.3419,28.3419,3545.6699151315,0
CDL.US,D,20150909,000000,28.4085,28.4085,28.3916,28.3916,352.95806585682,0
CDL.US,D,20150910,000000,27.9909,27.9909,27.9909,27.9909,116.64711008373,0
CDL.US,D,20150911,000000,27.9391,27.9391,27.9391,27.9391,588.2634430947,0
CDL.US,D,20150915,000000,28.2027,28.3688,28.2027,28.3688,940.21593041631,0
CDL.US,D,20150916,000000,28.5587,28.7396,28.5438,28.7396,940.21593041631,0
CDL.US,D,20150917,000000,29.1722,29.1722,28.8838,28.8838,473.62749008137,0
CDL.US,D,20150918,000000,28.5438,28.5438,28.5438,28.5438,473.62749008137,0
CDL.US,D,20150924,000000,27.9183,28.0943,27.9183,28.0943,472.62191154617,0
CDL.US,D,20150928,000000,28.1957,28.1957,27.965,27.965,981.4446503597,0
CDL.US,D,20150930,000000,28.3021,28.3021,28.3021,28.3021,104.58016766128,0
CDL.US,D,20151007,000000,29.3602,29.3781,29.3602,29.3781,3180.6449068522,0
CDL.US,D,20151008,000000,29.5502,29.6675,29.5243,29.5243,13417.434395235,0
CDL.US,D,20151009,000000,29.756,29.7789,29.6934,29.6934,2000.095706522,0
CDL.US,D,20151012,000000,30.1498,30.1498,30.1498,30.1498,969.37770793724,0
CDL.US,D,20151013,000000,29.5154,29.5154,29.5084,29.5084,351.95248732161,0
CDL.US,D,20151014,000000,29.397,29.4616,29.397,29.4616,351.95248732161,0
CDL.US,D,20151015,000000,29.5949,29.6386,29.5949,29.6386,1529.4849520462,0
CDL.US,D,20151016,000000,29.7948,29.7948,29.7948,29.7948,586.25228602429,0
CDL.US,D,20151019,000000,29.7033,29.7401,29.6764,29.7401,586.25228602429,0
CDL.US,D,20151023,000000,30.4869,30.4869,30.3159,30.3159,2355.0649294492,0
CDL.US,D,20151026,000000,30.2572,30.2572,30.2572,30.2572,104.58016766128,0
CDL.US,D,20151027,000000,30.1538,30.1538,30.0772,30.0772,935.18803774029,0
CDL.US,D,20151028,000000,30.2383,30.2383,30.2383,30.2383,822.56324179737,0
CDL.US,D,20151029,000000,30.0523,30.0523,30.0523,30.0523,237.31653430829,0
CDL.US,D,20151030,000000,30.1289,30.1597,30.1289,30.1597,707.92728878405,0
CDL.US,D,20151102,000000,30.3686,30.4014,30.3686,30.3925,4053.4870754098,0
CDL.US,D,20151103,000000,30.3059,30.3059,30.3059,30.3059,472.62191154617,0
CDL.US,D,20151104,000000,30.3407,30.3407,30.3407,30.3407,705.91613171364,0
CDL.US,D,20151105,000000,30.1597,30.2194,30.1597,30.1787,1642.1097479891,0
CDL.US,D,20151106,000000,30.0523,30.1289,29.7988,29.8734,22464.624476471,0
