<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEFA.US,D,20200625,000000,23.8033,23.8033,23.8033,23.8033,109.6547386212,0
CEFA.US,D,20200626,000000,23.9372,23.9372,23.9372,23.9372,294.443279631,0
CEFA.US,D,20200707,000000,24.3755,24.3755,24.1657,24.1657,3782.0731607775,0
CEFA.US,D,20200709,000000,24.0899,24.0909,24.0899,24.0909,1678.3266938967,0
CEFA.US,D,20200710,000000,24.3283,24.3283,24.3283,24.3283,527.967260028,0
CEFA.US,D,20200713,000000,24.5863,24.5863,24.5863,24.5863,127.9305283914,0
CEFA.US,D,20200728,000000,24.996,24.996,24.9153,24.9153,3059.1641432007,0
CEFA.US,D,20200729,000000,25.0344,25.0906,25.0344,25.0906,1245.7996693353,0
CEFA.US,D,20200730,000000,24.6907,24.6907,24.5764,24.5764,598.0244541471,0
CEFA.US,D,20200803,000000,24.4711,24.4711,24.4327,24.4327,5462.430497982,0
CEFA.US,D,20200804,000000,24.4327,24.7153,24.4327,24.7153,5045.1332982291,0
CEFA.US,D,20200806,000000,24.7862,24.8059,24.7862,24.8059,297.4892445927,0
CEFA.US,D,20200811,000000,25.2245,25.2245,25.2245,25.2245,210.1715823573,0
CEFA.US,D,20200819,000000,25.5318,25.5318,25.3437,25.3437,109.6547386212,0
CEFA.US,D,20200820,000000,25.2393,25.2393,25.2393,25.2393,246.7231618977,0
CEFA.US,D,20200821,000000,24.9586,25.0965,24.9586,25.0965,126.9152067375,0
CEFA.US,D,20200825,000000,25.3693,25.3782,25.3693,25.3782,246.7231618977,0
CEFA.US,D,20200827,000000,25.4855,25.4855,25.3329,25.3329,273.1215248991,0
CEFA.US,D,20200901,000000,25.388,25.388,25.3398,25.3398,284.290063092,0
CEFA.US,D,20200903,000000,25.1979,25.1979,25.1979,25.1979,5260.3814888559,0
CEFA.US,D,20200910,000000,25.1684,25.1684,25.0344,25.0344,3284.5655503665,0
CEFA.US,D,20200915,000000,25.7692,25.7692,25.7692,25.7692,4194.2937522609,0
CEFA.US,D,20200918,000000,25.3693,25.3693,25.3693,25.3693,3052.0568916234,0
CEFA.US,D,20200921,000000,24.8158,24.8158,24.8158,24.8158,163.4667862779,0
CEFA.US,D,20200923,000000,24.6444,24.6444,24.4849,24.4849,827.4871479285,0
CEFA.US,D,20200924,000000,24.5292,24.5292,24.5292,24.5292,106.6087736595,0
CEFA.US,D,20200928,000000,24.9487,24.9487,24.9487,24.9487,223.370763858,0
CEFA.US,D,20200929,000000,24.9202,24.9202,24.9202,24.9202,241.6465536282,0
CEFA.US,D,20201002,000000,24.8158,24.8158,24.8158,24.8158,5910.1873473519,0
CEFA.US,D,20201005,000000,25.1014,25.1644,25.1014,25.1644,3923.2028706696,0
CEFA.US,D,20201006,000000,25.2442,25.2442,25.2442,25.2442,227.4320504736,0
CEFA.US,D,20201014,000000,25.4353,25.4353,25.4018,25.4018,112.7007035829,0
CEFA.US,D,20201019,000000,25.3201,25.3201,25.3201,25.3201,205.0949740878,0
CEFA.US,D,20201026,000000,24.8434,24.8434,24.8158,24.8158,306.6271394778,0
CEFA.US,D,20201028,000000,24.4622,24.4622,23.9678,23.9678,6898.0953165966,0
CEFA.US,D,20201029,000000,24.0909,24.0909,24.0909,24.0909,1262.0448157977,0
CEFA.US,D,20201030,000000,23.8614,23.8614,23.7846,23.8112,799.0581416193,0
CEFA.US,D,20201102,000000,24.2229,24.2229,24.2229,24.2229,638.6373203031,0
CEFA.US,D,20201103,000000,24.8532,24.8532,24.8532,24.8532,105.5934520056,0
CEFA.US,D,20201105,000000,25.4353,25.7603,25.4353,25.7603,943.2338164731,0
CEFA.US,D,20201106,000000,25.7514,25.7603,25.7219,25.7416,5209.6154061609,0
CEFA.US,D,20201109,000000,26.8388,26.8388,26.8388,26.8388,106.6087736595,0
CEFA.US,D,20201111,000000,27.154,27.154,27.0653,27.0653,567.5648045301,0
CEFA.US,D,20201116,000000,27.4484,27.4484,27.3253,27.3253,2872.3449588831,0
CEFA.US,D,20201124,000000,27.7932,27.8404,27.7932,27.8404,2557.5952461741,0
CEFA.US,D,20201127,000000,28.1172,28.1733,28.1172,28.1733,105.5934520056,0
CEFA.US,D,20201201,000000,28.1556,28.1802,28.1556,28.1802,473.1398907174,0
CEFA.US,D,20201204,000000,28.7091,28.7091,28.4225,28.5279,316.7803560168,0
CEFA.US,D,20201210,000000,28.5279,28.5279,28.458,28.458,215.2481906268,0
CEFA.US,D,20201214,000000,28.4895,28.4895,28.4895,28.4895,374.6536902891,0
CEFA.US,D,20201215,000000,28.3654,28.3654,28.3654,28.3654,33.5056145787,0
CEFA.US,D,20201216,000000,28.4521,28.4521,28.4521,28.4521,52.7967260028,0
CEFA.US,D,20201218,000000,28.9199,28.9199,28.9199,28.9199,13.1991815007,0
CEFA.US,D,20201221,000000,28.5092,28.5092,28.4383,28.4383,172.604681163,0
CEFA.US,D,20201222,000000,28.4521,28.4521,28.3959,28.4274,316.7803560168,0
CEFA.US,D,20201223,000000,28.2797,28.2797,28.2797,28.2797,2.0306433078,0
CEFA.US,D,20201224,000000,28.5663,28.7091,28.5663,28.7091,128.9458500453,0
CEFA.US,D,20201228,000000,29.0145,29.0145,28.9209,28.9209,181.7425760481,0
CEFA.US,D,20201229,000000,28.8047,28.8047,28.8047,28.8047,2.0306433078,0
CEFA.US,D,20201230,000000,29.2479,29.2479,29.2429,29.2429,405.1133399061,0
CEFA.US,D,20201231,000000,29.1898,29.1898,29.1898,29.1898,6.0919299234,0
CEFA.US,D,20210105,000000,29.1612,29.1612,29.1612,29.1612,105.5934520056,0
CEFA.US,D,20210106,000000,29.6615,29.7226,29.6606,29.7226,829.5177912363,0
CEFA.US,D,20210107,000000,29.3631,29.3631,29.3631,29.3631,1.0153216539,0
CEFA.US,D,20210108,000000,29.6133,29.6133,29.6133,29.6133,55.8426909645,0
CEFA.US,D,20210111,000000,29.6901,29.7295,29.6901,29.7295,1358.5003729182,0
CEFA.US,D,20210112,000000,29.6615,29.6615,29.6615,29.6615,363.4851520962,0
CEFA.US,D,20210113,000000,29.7295,29.7768,29.7068,29.7068,1982.9231900667,0
CEFA.US,D,20210114,000000,29.9117,29.9413,29.9117,29.9413,1938.2490372951,0
CEFA.US,D,20210119,000000,29.5562,29.628,29.5562,29.628,113.7160252368,0
CEFA.US,D,20210120,000000,29.7049,29.8516,29.7049,29.8516,527.967260028,0
CEFA.US,D,20210121,000000,29.9216,29.9216,29.7915,29.8772,3727.2457914669,0
CEFA.US,D,20210122,000000,29.6625,29.7807,29.6625,29.7807,249.7691268594,0
CEFA.US,D,20210125,000000,29.6527,29.7068,29.6527,29.7068,1716.9089167449,0
CEFA.US,D,20210127,000000,29.1996,29.1996,29.0814,29.0814,203.06433078,0
CEFA.US,D,20210128,000000,29.4498,29.4498,29.4498,29.4498,1866.1611998682,0
CEFA.US,D,20210129,000000,28.9977,28.9977,28.6599,28.6599,1443.7873918458,0
CEFA.US,D,20210204,000000,29.2479,29.3779,29.2479,29.3779,2523.0743099415,0
CEFA.US,D,20210210,000000,30.0368,30.0466,29.9698,29.9698,367.5464387118,0
CEFA.US,D,20210211,000000,30.1599,30.22,30.1599,30.219,846.7782593526,0
CEFA.US,D,20210217,000000,30.4849,30.5785,30.4849,30.5785,218.2941555885,0
CEFA.US,D,20210218,000000,30.2781,30.5086,30.2781,30.5086,1286.4125354913,0
CEFA.US,D,20210219,000000,30.4908,30.6208,30.4514,30.5174,4001.3826380199,0
CEFA.US,D,20210222,000000,30.5864,30.5864,30.412,30.412,2546.4267079812,0
CEFA.US,D,20210223,000000,30.347,30.347,30.347,30.347,436.588311177,0
CEFA.US,D,20210224,000000,30.4219,30.4219,30.3667,30.3667,791.950890042,0
CEFA.US,D,20210225,000000,30.412,30.412,29.9314,29.9314,670.112291574,0
CEFA.US,D,20210226,000000,29.8447,29.9984,29.3779,29.3779,6175.1862990198,0
CEFA.US,D,20210303,000000,29.8536,29.8536,29.6665,29.6665,824.4411829668,0
CEFA.US,D,20210304,000000,29.7482,29.7482,29.2755,29.2755,6953.9380075611,0
CEFA.US,D,20210315,000000,30.152,30.1747,30.152,30.1747,237.5852670126,0
CEFA.US,D,20210319,000000,30.2101,30.2101,30.1451,30.1451,212.2022256651,0
CEFA.US,D,20210322,000000,30.2288,30.2288,30.1087,30.1087,291.3973146693,0
CEFA.US,D,20210323,000000,29.9885,29.9885,29.7315,29.7315,336.0714674409,0
CEFA.US,D,20210329,000000,30.152,30.152,30.0624,30.0624,472.1245690635,0
CEFA.US,D,20210330,000000,29.9875,29.9875,29.9757,29.9757,254.8457351289,0
CEFA.US,D,20210331,000000,30.0279,30.0279,30.0279,30.0279,209.1562607034,0
CEFA.US,D,20210405,000000,30.6908,30.6908,30.6908,30.6908,317.7956776707,0
CEFA.US,D,20210406,000000,30.4317,30.4317,30.4012,30.4012,2053.9957058397,0
CEFA.US,D,20210416,000000,31.1162,31.1911,31.1162,31.1911,579.7486643769,0
CEFA.US,D,20210422,000000,30.9518,30.9518,30.87,30.87,681.2808297669,0
CEFA.US,D,20210427,000000,31.2886,31.2886,31.2886,31.2886,219.3094772424,0
