<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFA.US,D,20140707,000000,32.1885,32.1885,32.1885,32.1885,212.47068112062,0
CFA.US,D,20140714,000000,31.9491,31.9491,31.9211,31.9211,437.97022476279,0
CFA.US,D,20140716,000000,31.8653,31.8742,31.8653,31.8742,103229.68219861,0
CFA.US,D,20140717,000000,31.7983,31.7983,31.7724,31.7983,968.14470737038,0
CFA.US,D,20140722,000000,31.977,31.977,31.959,31.959,212.47068112062,0
CFA.US,D,20140724,000000,32.013,32.022,31.968,31.997,28000.027779,0
CFA.US,D,20140729,000000,31.7983,31.7983,31.7983,31.7983,212.47068112062,0
CFA.US,D,20140730,000000,31.6308,31.6308,31.6308,31.6308,231.51286480596,0
CFA.US,D,20140731,000000,31.4711,31.4711,31.2965,31.2965,1740.8564769176,0
CFA.US,D,20140801,000000,30.9932,30.9932,30.9932,30.9932,10679.658386893,0
CFA.US,D,20140804,000000,31.5709,31.5709,31.5709,31.5709,100.22201939652,0
CFA.US,D,20140805,000000,31.085,31.085,30.9852,31.0212,6163.654192886,0
CFA.US,D,20140807,000000,30.9054,30.9054,30.8045,30.8045,760.68512721959,0
CFA.US,D,20140812,000000,31.7456,31.7456,31.7456,31.7456,481.06569310329,0
CFA.US,D,20140815,000000,31.507,31.507,31.4891,31.4891,863.913807198,0
CFA.US,D,20140818,000000,31.9012,31.9012,31.9012,31.9012,481.06569310329,0
CFA.US,D,20140820,000000,32.0688,32.1157,32.0688,32.0688,3439.6197056886,0
CFA.US,D,20140826,000000,32.3991,32.4071,32.3542,32.3542,14601.346005879,0
CFA.US,D,20140827,000000,32.3442,32.3442,32.3362,32.3362,1279.8351876936,0
CFA.US,D,20140902,000000,32.5268,32.5268,32.3891,32.4091,2537.6215311199,0
CFA.US,D,20140910,000000,32.3362,32.3362,32.3362,32.3362,547.21222590499,0
CFA.US,D,20141001,000000,31.3315,31.3315,31.3315,31.3315,317.70380148697,0
CFA.US,D,20141002,000000,31.0302,31.0302,31.0302,31.0302,226.50176383614,0
CFA.US,D,20141003,000000,31.6407,31.6407,31.6407,31.6407,1608.5634113141,0
CFA.US,D,20141006,000000,31.507,31.5889,31.4801,31.5889,652.44534627134,0
CFA.US,D,20141008,000000,31.4521,31.4521,31.4521,31.4521,316.701581293,0
CFA.US,D,20141010,000000,30.6091,30.619,30.5991,30.619,1847.0918174778,0
CFA.US,D,20141013,000000,30.15,30.15,30.0922,30.0922,1847.0918174778,0
CFA.US,D,20141015,000000,29.7579,29.9794,29.3189,29.9794,9571.2028523676,0
CFA.US,D,20141016,000000,29.726,30.169,29.716,30.122,7287.1430303209,0
CFA.US,D,20141017,000000,30.3726,30.5083,30.3726,30.5083,3425.588622973,0
CFA.US,D,20141022,000000,31.2875,31.2875,31.2806,31.2806,1312.9084540944,0
