<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFO.US,D,20140707,000000,32.2154,32.2154,32.1057,32.1167,4357.7731573562,0
CFO.US,D,20140708,000000,31.9762,31.9762,31.9314,31.9384,7372.9949712764,0
CFO.US,D,20140709,000000,31.9981,32.0211,31.9922,32.0211,99609.683830777,0
CFO.US,D,20140710,000000,31.9134,31.9134,31.8875,31.8875,4325.6643060932,0
CFO.US,D,20140711,000000,31.7888,31.7888,31.7888,31.7888,311.05449661073,0
CFO.US,D,20140714,000000,31.9862,31.9862,31.9553,31.9613,3972.4669421997,0
CFO.US,D,20140715,000000,31.8676,31.9483,31.8576,31.9035,3920.2900588972,0
CFO.US,D,20140716,000000,31.9035,32.0021,31.8955,31.9573,69117.312548507,0
CFO.US,D,20140717,000000,31.9035,31.9663,31.5975,31.6244,12481.312526907,0
CFO.US,D,20140718,000000,31.8836,31.8836,31.8836,31.8836,783.65665113866,0
CFO.US,D,20140721,000000,31.8278,31.8726,31.752,31.8576,1797.0922691285,0
CFO.US,D,20140722,000000,32.0211,32.04,31.9862,31.9922,1252.2451992587,0
CFO.US,D,20140723,000000,32.0211,32.0211,31.9573,31.9573,49132.562842069,0
CFO.US,D,20140724,000000,32.0211,32.0499,31.9922,32.0311,35924.787555336,0
CFO.US,D,20140725,000000,31.9862,31.9862,31.9214,31.9304,3585.1539238392,0
CFO.US,D,20140728,000000,31.9264,31.9264,31.9264,31.9264,2050.9528744269,0
CFO.US,D,20140729,000000,31.8288,31.8476,31.743,31.743,1196.0547095484,0
CFO.US,D,20140730,000000,31.6992,31.727,31.6603,31.727,3359.3885633959,0
CFO.US,D,20140731,000000,31.4979,31.5347,31.162,31.162,22594.597273163,0
CFO.US,D,20140801,000000,31.142,31.2248,30.9288,31.1321,15525.632987284,0
CFO.US,D,20140804,000000,31.0564,31.162,31.0374,31.162,2174.3712714692,0
CFO.US,D,20140805,000000,31.1321,31.2607,30.9986,31.0184,6214.0661210009,0
CFO.US,D,20140807,000000,30.9288,30.9288,30.8361,30.8361,1205.0853239661,0
CFO.US,D,20140811,000000,31.3903,31.4001,31.3903,31.4001,4523.3344216813,0
CFO.US,D,20140812,000000,31.4101,31.4261,31.3903,31.3903,2862.7047704207,0
CFO.US,D,20140813,000000,31.5078,31.5078,31.4799,31.4799,5160.4944389323,0
CFO.US,D,20140814,000000,31.5776,31.6244,31.5776,31.6244,74013.912366121,0
CFO.US,D,20140815,000000,31.77,31.77,31.5178,31.5796,93873.236872313,0
CFO.US,D,20140818,000000,31.9035,31.9035,31.8955,31.8955,1776.0208354871,0
CFO.US,D,20140819,000000,32.04,32.0859,32.04,32.0539,3873.1301836046,0
CFO.US,D,20140820,000000,32.1147,32.2154,32.1147,32.1965,16322.333859248,0
