<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIBR.US,D,20150708,000000,19.116,19.212,18.731,18.922,116663,0
CIBR.US,D,20150709,000000,19.231,19.67,19.096,19.154,261050,0
CIBR.US,D,20150710,000000,19.555,19.555,19.259,19.412,162907,0
CIBR.US,D,20150713,000000,19.729,19.917,19.402,19.457,151608,0
CIBR.US,D,20150714,000000,19.602,19.709,19.457,19.709,225441,0
CIBR.US,D,20150715,000000,19.814,19.814,19.402,19.477,214096,0
CIBR.US,D,20150716,000000,19.64,19.64,19.421,19.612,231755,0
CIBR.US,D,20150717,000000,19.69,19.69,19.467,19.583,228613,0
CIBR.US,D,20150720,000000,19.68,19.68,19.353,19.439,295160,0
CIBR.US,D,20150721,000000,19.487,19.536,19.193,19.278,304472,0
CIBR.US,D,20150722,000000,19.116,19.306,19.116,19.212,198901,0
CIBR.US,D,20150723,000000,19.477,19.842,19.335,19.583,263351,0
CIBR.US,D,20150724,000000,19.738,19.786,19.353,19.448,142192,0
CIBR.US,D,20150727,000000,19.306,19.306,18.903,18.971,140727,0
CIBR.US,D,20150728,000000,19.116,19.164,18.807,19.164,167303,0
CIBR.US,D,20150729,000000,19.039,19.164,18.827,19.069,160714,0
CIBR.US,D,20150730,000000,19.25,19.25,18.875,19.126,136017,0
CIBR.US,D,20150731,000000,19.222,19.241,19.069,19.078,209363,0
CIBR.US,D,20150803,000000,19.059,19.059,18.731,18.922,81341,0
CIBR.US,D,20150804,000000,18.788,19.049,18.788,18.913,94793,0
CIBR.US,D,20150805,000000,19.136,19.326,19.086,19.174,129948,0
CIBR.US,D,20150806,000000,19.241,19.241,18.619,18.704,137461,0
CIBR.US,D,20150807,000000,18.855,18.865,18.582,18.778,129843,0
CIBR.US,D,20150810,000000,19.019,19.174,18.961,19.164,97516,0
CIBR.US,D,20150811,000000,18.971,19.019,18.619,18.741,106282,0
CIBR.US,D,20150812,000000,18.639,18.649,18.226,18.599,120534,0
CIBR.US,D,20150813,000000,18.695,18.797,18.609,18.687,100340,0
CIBR.US,D,20150814,000000,18.751,18.778,18.629,18.769,104839,0
CIBR.US,D,20150817,000000,18.741,18.922,18.619,18.894,102329,0
CIBR.US,D,20150818,000000,18.952,18.952,18.695,18.712,70940,0
CIBR.US,D,20150819,000000,18.687,18.722,18.505,18.599,94793,0
CIBR.US,D,20150820,000000,18.399,18.485,17.719,17.719,149204,0
CIBR.US,D,20150821,000000,17.527,17.66,17.138,17.252,216584,0
CIBR.US,D,20150824,000000,15.941,17.177,15.31,16.593,377225,0
CIBR.US,D,20150825,000000,17.536,17.602,16.64,16.658,130264,0
CIBR.US,D,20150826,000000,17.1,17.167,16.514,17.051,198483,0
CIBR.US,D,20150827,000000,17.289,17.319,16.945,17.224,205284,0
