<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CID.US,D,20150820,000000,27.4118,27.4275,27.4118,27.4275,13158.910044883,0
CID.US,D,20150821,000000,26.8164,26.8164,26.8164,26.8164,122.76238361071,0
CID.US,D,20150824,000000,26.1926,26.1926,26.1926,26.1926,187.69455345439,0
CID.US,D,20150825,000000,26.2378,26.2378,26.2378,26.2378,122.76238361071,0
CID.US,D,20150826,000000,26.1038,26.1038,26.0959,26.0959,885.71537927395,0
CID.US,D,20150827,000000,26.6647,26.6647,26.6647,26.6647,122.76238361071,0
CID.US,D,20150831,000000,26.4921,26.5335,26.4921,26.5335,249.58302783665,0
CID.US,D,20150901,000000,25.816,25.816,25.7342,25.7342,1013.5505886537,0
CID.US,D,20150903,000000,25.9944,25.9944,25.9659,25.9659,249.58302783665,0
CID.US,D,20150904,000000,25.678,25.6869,25.5853,25.5922,1260.0899210289,0
CID.US,D,20150910,000000,26.3936,26.3936,26.3936,26.3936,122.76238361071,0
CID.US,D,20150911,000000,26.2576,26.2634,26.2437,26.2437,1260.0899210289,0
CID.US,D,20150915,000000,26.1856,26.1856,26.1777,26.1777,885.71537927395,0
CID.US,D,20150917,000000,28.6074,28.6074,26.7474,26.7474,633.08865597588,0
CID.US,D,20150922,000000,25.4355,25.4444,25.4355,25.4444,754.83647443278,0
CID.US,D,20150925,000000,25.6642,25.6701,25.6642,25.6701,1135.2984071106,0
CID.US,D,20150929,000000,25.0649,25.0649,25.0393,25.0393,1255.0170952599,0
CID.US,D,20150930,000000,25.4691,25.4691,25.4691,25.4691,122.76238361071,0
CID.US,D,20151002,000000,25.9205,25.9205,25.9205,25.9205,122.76238361071,0
CID.US,D,20151006,000000,26.5897,26.5897,26.5897,26.5897,754.83647443278,0
CID.US,D,20151008,000000,26.9327,26.9495,26.9327,26.9495,1135.2984071106,0
CID.US,D,20151009,000000,27.3112,27.394,27.3112,27.394,1762.2996721636,0
CID.US,D,20151012,000000,27.6049,27.6049,27.3605,27.3674,1091.6721054969,0
CID.US,D,20151013,000000,27.051,27.051,27.051,27.051,376.40367206258,0
CID.US,D,20151014,000000,27.1969,27.1969,27.0756,27.188,1509.6729488656,0
CID.US,D,20151015,000000,27.5172,27.5172,27.5172,27.5172,754.83647443278,0
CID.US,D,20151019,000000,27.051,27.051,27.051,27.051,122.76238361071,0
CID.US,D,20151022,000000,27.459,27.459,27.459,27.459,631.05952566827,0
CID.US,D,20151023,000000,27.667,27.667,27.667,27.667,631.05952566827,0
CID.US,D,20151026,000000,27.5339,27.5339,27.5339,27.5339,122.76238361071,0
CID.US,D,20151027,000000,27.5339,27.5429,27.2629,27.2629,1509.6729488656,0
CID.US,D,20151030,000000,27.1742,27.1742,27.1653,27.1653,376.40367206258,0
CID.US,D,20151102,000000,27.1358,27.1358,27.1239,27.1239,250.59759299045,0
CID.US,D,20151103,000000,27.0589,27.3693,27.0589,27.3625,3027.4624189616,0
CID.US,D,20151105,000000,27.1121,27.1121,26.9721,26.9721,2271.611379375,0
CID.US,D,20151106,000000,26.9505,26.9505,26.6449,26.6952,20541.90066914,0
CID.US,D,20151109,000000,26.6449,26.6449,26.3483,26.3483,47546.581368035,0
CID.US,D,20151113,000000,25.9894,25.9963,25.9894,25.9963,631.05952566827,0
CID.US,D,20151116,000000,26.3088,29.4235,25.9816,26.3571,460430.97266607,0
CID.US,D,20151117,000000,26.3256,26.3256,26.3256,26.3256,122.76238361071,0
CID.US,D,20151118,000000,26.3916,26.5858,26.3423,26.5858,4903.3933883516,0
CID.US,D,20151120,000000,26.9534,26.9534,26.7632,26.7632,5285.8844513371,0
CID.US,D,20151123,000000,26.6478,26.6478,26.5158,26.5158,2141.7470396876,0
CID.US,D,20151124,000000,26.3738,26.5552,26.3503,26.5227,3629.0995551694,0
CID.US,D,20151125,000000,26.5,26.5858,26.4685,26.4685,7168.9173768038,0
CID.US,D,20151202,000000,26.6647,26.6647,26.6647,26.6647,658.45278482107,0
CID.US,D,20151203,000000,26.8834,26.8834,26.4606,26.5227,1732.8772827032,0
CID.US,D,20151204,000000,26.5414,26.7928,26.5414,26.7632,10064.48632577,0
CID.US,D,20151207,000000,26.6104,26.6104,26.6104,26.6104,248.56846268284,0
CID.US,D,20151208,000000,26.1413,26.1413,26.1413,26.1413,498.15149051948,0
CID.US,D,20151209,000000,25.8189,25.8189,25.8189,25.8189,375.38910690878,0
CID.US,D,20151210,000000,26.0062,26.0309,25.9677,25.9757,4148.5569139189,0
CID.US,D,20151211,000000,25.5292,25.5292,25.5203,25.5203,1505.6146882503,0
CID.US,D,20151214,000000,25.3715,25.47,25.3715,25.4059,944.56015819478,0
CID.US,D,20151215,000000,25.6573,25.6662,25.5538,25.5538,1006.448632577,0
CID.US,D,20151216,000000,25.7312,26.0594,25.6948,26.0594,2644.9713559762,0
CID.US,D,20151217,000000,25.6889,25.6889,25.6889,25.6889,248.56846268284,0
CID.US,D,20151218,000000,25.4296,25.4296,25.2995,25.3468,2268.5676839136,0
CID.US,D,20151221,000000,25.5795,25.5795,25.3468,25.3626,1131.2401464954,0
CID.US,D,20151222,000000,25.4986,25.6109,25.4986,25.5863,5170.224023803,0
CID.US,D,20151223,000000,25.8969,25.9826,25.8969,25.9826,2011.8827000003,0
CID.US,D,20151228,000000,25.8357,25.9333,25.8279,25.9244,908.03581265771,0
CID.US,D,20151229,000000,26.2083,26.2497,26.2083,26.2497,75346.681147514,0
CID.US,D,20151230,000000,26.2743,26.2743,26.0546,26.0949,91152.591678681,0
CID.US,D,20151231,000000,25.7677,25.882,25.7549,25.7549,9578.5096170966,0
CID.US,D,20160104,000000,25.2502,25.3152,25.2502,25.3152,1021.6671098842,0
CID.US,D,20160105,000000,25.1132,25.2256,24.9694,25.2256,25110.487556736,0
CID.US,D,20160106,000000,24.788,24.8461,24.6647,24.6647,1190.0849254162,0
CID.US,D,20160107,000000,24.4351,24.4489,24.1779,24.1827,13259.35199511,0
CID.US,D,20160108,000000,24.4351,24.4351,24.2676,24.2951,938.47276727194,0
CID.US,D,20160111,000000,24.2469,24.2469,24.2469,24.2469,269.8743309128,0
CID.US,D,20160112,000000,24.4282,24.4351,24.4282,24.4351,1624.3188112458,0
CID.US,D,20160113,000000,24.5484,24.578,24.0586,24.0665,3176.6034965713,0
CID.US,D,20160114,000000,24.2459,24.2833,24.2203,24.2459,15751.124012861,0
CID.US,D,20160115,000000,23.5875,23.5885,23.2957,23.5185,2052.4653061526,0
CID.US,D,20160119,000000,23.6219,23.6289,23.48,23.48,3381.5456576404,0
CID.US,D,20160120,000000,23.0937,23.2789,22.9685,23.2789,10114.200018307,0
CID.US,D,20160121,000000,23.5283,23.5283,23.5283,23.5283,131.89346999497,0
CID.US,D,20160122,000000,23.7639,24.1729,23.7639,24.1147,5368.0642287955,0
CID.US,D,20160125,000000,23.8812,23.8812,23.8812,23.8812,374.37454175497,0
CID.US,D,20160126,000000,23.8289,24.2104,23.8289,24.2006,16342.615497531,0
CID.US,D,20160127,000000,24.1483,24.5317,24.1483,24.5317,497.13692536567,0
CID.US,D,20160201,000000,24.6154,24.8037,24.5623,24.788,189812.96549553,0
CID.US,D,20160202,000000,24.2291,24.2291,24.167,24.167,660.48191512868,0
CID.US,D,20160203,000000,23.9492,23.9492,23.9492,23.9492,162.3304246092,0
CID.US,D,20160204,000000,24.6194,24.6332,24.5701,24.6332,5136.7433737274,0
CID.US,D,20160205,000000,24.3386,24.3386,24.3386,24.3386,161.31585945539,0
CID.US,D,20160208,000000,23.819,23.819,23.819,23.819,365.2434553707,0
CID.US,D,20160209,000000,23.7048,23.7048,23.5736,23.5736,893.83190050441,0
CID.US,D,20160211,000000,23.2711,23.2711,23.2375,23.2375,1571.5614232478,0
CID.US,D,20160212,000000,23.5648,23.6791,23.5648,23.6791,1188.0557951086,0
CID.US,D,20160216,000000,23.893,24.0162,23.7915,24.0162,118532.66148448,0
CID.US,D,20160217,000000,24.2439,24.2439,24.235,24.235,1001.375806808,0
CID.US,D,20160218,000000,24.4528,24.4528,24.4528,24.4528,817.73951396885,0
CID.US,D,20160219,000000,24.3681,24.377,24.3681,24.377,13467.337851641,0
CID.US,D,20160223,000000,24.2606,24.2606,24.2606,24.2606,568.1564861322,0
CID.US,D,20160224,000000,23.9255,23.9856,23.6396,23.9856,483.94757836618,0
CID.US,D,20160225,000000,24.2646,24.2646,24.2646,24.2646,122.76238361071,0
CID.US,D,20160226,000000,24.1503,24.1503,24.1503,24.1503,475.83105713572,0
CID.US,D,20160229,000000,24.1197,24.2084,24.1197,24.2084,3184.7200178017,0
CID.US,D,20160301,000000,24.4253,24.5751,24.4253,24.5396,9715.4759128606,0
CID.US,D,20160302,000000,24.6381,24.7781,24.6381,24.7495,10037.093066618,0
CID.US,D,20160304,000000,25.1724,25.3547,25.1635,25.3458,10790.914975897,0
CID.US,D,20160308,000000,25.0984,25.0984,25.0984,25.0984,665.55474089772,0
CID.US,D,20160309,000000,25.3331,25.4464,25.3331,25.4464,372.34541144735,0
CID.US,D,20160310,000000,25.1388,25.1645,25.1388,25.1595,1208.3470981847,0
