<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIL.US,D,20150820,000000,30.2239,30.2687,30.2061,30.2061,1713.4266678674,0
CIL.US,D,20150821,000000,29.7131,29.7131,29.4079,29.4079,342.08166005573,0
CIL.US,D,20150824,000000,29.0044,29.0044,29.0044,29.0044,169.02858496871,0
CIL.US,D,20150825,000000,29.2052,29.2052,29.2052,29.2052,103.63062054629,0
CIL.US,D,20150826,000000,28.7947,28.7947,28.7947,28.7947,226.37756915453,0
CIL.US,D,20150827,000000,29.6177,29.7946,29.6177,29.7031,795.84292089436,0
CIL.US,D,20150831,000000,29.4974,29.4974,29.4457,29.4626,569.46535173983,0
CIL.US,D,20150901,000000,28.6217,28.6307,28.6217,28.6307,683.15719758189,0
CIL.US,D,20150910,000000,29.1863,29.2777,29.1863,29.2777,226.37756915453,0
CIL.US,D,20150917,000000,30.0301,30.0371,30.0301,30.0371,226.37756915453,0
CIL.US,D,20150930,000000,28.4239,28.4239,28.4239,28.4239,103.63062054629,0
CIL.US,D,20151002,000000,29.0343,29.0343,29.0343,29.0343,103.63062054629,0
CIL.US,D,20151008,000000,29.8751,29.8751,29.8751,29.8751,342.08166005573,0
CIL.US,D,20151009,000000,30.1087,30.1087,30.1087,30.1087,103.63062054629,0
CIL.US,D,20151012,000000,30.0818,30.0818,30.0818,30.0818,568.45922921026,0
CIL.US,D,20151013,000000,29.8811,29.8811,29.8811,29.8811,103.63062054629,0
CIL.US,D,20151014,000000,29.8552,29.8552,29.8552,29.8552,103.63062054629,0
CIL.US,D,20151015,000000,30.223,30.223,30.223,30.223,103.63062054629,0
CIL.US,D,20151016,000000,30.3204,30.3482,30.3204,30.3482,226.37756915453,0
CIL.US,D,20151019,000000,30.1643,30.1643,30.1643,30.1643,226.37756915453,0
CIL.US,D,20151023,000000,30.8143,30.8143,30.7954,30.8054,342.08166005573,0
CIL.US,D,20151026,000000,30.713,30.713,30.713,30.713,103.63062054629,0
CIL.US,D,20151105,000000,30.4615,30.4615,30.4615,30.4615,568.45922921026,0
CIL.US,D,20151106,000000,30.213,31.0052,30.0291,30.3114,13204.352078152,0
CIL.US,D,20151109,000000,29.9606,29.9606,29.9606,29.9606,103.63062054629,0
CIL.US,D,20151111,000000,30.1444,30.213,30.1444,30.2051,794.83679836479,0
CIL.US,D,20151112,000000,29.8483,29.9069,29.8483,29.89,794.83679836479,0
CIL.US,D,20151113,000000,29.6863,29.6952,29.6077,29.6157,2729.6104227388,0
CIL.US,D,20151116,000000,30.046,30.7517,29.4527,29.9168,319695.43377267,0
CIL.US,D,20151117,000000,29.9606,30.0202,29.8989,29.9258,1025.2388576376,0
CIL.US,D,20151118,000000,29.9695,30.0729,29.9337,30.0113,1939.8042370219,0
CIL.US,D,20151119,000000,30.2846,30.386,30.2846,30.3671,4437.0003554287,0
CIL.US,D,20151120,000000,30.3671,30.386,30.2846,30.3383,47364.224202304,0
CIL.US,D,20151123,000000,30.2051,30.223,30.1544,30.1544,6831.5719758189,0
CIL.US,D,20151124,000000,29.9427,30.1544,29.9427,30.1166,682.15107505231,0
CIL.US,D,20151125,000000,30.2051,30.2846,30.1166,30.1166,3647.1941697118,0
CIL.US,D,20151202,000000,30.6424,30.6424,30.3204,30.3204,1134.9062133614,0
CIL.US,D,20151203,000000,30.3015,30.3015,30.0729,30.0729,3438.9268060897,0
CIL.US,D,20151204,000000,30.2051,30.4247,30.1951,30.4247,911.54701179557,0
CIL.US,D,20151208,000000,29.7449,29.7449,29.7449,29.7449,144.8816442589,0
CIL.US,D,20151211,000000,29.2311,29.2311,29.1655,29.1655,342.08166005573,0
CIL.US,D,20151214,000000,29.0819,29.1475,29.0809,29.0809,793.83067583521,0
CIL.US,D,20151215,000000,29.4059,29.4059,29.2489,29.2489,794.83679836479,0
CIL.US,D,20151216,000000,29.4527,29.4527,29.4527,29.4527,911.54701179557,0
CIL.US,D,20151217,000000,29.5381,29.5381,29.5381,29.5381,226.37756915453,0
CIL.US,D,20151221,000000,29.3712,29.3712,29.3712,29.3712,103.63062054629,0
CIL.US,D,20151223,000000,29.7737,29.7827,29.7737,29.7827,1365.3082726342,0
CIL.US,D,20151224,000000,29.8552,29.8651,29.8552,29.8651,629.83270351438,0
CIL.US,D,20151230,000000,29.9486,30.0033,29.9486,30.0033,91337.815479939,0
CIL.US,D,20151231,000000,29.6912,29.6912,29.6912,29.6912,1477.9939959467,0
CIL.US,D,20160104,000000,28.8483,28.8483,28.8483,28.8483,341.07553752616,0
CIL.US,D,20160105,000000,28.9627,28.9627,28.9627,28.9627,241.46940709816,0
CIL.US,D,20160106,000000,28.5482,28.5741,28.5482,28.5741,527.20820549766,0
CIL.US,D,20160107,000000,28.2242,28.2252,27.9071,27.9071,1140.9429485388,0
CIL.US,D,20160108,000000,27.8793,27.8943,27.8635,27.8943,826.02659678163,0
CIL.US,D,20160111,000000,27.7421,27.8713,27.7421,27.8713,347.11227270361,0
CIL.US,D,20160112,000000,28.0195,28.0195,27.9319,27.9319,341.07553752616,0
CIL.US,D,20160113,000000,27.9389,27.9389,27.8625,27.8625,246.50001974604,0
CIL.US,D,20160114,000000,27.6667,27.8635,27.6667,27.8635,308.87961657973,0
CIL.US,D,20160115,000000,26.7801,26.9441,26.7801,26.9441,1128.8694781839,0
CIL.US,D,20160119,000000,27.0931,27.1179,26.9191,27.1179,3066.6614701467,0
CIL.US,D,20160120,000000,26.2841,26.62,26.2841,26.62,481.93269166675,0
CIL.US,D,20160121,000000,26.6915,26.6915,26.6915,26.6915,111.6796007829,0
CIL.US,D,20160122,000000,26.4421,27.3147,26.4421,27.2442,468.85309878227,0
CIL.US,D,20160126,000000,27.3993,27.3993,27.3993,27.3993,103.63062054629,0
CIL.US,D,20160127,000000,27.3813,27.7679,27.3813,27.5761,800.87353354224,0
CIL.US,D,20160128,000000,27.5017,27.5017,27.5017,27.5017,103.63062054629,0
CIL.US,D,20160201,000000,27.8147,27.8713,27.7263,27.8713,139535.10913673,0
CIL.US,D,20160202,000000,27.3237,27.3407,27.3237,27.3407,589.58780233135,0
CIL.US,D,20160203,000000,27.4341,27.4341,26.9639,27.3913,820.99598413375,0
CIL.US,D,20160204,000000,27.5383,27.6139,27.2333,27.6139,4922.9575372138,0
CIL.US,D,20160205,000000,27.1279,27.1279,27.1279,27.1279,103.63062054629,0
CIL.US,D,20160208,000000,26.461,26.4869,26.461,26.4869,324.97757705294,0
CIL.US,D,20160209,000000,38.7309,38.7309,26.2662,26.2662,1213.3837706683,0
CIL.US,D,20160211,000000,25.8259,26.0485,25.8259,26.0485,1527.2939998959,0
CIL.US,D,20160212,000000,26.0992,26.1251,26.0992,26.1251,503.06126478784,0
CIL.US,D,20160216,000000,26.6459,26.7055,26.5743,26.6906,116050.19705137,0
CIL.US,D,20160217,000000,27.2233,27.2233,27.1439,27.1439,225.37144662495,0
CIL.US,D,20160218,000000,27.5017,27.5017,27.2809,27.4271,452.75513830906,0
CIL.US,D,20160219,000000,27.2711,27.2711,27.1527,27.1617,29450.21256321,0
CIL.US,D,20160222,000000,27.5761,27.5761,27.5761,27.5761,341.07553752616,0
CIL.US,D,20160224,000000,26.7631,27.0931,26.7631,27.0931,225.37144662495,0
CIL.US,D,20160225,000000,27.4341,27.4341,27.4341,27.4341,103.63062054629,0
CIL.US,D,20160226,000000,27.4191,27.4191,27.3655,27.3655,225.37144662495,0
CIL.US,D,20160229,000000,27.3425,27.3425,27.3425,27.3425,452.75513830906,0
CIL.US,D,20160301,000000,27.7909,27.9667,27.7909,27.9667,296.80614622483,0
CIL.US,D,20160302,000000,27.9211,27.9211,27.8893,27.8893,7918.1843077606,0
