<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIZ.US,D,20141007,000000,30.0059,30.4098,29.9491,29.9571,3598.936474755,0
CIZ.US,D,20141008,000000,29.5622,30.0059,29.5622,30.0059,801.21210457767,0
CIZ.US,D,20141009,000000,30.0249,30.0249,29.6599,29.6599,2833.82403947,0
CIZ.US,D,20141010,000000,29.2849,29.2849,29.254,29.254,455.25694052348,0
CIZ.US,D,20141013,000000,28.8621,29.8863,28.8621,29.8863,6730.5827858891,0
CIZ.US,D,20141014,000000,29.0336,29.0765,29.0336,29.0765,2136.8998684043,0
CIZ.US,D,20141015,000000,28.5181,28.7823,28.3146,28.7823,2661.3478417386,0
CIZ.US,D,20141016,000000,28.4931,28.6836,28.4203,28.6836,2159.9635460079,0
CIZ.US,D,20141020,000000,29.1812,29.27,28.881,29.27,3496.654078426,0
CIZ.US,D,20141022,000000,29.5721,29.7995,29.3976,29.3976,6423.7355969019,0
CIZ.US,D,20141023,000000,29.7476,29.7995,29.6958,29.6958,1482.09197818,0
CIZ.US,D,20141024,000000,30.5035,30.5035,29.9042,29.9042,975.69383949196,0
CIZ.US,D,20141027,000000,29.6699,29.7406,29.6699,29.7247,3079.502344378,0
CIZ.US,D,20141028,000000,31.1667,31.1667,29.9969,30.0249,1031.8488806138,0
CIZ.US,D,20141029,000000,30.2672,30.2672,29.987,29.9989,3863.6673829009,0
CIZ.US,D,20141030,000000,30.0398,30.2173,30.0398,30.1485,3771.4126724864,0
CIZ.US,D,20141031,000000,30.5215,30.5913,30.4797,30.5913,1619.4712752102,0
CIZ.US,D,20141103,000000,30.0568,30.3839,30.0568,30.3839,931.57202146766,0
CIZ.US,D,20141104,000000,30.0059,30.1895,30.0059,30.1735,18083.928778415,0
CIZ.US,D,20141105,000000,30.2253,30.2842,30.2253,30.2672,40307.286302383,0
CIZ.US,D,20141106,000000,30.1895,30.2173,30.1246,30.1246,3942.8861016263,0
