<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLOU.US,D,20190417,000000,14.916,14.916,14.493,14.534,1435657,0
CLOU.US,D,20190418,000000,14.642,14.642,14.288,14.514,1011157,0
CLOU.US,D,20190422,000000,14.514,14.77,14.504,14.77,329995,0
CLOU.US,D,20190423,000000,14.837,15.004,14.819,14.973,461296,0
CLOU.US,D,20190424,000000,15.044,15.083,14.945,14.975,501192,0
CLOU.US,D,20190425,000000,15.122,15.162,14.955,15.103,612189,0
CLOU.US,D,20190426,000000,15.191,15.309,14.955,15.309,528817,0
CLOU.US,D,20190429,000000,15.319,15.437,15.284,15.368,1094656,0
CLOU.US,D,20190430,000000,15.368,15.453,15.23,15.348,572004,0
CLOU.US,D,20190501,000000,15.456,15.456,15.162,15.162,84469,0
CLOU.US,D,20190502,000000,15.25,15.368,15.083,15.23,314464,0
CLOU.US,D,20190503,000000,15.378,15.505,15.299,15.486,183446,0
CLOU.US,D,20190506,000000,15.25,15.476,15.132,15.475,156052,0
CLOU.US,D,20190507,000000,15.427,15.427,14.926,15.122,567208,0
CLOU.US,D,20190508,000000,14.985,15.044,14.877,14.985,421877,0
CLOU.US,D,20190509,000000,14.916,15.004,14.583,14.974,361825,0
CLOU.US,D,20190510,000000,15.024,15.211,14.74,15.181,325059,0
CLOU.US,D,20190513,000000,14.975,14.975,14.416,14.435,516086,0
CLOU.US,D,20190514,000000,14.583,14.828,14.563,14.74,173813,0
CLOU.US,D,20190515,000000,14.77,15.078,14.701,15.034,1086930,0
CLOU.US,D,20190516,000000,15.132,15.555,15.086,15.456,540278,0
CLOU.US,D,20190517,000000,15.456,15.525,15.28,15.28,391370,0
CLOU.US,D,20190520,000000,15.152,15.152,14.926,15.004,261177,0
CLOU.US,D,20190521,000000,15.122,15.255,15.122,15.201,216703,0
CLOU.US,D,20190522,000000,15.201,15.348,15.171,15.23,508614,0
CLOU.US,D,20190523,000000,15.171,15.171,14.857,14.926,244650,0
CLOU.US,D,20190524,000000,15.073,15.148,14.988,15.044,113440,0
CLOU.US,D,20190528,000000,15.142,15.423,15.142,15.181,2572809,0
CLOU.US,D,20190529,000000,15.162,15.162,14.828,14.896,3759853,0
CLOU.US,D,20190530,000000,14.995,15.073,14.877,14.995,714359,0
CLOU.US,D,20190531,000000,14.886,14.985,14.77,14.828,243989,0
CLOU.US,D,20190603,000000,14.877,14.877,14.111,14.18,1844526,0
CLOU.US,D,20190604,000000,14.357,14.661,14.19,14.661,817303,0
CLOU.US,D,20190605,000000,14.799,14.975,14.661,14.936,164288,0
CLOU.US,D,20190606,000000,14.945,15.142,14.862,15.063,1276743,0
CLOU.US,D,20190607,000000,15.171,15.367,15.171,15.338,108361,0
CLOU.US,D,20190610,000000,15.427,15.663,15.368,15.368,295829,0
CLOU.US,D,20190611,000000,15.545,15.555,15.042,15.171,306655,0
CLOU.US,D,20190612,000000,15.171,15.24,15.093,15.221,278517,0
CLOU.US,D,20190613,000000,15.319,15.319,15.221,15.28,137591,0
CLOU.US,D,20190614,000000,15.289,15.289,15.073,15.142,208222,0
CLOU.US,D,20190617,000000,15.211,15.466,15.211,15.368,145026,0
CLOU.US,D,20190618,000000,15.447,15.673,15.447,15.564,97883,0
CLOU.US,D,20190619,000000,15.584,15.844,15.535,15.83,492457,0
CLOU.US,D,20190620,000000,16.056,16.154,15.879,15.987,1121201,0
CLOU.US,D,20190621,000000,15.987,15.987,15.79,15.81,972496,0
CLOU.US,D,20190624,000000,15.889,15.889,15.564,15.564,298703,0
CLOU.US,D,20190625,000000,15.614,15.614,15.162,15.162,676423,0
CLOU.US,D,20190626,000000,15.309,15.447,15.181,15.22,69578,0
CLOU.US,D,20190627,000000,15.28,15.515,15.211,15.515,78539,0
CLOU.US,D,20190628,000000,15.515,15.609,15.388,15.545,92336,0
CLOU.US,D,20190701,000000,15.79,15.908,15.628,15.722,211246,0
CLOU.US,D,20190702,000000,15.751,15.928,15.732,15.923,769876,0
CLOU.US,D,20190703,000000,15.928,16.105,15.928,16.085,204427,0
CLOU.US,D,20190705,000000,16.085,16.154,15.859,16.134,602021,0
CLOU.US,D,20190708,000000,16.056,16.134,15.977,16.115,424769,0
CLOU.US,D,20190709,000000,16.056,16.292,16.056,16.272,238578,0
CLOU.US,D,20190710,000000,16.341,16.507,16.341,16.399,340352,0
CLOU.US,D,20190711,000000,16.409,16.467,16.301,16.389,443224,0
CLOU.US,D,20190712,000000,16.418,16.446,16.232,16.409,343446,0
CLOU.US,D,20190715,000000,16.418,16.497,16.351,16.477,240839,0
CLOU.US,D,20190716,000000,16.497,16.507,16.262,16.282,376335,0
CLOU.US,D,20190717,000000,16.282,16.467,16.282,16.369,294916,0
CLOU.US,D,20190718,000000,16.301,16.341,16.164,16.311,221379,0
CLOU.US,D,20190719,000000,16.399,16.497,16.154,16.154,208298,0
CLOU.US,D,20190722,000000,16.193,16.351,16.193,16.272,177990,0
CLOU.US,D,20190723,000000,16.389,16.389,16.056,16.144,258576,0
CLOU.US,D,20190724,000000,16.351,16.399,16.134,16.351,389338,0
CLOU.US,D,20190725,000000,16.399,16.448,16.253,16.351,324378,0
CLOU.US,D,20190726,000000,16.399,16.644,16.399,16.576,172710,0
