<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNCR.US,D,20151015,000000,23.372,26.221,23.156,26.221,149201,0
CNCR.US,D,20151016,000000,24.684,24.764,24.096,24.395,235027,0
CNCR.US,D,20151019,000000,24.593,25.19,23.752,24.593,119892,0
CNCR.US,D,20151020,000000,24.764,24.774,23.752,23.933,64706,0
CNCR.US,D,20151021,000000,23.988,24.33,23.183,23.707,52977,0
CNCR.US,D,20151022,000000,24.106,24.249,23.426,23.824,26102,0
CNCR.US,D,20151023,000000,24.177,24.502,24.023,24.458,29420,0
CNCR.US,D,20151026,000000,24.792,24.864,24.113,24.593,18470,0
CNCR.US,D,20151027,000000,24.728,25.045,24.502,25.045,32627,0
CNCR.US,D,20151028,000000,25.515,25.796,24.638,25.796,54415,0
CNCR.US,D,20151029,000000,25.958,26.048,25.19,25.217,32184,0
CNCR.US,D,20151030,000000,25.497,25.497,24.792,25,24553,0
CNCR.US,D,20151102,000000,25.425,26.383,25.018,26.383,58663,0
CNCR.US,D,20151103,000000,26.899,27.007,25.886,26.944,89586,0
CNCR.US,D,20151104,000000,27.215,27.215,26.491,27.052,37334,0
CNCR.US,D,20151105,000000,27.352,27.352,26.473,26.836,28093,0
CNCR.US,D,20151106,000000,27.305,27.305,26.348,26.836,37273,0
CNCR.US,D,20151109,000000,26.997,27.234,26.727,27.196,25977,0
CNCR.US,D,20151110,000000,27.143,27.361,26.988,27.352,26433,0
CNCR.US,D,20151111,000000,27.576,27.641,26.79,26.79,29863,0
CNCR.US,D,20151112,000000,26.871,26.871,26.184,26.184,17033,0
CNCR.US,D,20151113,000000,26.42,26.836,25.787,26.547,15262,0
CNCR.US,D,20151116,000000,26.402,26.699,25.804,26.32,24332,0
CNCR.US,D,20151117,000000,26.754,26.836,26.175,26.473,20793,0
CNCR.US,D,20151118,000000,26.673,27.035,26.491,27.035,10840,0
CNCR.US,D,20151119,000000,27.523,27.523,26.455,26.618,14268,0
CNCR.US,D,20151120,000000,26.745,26.918,26.573,26.762,11945,0
CNCR.US,D,20151123,000000,26.781,27.45,26.736,27.305,30193,0
CNCR.US,D,20151124,000000,27.369,27.369,26.817,27.269,17033,0
CNCR.US,D,20151125,000000,27.568,28.048,27.469,27.957,46341,0
CNCR.US,D,20151127,000000,28.165,28.264,28.029,28.174,24332,0
CNCR.US,D,20151130,000000,28.482,28.482,27.576,27.839,38931,0
CNCR.US,D,20151201,000000,28.237,28.237,27.333,27.694,28975,0
CNCR.US,D,20151202,000000,28.111,28.174,27.595,27.631,22242,0
CNCR.US,D,20151203,000000,27.641,27.836,26.601,26.836,17437,0
CNCR.US,D,20151204,000000,26.899,27.305,26.699,27.26,15595,0
CNCR.US,D,20151207,000000,27.532,27.532,25.985,26.085,27429,0
CNCR.US,D,20151208,000000,26.13,26.436,25.67,26.311,13188,0
CNCR.US,D,20151209,000000,26.348,26.348,25.217,25.398,38931,0
CNCR.US,D,20151210,000000,25.289,25.787,25.289,25.66,30526,0
CNCR.US,D,20151211,000000,25.398,25.525,24.855,24.882,32627,0
CNCR.US,D,20151214,000000,24.864,24.864,24.122,24.368,15769,0
CNCR.US,D,20151215,000000,25,25,24.556,24.92,12276,0
CNCR.US,D,20151216,000000,25.262,26.076,25.226,26.012,29198,0
CNCR.US,D,20151217,000000,26.23,26.446,25.407,25.542,31742,0
CNCR.US,D,20151218,000000,25.633,25.814,25.487,25.534,17476,0
CNCR.US,D,20151221,000000,26.066,26.066,25.316,25.642,7520,0
CNCR.US,D,20151222,000000,25.749,25.768,25.443,25.551,5940,0
CNCR.US,D,20151223,000000,25.787,26.238,25.633,26.112,12720,0
CNCR.US,D,20151224,000000,26.628,26.628,26.189,26.326,8604,0
CNCR.US,D,20151228,000000,26.799,26.799,25.633,25.705,11542,0
CNCR.US,D,20151229,000000,25.855,26.299,25.855,26.246,17316,0
CNCR.US,D,20151230,000000,26.463,26.463,26.11,26.327,3087,0
CNCR.US,D,20151231,000000,26.281,26.281,25.882,25.882,8374,0
CNCR.US,D,20160104,000000,25.92,25.92,24.776,24.957,23662,0
CNCR.US,D,20160105,000000,25.147,25.166,24.671,24.831,10841,0
CNCR.US,D,20160106,000000,24.604,24.604,23.605,23.825,21022,0
CNCR.US,D,20160107,000000,23.541,23.541,22.452,22.452,29369,0
CNCR.US,D,20160108,000000,23.759,23.759,22.007,22.07,33327,0
CNCR.US,D,20160111,000000,22.053,22.168,20.374,20.873,43288,0
CNCR.US,D,20160112,000000,21.336,21.967,20.555,21.263,22200,0
CNCR.US,D,20160113,000000,21.527,21.562,19.679,19.698,27131,0
CNCR.US,D,20160114,000000,20.02,20.563,19.04,20.301,26659,0
CNCR.US,D,20160115,000000,19.221,19.875,19.089,19.851,25437,0
CNCR.US,D,20160119,000000,19.875,20.246,18.876,19.312,19725,0
CNCR.US,D,20160120,000000,18.205,20.202,18.205,19.942,31893,0
CNCR.US,D,20160121,000000,19.865,20.465,19.73,19.829,7898,0
CNCR.US,D,20160122,000000,21.68,21.68,20.002,20.202,30021,0
CNCR.US,D,20160125,000000,20.329,20.61,20.174,20.174,27314,0
CNCR.US,D,20160126,000000,19.848,20.147,19.45,20.011,7074,0
CNCR.US,D,20160127,000000,20.039,20.039,19.058,19.095,8663,0
CNCR.US,D,20160128,000000,18.786,18.858,18.387,18.396,15719,0
CNCR.US,D,20160129,000000,18.178,18.85,18.178,18.812,11662,0
CNCR.US,D,20160201,000000,18.968,19.154,18.497,19.113,10608,0
CNCR.US,D,20160202,000000,19.13,19.13,18.271,18.486,5560,0
CNCR.US,D,20160203,000000,18.659,18.659,17.687,18.137,8151,0
CNCR.US,D,20160204,000000,18.132,19.004,18.132,18.548,3200,0
CNCR.US,D,20160205,000000,18.287,18.287,17.851,17.875,21859,0
CNCR.US,D,20160208,000000,16.98,17.343,16.855,17.106,15521,0
