<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COMT.US,D,20141020,000000,26.3427,26.3901,26.3137,26.3901,3931.02424648,0
COMT.US,D,20141021,000000,26.5445,26.6408,26.5445,26.6408,566.62233646,0
COMT.US,D,20141023,000000,26.3955,26.614,26.3955,26.6056,8665.52681764,0
COMT.US,D,20141024,000000,26.4214,26.4841,26.4214,26.4818,1746.9764877,0
COMT.US,D,20141027,000000,26.1601,26.1601,26.0783,26.0783,2130.39529736,0
COMT.US,D,20141028,000000,26.3794,26.6094,26.3588,26.6094,4502.88096942,0
COMT.US,D,20141029,000000,26.7974,26.7974,26.7569,26.7569,2611.95885352,0
COMT.US,D,20141030,000000,26.5628,26.5628,26.3741,26.5475,6705.24908088,0
COMT.US,D,20141031,000000,26.3221,26.4841,26.2128,26.4734,5382.25789806,0
COMT.US,D,20141103,000000,26.5422,26.5422,26.2021,26.2021,2330.61058022,0
COMT.US,D,20141104,000000,26.0409,26.0409,25.8582,25.8682,3008.46362938,0
COMT.US,D,20141105,000000,25.8682,26.063,25.8682,26.063,736.73989706,0
COMT.US,D,20141106,000000,25.9148,26.1028,25.8942,26.0974,9183.73107916,0
COMT.US,D,20141107,000000,26.3221,26.3955,26.2701,26.2854,8254.62747896,0
COMT.US,D,20141110,000000,26.468,26.468,26.0577,26.0684,8948.18368756,0
COMT.US,D,20141111,000000,26.0516,26.1173,25.9988,26.1173,3971.5907417,0
COMT.US,D,20141112,000000,26.2075,26.2075,25.9622,26.0034,12414.65613394,0
COMT.US,D,20141113,000000,25.8154,25.8414,25.4975,25.5029,8040.01763328,0
COMT.US,D,20141114,000000,25.7788,25.8154,25.7788,25.8154,5611.26230656,0
COMT.US,D,20141117,000000,25.7635,25.8735,25.7001,25.8735,4818.25275484,0
COMT.US,D,20141118,000000,25.8254,25.8254,25.7421,25.7688,2432.68111658,0
COMT.US,D,20141119,000000,25.888,25.888,25.7153,25.7153,1024.63115346,0
COMT.US,D,20141120,000000,25.888,25.888,25.888,25.888,779.92358552,0
