<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSA.US,D,20150708,000000,32.5996,32.5996,32.5996,32.5996,533.95364479115,0
CSA.US,D,20150709,000000,33.3014,33.3014,33.3014,33.3014,100.17892022348,0
CSA.US,D,20150710,000000,32.8902,32.946,32.8902,32.946,2559.5714117099,0
CSA.US,D,20150714,000000,33.4002,33.4002,33.4002,33.4002,126.22543948158,0
CSA.US,D,20150716,000000,33.3633,33.3633,33.3014,33.3014,533.95364479115,0
CSA.US,D,20150724,000000,32.374,32.374,32.374,32.374,205.36678645813,0
CSA.US,D,20150727,000000,32.2164,32.2164,31.878,31.878,314.56180950173,0
CSA.US,D,20150729,000000,32.3382,32.3382,32.3382,32.3382,100.17892022348,0
CSA.US,D,20150731,000000,32.5148,32.5148,32.5148,32.5148,314.56180950173,0
CSA.US,D,20150804,000000,32.402,32.402,32.3292,32.3552,1388.4798342974,0
CSA.US,D,20150807,000000,32.0656,32.0656,32.0656,32.0656,314.56180950173,0
CSA.US,D,20150811,000000,32.2164,32.2164,32.2164,32.2164,178.31847799779,0
CSA.US,D,20150812,000000,32.1056,32.1056,32.1056,32.1056,100.17892022348,0
CSA.US,D,20150817,000000,32.4868,32.4868,32.4868,32.4868,1063.9001327734,0
CSA.US,D,20150818,000000,32.393,32.393,32.393,32.393,1063.9001327734,0
CSA.US,D,20150820,000000,31.7752,31.8031,31.7752,31.8031,747.33474486716,0
CSA.US,D,20150821,000000,31.2311,31.2311,31.2311,31.2311,1278.2830220516,0
CSA.US,D,20150824,000000,30.4905,30.8119,29.9345,29.9445,1655.9575512941,0
CSA.US,D,20150825,000000,29.6749,30.5973,29.6749,29.6749,639.1415110258,0
CSA.US,D,20150826,000000,29.8955,29.9743,29.8955,29.8955,205.36678645813,0
CSA.US,D,20150827,000000,30.5873,30.5873,30.5873,30.5873,100.17892022348,0
CSA.US,D,20150828,000000,30.8518,30.8518,30.8518,30.8518,100.17892022348,0
CSA.US,D,20150831,000000,30.9676,30.9676,30.9586,30.9586,314.56180950173,0
CSA.US,D,20150902,000000,30.4245,30.4345,30.4245,30.4345,205.36678645813,0
CSA.US,D,20150910,000000,30.8029,30.8029,30.7849,30.7849,3313.9186809927,0
CSA.US,D,20150923,000000,30.4845,30.4845,30.4845,30.4845,205.36678645813,0
CSA.US,D,20150925,000000,30.4285,30.4665,30.4285,30.4665,3622.469755281,0
CSA.US,D,20150929,000000,29.7867,29.7867,29.7867,29.7867,3191.7003983201,0
CSA.US,D,20150930,000000,30.1081,30.1081,30.1081,30.1081,100.17892022348,0
CSA.US,D,20151001,000000,29.8037,29.9175,29.7308,29.9175,1275.2776544449,0
CSA.US,D,20151014,000000,31.0974,31.0974,31.0974,31.0974,100.17892022348,0
CSA.US,D,20151016,000000,31.5546,31.5546,31.5546,31.5546,100.17892022348,0
CSA.US,D,20151019,000000,31.5546,31.5546,31.5356,31.5546,532.95185558891,0
CSA.US,D,20151026,000000,31.7812,31.7812,31.7812,31.7812,313.56002029949,0
CSA.US,D,20151027,000000,31.6074,31.6074,31.6074,31.6074,100.17892022348,0
CSA.US,D,20151028,000000,31.5356,31.5356,31.5356,31.5356,532.95185558891,0
CSA.US,D,20151103,000000,32.7514,32.7514,32.3182,32.3182,1912.4155870662,0
CSA.US,D,20151105,000000,32.2992,32.2992,32.2992,32.2992,420.75146493862,0
CSA.US,D,20151106,000000,32.6466,32.7314,32.6376,32.7314,13517.141705754,0
CSA.US,D,20151109,000000,32.2542,32.373,32.2542,32.3452,2428.3370262172,0
CSA.US,D,20151112,000000,32.0536,32.0536,31.7052,31.7052,420.75146493862,0
CSA.US,D,20151113,000000,31.5974,31.5974,31.3778,31.3778,744.32937726045,0
CSA.US,D,20151116,000000,31.304,31.6174,31.2271,31.6174,335209.68674898,0
CSA.US,D,20151117,000000,31.5885,31.8001,31.5885,31.5885,532.95185558891,0
CSA.US,D,20151118,000000,31.5974,32.0536,31.5974,32.0536,43965.522718479,0
CSA.US,D,20151120,000000,32.2444,32.2444,32.2344,32.2344,1385.4744666907,0
CSA.US,D,20151123,000000,32.2722,32.458,32.2244,32.382,6069.8407763406,0
CSA.US,D,20151124,000000,32.3372,32.6376,32.1414,32.6376,6809.1612075899,0
CSA.US,D,20151125,000000,32.7214,32.7874,32.7214,32.7314,3407.0850768005,0
CSA.US,D,20151127,000000,32.7514,32.946,32.7514,32.946,744.32937726045,0
CSA.US,D,20151130,000000,32.8153,32.8153,32.8153,32.8153,205.36678645813,0
CSA.US,D,20151202,000000,33.0688,33.0688,32.7314,32.7314,3100.5375809167,0
CSA.US,D,20151203,000000,32.7015,32.7015,32.1216,32.1316,1239.2132431644,0
CSA.US,D,20151204,000000,32.5598,32.5598,32.5318,32.5318,313.56002029949,0
CSA.US,D,20151207,000000,31.9808,32.0088,31.9808,32.0088,638.13972182357,0
CSA.US,D,20151208,000000,31.9998,31.9998,31.9998,31.9998,578.03236968948,0
CSA.US,D,20151209,000000,31.5456,31.5456,31.5456,31.5456,638.13972182357,0
CSA.US,D,20151210,000000,31.5546,31.5885,31.4448,31.4448,2127.8002655467,0
CSA.US,D,20151214,000000,30.6132,30.7819,30.6132,30.7061,734.31148523811,0
CSA.US,D,20151215,000000,31.1353,31.1353,31.1163,31.1163,205.36678645813,0
CSA.US,D,20151216,000000,31.1702,31.4078,31.1702,31.4078,957.71047733647,0
CSA.US,D,20151217,000000,31.7812,31.7812,31.284,31.284,1912.4155870662,0
CSA.US,D,20151218,000000,30.6462,30.6551,30.6462,30.6551,313.56002029949,0
CSA.US,D,20151221,000000,30.6551,30.6551,30.6551,30.6551,100.17892022348,0
CSA.US,D,20151222,000000,30.7979,30.8169,30.743,30.8169,518.92680675763,0
CSA.US,D,20151223,000000,31.4727,31.4727,31.4727,31.4727,957.71047733647,0
CSA.US,D,20151224,000000,31.4996,31.4996,31.4996,31.4996,205.36678645813,0
CSA.US,D,20151230,000000,31.6194,31.6614,31.5306,31.5306,67558.660220311,0
CSA.US,D,20151231,000000,31.2122,31.2122,31.0335,31.0335,2295.0990623199,0
CSA.US,D,20160104,000000,30.7001,30.7001,30.0263,30.1571,7575.5299472995,0
CSA.US,D,20160105,000000,30.3048,30.3048,30.2309,30.2309,334.59759354642,0
CSA.US,D,20160106,000000,29.9773,30.0712,29.9773,30.0712,1043.8643487287,0
CSA.US,D,20160107,000000,29.4633,29.4633,29.1179,29.1179,891.59238998897,0
CSA.US,D,20160108,000000,29.0011,29.0011,29.0011,29.0011,964.72300175211,0
CSA.US,D,20160111,000000,28.6617,28.6617,28.6617,28.6617,215.38467848048,0
CSA.US,D,20160113,000000,28.7057,28.7057,28.3283,28.3283,22062.403600817,0
CSA.US,D,20160114,000000,28.3193,28.5579,28.3193,28.5579,285.50992263692,0
CSA.US,D,20160115,000000,27.5058,27.933,27.5058,27.933,1366.4404718483,0
CSA.US,D,20160119,000000,27.8562,27.8562,27.6026,27.8102,2019.6070317054,0
CSA.US,D,20160120,000000,27.2562,27.8662,27.0476,27.8662,989.76773180798,0
CSA.US,D,20160121,000000,28.0718,28.0718,27.7833,27.7933,855.52797870852,0
CSA.US,D,20160122,000000,27.8102,27.969,27.8102,27.969,330.59043673748,0
CSA.US,D,20160126,000000,27.8262,27.8262,27.8262,27.8262,125.22365027935,0
CSA.US,D,20160127,000000,28.1377,28.3892,28.1377,28.3892,342.6119071643,0
CSA.US,D,20160129,000000,28.5709,28.6008,28.516,28.6008,4953.8476050511,0
CSA.US,D,20160201,000000,28.7625,28.7715,28.7336,28.7705,174529.71123494,0
CSA.US,D,20160202,000000,28.2255,28.2255,28.2255,28.2255,402.71925929839,0
CSA.US,D,20160203,000000,27.7264,27.7264,27.7264,27.7264,125.22365027935,0
CSA.US,D,20160204,000000,28.2814,28.3872,28.2714,28.3832,4312.7025156208,0
CSA.US,D,20160205,000000,27.9809,27.9809,27.9809,27.9809,130.23259629052,0
CSA.US,D,20160208,000000,27.5746,27.7074,27.5746,27.7074,738.31864204705,0
CSA.US,D,20160209,000000,27.5358,27.6585,27.5358,27.6585,1140.0361121432,0
CSA.US,D,20160211,000000,27.0656,27.371,27.0656,27.371,626.11825139675,0
CSA.US,D,20160212,000000,27.6685,27.6685,27.6685,27.6685,368.65842642241,0
CSA.US,D,20160216,000000,28.0618,28.0618,28.0618,28.0618,88872.727287058,0
CSA.US,D,20160217,000000,28.7416,28.7426,28.7346,28.7426,456.81587621907,0
CSA.US,D,20160219,000000,28.7525,28.7525,28.7525,28.7525,10248.303538862,0
CSA.US,D,20160222,000000,29.0121,29.055,29.0121,29.055,531.95006638668,0
CSA.US,D,20160229,000000,29.4533,29.4533,29.3945,29.3945,3717.6397294933,0
CSA.US,D,20160301,000000,29.8885,29.8885,29.8885,29.8885,100.17892022348,0
CSA.US,D,20160302,000000,29.8615,29.9475,29.8615,29.9475,387.69242126487,0
CSA.US,D,20160307,000000,30.8388,30.8388,30.8298,30.8298,1058.8911867622,0
CSA.US,D,20160308,000000,30.741,30.741,30.4715,30.4715,1379.4637314773,0
CSA.US,D,20160309,000000,30.5304,30.5304,30.5304,30.5304,100.17892022348,0
CSA.US,D,20160314,000000,30.736,30.736,30.736,30.736,131.23438549276,0
CSA.US,D,20160315,000000,30.5104,30.5403,30.4046,30.4046,95736.986900771,0
CSA.US,D,20160318,000000,31.3788,31.4088,31.3788,31.4088,227.4061489073,0
CSA.US,D,20160321,000000,31.3589,31.3589,31.3589,31.3589,186.33279161567,0
CSA.US,D,20160322,000000,31.1632,31.2561,31.1163,31.2561,38456.68389539,0
CSA.US,D,20160323,000000,30.8358,30.8358,30.8358,30.8358,595.06278612747,0
CSA.US,D,20160329,000000,30.9047,31.0884,30.9047,31.0884,311.55644189502,0
CSA.US,D,20160330,000000,31.7442,31.7442,31.6893,31.6893,1168.0862098058,0
CSA.US,D,20160331,000000,31.7742,31.7742,31.7052,31.7052,505.90354712857,0
CSA.US,D,20160401,000000,31.6104,31.6594,31.6104,31.6494,16037.643338577,0
