<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSB.US,D,20150708,000000,29.0752,29.1011,29.0513,29.0513,23906.185528425,0
CSB.US,D,20150709,000000,29.7686,29.7686,29.7686,29.7686,106.55351383454,0
CSB.US,D,20150710,000000,29.0453,29.0453,29.0453,29.0453,600.11743169077,0
CSB.US,D,20150713,000000,29.5925,29.6014,29.5925,29.6014,240.24801704203,0
CSB.US,D,20150714,000000,29.7009,29.7009,29.7009,29.7009,106.55351383454,0
CSB.US,D,20150727,000000,28.4484,28.4484,28.3111,28.3111,240.24801704203,0
CSB.US,D,20150729,000000,28.708,28.708,28.708,28.708,106.55351383454,0
CSB.US,D,20150731,000000,28.6862,28.6862,28.6862,28.6862,355.84852733422,0
CSB.US,D,20150818,000000,29.0652,29.0652,29.0652,29.0652,239.24279521341,0
CSB.US,D,20150820,000000,28.4992,28.547,28.4992,28.547,1669.6734573507,0
CSB.US,D,20150824,000000,27.6874,27.6874,27.6874,27.6874,106.55351383454,0
CSB.US,D,20150825,000000,27.0109,27.6616,27.0109,27.0109,597.10176620489,0
CSB.US,D,20150826,000000,26.7653,26.7653,26.7653,26.7653,716.72316381159,0
CSB.US,D,20150828,000000,27.5571,27.6278,27.5571,27.6278,239.24279521341,0
CSB.US,D,20150831,000000,27.7113,27.77,27.7113,27.77,354.8433055056,0
CSB.US,D,20150901,000000,27.4298,27.4298,27.1463,27.1463,830.31323044652,0
CSB.US,D,20150902,000000,27.2099,27.2099,27.0359,27.1105,2146.1486041203,0
CSB.US,D,20150910,000000,27.377,27.377,27.3681,27.3681,976.07039559755,0
CSB.US,D,20150915,000000,27.5969,27.5969,27.3044,27.3044,1307.7935990447,0
CSB.US,D,20150916,000000,27.6158,27.6934,27.6158,27.6934,830.31323044652,0
CSB.US,D,20150921,000000,27.58,27.588,27.58,27.588,948.9294062246,0
CSB.US,D,20150924,000000,26.9293,27.0209,26.9293,27.0209,1812.4149570158,0
CSB.US,D,20150925,000000,27.2219,27.2219,27.1055,27.1055,1185.1565359521,0
CSB.US,D,20150929,000000,26.5732,26.5732,26.5732,26.5732,3563.5113824854,0
CSB.US,D,20150930,000000,26.7772,26.7772,26.7682,26.7682,828.30278678927,0
CSB.US,D,20151002,000000,26.9293,26.9293,26.9293,26.9293,106.55351383454,0
CSB.US,D,20151005,000000,27.3641,27.5034,27.3641,27.4934,661.43596323706,0
CSB.US,D,20151006,000000,27.569,27.569,27.569,27.569,713.7074983257,0
CSB.US,D,20151008,000000,27.9958,28.2007,27.9958,28.1937,1069.5560256599,0
CSB.US,D,20151013,000000,28.5121,28.5121,28.5121,28.5121,352.83286184834,0
CSB.US,D,20151014,000000,27.9958,27.9958,27.9958,27.9958,106.55351383454,0
CSB.US,D,20151023,000000,28.7032,28.7032,28.5032,28.5032,1068.5508038313,0
CSB.US,D,20151026,000000,28.4882,28.4882,28.4882,28.4882,593.08087889037,0
CSB.US,D,20151029,000000,28.4176,28.4176,28.4176,28.4176,238.23757338478,0
CSB.US,D,20151102,000000,28.7966,28.7966,28.7896,28.7896,299.55610493107,0
CSB.US,D,20151103,000000,28.6802,28.8682,28.6096,28.8682,472.45425945504,0
CSB.US,D,20151105,000000,28.8374,28.8374,28.8374,28.8374,593.08087889037,0
CSB.US,D,20151106,000000,28.7798,28.8126,28.5848,28.8126,16721.865119223,0
CSB.US,D,20151109,000000,28.5091,28.5937,28.4693,28.5848,32033.404012881,0
CSB.US,D,20151110,000000,28.712,28.712,28.6952,28.6952,827.29756496064,0
CSB.US,D,20151111,000000,28.6096,28.6096,28.6016,28.6016,593.08087889037,0
CSB.US,D,20151112,000000,28.337,28.337,28.1311,28.1311,238.23757338478,0
