<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSF.US,D,20140805,000000,32.531,32.531,32.531,32.531,708.80525081592,0
CSF.US,D,20140807,000000,32.6466,32.6466,32.6466,32.6466,316.80687306624,0
CSF.US,D,20140808,000000,32.7234,32.7234,32.7145,32.7145,1896.8310248143,0
CSF.US,D,20140811,000000,33.289,33.289,33.1204,33.1204,4719.0188339328,0
CSF.US,D,20140812,000000,32.8631,32.8631,32.8631,32.8631,633.61374613247,0
CSF.US,D,20140813,000000,33.2002,33.2002,33.1024,33.1024,37265.91227451,0
CSF.US,D,20140814,000000,33.2182,33.2182,33.2182,33.2182,398.01369812435,0
CSF.US,D,20140815,000000,33.1314,33.1314,32.9399,32.9399,426.08519320617,0
CSF.US,D,20140818,000000,33.5772,33.5772,33.5772,33.5772,316.80687306624,0
CSF.US,D,20140819,000000,33.7259,33.7259,33.683,33.71,1468.7407248166,0
CSF.US,D,20140820,000000,33.4805,33.5384,33.4805,33.5384,44023.122162062,0
CSF.US,D,20140821,000000,33.4247,33.7548,33.4247,33.7448,953.42827938605,0
CSF.US,D,20140822,000000,33.6312,33.8017,33.5104,33.707,6399.2983252588,0
CSF.US,D,20140825,000000,33.7847,33.8017,33.7847,33.8017,1254.1942981198,0
CSF.US,D,20140826,000000,34.0052,34.0141,33.9872,33.9872,39052.462425788,0
CSF.US,D,20140827,000000,33.9303,33.9403,33.9125,33.9125,1910.8667723552,0
CSF.US,D,20140828,000000,33.7648,33.7648,33.658,33.7468,2995.6295465883,0
CSF.US,D,20140829,000000,33.8396,33.8396,33.8396,33.8396,330.84262060715,0
CSF.US,D,20140902,000000,34.1688,34.1688,33.9783,34.1288,4466.3753781965,0
CSF.US,D,20140903,000000,34.0052,34.0511,33.8935,33.8935,14484.891462218,0
CSF.US,D,20140904,000000,34.1588,34.2216,34.06,34.06,4759.120969764,0
CSF.US,D,20140905,000000,33.7927,33.8835,33.707,33.8565,6971.7563142488,0
CSF.US,D,20140908,000000,33.9213,33.9213,33.7588,33.7588,1500.8224334815,0
CSF.US,D,20140909,000000,33.6401,33.657,33.5932,33.5962,1969.0148693104,0
CSF.US,D,20140910,000000,34.0241,34.0241,33.707,33.707,904.30316299286,0
CSF.US,D,20140912,000000,33.677,33.677,33.6142,33.6142,422.07497962306,0
CSF.US,D,20140915,000000,33.4157,33.5104,33.4157,33.5104,1792.5654716533,0
CSF.US,D,20140916,000000,33.3249,33.5653,33.3249,33.4845,3075.8338182507,0
CSF.US,D,20140917,000000,33.9193,33.9193,33.5743,33.5743,702.78993044124,0
CSF.US,D,20140918,000000,33.7518,33.7907,33.7328,33.7328,1785.5475978828,0
