<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTEC.US,D,20201030,000000,15.279,15.279,14.9013,15.0802,50101.941134757,0
CTEC.US,D,20201102,000000,15.269,15.372,15.2291,15.372,15962.45082572,0
CTEC.US,D,20201103,000000,15.6278,15.6478,15.389,15.5209,50442.185212291,0
CTEC.US,D,20201104,000000,15.4689,15.4689,14.8713,15.1461,17712.70638927,0
CTEC.US,D,20201105,000000,15.9256,16.4432,15.9256,16.4332,56998.888729946,0
CTEC.US,D,20201106,000000,16.8219,16.8219,16.5032,16.5831,58495.962671095,0
CTEC.US,D,20201109,000000,17.9161,18.4188,16.6431,16.762,176284.45944187,0
CTEC.US,D,20201110,000000,16.8419,16.8689,16.2943,16.4232,149583.30509845,0
CTEC.US,D,20201111,000000,16.6431,17.0408,16.6231,16.9868,32788.521177652,0
CTEC.US,D,20201112,000000,17.1507,17.1507,16.782,16.8229,111101.69992935,0
CTEC.US,D,20201113,000000,16.9508,17.0208,16.7919,16.8719,42846.736540282,0
CTEC.US,D,20201116,000000,16.9219,17.0608,16.8219,16.9968,88364.389089205,0
CTEC.US,D,20201117,000000,17.0108,17.1507,16.8919,17.1507,42880.760948035,0
CTEC.US,D,20201118,000000,17.3296,17.3895,17.1907,17.1907,71732.458005043,0
CTEC.US,D,20201119,000000,17.3196,17.5584,17.3196,17.5234,33110.752333434,0
CTEC.US,D,20201120,000000,17.6184,17.9351,17.6184,17.7762,88009.134243545,0
CTEC.US,D,20201123,000000,18.046,18.4737,18.0361,18.4597,44516.934673824,0
CTEC.US,D,20201124,000000,18.8125,18.8725,18.4138,18.7425,234240.03446041,0
CTEC.US,D,20201125,000000,18.5337,18.8515,18.4637,18.8025,138391.27638333,0
CTEC.US,D,20201127,000000,19.0313,19.3751,19.0114,19.0903,42961.819095918,0
CTEC.US,D,20201130,000000,19.51,19.5889,18.8125,18.9124,121609.2376179,0
CTEC.US,D,20201201,000000,19.1213,19.2702,18.7425,18.7585,71321.162958377,0
CTEC.US,D,20201202,000000,18.4238,18.5137,18.095,18.3648,84907.90954861,0
CTEC.US,D,20201203,000000,18.4937,18.5387,18.2149,18.2489,71138.031587234,0
CTEC.US,D,20201204,000000,18.3149,18.5737,18.3149,18.4647,14051.079684279,0
CTEC.US,D,20201207,000000,18.7026,18.8075,18.5637,18.5837,27329.605168981,0
CTEC.US,D,20201208,000000,18.7625,19.3001,18.7525,19.2462,36301.040919253,0
CTEC.US,D,20201209,000000,19.9067,19.9067,18.5637,18.6666,98550.696339848,0
CTEC.US,D,20201210,000000,18.7126,18.9714,18.4737,18.8425,39064.022972404,0
CTEC.US,D,20201211,000000,18.8425,19.1992,18.7925,18.9334,43536.231156226,0
CTEC.US,D,20201214,000000,19.0213,19.2702,19.0114,19.1612,58262.795406197,0
CTEC.US,D,20201215,000000,19.4101,20.3324,19.4101,20.2475,61130.852836234,0
CTEC.US,D,20201216,000000,20.3354,20.4054,20.0066,20.3364,92152.106246459,0
CTEC.US,D,20201217,000000,20.7331,20.8231,20.5892,20.7431,75328.037330277,0
CTEC.US,D,20201218,000000,20.903,21.4506,20.903,21.1968,66384.621680509,0
CTEC.US,D,20201221,000000,21.8983,21.8983,21.1718,21.6694,204860.95908322,0
CTEC.US,D,20201222,000000,21.7994,22.6947,21.7994,22.316,160633.2318753,0
CTEC.US,D,20201223,000000,22.7437,23.0035,22.5248,22.6747,135573.25484705,0
CTEC.US,D,20201224,000000,22.8036,22.8036,22.4449,22.5128,107519.12993649,0
CTEC.US,D,20201228,000000,23.1124,23.5611,22.4159,22.4449,106766.59009442,0
CTEC.US,D,20201229,000000,22.4849,22.6048,21.8983,22.1071,90825.154344076,0
CTEC.US,D,20201230,000000,22.3959,22.7107,22.3959,22.5748,45865.902369458,0
