<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CXSE.US,D,20120924,000000,21.5774,21.5774,21.4436,21.5774,33291.010234763,0
CXSE.US,D,20120925,000000,21.6696,21.7093,21.3505,21.3505,13280.081124714,0
CXSE.US,D,20120926,000000,21.2137,21.2137,21.0006,21.0571,13006.649884416,0
CXSE.US,D,20120927,000000,21.4248,21.5189,21.3167,21.4971,15890.290049622,0
CXSE.US,D,20120928,000000,21.4297,21.5656,21.4297,21.4476,6723.7851857693,0
CXSE.US,D,20121001,000000,21.5516,21.8063,21.5516,21.6002,5685.5536497314,0
CXSE.US,D,20121002,000000,21.7766,21.7766,21.5011,21.5011,4767.3897062965,0
CXSE.US,D,20121003,000000,21.4714,21.6211,21.4714,21.5656,6428.1565754106,0
CXSE.US,D,20121004,000000,21.6299,21.8063,21.5903,21.7766,49903.723782736,0
CXSE.US,D,20121005,000000,22.0651,22.1721,21.9837,21.9837,50310.3392434,0
CXSE.US,D,20121008,000000,21.6914,21.7271,21.6379,21.7043,31916.79123371,0
CXSE.US,D,20121009,000000,21.8123,21.8123,21.5516,21.5516,14344.545916278,0
CXSE.US,D,20121010,000000,21.7478,21.7648,21.6518,21.7093,35721.622256449,0
CXSE.US,D,20121011,000000,22.0809,22.0987,21.9233,22.0284,130153.27038168,0
CXSE.US,D,20121012,000000,22.0522,22.1641,22.0522,22.0859,41741.145428463,0
CXSE.US,D,20121015,000000,22.1681,22.2474,22.0611,22.2088,84047.314822116,0
CXSE.US,D,20121016,000000,22.3763,22.5279,22.3763,22.507,38103.803652548,0
CXSE.US,D,20121017,000000,22.6409,22.8847,22.6339,22.7727,425308.67316954,0
CXSE.US,D,20121018,000000,22.8847,23.074,22.8461,22.9115,103265.19243816,0
CXSE.US,D,20121019,000000,22.9203,22.9203,22.6924,22.7132,46520.642791156,0
CXSE.US,D,20121022,000000,22.967,22.9758,22.7826,22.8113,24518.004203811,0
CXSE.US,D,20121023,000000,22.6706,22.7043,22.4159,22.5616,19694.112100995,0
CXSE.US,D,20121024,000000,22.854,22.8678,22.6517,22.6517,16566.300865118,0
CXSE.US,D,20121025,000000,22.8064,22.8291,22.6974,22.8253,95170.215165442,0
CXSE.US,D,20121026,000000,22.519,22.5447,22.411,22.4932,21090.52847211,0
CXSE.US,D,20121031,000000,22.6479,22.8331,22.5537,22.5834,26247.381125841,0
CXSE.US,D,20121101,000000,23.1692,23.3376,23.1692,23.2544,26780.118007306,0
CXSE.US,D,20121102,000000,23.4665,23.4665,23.0948,23.0948,17087.939061553,0
CXSE.US,D,20121105,000000,23.181,23.3119,23.1147,23.2989,57278.295499841,0
CXSE.US,D,20121106,000000,23.1523,23.406,23.1315,23.406,27994.919532466,0
CXSE.US,D,20121107,000000,23.0413,23.0413,22.6657,22.9105,32203.33910177,0
CXSE.US,D,20121108,000000,22.7687,22.9758,22.4327,22.4793,90946.661025642,0
CXSE.US,D,20121109,000000,22.4635,22.6796,22.3852,22.4932,62239.407708488,0
CXSE.US,D,20121112,000000,22.6102,22.7182,22.5755,22.6359,15406.992765111,0
CXSE.US,D,20121113,000000,22.2226,22.3416,22.0987,22.2088,66759.599430014,0
CXSE.US,D,20121114,000000,22.1998,22.2088,21.7885,21.8024,59680.656323267,0
CXSE.US,D,20121115,000000,21.847,21.958,21.8024,21.958,30114.768373297,0
CXSE.US,D,20121116,000000,21.9282,21.9322,21.6656,21.8757,4870.3047856705,0
CXSE.US,D,20121119,000000,22.182,22.4793,22.1681,22.3673,88076.1374882,0
CXSE.US,D,20121120,000000,22.0571,22.0928,21.962,22.0928,148773.83694881,0
CXSE.US,D,20121121,000000,22.2088,22.2336,22.0769,22.2336,347630.99458358,0
CXSE.US,D,20121123,000000,22.4932,22.6319,22.4932,22.6141,44171.757450149,0
CXSE.US,D,20121126,000000,22.5616,22.6706,22.5537,22.6617,42560.430177989,0
CXSE.US,D,20121127,000000,22.5249,22.5447,22.3277,22.3277,127843.73492396,0
