<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DALI.US,D,20180516,000000,19.654,19.654,19.468,19.522,96494,0
DALI.US,D,20180517,000000,19.703,19.703,19.488,19.548,1361650,0
DALI.US,D,20180518,000000,19.409,19.585,19.36,19.555,17344,0
DALI.US,D,20180521,000000,19.711,19.713,19.617,19.653,11826,0
DALI.US,D,20180522,000000,19.663,19.703,19.595,19.613,25348,0
DALI.US,D,20180523,000000,20.044,20.044,19.488,19.582,26276,0
DALI.US,D,20180524,000000,19.654,19.693,19.525,19.669,12181,0
DALI.US,D,20180525,000000,19.615,19.663,19.615,19.634,1125,0
DALI.US,D,20180529,000000,19.555,19.595,19.379,19.474,11996,0
DALI.US,D,20180530,000000,19.693,19.731,19.679,19.713,3109,0
DALI.US,D,20180531,000000,19.687,19.687,19.57,19.625,12248,0
DALI.US,D,20180601,000000,19.791,19.887,19.76,19.857,7345,0
DALI.US,D,20180604,000000,19.906,19.976,19.88,19.976,12399,0
DALI.US,D,20180605,000000,20.103,20.103,20.019,20.084,15625,0
DALI.US,D,20180606,000000,20.143,20.553,20.092,20.238,7927,0
DALI.US,D,20180607,000000,20.114,20.114,19.916,20.084,18475,0
DALI.US,D,20180608,000000,20.024,20.172,20.024,20.172,6983,0
DALI.US,D,20180611,000000,20.271,20.271,20.182,20.182,5945,0
DALI.US,D,20180612,000000,20.317,20.317,20.222,20.29,44365,0
DALI.US,D,20180613,000000,20.352,20.376,20.29,20.29,28695,0
DALI.US,D,20180614,000000,20.367,20.376,20.317,20.327,6249,0
DALI.US,D,20180615,000000,20.197,20.298,20.197,20.294,5352,0
DALI.US,D,20180618,000000,20.29,20.396,20.271,20.396,3853,0
DALI.US,D,20180619,000000,20.084,20.26,20.044,20.251,7326,0
DALI.US,D,20180620,000000,20.406,20.435,20.396,20.415,17784,0
DALI.US,D,20180621,000000,20.414,20.414,20.244,20.259,11139,0
DALI.US,D,20180622,000000,20.22,20.22,20.072,20.072,2652,0
DALI.US,D,20180625,000000,20.062,20.062,19.503,19.612,137693,0
DALI.US,D,20180626,000000,19.622,19.71,19.616,19.69,25529,0
DALI.US,D,20180627,000000,19.7,19.7,19.362,19.364,7916,0
DALI.US,D,20180629,000000,19.631,19.631,19.572,19.572,2735,0
DALI.US,D,20180702,000000,19.396,19.602,19.396,19.595,23280,0
DALI.US,D,20180703,000000,19.865,19.865,19.572,19.572,9827,0
DALI.US,D,20180705,000000,19.798,19.798,19.592,19.694,16703,0
DALI.US,D,20180706,000000,19.973,19.973,19.944,19.963,28083,0
DALI.US,D,20180709,000000,20.061,20.151,20.018,20.15,28570,0
DALI.US,D,20180710,000000,20.16,20.16,20.112,20.121,3137,0
DALI.US,D,20180711,000000,20.092,20.092,20.003,20.022,4814,0
DALI.US,D,20180712,000000,20.094,20.249,20.094,20.229,14000,0
