<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAPP.US,D,20210415,000000,30.805,31.115,28.795,29.741,363720,0
DAPP.US,D,20210416,000000,28.986,29.14,28.067,28.904,138045,0
DAPP.US,D,20210419,000000,27.521,27.809,25.947,26.866,238344,0
DAPP.US,D,20210420,000000,26.657,26.657,25.18,26.238,93468,0
DAPP.US,D,20210421,000000,25.838,27.548,25.329,27.266,162343,0
DAPP.US,D,20210422,000000,27.539,27.839,25.729,25.806,87641,0
DAPP.US,D,20210423,000000,24.482,26.331,24.482,26.22,79523,0
DAPP.US,D,20210426,000000,27.239,27.776,27.004,27.672,125259,0
DAPP.US,D,20210427,000000,28.149,28.294,27.467,27.68,64937,0
DAPP.US,D,20210428,000000,27.712,28.122,27.358,27.994,43772,0
DAPP.US,D,20210429,000000,28.049,28.049,26.711,26.912,101747,0
DAPP.US,D,20210430,000000,27.075,27.975,26.93,27.858,52801,0
DAPP.US,D,20210503,000000,28.531,28.789,27.548,27.715,66037,0
DAPP.US,D,20210504,000000,27.021,27.021,25.601,26.293,101149,0
DAPP.US,D,20210505,000000,26.811,27.395,26.483,26.557,39739,0
DAPP.US,D,20210506,000000,26.639,26.639,24.81,25.483,103963,0
DAPP.US,D,20210507,000000,25.92,26.225,25.656,25.847,38081,0
DAPP.US,D,20210510,000000,25.793,25.793,24.291,24.346,95423,0
DAPP.US,D,20210511,000000,23.3,24.401,22.645,24.209,77221,0
DAPP.US,D,20210512,000000,23.745,24.355,22.663,22.704,65981,0
DAPP.US,D,20210513,000000,22.317,22.908,20.578,21.062,82751,0
DAPP.US,D,20210514,000000,22.062,22.981,22.017,22.863,77526,0
DAPP.US,D,20210517,000000,22.035,22.221,21.489,22.162,73465,0
DAPP.US,D,20210518,000000,22.208,22.713,21.871,22.095,95129,0
DAPP.US,D,20210519,000000,20.243,21.243,19.642,21.131,88363,0
DAPP.US,D,20210520,000000,22.044,22.279,21.371,21.857,44774,0
DAPP.US,D,20210521,000000,22.126,22.29,20.761,20.831,60679,0
DAPP.US,D,20210524,000000,21.253,21.589,20.746,21.571,126219,0
DAPP.US,D,20210525,000000,21.344,22.033,21.344,21.753,36836,0
