<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAX.US,D,20141027,000000,20.8867,20.8867,20.8867,20.8867,407.0988323653,0
DAX.US,D,20141028,000000,21.23,21.2894,21.23,21.2894,4552.944120156,0
DAX.US,D,20141029,000000,21.4133,21.4211,21.4133,21.4211,16343.428690776,0
DAX.US,D,20141030,000000,21.189,21.189,21.189,21.189,168.1718098436,0
DAX.US,D,20141031,000000,21.4211,21.4894,21.2816,21.4894,12104.26855728,0
DAX.US,D,20141103,000000,21.739,21.739,21.739,21.739,256.359466225,0
DAX.US,D,20141105,000000,21.3987,21.3987,21.3987,21.3987,360.9541284448,0
DAX.US,D,20141107,000000,21.2465,21.2465,21.2465,21.2465,118.9507923284,0
DAX.US,D,20141111,000000,21.4962,21.4962,21.4962,21.4962,242.0033361164,0
DAX.US,D,20141112,000000,21.071,21.071,21.071,21.071,1196.6859883383,0
DAX.US,D,20141118,000000,22.1808,22.1808,21.698,21.856,2692.7998332274,0
DAX.US,D,20141119,000000,21.8648,21.8648,21.8648,21.8648,281.9954128475,0
DAX.US,D,20141121,000000,22.1476,22.1476,22.0774,22.1057,1216.1693077714,0
DAX.US,D,20141124,000000,22.3982,22.8156,22.3739,22.407,4211.4733111443,0
DAX.US,D,20141125,000000,22.6147,22.6147,22.6147,22.6147,242.0033361164,0
DAX.US,D,20141126,000000,22.7483,22.7766,22.7483,22.7766,478.8794829083,0
DAX.US,D,20141128,000000,22.8059,22.8059,22.8059,22.8059,118.9507923284,0
DAX.US,D,20141201,000000,22.841,23.3754,22.841,22.841,371.2085070938,0
DAX.US,D,20141202,000000,22.6557,22.6557,22.6557,22.6557,118.9507923284,0
DAX.US,D,20141203,000000,22.6001,22.6001,22.6001,22.6001,526.0496246937,0
DAX.US,D,20141204,000000,22.5533,22.5533,22.4899,22.4899,311.7331109296,0
DAX.US,D,20141205,000000,24.2004,24.2004,22.7483,22.7483,410.17514596,0
DAX.US,D,20141208,000000,22.6147,22.6147,22.6147,22.6147,118.9507923284,0
DAX.US,D,20141209,000000,22.3641,22.3641,22.3641,22.3641,287.122602172,0
DAX.US,D,20141210,000000,22.2812,22.3982,22.2529,22.2529,1318.7130942614,0
