<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DDIV.US,D,20140313,000000,15.3972,15.3972,15.3972,15.3972,133.10866168911,0
DDIV.US,D,20140314,000000,15.4346,15.4346,15.405,15.4346,2981.2275831744,0
DDIV.US,D,20140318,000000,15.5349,15.6078,15.5349,15.5832,7319.9602962469,0
DDIV.US,D,20140319,000000,15.5349,15.5349,15.405,15.4503,4085.7246461977,0
DDIV.US,D,20140320,000000,15.4218,15.4966,15.4218,15.4966,8702.8678424978,0
DDIV.US,D,20140321,000000,15.6078,15.6078,15.6078,15.6078,374.93966536856,0
DDIV.US,D,20140324,000000,15.5261,15.5261,15.5261,15.5261,461.30788096836,0
DDIV.US,D,20140325,000000,15.5664,15.6206,15.5664,15.6107,3759.5576202267,0
DDIV.US,D,20140326,000000,15.6914,15.6993,15.5054,15.5054,13086.308808351,0
DDIV.US,D,20140327,000000,15.4966,15.4966,15.4503,15.4582,3215.945910275,0
DDIV.US,D,20140331,000000,15.657,15.7357,15.657,15.6914,69588.395453742,0
DDIV.US,D,20140402,000000,15.8459,15.8459,15.7958,15.7958,1374.778773018,0
DDIV.US,D,20140403,000000,15.783,15.783,15.6993,15.776,6946.0367275324,0
DDIV.US,D,20140404,000000,15.8282,15.8459,15.5832,15.6274,9648.8538274792,0
DDIV.US,D,20140407,000000,15.6412,15.6412,15.5261,15.5261,2233.3804457455,0
DDIV.US,D,20140408,000000,15.5999,15.6491,15.593,15.6363,4772.6059843797,0
DDIV.US,D,20140409,000000,15.6206,15.657,15.5664,15.6284,23402.738137585,0
DDIV.US,D,20140410,000000,15.4582,15.4582,15.4346,15.4346,1746.6701484243,0
DDIV.US,D,20140411,000000,15.3499,15.4129,15.346,15.4129,7315.8959096304,0
DDIV.US,D,20140414,000000,15.3942,15.4346,15.3942,15.4346,2912.1330106945,0
DDIV.US,D,20140415,000000,15.4503,15.592,15.3637,15.592,1353.4407432816,0
DDIV.US,D,20140416,000000,15.6747,15.6747,15.6648,15.6648,505.00003709532,0
DDIV.US,D,20140417,000000,15.6206,15.6826,15.6206,15.6826,1276.2173975689,0
DDIV.US,D,20140421,000000,15.7416,15.7416,15.6668,15.6747,3065.563605466,0
DDIV.US,D,20140422,000000,15.718,15.718,15.657,15.657,935.82501844022,0
DDIV.US,D,20140423,000000,15.7042,15.718,15.7042,15.7042,998.82301099537,0
DDIV.US,D,20140424,000000,15.6648,15.6648,15.6648,15.6648,787.47490693938,0
DDIV.US,D,20140425,000000,15.6747,15.6747,15.6206,15.6284,8544.3567644558,0
DDIV.US,D,20140428,000000,15.7042,15.7091,15.6648,15.6648,1870.6339402263,0
DDIV.US,D,20140429,000000,15.6914,15.6914,15.6914,15.6914,708.21936791839,0
DDIV.US,D,20140502,000000,15.6009,15.6009,15.6009,15.6009,388.14892187206,0
DDIV.US,D,20140505,000000,15.6274,15.6274,15.592,15.592,1075.030260054,0
DDIV.US,D,20140506,000000,15.6206,15.6206,15.6206,15.6206,520.24148690705,0
DDIV.US,D,20140509,000000,15.6314,15.6412,15.6314,15.6412,398.30988841321,0
DDIV.US,D,20140512,000000,15.776,15.783,15.776,15.783,301.78070627225,0
DDIV.US,D,20140513,000000,15.8204,15.8204,15.783,15.783,1618.6419700057,0
DDIV.US,D,20140514,000000,15.7416,15.7918,15.7416,15.7918,4749.2357613351,0
DDIV.US,D,20140515,000000,15.5576,15.5999,15.5576,15.5999,2741.4287728032,0
DDIV.US,D,20140516,000000,15.657,15.6914,15.6284,15.6914,11542.85799075,0
DDIV.US,D,20140519,000000,15.7042,15.7042,15.7042,15.7042,610.67408912331,0
DDIV.US,D,20140520,000000,15.653,15.653,15.592,15.592,3519.7588098555,0
DDIV.US,D,20140521,000000,15.6137,15.6137,15.5753,15.5753,261.13684010764,0
DDIV.US,D,20140522,000000,15.7357,15.7357,15.7042,15.7042,2726.1873229914,0
DDIV.US,D,20140523,000000,15.7672,15.7958,15.7672,15.7918,9592.9685115028,0
DDIV.US,D,20140527,000000,15.8754,15.8754,15.8371,15.8568,2432.5353899521,0
DDIV.US,D,20140529,000000,15.8607,15.8666,15.8607,15.8666,1883.8431967298,0
DDIV.US,D,20140602,000000,15.8371,15.8371,15.8282,15.8371,1943.7928993226,0
DDIV.US,D,20140603,000000,15.8528,15.8528,15.8528,15.8528,650.30185863381,0
DDIV.US,D,20140604,000000,15.8459,15.8794,15.8371,15.8794,5805.976281615,0
DDIV.US,D,20140606,000000,16.1156,16.1156,16.1156,16.1156,261.13684010764,0
DDIV.US,D,20140609,000000,16.1215,16.1215,16.089,16.1087,2574.7889215283,0
DDIV.US,D,20140610,000000,16.0359,16.0516,16.028,16.0448,4534.8393673167,0
DDIV.US,D,20140611,000000,15.9985,15.9985,15.9985,15.9985,1680.6238659068,0
DDIV.US,D,20140612,000000,15.8882,15.8942,15.8882,15.8932,2948.7124902427,0
DDIV.US,D,20140613,000000,15.969,15.9847,15.9463,15.9463,11922.87813939,0
DDIV.US,D,20140616,000000,15.9532,15.9896,15.9532,15.9896,1295.523233997,0
DDIV.US,D,20140617,000000,16.0132,16.028,16.0054,16.0054,2292.3140516842,0
DDIV.US,D,20140618,000000,16.028,16.153,16.028,16.153,1558.6922674129,0
DDIV.US,D,20140619,000000,16.2219,16.2219,16.153,16.1825,4577.5154267896,0
DDIV.US,D,20140620,000000,16.1746,16.2052,16.1746,16.2052,3101.12698836,0
